#Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
en	English	English	Latn	US	124	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
hi_Latn	Hindi (Latin)	Hindi [Latin]	Latn	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
nn	Norwegian Nynorsk	norsk nynorsk	Latn	NO	1	modern	 ≡	modern	ICU	0.999789672941424	0.9996631578947368	1.0	1.0	1.0	🄼 digits_ordinals, 🄼 ordinals
ar	Arabic	‫العربية‬	Arab	EG	28	modern	 ≡	modern	ICU	1.0	0.9995191729775214	0.9988472622478386	1.0	1.0	
cy	Welsh	Cymraeg	Latn	GB	1	modern	 ≡	modern	ICU	1.0	0.9993066935585528	0.9987357774968394	1.0	1.0	🄼 spellout_ordinal, 🄼 digits_ordinals, 🄼 grammar
ga	Irish	Gaeilge	Latn	IE	2	modern	 ≡	modern	ICU	1.0	0.9993198204325942	0.9986399183951037	1.0	1.0	🄼 spellout_ordinal, 🄼 grammar
he	Hebrew	‫עברית‬	Hebr	IL	1	modern	 ≡	modern	ICU	1.0	0.9994321005182083	0.9986291980808774	1.0	1.0	
pl	Polish	polski	Latn	PL	1	modern	 ≡	modern	ICU	1.0	0.9994543470352856	0.9985693848354793	1.0	1.0	🄼 digits_ordinals
lt	Lithuanian	lietuvių	Latn	LT	1	modern	 ≡	modern	ICU	1.0	0.9994444444444445	0.9985683607730852	1.0	1.0	🄼 digits_ordinals
cs	Czech	čeština	Latn	CZ	1	modern	 ≡	modern	ICU	1.0	0.9993885288002935	0.9985683607730852	1.0	1.0	🄼 spellout_ordinal, 🄼 digits_ordinals
sk	Slovak	slovenčina	Latn	SK	1	modern	 ≡	modern	ICU	1.0	0.9993873299840705	0.9985652797704447	1.0	1.0	🄼 spellout_ordinal, 🄼 digits_ordinals
sl	Slovenian	slovenščina	Latn	SI	1	modern	 ≡	modern	ICU	1.0	0.9992619472292269	0.9985601151907847	1.0	1.0	🄼 spellout_ordinal, 🄼 digits_ordinals
ru	Russian	русский	Cyrl	RU	6	modern	 ≡	modern	ICU	1.0	0.9995486091519494	0.9985559566787003	1.0	1.0	
uk	Ukrainian	українська	Cyrl	UA	1	modern	 ≡	modern	ICU	1.0	0.9994473102431835	0.9985533453887884	1.0	1.0	🄼 spellout_ordinal
hsb	Upper Sorbian	hornjoserbšćina	Latn	DE	1	‡modern	 ≡	modern	ICU	1.0	0.9990943396226415	0.9985369422092173	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals, 🄼 grammar
be	Belarusian	беларуская	Cyrl	BY	1	modern	 ≡	modern	ICU	1.0	0.999261120141865	0.998533724340176	1.0	1.0	🄼 digits_ordinals, 🄼 grammar
ja	Japanese	日本語	Jpan	JP	1	modern	 ≡	modern	ICU	1.0	0.999317929917299	0.9985141158989599	1.0	1.0	
sr	Serbian	српски	Cyrl	RS	4	modern	 ≡	modern	ICU	1.0	0.9993566373579241	0.9984922728986053	1.0	1.0	🄼 digits_ordinals
sr_Latn	Serbian (Latin)	srpski (latinica)	Latn	RS	4	‡modern	 ≡	modern	ICU	1.0	0.9992851526199157	0.9984922728986053	1.0	1.0	🄼 digits_ordinals, 🄼 grammar
dsb	Lower Sorbian	dolnoserbšćina	Latn	DE	1	‡modern	 ≡	modern	ICU	1.0	0.9990828492815653	0.998491135420596	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals, 🄼 grammar
ta	Tamil	தமிழ்	Taml	IN	4	modern	 ≡	modern	ICU	1.0	0.9993721058001727	0.9984825493171472	1.0	1.0	
az	Azeri	azərbaycan	Latn	AZ	1	modern	 ≡	modern	ICU	1.0	0.9993266560053867	0.9984496124031008	1.0	1.0	
ro	Romanian	română	Latn	RO	2	modern	 ≡	modern	ICU	1.0	0.999313134396703	0.9984490112446684	1.0	1.0	🄼 spellout_ordinal
hr	Croatian	hrvatski	Latn	HR	2	modern	 ≡	modern	ICU	1.0	0.9993486285011218	0.9984484096198604	1.0	1.0	🄼 digits_ordinals
lv	Latvian	latviešu	Latn	LV	1	modern	 ≡	modern	ICU	1.0	0.9992918348558884	0.9984466019417476	1.0	1.0	🄼 spellout_ordinal, 🄼 digits_ordinals
pa	Punjabi	ਪੰਜਾਬੀ	Guru	IN	1	modern	 ≡	modern	ICU	1.0	0.9991025536428163	0.998443579766537	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
bs	Bosnian	bosanski	Latn	BA	1	modern	 ≡	modern	ICU	1.0	0.9991222470475583	0.9984417608102844	1.0	1.0	🄼 spellout_ordinal, 🄼 digits_ordinals, 🄼 grammar
fa	Persian	‫فارسی‬	Arab	IR	2	modern	 ≡	modern	ICU	1.0	0.9991588156123823	0.9984405458089669	1.0	1.0	🄼 spellout_ordinal, 🄼 digits_ordinals
uz	Uzbek	o‘zbek	Latn	UZ	1	modern	 ≡	modern	ICU	1.0	0.9990699247484569	0.9984375	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
ur	Urdu	‫اردو‬	Arab	PK	2	modern	 ≡	modern	ICU	1.0	0.9990831805300884	0.9984368894099257	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
bn	Bangla	বাংলা	Beng	BD	2	modern	 ≡	modern	ICU	1.0	0.9990724344379796	0.9984313725490196	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
fr	French	français	Latn	FR	46	modern	 ≡	modern	ICU	1.0	0.9993298148613554	0.9984183471727955	1.0	1.0	
ps	Pashto	‫پښتو‬	Arab	AF	2	modern	 ≡	modern	ICU	1.0	0.9989815836374438	0.9984158415841584	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals, 🄼 grammar
kk	Kazakh	қазақ тілі	Cyrl	KZ	1	modern	 ≡	modern	ICU	1.0	0.9993132457721693	0.9983870967741936	1.0	1.0	
