# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns using Tolong Siki Digits (tols)	standard-currency	aa	▷missing◁	¤#,##0.00	comprehensive
Numbers	Number Formatting Patterns	Standard Patterns using Tolong Siki Digits (tols)	accounting-currency	aa	▷missing◁	¤#,##0.00	comprehensive
Special	Deprecated	currency	pattern-standard-accounting	aa	¤#,##0.00	▷removed◁	comprehensive
Special	Deprecated	currency	pattern-standard-standard	aa	¤#,##0.00	▷removed◁	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-relative	ab	▷missing◁	{1}, {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-relative	ab	▷missing◁	{1}, {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-relative	ab	▷missing◁	{1}, {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	short-relative	ab	▷missing◁	{1}, {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full-relative	ab	▷missing◁	{1}, {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long-relative	ab	▷missing◁	{1}, {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-relative	ab	▷missing◁	{1}, {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	short-relative	ab	▷missing◁	{1}, {0}	moderate
Timezones	North America	Hawaii	standard-long	ab	▷missing◁	Ҳаваи-алеуттәи астандартә аамҭа	moderate
Timezones	Africa	Africa_Western	generic-long	ab	Мраҭашәаратәи Африка	▷removed◁	comprehensive
Timezones	Africa	Africa_Western	standard-long	ab	Мраҭашәаратәи Африка, астандартә аамҭа	Мраҭашәаратәи Африка	moderate
Timezones	Africa	Africa_Western	daylight-long	ab	Мраҭашәаратәи Африка, аԥхынтәи аамҭа	▷removed◁	comprehensive
Timezones	Oceania	Cities and Regions	Enderbury	ab	Enderbury	Кантон	moderate
Timezones	Oceania	Cities and Regions	Kanton	ab	Кантон	▷removed◁	moderate
Numbers	Symbols	Symbols using Tolong Siki Digits (tols)	decimal	ab	▷missing◁	,	comprehensive
Numbers	Symbols	Symbols using Tolong Siki Digits (tols)	group	ab	▷missing◁	 	comprehensive
Numbers	Symbols	Symbols using Tolong Siki Digits (tols)	approximatelySign	ab	▷missing◁	≈	comprehensive
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ab	¤ #,##0.00	#,##0.00 ¤	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency-alphaNextToNumber	ab	¤ #,##0.00	#,##0.00 ¤	moderate
Numbers	Number Formatting Patterns	Standard Patterns using Tolong Siki Digits (tols)	standard-currency	ab	▷missing◁	#,##0.00 ¤	comprehensive
Numbers	Number Formatting Patterns	Standard Patterns using Tolong Siki Digits (tols)	standard-percent	ab	▷missing◁	#,##0 %	comprehensive
Numbers	Number Formatting Patterns	Standard Patterns using Tolong Siki Digits (tols)	accounting-currency	ab	▷missing◁	#,##0.00 ¤	comprehensive
Numbers	Number Formatting Patterns	Currency Unit Patterns using Tolong Siki Digits (tols)	currencies-other	ab	▷missing◁	{0} {1}	comprehensive
Numbers	Number Formatting Patterns	Miscellaneous Patterns using Tolong Siki Digits (tols)	approximately	ab	▷missing◁	≈{0}	comprehensive
Special	Deprecated	currency	pattern-standard-accounting	ab	#,##0.00 ¤	▷removed◁	comprehensive
Special	Deprecated	currency	pattern-standard-standard	ab	#,##0.00 ¤	▷removed◁	comprehensive
Special	Deprecated	percent	pattern-standard-standard	ab	#,##0 %	▷removed◁	comprehensive
Special	Deprecated	latn	currencies-count=other	ab	{0} {1}	▷removed◁	comprehensive
Special	Deprecated	latn	symbols-approximatelySign	ab	≈	▷removed◁	comprehensive
Special	Deprecated	latn	symbols-decimal	ab	,	▷removed◁	comprehensive
Special	Deprecated	latn	symbols-group	ab	 	▷removed◁	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Others: numbers	af	…[\u00A0]…	…[.\u2212]…	core
Locale Display Names	Languages (A-D)	B	Baluchi ► bal	af	▷missing◁	Baloetsji	modern
Locale Display Names	Languages (E-J)	E	English ► en_GB	af	Engels (VK)	Engels (Verenigde Koninkryk)	moderate
Locale Display Names	Languages (E-J)	E	English ► en_GB	af_NA	Engels (VK)	Engels (Verenigde Koninkryk)	moderate
Locale Display Names	Languages (E-J)	E	English ► en_US	af	Engels (VSA)	Engels (Verenigde State van Amerika)	moderate
Locale Display Names	Languages (E-J)	E	English ► en_US	af_NA	Engels (VSA)	Engels (Verenigde State van Amerika)	moderate
Locale Display Names	Languages (K-N)	K	Kurdish ► ku-core	af	▷missing◁	Koerdies	modern
Locale Display Names	Languages (K-N)	K	Kurdish ► ku-extension	af	▷missing◁	Koermandji	modern
