# Count	Section	Page	Subhead	Code

271	Numbers	Number Formatting Patterns	Standard Patterns using Tolong Siki Digits (tols)	accounting-currency
266	Special	Deprecated	currency	pattern-standard-accounting
262	Numbers	Number Formatting Patterns	Standard Patterns using Tolong Siki Digits (tols)	standard-currency
255	Special	Deprecated	currency	pattern-standard-standard
227	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	11-digits-short-other
226	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	10-digits-short-other
226	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	12-digits-short-other
225	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	5-digits-short-other
225	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	6-digits-short-other
223	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	4-digits-short-other
223	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	15-digits-short-other
222	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	8-digits-short-other
222	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	13-digits-short-other
222	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	14-digits-short-other
221	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	7-digits-short-other
221	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Currency using Tolong Siki Digits (tols)	9-digits-short-other
217	Special	Deprecated	currency	pattern-short-10000000000
216	Special	Deprecated	currency	pattern-short-100000000000
215	Special	Deprecated	currency	pattern-short-1000000000
213	Special	Deprecated	currency	pattern-short-10000
213	Special	Deprecated	currency	pattern-short-100000
213	Special	Deprecated	currency	pattern-short-100000000000000
212	Special	Deprecated	currency	pattern-short-1000
212	Special	Deprecated	currency	pattern-short-10000000
212	Special	Deprecated	currency	pattern-short-100000000
212	Special	Deprecated	currency	pattern-short-1000000000000
212	Special	Deprecated	currency	pattern-short-10000000000000
211	Special	Deprecated	currency	pattern-short-1000000
210	Numbers	Symbols	Symbols using Tolong Siki Digits (tols)	group
201	Special	Deprecated	latn	symbols-group
188	Numbers	Symbols	Symbols using Tolong Siki Digits (tols)	decimal
180	Special	Deprecated	latn	symbols-decimal
168	Timezones	North America	Hawaii	standard-long
168	Timezones	Africa	Africa_Western	standard-long
165	Timezones	Africa	Africa_Western	daylight-long
162	Timezones	Africa	Africa_Western	generic-long
159	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	10-digits-long-other
159	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	11-digits-long-other
159	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	12-digits-long-other
156	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	8-digits-long-other
156	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	9-digits-long-other
156	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	13-digits-long-other
156	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	14-digits-long-other
156	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	15-digits-long-other
155	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	7-digits-long-other
154	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	6-digits-long-other
153	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	5-digits-long-other
153	Special	Deprecated	decimal	pattern-long-1000000000
153	Special	Deprecated	decimal	pattern-long-10000000000
153	Special	Deprecated	decimal	pattern-long-100000000000
152	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency-alphaNextToNumber
152	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Long Formats using Tolong Siki Digits (tols)	4-digits-long-other
151	Special	Deprecated	decimal	pattern-long-1000000000000
150	Special	Deprecated	decimal	pattern-long-10000000
150	Special	Deprecated	decimal	pattern-long-100000000
150	Special	Deprecated	decimal	pattern-long-10000000000000
150	Special	Deprecated	decimal	pattern-long-100000000000000
149	Special	Deprecated	decimal	pattern-long-1000000
148	Special	Deprecated	decimal	pattern-long-10000
148	Special	Deprecated	decimal	pattern-long-100000
147	Special	Deprecated	decimal	pattern-long-1000
145	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
143	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Formats using Tolong Siki Digits (tols)	10-digits-short-other
143	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Formats using Tolong Siki Digits (tols)	11-digits-short-other
143	Numbers	Compact Decimal Formatting (Other Numbering Systems)	Short Formats using Tolong Siki Digits (tols)	12-digits-short-other
139	Special	Deprecated	decimal	pattern-short-1000000000
139	Special	Deprecated	decimal	pattern-short-10000000000
139	Special	Deprecated	decimal	pattern-short-100000000000
138	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-relative
137	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-relative
