# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
BCP47	u_Extension	mu	deprecated	▷missing◁	false
BCP47	u_Extension	mu	description	▷missing◁	Allows setting overrides for measurement units. Currently limited to quantity=temperature, and no provision for usage or size.
BCP47	u_Extension	mu-celsius	_deprecated	▷missing◁	false
BCP47	u_Extension	mu-celsius	_description	▷missing◁	temperature unit is Celsius
BCP47	u_Extension	mu-fahrenhe	_deprecated	▷missing◁	false
BCP47	u_Extension	mu-fahrenhe	_description	▷missing◁	temperature unit is Fahrenheit
BCP47	u_Extension	mu-kelvin	_deprecated	▷missing◁	false
BCP47	u_Extension	mu-kelvin	_description	▷missing◁	temperature unit is Kelvin
BCP47	u_Extension	nu-kawi	_deprecated	▷missing◁	false
BCP47	u_Extension	nu-kawi	_description	▷missing◁	Kawi digits
BCP47	u_Extension	nu-nagm	_deprecated	▷missing◁	false
BCP47	u_Extension	nu-nagm	_description	▷missing◁	Nag Mundari digits
BCP47	u_Extension	tz-uaiev	_alias	…	Europe/Kiev Europe/Kyiv
#Section	Page	Header	Code	Old	New
Supplemental	Person Name Formats	NameOrder	givenFirst	▷missing◁	und
Supplemental	Person Name Formats	NameOrder	surnameFirst	▷missing◁	hu ja km ko mn si ta te vi yue zh
Supplemental	Alias	language	ajt-reason	▷missing◁	deprecated
Supplemental	Alias	language	ajt-replacement	▷missing◁	aeb
Supplemental	Alias	language	lak-reason	▷missing◁	deprecated
Supplemental	Alias	language	lak-replacement	▷missing◁	ksp
Supplemental	Alias	language	smd-reason	▷missing◁	deprecated
Supplemental	Alias	language	smd-replacement	▷missing◁	kmb
Supplemental	Alias	language	snb-reason	▷missing◁	deprecated
Supplemental	Alias	language	snb-replacement	▷missing◁	iba
Supplemental	Alias	unit	metric-ton-reason	▷missing◁	deprecated
Supplemental	Alias	unit	metric-ton-replacement	▷missing◁	tonne
Supplemental	IdValidity	currency	deprecated	…	…
Supplemental	IdValidity	currency	regular	…	… • SLE • …
Supplemental	IdValidity	language	deprecated	…	… • ajt~u • … • cug • … • lak • … • lno • … • pii • … • smd • snb • … • uun • … • wrd • wya • …
Supplemental	IdValidity	language	regular	…	… • ajs • … • bpc~e • … • cno~q • … • cuh~l • … • dsz • … • egl~m • … • goa~z • … • imr~t • … • laa~j • lal~n • … • lgk~o • … • lnl~n • … • lqr • … • lsa~e • … • lsv~w • … • nww~y • … • oie • … • phg~o • … • pia~h • pij • … • pzh • … • ria~b • … • rnb • … • rsk~n • … • sma~c • … • snc • … • tof~m • … • ugh • … • uon • … • uum • … • wdt~u • … • wyb • … • wym~n • … • xdq • … • xhm • … • zcd • …
Supplemental	IdValidity	unit	deprecated	…	… • mass-metric-ton • …
Supplemental	IdValidity	unit	regular	…	… • duration-quarter • … • mass-tonne • …
Supplemental	Locale	Parent	fr_HT	▷missing◁	ht
Supplemental	Locale	DefaultContent	plain	…	… • ann_NG • … • bgc_IN • … • bho_IN • … • en_Shaw_GB • … • frr_DE • … • mdf_RU • … • pis_SB • … • raj_IN • … • shn_MM • … • tok_001 • … • vec_IT • …
Supplemental	Transform	am_Ethi↔︎am_Brai	_alias	▷missing◁	Ethiopic-Braille/Amharic am-Brai-t-am-ethi
Supplemental	Transform	am_Ethi↔︎am_Brai	_backwardAlias	▷missing◁	Braille-Ethiopic/Amharic am-Ethi-t-am-brai
Supplemental	Transform	am_Ethi↔︎am_Brai	_visibility	▷missing◁	external
Supplemental	Transform	am_Ethi↔︎d0_Morse	_alias	▷missing◁	am-Ethi-t-d0-morse
