#Version	Dtd Type	Intermediate Path	Element	Attributes
40.0	ldml	​/dates​/calendars​/calendar​/dateFormats​/dateFormatLength​/dateFormat/	+datetimeSkeleton	<div>+numbers §v ⟪literal/M=romanlow, d=hanidays, hanidec, hebr, y=jpanyear⟫</div>
40.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/availableFormats/	dateFormatItem	<div>id ⟪…⟫➠⟪… GyMEEEEd, …⟫</div>
40.0	ldml	​/dates​/calendars​/calendar​/timeFormats​/timeFormatLength​/timeFormat/	+datetimeSkeleton	<div>⊕</div>
40.0	ldml	​/numbers​/currencyFormats/	unitPattern	<div>case ⟪… vocative⟫➠⟪… vocative, elative, illative, partitive, terminative, translative⟫</div>
40.0	ldml	​/numbers​/minimalPairs/	caseMinimalPairs	<div>case ⟪… vocative⟫➠⟪… vocative, elative, illative, partitive, terminative, translative⟫</div>
40.0	supplementalData	​/metaZones/	+metazoneIds	 
40.0	supplementalData	​/metaZones​/metazoneIds/	+metazoneId	<div>+shortId §d ⟪regex/[a-z][a-z][a-z][a-z]⟫</div><div>+longId §v ⟪metazone⟫</div><div>+deprecated §v ⟨true, false⟩</div><div>+preferred §v ⟪metazone⟫</div><div>+since §m︎ ⟪version⟫</div>
40.0	supplementalData	​/numberingSystems/	numberingSystem	<div>digits ⟪unicodeset/[\p{Nd}[\u3007\u4E00\u4E03\u4E09\u4E5D\u4E8C\u4E94\u516B\u516D\u56DB][\U0001E140-\U0001E149][\U0001E2F0-\U0001E2F9]]⟫➠⟪unicodeset/[\p{Nd}[\u3007\u4E00\u4E03\u4E09\u4E5D\u4E8C\u4E94\u516B\u516D\u56DB][\U00016AC0-\U00016AC9]]⟫</div>
40.0	keyboard	/	+info	<div>+author §v </div><div>+normalization §v ⟪literal/NFC, NFD, other⟫</div><div>+layout §v </div><div>+indicator §v </div>
40.0	keyboard	/	transforms	<div>type ⟪literal/simple⟫➠⟪literal/simple, final⟫</div>
40.0	keyboard	​/keyMap/	map	<div>iso ⟪regex/[A-E](0[0-9]|1[0-3])⟫➠⟪regex/[A-Z][0-9][0-9]⟫</div>
40.0	keyboard	​/keyMap/	flicks	<div>iso ➠⟪regex/[A-Z][0-9][0-9]⟫</div>
40.0	keyboard	​/layer/	vkeys	<div>type ➠⟪literal/android, chromeos, osx, und, windows⟫</div>
40.0	keyboard	​/layer​/vkeys/	vkey	<div>iso ➠⟪regex/[A-Z][0-9][0-9]⟫</div>
40.0	platform	​/hardwareMap/	map	<div>iso ⟪regex/[A-E](0[0-9]|1[0-3])⟫➠⟪regex/[A-Z][0-9][0-9]⟫</div>
39.0	supplementalData	​/convertUnits/	convertUnit	<div>systems ⟪… uksystem⟫➠⟪… uksystem, metric, si, other⟫</div><div>+description §m︎ </div>
39.0	supplementalData	​/grammaticalData​/grammaticalFeatures/	grammaticalCase	<div>values ⟪set/literal/ablative, …⟫➠⟪set/literal/abessive, ablative, … adessive, allative, causal, … delative, elative, … essive, … illative, inessive, … sublative, superessive, terminative, translative, …⟫</div>
39.0	supplementalData	​/unitConstants/	unitConstant	<div>+description §m︎ ⟪any⟫</div>
39.0	supplementalData	​/unitQuantities/	unitQuantity	<div>+description §m︎ </div>
38.0	ldml	​/characterLabels/	characterLabelPattern	<div>type ⟪… strokes⟫➠⟪… strokes, subscript, superscript⟫</div>
38.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/availableFormats/	dateFormatItem	<div>id ⟪…⟫➠⟪… Hmvvvv, … hmvvvv, …⟫</div>
38.0	ldml	​/numbers​/currencyFormats/	unitPattern	<div>+case §d ⟪literal/ablative, accusative, comitative, dative, ergative, genitive, instrumental, locative, locativecopulative, nominative, oblique, prepositional, sociative, vocative⟫</div>
38.0	ldml	​/numbers​/minimalPairs/	+caseMinimalPairs	<div>+case §d ⟪literal/ablative, accusative, comitative, dative, ergative, genitive, instrumental, locative, locativecopulative, nominative, oblique, prepositional, sociative, vocative⟫</div>
38.0	ldml	​/numbers​/minimalPairs/	+genderMinimalPairs	<div>+gender §d ⟪literal/animate, common, feminine, inanimate, masculine, neuter, personal⟫</div>
38.0	ldml	​/numbers​/symbols/	+approximatelySign	 
38.0	ldml	​/units​/unit/	+gender	<div>+alt §d ⟪literal/animate, common, feminine, inanimate, masculine, neuter, personal⟫</div>
38.0	ldml	​/units​/unitLength/	compoundUnit	<div>type ⟪or/regex/10p-?[0-9]{1,2}||literal/per, …⟫➠⟪or/regex/10p-?[0-9]{1,2}||regex/1024p[1-8]||literal/per, …⟫</div>
38.0	ldml	​/units​/unitLength​/compoundUnit/	compoundUnitPattern1	<div>+gender §d ⟪literal/animate, common, feminine, inanimate, masculine, neuter, personal⟫</div><div>+case §d ⟪literal/ablative, accusative, comitative, dative, ergative, genitive, instrumental, locative, locativecopulative, nominative, oblique, prepositional, sociative, vocative⟫</div>
38.0	ldml	​/units​/unitLength​/compoundUnit/	compoundUnitPattern	<div>+case §d ⟪literal/ablative, accusative, comitative, dative, ergative, genitive, instrumental, locative, locativecopulative, nominative, oblique, prepositional, sociative, vocative⟫</div>
38.0	supplementalData	​/grammaticalData/	+grammaticalDerivations	<div>+locales §d ⟪set/validity/locale⟫</div>
38.0	supplementalData	​/grammaticalData​/grammaticalDerivations/	+deriveCompound	<div>+feature §d ⟪set/literal/gender⟫</div><div>+structure §d ⟪set/literal/per, times, power, prefix⟫</div><div>+value §v ⟪set/literal/0, 1⟫</div>
38.0	supplementalData	​/grammaticalData​/grammaticalDerivations/	+deriveComponent	<div>+feature §d ⟪set/literal/plural, case⟫</div><div>+structure §d ⟪set/literal/per, times, power, prefix⟫</div><div>+value0 §v ⟪set/literal/compound, zero, one, two, few, many, other, accusative, nominative⟫</div><div>+value1 §v ⟪set/literal/compound, zero, one, two, few, many, other, accusative, nominative⟫</div>
