#Dir	Code	English Name	Native Name	Script	CLDR Target	Sublocales	Fields	UC	Missing	Modern	Miss +UC	Moderate	Miss +UC	Basic	Miss +UC	Core	Miss +UC	Core-Missing
common	af	Afrikaans	Afrikaans	Latn	modern	2	7761	4	2	7761	6	2126	0	387	0	9	0	
common	am	Amharic	አማርኛ	Ethi	modern	1	7968	1	2	7968	3	2222	1	473	1	9	0	
common	ar	Arabic	العربية	Arab	modern	28	11464	12	3	11464	15	3023	1	878	1	8	1	orientation
common	as	Assamese	অসমীয়া	Beng	modern	1	7616	0	2	7616	2	2103	0	397	0	9	0	
common	az	Azerbaijani	azərbaycan	Latn	modern	1	7871	0	2	7871	2	2224	0	466	0	9	0	
common	be	Belarusian	беларуская	Cyrl	modern	1	9401	0	2	9401	2	2418	0	414	0	9	0	
common	bg	Bulgarian	български	Cyrl	modern	1	7335	4	2	7335	6	2163	0	399	0	9	0	
common	bn	Bangla	বাংলা	Beng	modern	2	7798	1	2	7798	3	2149	0	406	0	9	0	
common	bs	Bosnian	bosanski	Latn	modern	1	8039	0	1	8039	1	2295	0	405	0	9	0	
common	ca	Catalan	català	Latn	modern	4	7867	0	1	7867	1	2167	0	398	0	9	0	
common	ceb	Cebuano	Binisaya	Latn	moderate	1	3354	0	3846	3354	3846	2090	0	385	0	8	0	ordinals*
common	cs	Czech	čeština	Latn	modern	1	10255	0	0	10255	0	2478	0	418	0	9	0	
common	cy	Welsh	Cymraeg	Latn	modern	1	11117	0	2	11117	2	2776	0	427	0	9	0	
common	da	Danish	dansk	Latn	modern	2	7884	5	2	7884	7	2144	0	394	0	9	0	
common	de	German	Deutsch	Latn	modern	7	8678	0	0	8678	0	2154	0	406	0	9	0	
common	doi	Dogri	डोगरी	Deva	basic	1	488	0	6560	488	6560	464	1598	386	1	7	1	ordinals*, collation
common	el	Greek	Ελληνικά	Grek	modern	2	8067	0	2	8067	2	2134	0	396	0	9	0	
common	en	English	English	Latn	modern	106	7113	2	0	7113	2	1626	0	595	0	9	0	
common	es	Spanish	español	Latn	modern	28	7922	0	2	7922	2	2163	0	534	0	9	0	
common	et	Estonian	eesti	Latn	modern	1	7774	0	0	7774	0	2143	0	390	0	9	0	
common	eu	Basque	euskara	Latn	modern	1	7751	36	2	7751	38	2147	1	387	1	8	1	collation
common	fa	Persian	فارسی	Arab	modern	2	7975	0	3	7975	3	2300	1	560	1	8	1	orientation
common	fi	Finnish	suomi	Latn	modern	1	8138	0	8	8138	8	2188	0	396	0	9	0	
common	fil	Filipino	Filipino	Latn	modern	1	7547	0	2	7547	2	2139	0	393	0	9	0	
common	fr	French	français	Latn	modern	46	8012	0	0	8012	0	2248	0	644	0	9	0	
common	ga	Irish	Gaeilge	Latn	modern	2	10242	0	2	10242	2	2591	0	420	0	9	0	
common	gl	Galician	galego	Latn	modern	1	7780	2	2	7780	4	2143	0	389	0	9	0	
common	gu	Gujarati	ગુજરાતી	Gujr	modern	1	7849	0	2	7849	2	2141	0	390	0	9	0	
common	ha	Hausa	Hausa	Latn	moderate	3	7709	0	9	7709	9	2100	0	387	0	8	0	ordinals*
common	he	Hebrew	עברית	Hebr	modern	1	9689	0	2	9689	2	2605	1	554	1	8	1	orientation
common	hi	Hindi	हिन्दी	Deva	modern	1	8177	17	7	8177	24	2226	0	467	0	9	0	
common	hr	Croatian	hrvatski	Latn	modern	2	9215	4	2	9215	6	2306	0	411	0	9	0	
common	hu	Hungarian	magyar	Latn	modern	1	8215	0	2	8215	2	2154	0	392	0	9	0	
common	hy	Armenian	հայերեն	Armn	modern	1	8068	14	12	8068	26	2135	0	395	0	9	0	
common	id	Indonesian	Indonesia	Latn	modern	1	7036	1	1	7036	2	2047	0	460	0	9	0	
common	ig	Igbo	Igbo	Latn	moderate	1	5801	0	728	5801	728	1938	0	376	0	8	0	ordinals*
common	is	Icelandic	íslenska	Latn	modern	1	8188	9	2	8188	11	2133	1	392	0	9	0	
common	it	Italian	italiano	Latn	modern	4	7894	0	0	7894	0	2142	0	395	0	9	0	
common	ja	Japanese	日本語	Jpan	modern	1	7643	3	0	7643	3	2489	0	865	0	9	0	
common	jv	Javanese	Jawa	Latn	modern	1	6550	0	5	6550	5	1928	2	373	2	6	2	ordinals*, casing, collation
common	ka	Georgian	ქართული	Geor	modern	1	7310	0	2	7310	2	2135	0	394	0	9	0	
common	kk	Kazakh	қазақ тілі	Cyrl	modern	1	7305	0	2	7305	2	2132	0	400	0	9	0	
common	km	Khmer	ខ្មែរ	Khmr	modern	1	6657	3	2	6657	5	1969	1	380	1	8	0	romanization*
common	kn	Kannada	ಕನ್ನಡ	Knda	modern	1	8380	2	15	8380	17	2138	0	391	0	9	0	
common	ko	Korean	한국어	Kore	modern	2	7281	0	2	7281	2	2070	0	473	0	9	0	
common	kok	Konkani	कोंकणी	Deva	basic	1	6878	1	3	6878	4	1939	2	376	1	7	1	plurals, ordinals*
common	ky	Kyrgyz	кыргызча	Cyrl	modern	1	7756	0	2	7756	2	2131	0	392	0	9	0	
common	lo	Lao	ລາວ	Laoo	modern	1	6734	2	2	6734	4	1971	0	381	0	8	0	romanization*
common	lt	Lithuanian	lietuvių	Latn	modern	1	10658	0	25	10658	25	2482	0	416	0	9	0	
common	lv	Latvian	latviešu	Latn	modern	1	9349	0	18	9349	18	2304	0	400	0	9	0	
common	mai	Maithili	मैथिली	Deva	basic	1	381	0	6025	381	6025	375	1526	375	2	6	2	plurals, ordinals*, collation
common	mk	Macedonian	македонски	Cyrl	modern	1	7771	0	0	7771	0	2144	0	393	0	9	0	
common	ml	Malayalam	മലയാളം	Mlym	modern	1	8516	1	17	8516	18	2165	0	391	0	9	0	
common	mn	Mongolian	монгол	Cyrl	modern	1	7749	6	2	7749	8	2130	0	393	0	9	0	
common	mni	Manipuri	মৈতৈলোন্	Beng	basic	1	378	0	6020	378	6020	372	1521	367	2	6	2	plurals, ordinals*, collation
common	mr	Marathi	मराठी	Deva	modern	1	8682	0	19	8682	19	2158	0	399	0	9	0	
common	ms	Malay	Melayu	Latn	modern	4	7001	0	2	7001	2	2043	0	468	0	9	0	
common	my	Burmese	မြန်မာ	Mymr	modern	1	6767	0	2	6767	2	1983	0	393	0	9	0	
common	ne	Nepali	नेपाली	Deva	modern	2	7327	0	0	7327	0	2148	0	402	0	9	0	
common	nl	Dutch	Nederlands	Latn	modern	7	7883	0	0	7883	0	2136	0	409	0	9	0	
common	nn	Norwegian Nynorsk	norsk nynorsk	Latn	modern	1	7892	1	1	7892	2	2131	0	392	0	8	0	ordinals*
common	no	Norwegian	norsk	Latn	modern	0	7732	160	3	7732	163	2130	2	393	2	7	2	default_content, country_data
common	or	Odia	ଓଡ଼ିଆ	Orya	modern	1	7248	0	2	7248	2	2108	0	390	0	9	0	
common	pa	Punjabi	ਪੰਜਾਬੀ	Guru	modern	1	7951	0	7	7951	7	2149	0	400	0	9	0	
common	pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	basic	1	7708	0	5	7708	5	2089	2	383	2	6	2	ordinals*, casing, collation
common	pl	Polish	polski	Latn	modern	1	11775	21	0	11775	21	2484	0	419	0	9	0	
common	ps	Pashto	پښتو	Arab	modern	2	7505	0	3	7505	3	2259	1	551	1	8	1	orientation
common	pt	Portuguese	português	Latn	modern	12	7974	0	2	7974	2	2226	0	533	0	9	0	
common	ro	Romanian	română	Latn	modern	2	8859	0	8	8859	8	2307	0	411	0	9	0	
common	ru	Russian	русский	Cyrl	modern	6	12605	0	27	12605	27	2455	0	500	0	9	0	
common	sa	Sanskrit	संस्कृत भाषा	Deva	basic	1	467	21	5919	467	5940	459	1441	375	1	7	1	plurals, ordinals*
common	sat	Santali	ᱥᱟᱱᱛᱟᱲᱤ	Olck	basic	1	403	0	7270	403	7270	399	1822	394	1	6	1	ordinals*, romanization*, collation
common	sd	Sindhi	سنڌي	Arab	modern	1	7113	0	98	7113	98	2089	7	387	2	7	2	orientation, collation
common	sd_Deva	Sindhi (Devanagari)	सिन्धी (देवनागिरी)	Deva	basic	1	388	0	6651	388	6651	388	1676	388	1	8	1	collation
common	si	Sinhala	සිංහල	Sinh	modern	1	7767	0	2	7767	2	2143	0	392	0	8	0	romanization*
common	sk	Slovak	slovenčina	Latn	modern	1	10252	0	2	10252	2	2477	0	412	0	9	0	
common	sl	Slovenian	slovenščina	Latn	modern	1	10693	0	27	10693	27	2470	0	409	0	9	0	
common	so	Somali	Soomaali	Latn	modern	4	7832	0	4	7832	4	2176	1	463	1	7	1	ordinals*, collation
common	sq	Albanian	shqip	Latn	modern	3	7708	57	1	7708	58	2141	0	394	0	9	0	
common	sr	Serbian	српски	Cyrl	modern	4	9208	0	15	9208	15	2297	0	416	0	9	0	
common	su	Sundanese	Basa Sunda	Latn	basic	1	414	3	5593	414	5596	405	1094	373	2	6	2	ordinals*, casing, collation
common	sv	Swedish	svenska	Latn	modern	3	7894	0	0	7894	0	2147	0	400	0	9	0	
common	sw	Swahili	Kiswahili	Latn	modern	4	7364	0	2	7364	2	2138	0	402	0	9	0	
common	ta	Tamil	தமிழ்	Taml	modern	4	8205	0	2	8205	2	2239	0	478	0	9	0	
common	te	Telugu	తెలుగు	Telu	modern	1	7787	0	2	7787	2	2137	0	390	0	9	0	
common	th	Thai	ไทย	Thai	modern	1	6998	0	0	6998	0	2006	0	393	0	9	0	
common	tk	Turkmen	türkmen dili	Latn	modern	1	7727	0	2	7727	2	2105	0	394	0	9	0	
common	tr	Turkish	Türkçe	Latn	modern	2	7892	0	0	7892	0	2233	0	470	0	9	0	
common	uk	Ukrainian	українська	Cyrl	modern	1	9986	18	2	9986	20	2455	0	417	0	9	0	
common	ur	Urdu	اردو	Arab	modern	2	7949	0	3	7949	3	2217	1	474	1	8	1	orientation
common	uz	Uzbek	o‘zbek	Latn	modern	1	7431	2	2	7431	4	2218	0	476	0	9	0	
common	vi	Vietnamese	Tiếng Việt	Latn	modern	1	7093	1	2	7093	3	1974	0	384	0	9	0	
common	yo	Yoruba	Èdè Yorùbá	Latn	moderate	2	5553	12	970	5553	982	1941	0	380	0	8	0	ordinals*
common	yue	Cantonese	粵語	Hant	modern	1	6957	0	1	6957	1	1990	1	380	1	8	1	collation
common	zh	Chinese	中文	Hans	modern	4	7230	1	2	7230	3	2095	0	490	0	9	0	
common	zh_Hant	Traditional Chinese	繁體中文	Hant	modern	0	7236	0	0	7236	0	2100	0	490	0	9	0	
common	zu	Zulu	isiZulu	Latn	modern	1	7202	0	112	7202	112	2132	0	386	0	9	0	
