# Count	Section	Page	Subhead	Code

3	Locale Display Names	Keys	Hour Cycle	hc-h11-core
3	Locale Display Names	Keys	Hour Cycle	hc-h12-core
3	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-atTime
3	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-atTime
3	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-atTime
3	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full
2	Locale Display Names	Keys	Hour Cycle	hc-h12
2	Locale Display Names	Keys	Hour Cycle	hc-h23-core
2	Locale Display Names	Keys	Hour Cycle	hc-h24-core
2	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	short
2	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long-atTime
2	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime
1	Locale Display Names	Keys	Hour Cycle	hc-h23
1	Core Data	Alphabetic Information	Characters in Use	Main Letters
1	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full
1	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long
1	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium
