#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
am	Amharic	Ethiopic	modern	modern	n/a	B {0}	Units	Speed and Acceleration	beaufort	long-one-accusative	https://st.unicode.org/v#/am//7896021e2580947c
am	Amharic	Ethiopic	modern	modern	n/a	B {0}	Units	Speed and Acceleration	beaufort	long-other-accusative	https://st.unicode.org/v#/am//79cee894f939dc50
ar	Arabic	Arabic	modern	modern	n/a	null	Units	Speed and Acceleration	beaufort	long-gender	https://st.unicode.org/v#/ar//3defcd1fe1341e8c
‡ast	Asturian	Latin	moderate	moderate	n/a	chinu	Locale Display Names	Languages (A-D)	C	Chinese ► zh-menu	https://st.unicode.org/v#/ast//89bfbc46185de05
‡ast	Asturian	Latin	moderate	moderate	n/a	202	Locale Display Names	Geographic Regions	Africa	202	https://st.unicode.org/v#/ast//1a1f6994f748b028
‡ast	Asturian	Latin	moderate	moderate	n/a	Territoriu Británicu del Océanu Índicu	Locale Display Names	Territories (Africa)	Eastern Africa	IO-biot	https://st.unicode.org/v#/ast//5d5fdfb3f9090dae
‡ast	Asturian	Latin	moderate	moderate	n/a	Territoriu Británicu del Océanu Índicu	Locale Display Names	Territories (Africa)	Eastern Africa	IO-chagos	https://st.unicode.org/v#/ast//417c7a965a4f3421
‡ast	Asturian	Latin	moderate	moderate	n/a	MK	Locale Display Names	Territories (Europe)	Southern Europe	MK	https://st.unicode.org/v#/ast//216cb1286c47a733
‡ast	Asturian	Latin	moderate	moderate	n/a	XA	Locale Display Names	Geographic Regions	Unknown Region	XA	https://st.unicode.org/v#/ast//4ef00bbec7020af2
‡ast	Asturian	Latin	moderate	moderate	n/a	XB	Locale Display Names	Geographic Regions	Unknown Region	XB	https://st.unicode.org/v#/ast//33ce17d5a876bf18
‡ast	Asturian	Latin	moderate	moderate	n/a	{1}, {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime	https://st.unicode.org/v#/ast//2c0d283f4538da0e
‡ast	Asturian	Latin	moderate	moderate	n/a	{1} {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	short-atTime	https://st.unicode.org/v#/ast//307554bf43a9b71c
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd	Date & Time	Generic	Formats - Flexible - Date Formats	GyMd	https://st.unicode.org/v#/ast//2460eb0ab964182f
‡ast	Asturian	Latin	moderate	moderate	n/a	G y – G y	Date & Time	Generic	Formats - Intervals - Date Formats	Gy/G	https://st.unicode.org/v#/ast//61311ec5148c7b4
‡ast	Asturian	Latin	moderate	moderate	n/a	G y–y	Date & Time	Generic	Formats - Intervals - Date Formats	Gy/y	https://st.unicode.org/v#/ast//a521492603ab0b5
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM – GGGGG y-MM	Date & Time	Generic	Formats - Intervals - Date Formats	GyM/G	https://st.unicode.org/v#/ast//4da3529635ae80fc
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM – y-MM	Date & Time	Generic	Formats - Intervals - Date Formats	GyM/M	https://st.unicode.org/v#/ast//5087eaa0adc4cca4
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM – y-MM	Date & Time	Generic	Formats - Intervals - Date Formats	GyM/y	https://st.unicode.org/v#/ast//62960bf3419b19b1
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/d	https://st.unicode.org/v#/ast//439e81cebcf40890
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd – GGGGG y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/G	https://st.unicode.org/v#/ast//2c7a89bb9183b31b
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/M	https://st.unicode.org/v#/ast//3dd959ce9a1f3fb1
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/y	https://st.unicode.org/v#/ast//4d29b73aecbbc1f2
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/d	https://st.unicode.org/v#/ast//6f77ec54c8c8d789
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – GGGGG y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/G	https://st.unicode.org/v#/ast//48056be21933c47
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/M	https://st.unicode.org/v#/ast//24e714309a479a17
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/y	https://st.unicode.org/v#/ast//2ffee695e4b27d6c
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM – G y MMM	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMM/G	https://st.unicode.org/v#/ast//2d6328219811dc8f
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM–MMM	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMM/M	https://st.unicode.org/v#/ast//5e0f3b40a32241c3
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM – y MMM	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMM/y	https://st.unicode.org/v#/ast//1f03135e8b290ad0
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d–d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/d	https://st.unicode.org/v#/ast//66474bfca375effd
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – G y MMM d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/G	https://st.unicode.org/v#/ast//75b5b6be1c43f531
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – MMM d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/M	https://st.unicode.org/v#/ast//37cc92955780b3ed
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – y MMM d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/y	https://st.unicode.org/v#/ast//734370892368e68f
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – MMM d, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMEd/d	https://st.unicode.org/v#/ast//37ee7307d91420cc
