# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (A-D)	A	Acehnese ► ace	en	Achinese	Acehnese	modern
Currencies	North America (C)	Northern America: United States	USD-symbol-narrow	en_CA	US$	$	moderate
Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-name-one	en	XCG	Caribbean guilder	comprehensive
Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-name-other	en	XCG	Caribbean guilders	comprehensive
Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-name	en	XCG	Caribbean guilder	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (Asia)	Southern Asia	IN	hi_Latn	India	Bharat	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	ks	…[\u06CD]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-symbol-narrow	nl	XCG	Cg	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm	ta	பிற்பகல்	PM	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	full	ta	a h:mm:ss zzzz	h:mm:ss a zzzz	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	long	ta	a h:mm:ss z	h:mm:ss a z	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	medium	ta	a h:mm:ss	h:mm:ss a	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	short	ta	a h:mm	h:mm a	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date Formats	full	uk	EEEE, d MMMM y 'р'.	cccc, d MMMM y 'р'.	moderate
