# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
Supplemental	Currency	HR	HRK–1994-05-30–2023-01-14	▷missing◁	Europe/Zagreb
Supplemental	Currency	HR	EUR–2023-01-01..∞	▷missing◁	Europe/Zagreb
Supplemental	Currency	SL	SLL–1964-08-04–2023-12-31	▷missing◁	Africa/Freetown
Supplemental	Currency	SL	SLE–2022-07-01..∞	▷missing◁	Africa/Freetown
