#Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
af	Afrikaans	Afrikaans	Latn	ZA	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
am	Amharic	አማርኛ	Ethi	ET	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ar	Arabic	‫العربية‬	Arab	EG	28	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
az	Azerbaijani	azərbaycan	Latn	AZ	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
bn	Bangla	বাংলা	Beng	BD	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ca	Catalan	català	Latn	ES	4	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
cs	Czech	čeština	Latn	CZ	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
da	Danish	dansk	Latn	DK	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
en	English	English	Latn	US	107	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
fa	Persian	‫فارسی‬	Arab	IR	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
fi	Finnish	suomi	Latn	FI	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
fil	Filipino	Filipino	Latn	PH	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
fr	French	français	Latn	FR	46	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
gu	Gujarati	ગુજરાતી	Gujr	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
he	Hebrew	‫עברית‬	Hebr	IL	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
hr	Croatian	hrvatski	Latn	HR	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
hu	Hungarian	magyar	Latn	HU	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
hy	Armenian	հայերեն	Armn	AM	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
id	Indonesian	Indonesia	Latn	ID	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
is	Icelandic	íslenska	Latn	IS	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
it	Italian	italiano	Latn	IT	4	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ja	Japanese	日本語	Jpan	JP	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
kk	Kazakh	қазақ тілі	Cyrl	KZ	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
kn	Kannada	ಕನ್ನಡ	Knda	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ko	Korean	한국어	Kore	KR	3	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ky	Kyrgyz	кыргызча	Cyrl	KG	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
lo	Lao	ລາວ	Laoo	LA	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
lt	Lithuanian	lietuvių	Latn	LT	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
lv	Latvian	latviešu	Latn	LV	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ml	Malayalam	മലയാളം	Mlym	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
mr	Marathi	मराठी	Deva	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ms	Malay	Melayu	Latn	MY	4	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
my	Burmese	မြန်မာ	Mymr	MM	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ne	Nepali	नेपाली	Deva	NP	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
no	Norwegian	norsk	Latn	NO	0	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
pa	Punjabi	ਪੰਜਾਬੀ	Guru	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
pl	Polish	polski	Latn	PL	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
