Lang Group	Locale	Code	~LPop (M)	Target	Feature	Scope	Categories
Germanic	Swedish	sv	13	nominal	grammaticalCase	units	🟰general scope
Germanic	Swedish	sv	13	nominal	grammaticalDefiniteness	general	definite indefinite
Germanic	Swedish	sv	13	nominal	grammaticalDefiniteness	units	🟰general scope
Germanic	Swedish	sv	13	nominal	grammaticalGender	general	common neuter
Germanic	Swedish	sv	13	nominal	grammaticalGender	units	🟰general scope
Celtic	Welsh	cy	0.88	Unavailable			
Celtic	Irish	ga	1.2	Unavailable			
Celtic	Scottish Gaelic	gd	0.072	Unavailable			
Romance	Catalan	ca	8.5	nominal	grammaticalGender	general	feminine masculine
Romance	Catalan	ca	8.5	nominal	grammaticalGender	units	🟰general scope
Romance	Spanish	es	470	nominal	grammaticalGender	general	feminine masculine
Romance	Spanish	es	470	nominal	grammaticalGender	units	🟰general scope
Romance	French	fr	220	nominal	grammaticalGender	general	feminine masculine
Romance	French	fr	220	nominal	grammaticalGender	units	🟰general scope
Romance	Galician	gl	3.4	Unavailable			
Romance	Italian	it	69	nominal	grammaticalGender	general	feminine masculine
Romance	Italian	it	69	nominal	grammaticalGender	units	🟰general scope
Romance	Portuguese	pt	210	nominal	grammaticalGender	general	feminine masculine
Romance	Portuguese	pt	210	nominal	grammaticalGender	units	🟰general scope
Romance	Romanian	ro	22	nominal	grammaticalCase	general	genitive nominative
Romance	Romanian	ro	22	nominal	grammaticalCase	units	🟰general scope
Romance	Romanian	ro	22	nominal	grammaticalDefiniteness	general	definite indefinite
Romance	Romanian	ro	22	nominal	grammaticalDefiniteness	units	🟰general scope
Romance	Romanian	ro	22	nominal	grammaticalGender	general	feminine masculine neuter
Romance	Romanian	ro	22	nominal	grammaticalGender	units	🟰general scope
Slavic	Belarusian	be	10	Unavailable			
Slavic	Bulgarian	bg	7.7	Unavailable			
Slavic	Bosnian	bs	7.4	Unavailable			
Slavic	Czech	cs	13	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Czech	cs	13	nominal	grammaticalCase	units	accusative dative genitive instrumental locative nominative
Slavic	Czech	cs	13	nominal	grammaticalGender	general	animate feminine inanimate neuter
Slavic	Czech	cs	13	nominal	grammaticalGender	units	feminine inanimate neuter
Slavic	Croatian	hr	6.7	nominal	grammaticalCase	general	accusative dative genitive instrumental locative nominative vocative
Slavic	Croatian	hr	6.7	nominal	grammaticalCase	units	accusative genitive instrumental nominative
Slavic	Croatian	hr	6.7	nominal	grammaticalGender	general	animate feminine inanimate neuter
Slavic	Croatian	hr	6.7	nominal	grammaticalGender	units	feminine inanimate neuter
Slavic	Macedonian	mk	1.6	Unavailable			
