#Path Level	#Locales	Locales	Section	Page	Header	Code
modern	1	zu	Characters	Punctuation	punctuation	* –keywords
modern	1	zu	Characters	Punctuation	punctuation	* -name
modern	1	zu	Characters	Other Symbols	punctuation	^ -name
modern	1	zu	Characters	Other Symbols	punctuation	` –keywords
modern	1	zu	Characters	Other Symbols	punctuation	` -name
modern	1	zu	Characters	Punctuation	punctuation	‰ –keywords
modern	1	zu	Characters	Punctuation	punctuation	‰ -name
modern	1	yo	Characters	Other Symbols	other-symbol	↹ –keywords
modern	1	yo	Characters	Other Symbols	other-symbol	↹ -name
modern	1	yo	Characters	Other Symbols	other-symbol	⇀ –keywords
modern	1	yo	Characters	Other Symbols	other-symbol	⇀ -name
modern	1	yo	Characters	Other Symbols	other-symbol	⇁ –keywords
modern	1	yo	Characters	Other Symbols	other-symbol	⇁ -name
modern	1	yo	Characters	Math Symbols	other-symbol	∗ –keywords
modern	1	yo	Characters	Math Symbols	other-symbol	∗ -name
modern	1	zu	Characters	Math Symbols	other-symbol	◁ -name
modern	1	zu	Characters	Activities	game	♟ –keywords
modern	1	zu	Characters	Activities	game	♟ -name
modern	1	zu	Characters	Other Symbols	punctuation	♭ –keywords
modern	1	zu	Characters	Other Symbols	punctuation	♭ -name
modern	1	zu	Characters	Math Symbols	punctuation	♯ –keywords
modern	1	zu	Characters	Math Symbols	punctuation	♯ -name
modern	1	ha	Characters	People & Body 2	person-activity	👨‍🦯 –keywords
modern	1	ha	Characters	People & Body 2	person-activity	👨‍🦯 -name
modern	1	ha	Characters	People & Body 2	person-activity	👨‍🦼 –keywords
modern	1	ha	Characters	People & Body 2	person-activity	👨‍🦼 -name
modern	1	ha	Characters	People & Body 2	person-activity	👩‍🦯 –keywords
modern	1	ha	Characters	People & Body 2	person-activity	👩‍🦯 -name
modern	1	ha	Characters	People & Body 2	person-activity	👩‍🦼 –keywords
modern	1	ha	Characters	People & Body 2	person-activity	👩‍🦼 -name
modern	1	zu	Characters	Activities	sport	🥍 –keywords
modern	1	zu	Characters	Activities	sport	🥍 -name
modern	1	zu	Characters	Activities	sport	🥏 –keywords
modern	1	zu	Characters	Activities	sport	🥏 -name
modern	1	ha	Characters	People & Body 2	person-activity	🧎‍♀ –keywords
modern	1	ha	Characters	People & Body 2	person-activity	🧎‍♀ -name
modern	1	ha	Characters	People & Body 2	person-activity	🧎‍♂ –keywords
modern	1	ha	Characters	People & Body 2	person-activity	🧎‍♂ -name
modern	1	zu	Characters	Activities	event	🧧 –keywords
modern	1	zu	Characters	Activities	event	🧧 -name
modern	1	zu	Characters	Activities	event	🧨 –keywords
modern	1	zu	Characters	Activities	event	🧨 -name
modern	1	zu	Characters	Activities	arts & crafts	🧵 –keywords
modern	1	zu	Characters	Activities	arts & crafts	🧵 -name
modern	1	zu	Characters	Activities	arts & crafts	🧶 –keywords
modern	1	zu	Characters	Activities	arts & crafts	🧶 -name
modern	1	zu	Characters	Objects2	other-object	🧿 -name
moderate	4	br‡ ast‡ yrl‡ kgp‡	Date & Time	Generic	Formats - Flexible - Date Formats	GyMd
moderate	1	ast‡	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	H
moderate	1	ast‡	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hm
moderate	1	ast‡	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hms
moderate	1	ast‡	Date & Time	Generic	Formats - Flexible - 12 Hour Time Formats	h
moderate	1	ast‡	Date & Time	Generic	Formats - Flexible - 12 Hour Time Formats	hm
moderate	1	ast‡	Date & Time	Generic	Formats - Flexible - 12 Hour Time Formats	hms
moderate	1	ast‡	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	ms
moderate	3	yrl‡ ff_Adlm‡ kgp‡	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full-atTime
moderate	3	yrl‡ ff_Adlm‡ kgp‡	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long-atTime
