# Section	Page	Header	Code	Old	New
Supplemental	Alias	language	asd-reason	▷missing◁	deprecated
Supplemental	Alias	language	asd-replacement	▷missing◁	snz
Supplemental	Alias	language	dit-reason	▷missing◁	deprecated
Supplemental	Alias	language	dit-replacement	▷missing◁	dif
Supplemental	Alias	language	llo-reason	▷missing◁	deprecated
Supplemental	Alias	language	llo-replacement	▷missing◁	ngt
Supplemental	Alias	language	myd-reason	▷missing◁	deprecated
Supplemental	Alias	language	myd-replacement	▷missing◁	aog
Supplemental	Alias	language	nns-reason	▷missing◁	deprecated
Supplemental	Alias	language	nns-replacement	▷missing◁	nbr
Supplemental	Alias	subdivision	no23-reason	▷missing◁	deprecated
Supplemental	Alias	subdivision	no23-replacement	▷missing◁	no50
Supplemental	IdValidity	language	deprecated	…	… ais … asd … dit … dud … lba … llo … myd myi … nns …
Supplemental	IdValidity	language	regular	…	… aia~r ait … asa~c ase~l … cey … dir~s diu … dua~c due~i … lbb~c … lla~n llp~q … lsl~p … lsv … lvi … myb~c mye~h myj~p … nnp~r nnt~w … pnc~e … szy … tji~j tjl~p … tvw~y … uss … uth … wkr …
Supplemental	IdValidity	unit	regular	…	… duration-decade … energy-therm-us … graphics-dot-per-centimeter graphics-dot-per-inch graphics-em graphics-megapixel graphics-pixel graphics-pixel-per-centimeter graphics-pixel-per-inch … pressure-bar … pressure-pascal …
Supplemental	IdValidity	variant	regular	…	… bornholm …
Supplemental	Locale	DefaultContent	plain	…	… an_ES … cic_US … mus_US … osa_US … su_Latn su_Latn_ID … szl_PL …
Supplemental	WZoneMapping	Alaskan Standard Time	US	…	America/Anchorage America/Juneau America/Metlakatla America/Nome America/Sitka America/Yakutat
Supplemental	WZoneMapping	GTB Standard Time	CY	…	Asia/Nicosia Asia/Famagusta
Supplemental	WZoneMapping	Magallanes Standard Time	AQ	Antarctica/Palmer	▷removed◁
Supplemental	WZoneMapping	Pacific Standard Time	US	…	America/Los_Angeles
Supplemental	WZoneMapping	Qyzylorda Standard Time	001	▷missing◁	Asia/Qyzylorda
