#Path Level	#Locales	Locales	Section	Page	Header	Code
modern	3	lo ml so	Characters	Symbols2	gender	⚧ –keywords
modern	3	lo ml so	Characters	Symbols2	gender	⚧ -name
modern	10	as bg kn lo my ne or ps so sq	Characters	Flags	flag	🏳‍⚧ –keywords
modern	10	as bg kn lo my ne or ps so sq	Characters	Flags	flag	🏳‍⚧ -name
modern	1	zu	Characters	People & Body	body-parts	💪 –keywords
modern	1	zu	Characters	People & Body	body-parts	💪 -name
modern	3	lo ml so	Characters	Travel & Places	place-building	🛖 –keywords
modern	3	lo ml so	Characters	Travel & Places	place-building	🛖 -name
modern	3	ml ne so	Characters	Objects	household	🛗 –keywords
modern	2	ml so	Characters	Objects	household	🛗 -name
modern	2	ml so	Characters	Travel & Places	transport-ground	🛻 –keywords
modern	2	ml so	Characters	Travel & Places	transport-ground	🛻 -name
modern	1	so	Characters	Activities	sport	🛼 –keywords
modern	1	so	Characters	Activities	sport	🛼 -name
modern	1	zu	Characters	Symbols2	geometric	🟤 –keywords
modern	1	zu	Characters	Symbols2	geometric	🟤 -name
modern	1	zu	Characters	Symbols2	geometric	🟥 –keywords
modern	1	zu	Characters	Symbols2	geometric	🟥 -name
modern	1	zu	Characters	Symbols2	geometric	🟧 –keywords
modern	1	zu	Characters	Symbols2	geometric	🟧 -name
modern	1	zu	Characters	Symbols2	geometric	🟨 –keywords
modern	1	zu	Characters	Symbols2	geometric	🟨 -name
modern	1	zu	Characters	Symbols2	geometric	🟪 –keywords
modern	1	zu	Characters	Symbols2	geometric	🟪 -name
modern	1	zu	Characters	Symbols2	geometric	🟫 –keywords
modern	1	zu	Characters	Symbols2	geometric	🟫 -name
modern	4	lo ml ne so	Characters	People & Body	hand-fingers-partial	🤌 –keywords
modern	4	lo ml ne so	Characters	People & Body	hand-fingers-partial	🤌 -name
modern	3	lo my so	Characters	Smileys & Emotion	face-affection	🥲 –keywords
modern	3	lo my so	Characters	Smileys & Emotion	face-affection	🥲 -name
modern	1	so	Characters	Smileys & Emotion	face-hat	🥷 –keywords
modern	2	ga so	Characters	Smileys & Emotion	face-hat	🥷 -name
modern	1	so	Characters	Smileys & Emotion	face-hat	🥸 –keywords
modern	1	so	Characters	Smileys & Emotion	face-hat	🥸 -name
modern	3	ml ps so	Characters	Animals & Nature	animal-mammal	🦣 –keywords
modern	3	ml ps so	Characters	Animals & Nature	animal-mammal	🦣 -name
modern	2	ml so	Characters	Animals & Nature	animal-bird	🦤 –keywords
modern	2	ml so	Characters	Animals & Nature	animal-bird	🦤 -name
modern	4	as ml my so	Characters	Animals & Nature	animal-mammal	🦫 –keywords
modern	3	ml my so	Characters	Animals & Nature	animal-mammal	🦫 -name
modern	4	as ml ne so	Characters	Animals & Nature	animal-mammal	🦬 –keywords
modern	4	as ml ne so	Characters	Animals & Nature	animal-mammal	🦬 -name
modern	4	ml my so ta	Characters	Animals & Nature	animal-marine	🦭 –keywords
modern	3	ml my so	Characters	Animals & Nature	animal-marine	🦭 -name
modern	1	sv	Characters	People & Body	body-parts	🦻 –keywords
modern	1	so	Characters	Food & Drink	drink	🧋 –keywords
modern	1	so	Characters	Food & Drink	drink	🧋 -name
modern	3	ml so sv	Characters	People & Body	person-role	🧑‍⚕ –keywords
modern	3	ml so sv	Characters	People & Body	person-role	🧑‍⚕ -name
modern	5	ml mr ne so sv	Characters	People & Body	person-role	🧑‍⚖ –keywords
modern	4	ml mr ne so	Characters	People & Body	person-role	🧑‍⚖ -name
modern	3	kk ml so	Characters	People & Body	person-role	🧑‍✈ –keywords
modern	3	kk ml so	Characters	People & Body	person-role	🧑‍✈ -name
modern	2	ne so	Characters	People & Body	person-role	🧑‍🌾 –keywords
modern	1	so	Characters	People & Body	person-role	🧑‍🌾 -name
modern	3	kk ml so	Characters	People & Body	person-role	🧑‍🍳 –keywords
modern	3	kk ml so	Characters	People & Body	person-role	🧑‍🍳 -name
modern	2	ml so	Characters	People & Body	person-role	🧑‍🎓 –keywords
modern	2	ml so	Characters	People & Body	person-role	🧑‍🎓 -name
modern	4	hi ml so sv	Characters	People & Body	person-role	🧑‍🎤 –keywords
modern	4	hi ml so sv	Characters	People & Body	person-role	🧑‍🎤 -name
modern	4	ml mr so sv	Characters	People & Body	person-role	🧑‍🎨 –keywords
modern	2	ml so	Characters	People & Body	person-role	🧑‍🎨 -name
modern	3	ml ne so	Characters	People & Body	person-role	🧑‍🏫 –keywords
modern	3	ml so ur	Characters	People & Body	person-role	🧑‍🏫 -name
modern	3	ml ne so	Characters	People & Body	person-role	🧑‍🏭 –keywords
modern	3	ml ne so	Characters	People & Body	person-role	🧑‍🏭 -name
modern	3	lo ml so	Characters	People & Body	person-role	🧑‍💻 –keywords
modern	2	ml so	Characters	People & Body	person-role	🧑‍💻 -name
modern	2	ml so	Characters	People & Body	person-role	🧑‍💼 –keywords
modern	2	ml so	Characters	People & Body	person-role	🧑‍💼 -name
modern	1	so	Characters	People & Body	person-role	🧑‍🔧 –keywords
modern	1	so	Characters	People & Body	person-role	🧑‍🔧 -name
modern	3	ml ne so	Characters	People & Body	person-role	🧑‍🔬 –keywords
modern	2	ml so	Characters	People & Body	person-role	🧑‍🔬 -name
modern	3	ml mr so	Characters	People & Body	person-role	🧑‍🚀 –keywords
modern	3	ml mr so	Characters	People & Body	person-role	🧑‍🚀 -name
modern	3	lo ml so	Characters	People & Body	person-role	🧑‍🚒 –keywords
modern	3	lo ml so	Characters	People & Body	person-role	🧑‍🚒 -name
modern	1	zu	Characters	People & Body	family	🧑‍🤝‍🧑 –keywords
modern	1	zu	Characters	People & Body	family	🧑‍🤝‍🧑 -name
modern	4	lo ml my so	Characters	People & Body	person-activity	🧑‍🦯 –keywords
modern	4	lo ml my so	Characters	People & Body	person-activity	🧑‍🦯 -name
modern	5	kk lo ml my so	Characters	People & Body	person-activity	🧑‍🦼 –keywords
modern	5	kk lo ml my so	Characters	People & Body	person-activity	🧑‍🦼 -name
modern	6	az kk lo ml so sq	Characters	People & Body	person-activity	🧑‍🦽 –keywords
modern	7	az kk lo ml so sq zu	Characters	People & Body	person-activity	🧑‍🦽 -name
