# Count	PathHeader

186	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng
184	Core Data	Alphabetic Information	Characters in Use	Others: numbers
184	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct
182	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls
128	Miscellaneous	Linguistic Elements	Collation	standard
119	Core Data	Alphabetic Information	Characters in Use	Others: punctuation
105	Locale Display Names	Territories (Europe)	Southern Europe	MK
104	Locale Display Names	Languages (A-D)	C	Chinese ► zh-menu
98	Characters	Flags	flag	🏳‍⚧ –keywords
97	Characters	Food & Drink	food-vegetable	🫑 -name
97	Characters	Food & Drink	food-vegetable	🫑 –keywords
96	Units	Duration	decade	long-displayName
96	Characters	People & Body	body-parts	🫀 –keywords
96	Characters	People & Body	person-activity	🧑‍🦯 -name
96	Characters	People & Body	person-activity	🧑‍🦼 -name
96	Characters	People & Body	person-role	🧑‍🏫 –keywords
96	Characters	People & Body	person-role	🧑‍🚒 –keywords
96	Characters	Objects	clothing	🩴 –keywords
95	Units	Duration	decade	long-other
95	Characters	People & Body	body-parts	🫁 –keywords
95	Characters	People & Body	person-activity	🧑‍🦯 –keywords
95	Characters	People & Body	person-role	🧑‍🔧 –keywords
95	Characters	Animals & Nature	animal-bird	🪶 –keywords
95	Characters	Animals & Nature	animal-bird	🦤 –keywords
95	Characters	Food & Drink	drink	🧋 –keywords
95	Characters	Food & Drink	food-fruit	🫐 –keywords
95	Characters	Activities	game	🪄 -name
95	Characters	Activities	game	🪄 –keywords
95	Characters	Activities	game	🪆 –keywords
95	Characters	Objects	household	🪤 -name
95	Characters	Objects	musical-instrument	🪗 –keywords
94	Locale Display Names	Languages (A-D)	C	Cantonese ► yue-menu
94	Characters	People & Body	body-parts	🫁 -name
94	Characters	People & Body	person-role	🧑‍🌾 -name
94	Characters	People & Body	person-role	🧑‍🔧 -name
94	Characters	People & Body	person-role	🧑‍💼 -name
94	Characters	People & Body	person-role	🧑‍💼 –keywords
94	Characters	Animals & Nature	animal-bird	🪶 -name
94	Characters	Animals & Nature	animal-bird	🦤 -name
94	Characters	Animals & Nature	animal-bug	🪲 -name
94	Characters	Animals & Nature	animal-bug	🪳 -name
94	Characters	Animals & Nature	animal-bug	🪰 –keywords
94	Characters	Animals & Nature	animal-marine	🦭 –keywords
94	Characters	Animals & Nature	plant-other	🪴 –keywords
94	Characters	Food & Drink	drink	🧋 -name
94	Characters	Food & Drink	food-fruit	🫐 -name
94	Characters	Food & Drink	food-fruit	🫒 -name
94	Characters	Food & Drink	food-fruit	🫒 –keywords
94	Characters	Food & Drink	food-prepared	🫔 –keywords
94	Characters	Food & Drink	food-prepared	🫕 –keywords
94	Characters	Activities	sport	🛼 -name
94	Characters	Activities	sport	🛼 –keywords
94	Characters	Objects	clothing	🩴 -name
94	Characters	Objects	household	🛗 -name
94	Characters	Objects	household	🪞 –keywords
94	Characters	Objects	musical-instrument	🪘 –keywords
94	Characters	Flags	flag	🏳‍⚧ -name
93	Units	Duration	decade	short-displayName
93	Units	Duration	decade	short-other
93	Characters	Smileys & Emotion	face-hat	🥷 -name
93	Characters	Smileys & Emotion	face-hat	🥷 –keywords
93	Characters	Smileys & Emotion	face-hat	🥸 -name
93	Characters	People & Body	body-parts	🫀 -name
93	Characters	People & Body	person-activity	🧑‍🦼 –keywords
93	Characters	People & Body	person-role	🧑‍🎓 –keywords
93	Characters	People & Body	person-role	🧑‍🏫 -name
93	Characters	People & Body	person-role	🧑‍⚖ -name
93	Characters	People & Body	person-role	🧑‍🌾 –keywords
93	Characters	People & Body	person-role	🧑‍🍳 -name
93	Characters	People & Body	person-role	🧑‍🍳 –keywords
93	Characters	People & Body	person-role	🧑‍🏭 -name
93	Characters	People & Body	person-role	🧑‍🏭 –keywords
93	Characters	People & Body	person-role	🧑‍🔬 –keywords
93	Characters	People & Body	person-role	🧑‍🎤 -name
93	Characters	People & Body	person-role	🧑‍🎤 –keywords
93	Characters	People & Body	person-role	🧑‍🚀 –keywords
93	Characters	People & Body	person-role	🧑‍🚒 -name
93	Characters	People & Body	person-symbol	🫂 -name
93	Characters	Animals & Nature	animal-bug	🪲 –keywords
