#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Vxml	VStatus	Section	Page	Header	Code	ST Link	Config Action
af	Afrikaans	Latin	modern	modern	READ_WRITE	skepel			Units	Volume	bushel	long-displayName	http://st.unicode.org/cldr-apps/v#/af//7a6345374de647dd	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} st			Units	Mass and Weight	stone	short-one-nominative	http://st.unicode.org/cldr-apps/v#/af//6d8300ad95fecaba	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} st			Units	Mass and Weight	stone	short-other-nominative	http://st.unicode.org/cldr-apps/v#/af//726ab91f191b33f4	
af	Afrikaans	Latin	modern	modern	READ_WRITE	skepel			Units	Volume	bushel	short-displayName	http://st.unicode.org/cldr-apps/v#/af//c42ae0a0bed9aa	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-krulhakie			Characters	Symbols2	punctuation	{ -name	http://st.unicode.org/cldr-apps/v#/af//59abfcd56db82288	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-blokhakie			Characters	Symbols2	punctuation	[ -name	http://st.unicode.org/cldr-apps/v#/af//448ca56c2b4a1a90	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-hoekhakie			Characters	Symbols2	punctuation	〈 -name	http://st.unicode.org/cldr-apps/v#/af//189136bd501e2f89	
af	Afrikaans	Latin	modern	modern	READ_WRITE	sluit-hoekhakie			Characters	Symbols2	punctuation	〉 -name	http://st.unicode.org/cldr-apps/v#/af//7d6996efbac2c21c	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-dubbelhoekhakie			Characters	Symbols2	punctuation	《 -name	http://st.unicode.org/cldr-apps/v#/af//2db40fd307e629ce	
af	Afrikaans	Latin	modern	modern	READ_WRITE	oop-raamhakie			Characters	Symbols2	punctuation	「 -name	http://st.unicode.org/cldr-apps/v#/af//784b682a277ea89d	
af	Afrikaans	Latin	modern	modern	READ_WRITE	kleiner as | merker | oop merker			Characters	Symbols2	math	< –keywords	http://st.unicode.org/cldr-apps/v#/af//4f7af72bfde0ba2e	
ar	Arabic	Arabic	modern	core	HIDE				Special	Alphabetic Information	Layout	characterOrder	http://st.unicode.org/cldr-apps/v#/ar//7972e33a5e623d65	
az	Azerbaijani	Latin	modern	moderate	READ_WRITE	dram			Units	Volume	dram	short-displayName	http://st.unicode.org/cldr-apps/v#/az//53166ca23ecd6a40	
az	Azerbaijani	Latin	modern	moderate	READ_WRITE	{0} dram			Units	Volume	dram	short-one-nominative	http://st.unicode.org/cldr-apps/v#/az//29b0286a62dcfbef	
az	Azerbaijani	Latin	modern	moderate	READ_WRITE	{0} dram			Units	Volume	dram	short-other-nominative	http://st.unicode.org/cldr-apps/v#/az//489cdd047e9c3c46	
bg	Bulgarian	Cyrillic	modern	moderate	READ_WRITE	брит. дес. лъжица			Units	Volume	dessert-spoon-imperial	long-displayName	http://st.unicode.org/cldr-apps/v#/bg//12a11a952914ef37	
bg	Bulgarian	Cyrillic	modern	moderate	READ_WRITE	{0} брит. дес. лъжица			Units	Volume	dessert-spoon-imperial	long-one-nominative	http://st.unicode.org/cldr-apps/v#/bg//6c1a9ff7604cd5cb	
