# Count	Section	Page	Subhead	Code

9	Core Data	Alphabetic Information	Characters in Use	Main Letters
6	Date & Time	Gregorian	Formats - Standard - Time Formats	full
6	Date & Time	Fields	Date Fields	era
5	Date & Time	Gregorian	Day Periods - wide - Formatting	am
5	Date & Time	Gregorian	Day Periods - wide - Formatting	pm
4	Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd
4	Date & Time	Gregorian	Formats - Standard - Time Formats	long
4	Date & Time	Gregorian	Formats - Standard - Time Formats	medium
4	Date & Time	Gregorian	Formats - Standard - Time Formats	short
4	Date & Time	Fields	Date Fields	year
4	Date & Time	Fields	Date Fields	minute
4	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am
4	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm
3	Locale Display Names	Geographic Regions	Unknown Region	ZZ
3	Date & Time	Fields	Date Fields	month
3	Date & Time	Fields	Date Fields	week
3	Date & Time	Fields	Date Fields	day
3	Date & Time	Fields	Date Fields	hour
3	Date & Time	Fields	Date Fields	second
3	Date & Time	Gregorian	Formats - Standard - Date Formats	medium
3	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd
3	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency
2	Numbers	Number Formatting Patterns	Standard Patterns 	standard-percent
2	Core Data	Numbering Systems	Numbering System	native
2	Date & Time	Gregorian	Formats - Standard - Date Formats	full
2	Date & Time	Gregorian	Formats - Standard - Date Formats	long
2	Date & Time	Gregorian	Formats - Standard - Date Formats	short
1	Locale Display Names	Languages (A-D)	D	Dogri ► doi
1	Currencies	North America (C)	Central America: Nicaragua	NIO-name-one
1	Currencies	North America (C)	Central America: Nicaragua	NIO-name-other
1	Currencies	North America (C)	Central America: Nicaragua	NIO-name
1	Locale Display Names	Languages (E-J)	I	Igbo ► ig
1	Locale Display Names	Languages (K-N)	N	Norwegian Nynorsk ► nn
1	Currencies	Eastern Asia (C)	Eastern Asia: Macao SAR China	MOP-name-one
1	Currencies	Eastern Asia (C)	Eastern Asia: Macao SAR China	MOP-name-other
1	Currencies	Eastern Asia (C)	Eastern Asia: Macao SAR China	MOP-name
1	Core Data	Numbering Systems	Numbering System	default
1	Locale Display Names	Languages (O-S)	S	Sanskrit ► sa
1	Numbers	Number Formatting Patterns	Standard Patterns 	standard-decimal
1	Currencies	Southern/Eastern Europe	Eastern Europe: Ukraine	UAH-name-one
1	Currencies	Southern/Eastern Europe	Eastern Europe: Ukraine	UAH-name-few
1	Currencies	Southern/Eastern Europe	Eastern Europe: Ukraine	UAH-name-many
1	Currencies	Southern/Eastern Europe	Eastern Europe: Ukraine	UAH-name-other
1	Locale Display Names	Territories (Africa)	Western Africa	NG
1	Currencies	Western Africa	Western Africa: Nigeria	NGN-name
