# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
11	Numbers	Symbols	Symbols 	group
10	Numbers	Symbols	Symbols 	decimal
6	Special	Suppress	Generic	Formats - Standard - Date Formats-full
6	Special	Suppress	Generic	Formats - Standard - Date Formats-long
6	Special	Suppress	Gregorian	Formats - Standard - Date Formats-full
6	Special	Suppress	Gregorian	Formats - Standard - Date Formats-long
4	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-noCurrency
4	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency
4	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz71
4	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	incg
4	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inod
4	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inuk
4	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inut
4	Special	Suppress	Generic	Formats - Standard - Date Formats-medium
4	Special	Suppress	Gregorian	Formats - Standard - Date Formats-medium
3	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mamar
3	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inct
3	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	intg
3	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ints
3	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	isrkv
3	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr972
3	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr973
3	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr974
3	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz75
3	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzala
3	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzast
2	Numbers	Number Formatting Patterns	Standard Patterns using Arabic-Indic Digits (arab)	standard-currency-noCurrency
2	Core Data	Alphabetic Information	Characters in Use	Main Letters
2	Core Data	Alphabetic Information	Characters in Use	Others: auxiliary
2	Core Data	Alphabetic Information	Characters in Use	Others: punctuation
2	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency
2	Numbers	Number Formatting Patterns	Standard Patterns 	standard-percent
2	Date & Time	Gregorian	Formats - Standard - Time Formats	full
2	Date & Time	Gregorian	Formats - Standard - Time Formats	long
2	Date & Time	Gregorian	Formats - Standard - Time Formats	medium
2	Date & Time	Gregorian	Formats - Standard - Time Formats	short
2	Timezones	Oceania	Cook	daylight-long
2	Special	Suppress	Gregorian	Formats - Standard - Time Formats-full
2	Special	Suppress	Gregorian	Formats - Standard - Time Formats-long
2	Special	Suppress	Gregorian	Formats - Standard - Time Formats-medium
2	Special	Suppress	Gregorian	Formats - Standard - Time Formats-short
2	Locale Display Names	Languages (O-S)	S	South Levantine Arabic ► ajp
2	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghaf
2	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghbe
2	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghne
2	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghot
2	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghwn
2	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	qawa
2	Special	Suppress	Buddhist	Formats - Standard - Date Formats-full
2	Special	Suppress	Buddhist	Formats - Standard - Date Formats-long
2	Special	Suppress	Japanese	Formats - Standard - Date Formats-medium
2	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr6ae
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz11
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz15
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz19
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz23
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz27
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz31
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz35
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz39
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz43
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz47
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz55
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz59
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz61
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz63
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz79
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzakm
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzakt
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzalm
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzaty
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkar
2	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkus
