# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	bho	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (E-J)	E	Eastern Canadian Inuktitut ► ike	en	Eastern Canadian Inuktitut	▷removed◁	comprehensive
Locale Display Names	Languages (E-J)	E	Eastern Ojibwa ► ojg	en	Eastern Ojibwa	▷removed◁	comprehensive
Locale Display Names	Languages (K-N)	N	Northern Haida ► hdn	en	Northern Haida	▷removed◁	comprehensive
Locale Display Names	Languages (T-Z)	W	Woods Cree ► cwd	en	Woods Cree	▷removed◁	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	st	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tn	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Special	Deprecated	currency	pattern-standard-standard	tt	#,##0.00¤	#,##0.00 ¤	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ur	¤#,##0.00	¤ #,##0.00	moderate
