#Path Level	#Locales	Locales	Section	Page	Header	Code
modern	1	qu‡	Characters	Travel & Places	time	⏳ –keywords
modern	1	qu‡	Characters	Travel & Places	time	⏳ -name
modern	1	qu‡	Characters	Objects	tool	⚒ –keywords
modern	1	qu‡	Characters	Objects	tool	⚒ -name
modern	1	qu‡	Characters	Objects	tool	⚔ –keywords
modern	1	qu‡	Characters	Objects	tool	⚔ -name
modern	1	qu‡	Characters	Objects	tool	⚖ –keywords
modern	1	qu‡	Characters	Objects	tool	⚖ -name
modern	1	qu‡	Characters	Objects	science	⚗ –keywords
modern	1	qu‡	Characters	Objects	science	⚗ -name
modern	1	qu‡	Characters	Objects	tool	⚙ –keywords
modern	1	qu‡	Characters	Objects	tool	⚙ -name
modern	1	qu‡	Characters	Objects	tool	⛏ –keywords
modern	1	qu‡	Characters	Objects	tool	⛏ -name
modern	1	qu‡	Characters	Objects	tool	⛓ –keywords
modern	1	qu‡	Characters	Objects	tool	⛓ -name
modern	1	qu‡	Characters	Objects	office	✂ –keywords
modern	1	qu‡	Characters	Objects	office	✂ -name
modern	1	qu‡	Characters	Objects	writing	✒ –keywords
modern	1	qu‡	Characters	Objects	writing	✒ -name
modern	1	qu‡	Characters	Objects	tool	🏹 –keywords
modern	1	qu‡	Characters	Objects	tool	🏹 -name
modern	1	qu‡	Characters	Objects	medical	💉 –keywords
modern	1	qu‡	Characters	Objects	medical	💉 -name
modern	1	qu‡	Characters	Objects	medical	💊 –keywords
modern	1	qu‡	Characters	Objects	medical	💊 -name
modern	1	qu‡	Characters	Objects	money	💳 -name
modern	1	qu‡	Characters	Objects	money	💴 –keywords
modern	1	qu‡	Characters	Objects	money	💴 -name
modern	1	qu‡	Characters	Objects	money	💵 –keywords
modern	1	qu‡	Characters	Objects	money	💵 -name
modern	1	qu‡	Characters	Objects	money	💶 –keywords
modern	1	qu‡	Characters	Objects	money	💶 -name
modern	1	qu‡	Characters	Objects	money	💷 –keywords
modern	1	qu‡	Characters	Objects	money	💷 -name
modern	1	qu‡	Characters	Objects	money	💸 –keywords
modern	1	qu‡	Characters	Objects	money	💸 -name
modern	1	qu‡	Characters	Objects	money	💹 –keywords
modern	1	qu‡	Characters	Objects	money	💹 -name
modern	1	qu‡	Characters	Objects	computer	💻 –keywords
modern	1	qu‡	Characters	Objects	computer	💻 -name
modern	1	qu‡	Characters	Objects	office	💼 –keywords
modern	1	qu‡	Characters	Objects	office	💼 -name
modern	1	qu‡	Characters	Objects	office	📁 –keywords
modern	1	qu‡	Characters	Objects	office	📁 -name
modern	1	qu‡	Characters	Objects	office	📂 –keywords
modern	1	qu‡	Characters	Objects	office	📂 -name
modern	1	qu‡	Characters	Objects	office	📅 –keywords
modern	1	qu‡	Characters	Objects	office	📅 -name
modern	1	qu‡	Characters	Objects	office	📆 –keywords
modern	1	qu‡	Characters	Objects	office	📆 -name
modern	1	qu‡	Characters	Objects	office	📇 –keywords
modern	1	qu‡	Characters	Objects	office	📇 -name
modern	1	qu‡	Characters	Objects	office	📈 –keywords
modern	1	qu‡	Characters	Objects	office	📈 -name
modern	1	qu‡	Characters	Objects	office	📉 –keywords
modern	1	qu‡	Characters	Objects	office	📉 -name
modern	1	qu‡	Characters	Objects	office	📊 –keywords
modern	1	qu‡	Characters	Objects	office	📊 -name
modern	1	qu‡	Characters	Objects	office	📋 –keywords
modern	1	qu‡	Characters	Objects	office	📋 -name
modern	1	qu‡	Characters	Objects	office	📌 –keywords
modern	1	qu‡	Characters	Objects	office	📌 -name
modern	1	qu‡	Characters	Objects	office	📍 –keywords
modern	1	qu‡	Characters	Objects	office	📍 -name
modern	1	qu‡	Characters	Objects	office	📏 –keywords
modern	1	qu‡	Characters	Objects	office	📏 -name
modern	1	qu‡	Characters	Objects	office	📐 –keywords
modern	1	qu‡	Characters	Objects	office	📐 -name
modern	1	qu‡	Characters	Objects	writing	📝 –keywords
modern	1	qu‡	Characters	Objects	writing	📝 -name
modern	1	qu‡	Characters	Objects	science	📡 –keywords
modern	1	qu‡	Characters	Objects	science	📡 -name
modern	1	qu‡	Characters	Objects	mail	📤 –keywords
modern	1	qu‡	Characters	Objects	mail	📤 -name
modern	1	qu‡	Characters	Objects	mail	📥 –keywords
modern	1	qu‡	Characters	Objects	mail	📥 -name
modern	1	qu‡	Characters	Objects	mail	📦 –keywords
modern	1	qu‡	Characters	Objects	mail	📦 -name
modern	1	qu‡	Characters	Objects	mail	📧 –keywords
modern	1	qu‡	Characters	Objects	mail	📧 -name
modern	1	qu‡	Characters	Objects	mail	📨 –keywords
modern	1	qu‡	Characters	Objects	mail	📨 -name
modern	1	qu‡	Characters	Objects	mail	📩 –keywords
modern	1	qu‡	Characters	Objects	mail	📩 -name
modern	1	qu‡	Characters	Objects	mail	📪 –keywords
modern	1	qu‡	Characters	Objects	mail	📪 -name
modern	1	qu‡	Characters	Objects	mail	📫 –keywords
modern	1	qu‡	Characters	Objects	mail	📫 -name
modern	1	qu‡	Characters	Objects	mail	📬 –keywords
modern	1	qu‡	Characters	Objects	mail	📬 -name
modern	1	qu‡	Characters	Objects	mail	📭 –keywords
modern	1	qu‡	Characters	Objects	mail	📭 -name
modern	1	qu‡	Characters	Objects	light & video	🔍 –keywords
modern	1	qu‡	Characters	Objects	light & video	🔍 -name
modern	1	qu‡	Characters	Objects	light & video	🔎 –keywords
modern	1	qu‡	Characters	Objects	light & video	🔎 -name
modern	1	qu‡	Characters	Objects	lock	🔏 –keywords
