# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency	de_CH	#,##0.00 ¤	¤ #,##0.00;¤-#,##0.00	moderate
Date & Time	Japanese	Formats - Intervals - Date Formats	yMMMM/M	zh_Hant_HK	G y年M月至M月	Gy年M月至M月	comprehensive
Date & Time	Japanese	Formats - Intervals - Date Formats	yMMMM/y	zh_Hant_HK	G y年M月至y年M月	Gy年M月至y年M月	comprehensive
Date & Time	Persian	Formats - Standard - Date Formats	full	zh_Hant_HK	G y年M月d日 EEEE	Gy年M月d日EEEE	comprehensive
Date & Time	Persian	Formats - Standard - Date Formats	long	zh_Hant_HK	G y年M月d日	Gy年M月d日	comprehensive
Date & Time	Persian	Formats - Standard - Date Formats	medium	zh_Hant_HK	G y年M月d日	Gy年M月d日	comprehensive
Date & Time	Persian	Formats - Standard - Date Formats	short	zh_Hant_HK	G y/M/d	Gy/M/d	comprehensive
Date & Time	Persian	Formats - Standard - Date & Time Combination Formats	full	zh_Hant_HK	{1}{0}	{1} {0}	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	Gy	zh_Hant_HK	G y年	Gy年	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	GyMMM	zh_Hant_HK	G y年M月	Gy年M月	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	GyMMMd	zh_Hant_HK	G y年M月d日	Gy年M月d日	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	GyMMMEd	zh_Hant_HK	G y年M月d日 E	Gy年M月d日E	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	MMMEd	zh_Hant_HK	M月d日 E	M月d日E	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	y	zh_Hant_HK	G y年	Gy年	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyy	zh_Hant_HK	G y年	Gy年	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyM	zh_Hant_HK	G y/M	Gy/M	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyMd	zh_Hant_HK	G y/M/d	Gy/M/d	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyMMM	zh_Hant_HK	G y年M月	Gy年M月	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyMMMd	zh_Hant_HK	G y年M月d日	Gy年M月d日	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyMMMEd	zh_Hant_HK	G y年M月d日 E	Gy年M月d日E	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyMMMM	zh_Hant_HK	G y年M月	Gy年M月	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyQQQ	zh_Hant_HK	G y年QQQ	Gy年QQQ	comprehensive
Date & Time	Persian	Formats - Flexible - Date Formats	yyyyQQQQ	zh_Hant_HK	G y年QQQQ	Gy年QQQQ	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yM/M	zh_Hant_HK	G y/M至y/M	Gy/M至y/M	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yM/y	zh_Hant_HK	G y/M至y/M	Gy/M至y/M	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMd/d	zh_Hant_HK	G y/M/d至y/M/d	Gy/M/d至y/M/d	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMd/M	zh_Hant_HK	G y/M/d至y/M/d	Gy/M/d至y/M/d	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMd/y	zh_Hant_HK	G y/M/d至y/M/d	Gy/M/d至y/M/d	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMEd/d	zh_Hant_HK	G y/M/dE至y/M/dE	Gy/M/dE至y/M/dE	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMEd/M	zh_Hant_HK	G y/M/dE至y/M/dE	Gy/M/dE至y/M/dE	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMEd/y	zh_Hant_HK	G y/M/dE至y/M/dE	Gy/M/dE至y/M/dE	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMM/M	zh_Hant_HK	G y年M月至M月	Gy年M月至M月	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMM/y	zh_Hant_HK	G y年M月至y年M月	Gy年M月至y年M月	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMd/d	zh_Hant_HK	G y年M月d日至d日	Gy年M月d日至d日	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMd/M	zh_Hant_HK	G y年M月d日至M月d日	Gy年M月d日至M月d日	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMd/y	zh_Hant_HK	G y年M月d日至y年M月d日	Gy年M月d日至y年M月d日	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMEd/d	zh_Hant_HK	G y年M月d日E至d日E	Gy年M月d日E至d日E	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMEd/M	zh_Hant_HK	G y年M月d日E至M月d日E	Gy年M月d日E至M月d日E	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMEd/y	zh_Hant_HK	G y年M月d日E至y年M月d日E	Gy年M月d日E至y年M月d日E	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMM/M	zh_Hant_HK	G y年M月至M月	Gy年M月至M月	comprehensive
Date & Time	Persian	Formats - Intervals - Date Formats	yMMMM/y	zh_Hant_HK	G y年M月至y年M月	Gy年M月至y年M月	comprehensive
Date & Time	Minguo	Formats - Standard - Date & Time Combination Formats	full	zh_Hant_HK	{1}{0}	{1} {0}	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yM/M	zh_Hant_HK	G y/M至y/M	Gy/M至y/M	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yM/y	zh_Hant_HK	G y/M至y/M	Gy/M至y/M	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMd/d	zh_Hant_HK	G y/M/d至y/M/d	Gy/M/d至y/M/d	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMd/M	zh_Hant_HK	G y/M/d至y/M/d	Gy/M/d至y/M/d	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMd/y	zh_Hant_HK	G y/M/d至y/M/d	Gy/M/d至y/M/d	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMEd/d	zh_Hant_HK	G y/M/dE至y/M/dE	Gy/M/dE至y/M/dE	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMEd/M	zh_Hant_HK	G y/M/dE至y/M/dE	Gy/M/dE至y/M/dE	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMEd/y	zh_Hant_HK	G y/M/dE至y/M/dE	Gy/M/dE至y/M/dE	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMM/M	zh_Hant_HK	G y年M月至M月	Gy年M月至M月	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMM/y	zh_Hant_HK	G y年M月至y年M月	Gy年M月至y年M月	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMd/d	zh_Hant_HK	G y年M月d日至d日	Gy年M月d日至d日	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMd/M	zh_Hant_HK	G y年M月d日至M月d日	Gy年M月d日至M月d日	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMd/y	zh_Hant_HK	G y年M月d日至y年M月d日	Gy年M月d日至y年M月d日	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMEd/d	zh_Hant_HK	G y年M月d日E至d日E	Gy年M月d日E至d日E	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMEd/M	zh_Hant_HK	G y年M月d日E至M月d日E	Gy年M月d日E至M月d日E	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMEd/y	zh_Hant_HK	G y年M月d日E至y年M月d日E	Gy年M月d日E至y年M月d日E	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMM/M	zh_Hant_HK	G y年M月至M月	Gy年M月至M月	comprehensive
Date & Time	Minguo	Formats - Intervals - Date Formats	yMMMM/y	zh_Hant_HK	G y年M月至y年M月	Gy年M月至y年M月	comprehensive
