# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
BCP47	u_Extension	tz-mxcjs	_alias	▷missing◁	America/Ciudad_Juarez
BCP47	u_Extension	tz-mxcjs	_deprecated	▷missing◁	false
BCP47	u_Extension	tz-mxcjs	_description	▷missing◁	Ciudad Juárez, Mexico
BCP47	u_Extension	tz-trist	_description	…	Istanbul, Türkiye
#Section	Page	Header	Code	Old	New
Supplemental	IdValidity	unit	regular	…	… • speed-beaufort • …
Supplemental	Locale	DefaultContent	plain	…	… • apc_SY • … • cho_US • … • lmo_IT • … • pap_CW • … • rif_MA • …
Supplemental	Transform	Jpan→Latn	_alias	▷missing◁	und-Latn-t-und-jpan
Supplemental	Transform	Jpan→Latn	_visibility	▷missing◁	external
Supplemental	Transform	ug↔︎Latin	_visibility	▷missing◁	external
Supplemental	Transform	Khmr→Latn/UNGEGN	_alias	▷missing◁	Khmer-Latin/UNGEGN und-Latn-t-und-khmr-m0-ungegn
Supplemental	Transform	Khmr→Latn/UNGEGN	_visibility	▷missing◁	external
Supplemental	Transform	Laoo→Latn/UNGEGN	_alias	▷missing◁	Lao-Latin/BGN und-Latn-t-und-laoo-m0-bgn
Supplemental	Transform	Laoo→Latn/UNGEGN	_visibility	▷missing◁	external
Supplemental	Transform	Sinh→Latn/UNGEGN	_alias	▷missing◁	Sinhala-Latin/UNGEGN und-Latn-t-und-sinh-m0-ungegn
Supplemental	Transform	Sinh→Latn/UNGEGN	_visibility	▷missing◁	external
Supplemental	Units	area/floor	001	▷missing◁	square-meter
Supplemental	Units	area/floor	CA	▷missing◁	square-foot
Supplemental	Units	area/floor	GB	▷missing◁	square-foot
Supplemental	Units	area/floor	MM	▷missing◁	square-foot
Supplemental	Units	area/floor	US	▷missing◁	square-foot
Supplemental	Units	speed/rainfall	001	▷missing◁	millimeter-per-hour
Supplemental	Units	speed/rainfall	BR	▷missing◁	centimeter-per-hour
Supplemental	Units	speed/rainfall	US	▷missing◁	inch-per-hour
Supplemental	Units	speed/snowfall	001	▷missing◁	centimeter-per-hour
Supplemental	Units	speed/snowfall	US	▷missing◁	inch-per-hour
Supplemental	Likely	Subtag	aaa	▷missing◁	aaa_Latn_NG
Supplemental	Likely	Subtag	aab	▷missing◁	aab_Latn_NG
Supplemental	Likely	Subtag	aac	▷missing◁	aac_Latn_PG
Supplemental	Likely	Subtag	aad	▷missing◁	aad_Latn_PG
Supplemental	Likely	Subtag	aae	▷missing◁	aae_Latn_IT
Supplemental	Likely	Subtag	aae_Grek	▷missing◁	aae_Grek_IT
Supplemental	Likely	Subtag	aaf	▷missing◁	aaf_Mlym_IN
Supplemental	Likely	Subtag	aaf_Arab	▷missing◁	aaf_Arab_IN
Supplemental	Likely	Subtag	aag	▷missing◁	aag_Latn_PG
Supplemental	Likely	Subtag	aah	▷missing◁	aah_Latn_PG
Supplemental	Likely	Subtag	aal	▷missing◁	aal_Latn_CM
Supplemental	Likely	Subtag	aan	▷missing◁	aan_Latn_BR
Supplemental	Likely	Subtag	aao	▷missing◁	aao_Arab_DZ
Supplemental	Likely	Subtag	aap	▷missing◁	aap_Latn_BR
Supplemental	Likely	Subtag	aaq	▷missing◁	aaq_Latn_US
Supplemental	Likely	Subtag	aas	▷missing◁	aas_Latn_TZ
Supplemental	Likely	Subtag	aat	▷missing◁	aat_Grek_GR
Supplemental	Likely	Subtag	aaw	▷missing◁	aaw_Latn_PG
Supplemental	Likely	Subtag	aax	▷missing◁	aax_Latn_ID
Supplemental	Likely	Subtag	aaz	▷missing◁	aaz_Latn_ID
Supplemental	Likely	Subtag	aba	▷missing◁	aba_Latn_CI
Supplemental	Likely	Subtag	abb	▷missing◁	abb_Latn_CM
Supplemental	Likely	Subtag	abc	▷missing◁	abc_Latn_PH
Supplemental	Likely	Subtag	abd	▷missing◁	abd_Latn_PH
Supplemental	Likely	Subtag	abe	▷missing◁	abe_Latn_CA
Supplemental	Likely	Subtag	abf	▷missing◁	abf_Latn_MY
Supplemental	Likely	Subtag	abg	▷missing◁	abg_Latn_PG
Supplemental	Likely	Subtag	abh	▷missing◁	abh_Arab_TJ
Supplemental	Likely	Subtag	abl	▷missing◁	abl_Rjng_ID
Supplemental	Likely	Subtag	abl_Latn	▷missing◁	abl_Latn_ID
Supplemental	Likely	Subtag	abm	▷missing◁	abm_Latn_NG
Supplemental	Likely	Subtag	abn	▷missing◁	abn_Latn_NG
Supplemental	Likely	Subtag	abo	▷missing◁	abo_Latn_NG
Supplemental	Likely	Subtag	abp	▷missing◁	abp_Latn_PH
Supplemental	Likely	Subtag	abs	▷missing◁	abs_Latn_ID
Supplemental	Likely	Subtag	abu	▷missing◁	abu_Latn_CI
Supplemental	Likely	Subtag	abv	▷missing◁	abv_Arab_BH
Supplemental	Likely	Subtag	abw	▷missing◁	abw_Latn_PG
Supplemental	Likely	Subtag	abx	▷missing◁	abx_Latn_PH
Supplemental	Likely	Subtag	abz	▷missing◁	abz_Latn_ID
Supplemental	Likely	Subtag	aca	▷missing◁	aca_Latn_CO
Supplemental	Likely	Subtag	acb	▷missing◁	acb_Latn_NG
Supplemental	Likely	Subtag	acf	▷missing◁	acf_Latn_LC
Supplemental	Likely	Subtag	acm	▷missing◁	acm_Arab_IQ
Supplemental	Likely	Subtag	acn	▷missing◁	acn_Latn_CN
Supplemental	Likely	Subtag	acp	▷missing◁	acp_Latn_NG
Supplemental	Likely	Subtag	acq	▷missing◁	acq_Arab_YE
Supplemental	Likely	Subtag	acr	▷missing◁	acr_Latn_GT
Supplemental	Likely	Subtag	acs	▷missing◁	acs_Latn_BR
Supplemental	Likely	Subtag	act	▷missing◁	act_Latn_NL
Supplemental	Likely	Subtag	acu	▷missing◁	acu_Latn_EC
Supplemental	Likely	Subtag	acv	▷missing◁	acv_Latn_US
Supplemental	Likely	Subtag	acw	▷missing◁	acw_Arab_SA
Supplemental	Likely	Subtag	acx	▷missing◁	acx_Arab_OM
Supplemental	Likely	Subtag	acy	▷missing◁	acy_Latn_CY
Supplemental	Likely	Subtag	acy_Arab	▷missing◁	acy_Arab_CY
Supplemental	Likely	Subtag	acy_Grek	▷missing◁	acy_Grek_CY
Supplemental	Likely	Subtag	acz	▷missing◁	acz_Latn_SD
Supplemental	Likely	Subtag	adb	▷missing◁	adb_Latn_TL
Supplemental	Likely	Subtag	add	▷missing◁	add_Latn_CM
Supplemental	Likely	Subtag	adf	▷missing◁	adf_Arab_OM
Supplemental	Likely	Subtag	adg	▷missing◁	adg_Latn_AU
Supplemental	Likely	Subtag	adh	▷missing◁	adh_Latn_UG
Supplemental	Likely	Subtag	adi	▷missing◁	adi_Latn_IN
Supplemental	Likely	Subtag	adi_Tibt	▷missing◁	adi_Tibt_CN
Supplemental	Likely	Subtag	adl	▷missing◁	adl_Latn_IN
