#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d–d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/d	http://st.unicode.org/cldr-apps/v#/ast//66474bfca375effd
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – G y MMM d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/G	http://st.unicode.org/cldr-apps/v#/ast//75b5b6be1c43f531
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – MMM d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/M	http://st.unicode.org/cldr-apps/v#/ast//37cc92955780b3ed
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – y MMM d	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMd/y	http://st.unicode.org/cldr-apps/v#/ast//734370892368e68f
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – MMM d, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMEd/d	http://st.unicode.org/cldr-apps/v#/ast//37ee7307d91420cc
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – G y MMM d, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMEd/G	http://st.unicode.org/cldr-apps/v#/ast//194ffdca90603aed
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – MMM d, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMEd/M	http://st.unicode.org/cldr-apps/v#/ast//1683e919a38c652a
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – y MMM d, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMMEd/y	http://st.unicode.org/cldr-apps/v#/ast//a24b5af75e63965
‡ast	Asturian	Latin	moderate	moderate	n/a	{1}, {0}	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-atTime	http://st.unicode.org/cldr-apps/v#/ast//43da060150c3ffc1
‡ast	Asturian	Latin	moderate	moderate	n/a	{1} {0}	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	short-atTime	http://st.unicode.org/cldr-apps/v#/ast//41c6220a73c6b71a
