#Version	Dtd Type	Intermediate Path	Element	Attributes
43.0β	ldml	​/personNames/	personName	<div>order ⟪set/literal/givenFirst, …⟫➠⟪literal/givenFirst, …⟫</div><div>length ⟪set/literal/long, …⟫➠⟪literal/long, …⟫</div><div>usage ⟪set/literal/referring, …⟫➠⟪literal/referring, …⟫</div><div>formality ⟪set/literal/formal, …⟫➠⟪literal/formal, …⟫</div>
43.0β	ldml	​/personNames/	sampleName	<div>item ⟪literal/givenOnly, givenSurnameOnly, given12Surname, full⟫➠⟪literal/nativeG, nativeGS, nativeGGS, nativeFull, foreignG, foreignGS, foreignGGS, foreignFull⟫</div>
43.0β	ldml	​/personNames​/sampleName/	nameField	<div>type ⟪literal/prefix, … suffix⟫➠⟪literal/title, … generation, credentials⟫</div>
43.0β	supplementalData	​/calendarData​/calendar​/eras/	era	<div>+code §v ⟪regex/[a-z0-9]{3,8}(\-[a-z0-9]{3,8})*⟫</div><div>+aliases §v </div>
43.0β	supplementalData	​/likelySubtags/	likelySubtag	<div>+origin §m︎ ⟪set/literal/sil22,wikidata,special⟫</div>
42.0	ldml	/	+🅟personNames	 
42.0	ldml	​/dates​/calendars​/calendar​/dateFormats​/dateFormatLength​/dateFormat/	pattern	<div>type ⟪…⟫➠⟪… 1000000000000000, 10000000000000000, 100000000000000000, 1000000000000000000, 10000000000000000000, …⟫</div><div>alt ⟪literal/variant⟫➠⟪literal/alphaNextToNumber, noCurrency, variant⟫</div>
42.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/dateTimeFormatLength/	dateTimeFormat	<div>type ⟪literal/standard⟫➠⟪literal/standard, atTime⟫</div>
42.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/intervalFormats/	intervalFormatItem	<div>id ⟪…⟫➠⟪… Hmvvvv, … Hvvvv, … hmvvvv, … hvvvv, …⟫</div>
42.0	ldml	​/numbers​/currencyFormats/	+currencyPatternAppendISO	 
42.0	ldml	​/personNames/	+🅟nameOrderLocales	<div>+order §d ⟨givenFirst, surnameFirst⟩</div>
42.0	ldml	​/personNames/	+🅟foreignSpaceReplacement	<div>+xml:space §m︎ ⟨default, preserve⟩</div>
42.0	ldml	​/personNames/	+🅟initialPattern	<div>+type §d ⟨initial, initialSequence⟩</div>
42.0	ldml	​/personNames/	+🅟personName	<div>+order §d ⟪set/literal/givenFirst, surnameFirst, sorting⟫</div><div>+length §d ⟪set/literal/long, medium, short⟫</div><div>+usage §d ⟪set/literal/referring, addressing, monogram⟫</div><div>+formality §d ⟪set/literal/formal, informal⟫</div>
42.0	ldml	​/personNames/	+🅟sampleName	<div>+item §d ⟪literal/givenOnly, givenSurnameOnly, given12Surname, full⟫</div>
42.0	ldml	​/personNames​/personName/	+🅟namePattern	<div>+alt §d ⟨1, 2⟩</div>
42.0	ldml	​/personNames​/sampleName/	+🅟nameField	<div>+type §d ⟪literal/prefix, given, given-informal, given2, surname, surname-prefix, surname-core, surname2, suffix⟫</div>
42.0	supplementalData	/	+unitIdComponents	 
42.0	supplementalData	/	+personNamesDefaults	 
42.0	supplementalData	​/coverageLevels/	+pathMatch	<div>+id §d ⟪any⟫</div><div>+match §v ⟪any⟫</div>
42.0	supplementalData	​/numberingSystems/	numberingSystem	<div>digits ⟪unicodeset/[\p{Nd}[\u3007\u4E00\u4E03\u4E09\u4E5D\u4E8C\u4E94\u516B\u516D\u56DB][\U00016AC0-\U00016AC9]]⟫➠⟪unicodeset/[\p{Nd}[\u3007\u4E00\u4E03\u4E09\u4E5D\u4E8C\u4E94\u516B\u516D\u56DB][\U00011F50-\U00011F59\U0001E4F0-\U0001E4F9]]⟫</div>
42.0	supplementalData	​/personNamesDefaults/	+alias	<div>⊕</div>
42.0	supplementalData	​/personNamesDefaults/	+nameOrderLocalesDefault	<div>+order §d ⟨givenFirst, surnameFirst⟩</div>
42.0	supplementalData	​/unitIdComponents/	+unitIdComponent	<div>+type §d ⟪literal/prefix, suffix, power, and, per⟫</div><div>+values §v ⟪set/regex/[a-z]+[0-9]*⟫</div>
40.0	ldml	​/dates​/calendars​/calendar​/dateFormats​/dateFormatLength​/dateFormat/	+datetimeSkeleton	<div>+numbers §v ⟪literal/M=romanlow, d=hanidays, hanidec, hebr, y=jpanyear⟫</div>
40.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/availableFormats/	dateFormatItem	<div>id ⟪…⟫➠⟪… GyMEEEEd, …⟫</div>
40.0	ldml	​/dates​/calendars​/calendar​/timeFormats​/timeFormatLength​/timeFormat/	+datetimeSkeleton	<div>⊕</div>
40.0	ldml	​/numbers​/currencyFormats/	unitPattern	<div>case ⟪… vocative⟫➠⟪… vocative, elative, illative, partitive, terminative, translative⟫</div>
40.0	ldml	​/numbers​/minimalPairs/	caseMinimalPairs	<div>case ⟪… vocative⟫➠⟪… vocative, elative, illative, partitive, terminative, translative⟫</div>
40.0	supplementalData	​/metaZones/	+metazoneIds	 
40.0	supplementalData	​/metaZones​/metazoneIds/	+metazoneId	<div>+shortId §d ⟪regex/[a-z][a-z][a-z][a-z]⟫</div><div>+longId §v ⟪metazone⟫</div><div>+deprecated §v ⟨true, false⟩</div><div>+preferred §v ⟪metazone⟫</div><div>+since §m︎ ⟪version⟫</div>
40.0	supplementalData	​/numberingSystems/	numberingSystem	<div>digits ⟪unicodeset/[\p{Nd}[\u3007\u4E00\u4E03\u4E09\u4E5D\u4E8C\u4E94\u516B\u516D\u56DB][\U0001E140-\U0001E149][\U0001E2F0-\U0001E2F9]]⟫➠⟪unicodeset/[\p{Nd}[\u3007\u4E00\u4E03\u4E09\u4E5D\u4E8C\u4E94\u516B\u516D\u56DB][\U00016AC0-\U00016AC9]]⟫</div>
40.0	keyboard	/	+info	<div>+author §v </div><div>+normalization §v ⟪literal/NFC, NFD, other⟫</div><div>+layout §v </div><div>+indicator §v </div>
40.0	keyboard	/	transforms	<div>type ⟪literal/simple⟫➠⟪literal/simple, final⟫</div>
40.0	keyboard	​/keyMap/	map	<div>iso ⟪regex/[A-E](0[0-9]|1[0-3])⟫➠⟪regex/[A-Z][0-9][0-9]⟫</div>
40.0	keyboard	​/keyMap/	flicks	<div>iso ➠⟪regex/[A-Z][0-9][0-9]⟫</div>
40.0	keyboard	​/layer/	vkeys	<div>type ➠⟪literal/android, chromeos, osx, und, windows⟫</div>
40.0	keyboard	​/layer​/vkeys/	vkey	<div>iso ➠⟪regex/[A-Z][0-9][0-9]⟫</div>
40.0	platform	​/hardwareMap/	map	<div>iso ⟪regex/[A-E](0[0-9]|1[0-3])⟫➠⟪regex/[A-Z][0-9][0-9]⟫</div>
