# Grammatical Features
French	fr	grammaticalGender	general	masculine, feminine

# Minimal Pairs
Plural	many	{0} de jours	<div class='cldr_example'><span class='cldr_substituted'>1 000 000</span> de jours</div>
Plural	one	{0} jour	<div class='cldr_example'><span class='cldr_substituted'>1</span> jour</div>
Plural	other	{0} jours	<div class='cldr_example'><span class='cldr_substituted'>2</span> jours</div>
Gender	feminine	La {0} est	<div class='cldr_example'>La <span class='cldr_substituted'>heure</span> est</div>
Gender	masculine	Le {0} est	<div class='cldr_example'>Le <span class='cldr_substituted'>mètre</span> est</div>

# Unit Case and Gender Info
acceleration	meters per second squared	masculine	Le mètre par seconde carrée est
acceleration	g-force ( = 9.80665 m/s²)	feminine	La fois l’accélération de pesanteur terrestre est
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	La seconde d’arc est
angle	arc-minute ( = 0.00004˙629 rev)	feminine	La minute d’arc est
angle	degree ( = 0.002˙7 rev)	masculine	Le degré est
angle	radian ( = ~0.1591549430918953 rev)	masculine	Le radian est
angle	revolutions	masculine	Le tour est
area	square centimeters	masculine	Le centimètre carré est
area	square-foot ( = 929.0304 cm²)	masculine	Le pied carré est
area	acre ( = 4,046.8564224 m²)	feminine	La acre anglo-saxonne est
area	hectares	masculine	Le hectare est
area	square kilometers	masculine	Le kilomètre carré est
area	square-mile ( = 2.589988110336 km²)	masculine	Le mille carré est
consumption	liters per 100 kilometers	masculine	Le litre aux 100 km est
consumption-inverse	mile-per-gallon-imperial ( = ~354006.1899346471 meters per cubic meter)	masculine	Le mile par gallon impérial est
consumption-inverse	mile-per-gallon ( = ~425143.707430272 meters per cubic meter)	masculine	Le mile par gallon est
digital	bits	masculine	Le bit est
digital	byte ( = 8 bit)	masculine	Le octet est
duration	seconds	feminine	La seconde est
duration	minute ( = 60 sec)	feminine	La minute est
duration	hour ( = 3,600 sec)	feminine	La heure est
duration	day ( = 86,400 sec)	masculine	Le jour est
duration	day-person ( = 86,400 sec)	masculine	Le  j est
duration	week ( = 604,800 sec)	feminine	La semaine est
electric-current	amperes	masculine	Le ampère est
electric-resistance	ohms	masculine	Le ohm est
