#Dir	Code	English Name	Native Name	Script	CLDR Target	Sublocales	Fields	UC	Missing	Modern	Miss +UC	Moderate	Miss +UC	Basic	Miss +UC	Core	Miss +UC	Core-Missing
common	nl	Dutch	Nederlands	Latn	modern	7	7688	0	57	7688	57	2122	14	407	2	9	0	
common	nn	Norwegian Nynorsk	norsk nynorsk	Latn	modern	1	7890	1	0	7890	1	2131	0	392	0	8	0	ordinals*
common	no	Norwegian	norsk	Latn	modern	0	7505	14	71	7505	85	2109	22	388	7	7	2	default_content, country_data
common	or	Odia	ଓଡ଼ିଆ	Orya	modern	1	7061	0	164	7061	164	2064	43	384	6	9	0	
common	pa	Punjabi	ਪੰਜਾਬੀ	Guru	modern	1	7570	0	135	7570	135	2139	9	400	0	9	0	
common	pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	basic	1	7244	0	12	7244	12	2089	2	383	2	6	2	ordinals*, casing, collation
common	pl	Polish	polski	Latn	modern	1	9907	1	1048	9907	1049	2459	19	415	4	9	0	
common	ps	Pashto	پښتو	Arab	modern	2	7223	0	171	7223	171	2235	24	547	5	8	1	orientation
common	pt	Portuguese	português	Latn	modern	12	7334	0	196	7334	196	2165	56	506	27	9	0	
common	ro	Romanian	română	Latn	modern	2	8205	0	236	8205	236	2294	13	410	1	9	0	
common	ru	Russian	русский	Cyrl	modern	6	11038	0	981	11038	981	2434	20	491	9	9	0	
common	sa	Sanskrit	संस्कृत भाषा	Deva	basic	1	466	21	5917	466	5938	458	1442	374	2	7	1	plurals, ordinals*
common	sat	Santali	ᱥᱟᱱᱛᱟᱲᱤ	Olck	basic	1	352	0	7316	352	7316	350	1871	346	49	6	1	ordinals*, romanization*, collation
common	sd	Sindhi	سنڌي	Arab	modern	1	6992	0	204	6992	204	2058	38	381	8	7	2	orientation, collation
common	sd_Deva	Sindhi (Devanagari)	सिन्धी (देवनागिरी)	Deva	basic	1	341	0	6695	341	6695	341	1723	341	48	8	1	collation
common	si	Sinhala	සිංහල	Sinh	modern	1	7344	0	436	7344	436	2123	19	386	6	8	0	romanization*
common	sk	Slovak	slovenčina	Latn	modern	1	9277	0	465	9277	465	2459	18	412	0	9	0	
common	sl	Slovenian	slovenščina	Latn	modern	1	9691	0	285	9691	285	2454	15	409	0	9	0	
common	so	Somali	Soomaali	Latn	modern	4	6911	0	421	6911	421	2070	101	409	51	7	1	ordinals*, collation
common	sq	Albanian	shqip	Latn	modern	3	7203	24	99	7203	123	2121	19	388	6	9	0	
common	sr	Serbian	српски	Cyrl	modern	4	7946	0	678	7946	678	2280	17	414	2	9	0	
common	su	Sundanese	Basa Sunda	Latn	basic	1	382	3	5618	382	5621	375	1120	343	28	6	2	ordinals*, casing, collation
common	sv	Swedish	svenska	Latn	modern	3	7509	0	66	7509	66	2130	16	395	5	9	0	
common	sw	Swahili	Kiswahili	Latn	modern	4	7296	0	31	7296	31	2113	24	402	0	9	0	
common	ta	Tamil	தமிழ்	Taml	modern	4	8026	0	26	8026	26	2225	13	478	0	9	0	
common	te	Telugu	తెలుగు	Telu	modern	1	7401	0	442	7401	442	2124	13	389	1	9	0	
common	th	Thai	ไทย	Thai	modern	1	6817	0	17	6817	17	1992	13	392	1	9	0	
common	tk	Turkmen	türkmen dili	Latn	modern	1	7180	0	47	7180	47	2070	35	388	6	9	0	
common	tr	Turkish	Türkçe	Latn	modern	2	7620	0	76	7620	76	2216	16	469	1	9	0	
common	uk	Ukrainian	українська	Cyrl	modern	1	9251	17	390	9251	407	2438	16	417	0	9	0	
common	ur	Urdu	اردو	Arab	modern	2	7504	0	197	7504	197	2188	29	462	13	8	1	orientation
common	uz	Uzbek	o‘zbek	Latn	modern	1	7323	1	95	7323	96	2172	45	445	31	9	0	
common	vi	Vietnamese	Tiếng Việt	Latn	modern	1	6664	0	90	6664	90	1951	21	381	3	9	0	
common	yo	Yoruba	Èdè Yorùbá	Latn	moderate	2	4945	12	1522	4945	1534	1770	164	340	40	8	0	ordinals*
common	yue	Cantonese	粵語	Hant	modern	1	6574	0	42	6574	42	1952	38	374	7	8	1	collation
common	zh	Chinese	中文	Hans	modern	4	6975	1	48	6975	49	2083	12	490	0	9	0	
common	zh_Hant	Traditional Chinese	繁體中文	Hant	modern	0	7124	0	39	7124	39	2080	19	484	6	9	0	
common	zu	Zulu	isiZulu	Latn	modern	1	7015	24	231	7015	255	2101	30	386	0	9	0	
