# Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (K-N)	M	Māori ► mi	en	Maori	Māori	modern
Locale Display Names	Languages (O-S)	R	Rohingya ► rhg	en	rhg	Rohingya	modern
Currencies	Southern/Eastern Europe	Eastern Europe: Belarus	BYN-symbol-narrow	et	р.	BYN	moderate
Currencies	Southern/Eastern Europe	Eastern Europe: Belarus	BYN-symbol-narrow	is	р.	BYN	moderate
Currencies	Southern/Eastern Europe	Eastern Europe: Russia: RUR (old)	RUR-symbol-narrow	ja	р.	RUR	comprehensive
Currencies	Southern/Eastern Europe	Eastern Europe: Russia: RUR (old)	RUR-symbol-narrow	no	р.	RUR	comprehensive
Currencies	Southern/Eastern Europe	Eastern Europe: Belarus	BYN-symbol-narrow	pl	р.	BYN	moderate
Currencies	Southern/Eastern Europe	Eastern Europe: Russia: RUR (old)	RUR-symbol-narrow	th	р.	RUR	comprehensive
Core Data	Alphabetic Information	Characters in Use	Main Letters	vi	[a à ả ã á ạ ă ằ ẳ ẵ ắ ặ â ầ ẩ ẫ ấ ậ b c d đ e è ẻ ẽ é ẹ ê ề ể ễ ế ệ f g h i ì ỉ ĩ í ị j k l m n o ò ỏ õ ó ọ ô ồ ổ ỗ ố ộ ơ ờ ở ỡ ớ ợ p q r s t u ù ủ ũ ú ụ ư ừ ử ữ ứ ự v w x y ỳ ỷ ỹ ý ỵ z]	[a à ả ã á ạ ă ằ ẳ ẵ ắ ặ â ầ ẩ ẫ ấ ậ b c d đ e è ẻ ẽ é ẹ ê ề ể ễ ế ệ g h i ì ỉ ĩ í ị k l m n o ò ỏ õ ó ọ ô ồ ổ ỗ ố ộ ơ ờ ở ỡ ớ ợ p q r s t u ù ủ ũ ú ụ ư ừ ử ữ ứ ự v x y ỳ ỷ ỹ ý ỵ]	core
Date & Time	Gregorian	Formats - Standard - Time Formats	full	zh	zzzz ah:mm:ss	zzzz HH:mm:ss	basic
Date & Time	Gregorian	Formats - Standard - Time Formats	long	zh	z ah:mm:ss	z HH:mm:ss	basic
Date & Time	Gregorian	Formats - Standard - Time Formats	medium	zh	ah:mm:ss	HH:mm:ss	basic
Date & Time	Gregorian	Formats - Standard - Time Formats	short	zh	ah:mm	HH:mm	basic
Date & Time	Indian	Formats - Standard - Date Formats	short	zh	Gy/M/d	G y/M/d	comprehensive
Date & Time	Gregorian	Formats - Standard - Time Formats	full	zh_Hant	ah:mm:ss [zzzz]	Bh:mm:ss [zzzz]	basic
Date & Time	Gregorian	Formats - Standard - Time Formats	long	zh_Hant	ah:mm:ss [z]	Bh:mm:ss [z]	basic
Date & Time	Gregorian	Formats - Standard - Time Formats	medium	zh_Hant	ah:mm:ss	Bh:mm:ss	basic
Date & Time	Gregorian	Formats - Standard - Time Formats	short	zh_Hant	ah:mm	Bh:mm	basic
