# Count	Section	Page	Subhead	Code

310	Special	Suppress	Gregorian	Formats - Standard - Time Formats-full
310	Special	Suppress	Gregorian	Formats - Standard - Time Formats-medium
310	Special	Suppress	Gregorian	Formats - Standard - Time Formats-short
309	Special	Suppress	Gregorian	Formats - Standard - Time Formats-long
259	Special	Suppress	Gregorian	Formats - Standard - Date Formats-short
247	Special	Suppress	Generic	Formats - Standard - Date Formats-short
246	Special	Suppress	Gregorian	Formats - Standard - Date Formats-medium
245	Special	Suppress	Generic	Formats - Standard - Date Formats-medium
243	Special	Suppress	Gregorian	Formats - Standard - Date Formats-full
239	Special	Suppress	Generic	Formats - Standard - Date Formats-full
237	Special	Suppress	Gregorian	Formats - Standard - Date Formats-long
236	Special	Suppress	Generic	Formats - Standard - Date Formats-long
230	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	group
222	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	decimal
181	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng
179	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct
177	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls
164	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	percentSign
160	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	minusSign
159	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	plusSign
154	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	perMille
154	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	nan
153	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	exponential
153	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	infinity
140	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	superscriptingExponent
106	Numbers	Symbols	Time Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	Time Separator
105	Characters	Objects	other-object	🪪 –keywords
103	Timezones	North America	Yukon	standard-long
103	Characters	Smileys & Emotion	face-concerned	🫤 –keywords
103	Characters	Symbols2	math	🟰 –keywords
102	Characters	People & Body	body-parts	🫦 -name
102	Characters	Animals & Nature	plant-flower	🪷 –keywords
102	Characters	Animals & Nature	plant-other	🪹 –keywords
102	Characters	Animals & Nature	plant-other	🪺 –keywords
102	Characters	Travel & Places	transport-ground	🛞 –keywords
101	Characters	Smileys & Emotion	face-smiling	🫠 –keywords
101	Characters	Animals & Nature	plant-other	🪹 -name
100	Characters	Smileys & Emotion	face-smiling	🫠 -name
100	Characters	Smileys & Emotion	face-hand	🫡 –keywords
100	Characters	People & Body	hands	🫶 -name
100	Characters	People & Body	body-parts	🫦 –keywords
100	Characters	Animals & Nature	plant-flower	🪷 -name
100	Characters	Animals & Nature	plant-other	🪺 -name
100	Characters	Food & Drink	food-vegetable	🫘 –keywords
100	Characters	Objects	computer	🪫 –keywords
100	Characters	Objects	other-object	🪪 -name
99	Locale Display Names	Languages (O-S)	R	Rohingya ► rhg
99	Characters	People & Body	hands	🫶 –keywords
99	Characters	Food & Drink	dishware	🫙 -name
99	Characters	Food & Drink	dishware	🫙 –keywords
99	Characters	Travel & Places	transport-water	🛟 –keywords
99	Characters	Symbols2	math	🟰 -name
98	Numbers	Symbols	Symbols using Nyiakeng Puachue Hmong Digits (hmnp)	list
98	Characters	Smileys & Emotion	face-hand	🫢 -name
98	Characters	Smileys & Emotion	face-hand	🫡 -name
98	Characters	Smileys & Emotion	face-neutral-skeptical	🫥 -name
98	Characters	People & Body	hand-fingers-open	🫳 –keywords
98	Characters	People & Body	hand-single-finger	🫵 -name
98	Characters	People & Body	person-role	🫃 -name
98	Characters	Animals & Nature	animal-marine	🪸 -name
98	Characters	Food & Drink	food-vegetable	🫘 -name
98	Characters	Food & Drink	drink	🫗 -name
98	Characters	Food & Drink	drink	🫗 –keywords
98	Characters	Travel & Places	place-other	🛝 -name
98	Characters	Travel & Places	place-other	🛝 –keywords
98	Characters	Objects	computer	🪫 -name
98	Characters	Objects	medical	🩼 –keywords
98	Characters	Objects	medical	🩻 –keywords
98	Characters	Objects	household	🫧 -name
97	Characters	Smileys & Emotion	face-hand	🫢 –keywords
97	Characters	Smileys & Emotion	face-hand	🫣 -name
97	Characters	Smileys & Emotion	face-hand	🫣 –keywords
97	Characters	Smileys & Emotion	face-concerned	🥹 -name
97	Characters	People & Body	hand-fingers-open	🫱 -name
