# Section	Page	Header	Code	Old	New
Supplemental	Grammar	Gender	nominal-kn-units	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-ml-units	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-mr-units	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-sk-units	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-sk-units	▷missing◁	inanimate
Supplemental	Grammar	Gender	nominal-sk-units	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-sr-units	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-sr-units	▷missing◁	inanimate
Supplemental	Grammar	Gender	nominal-sr-units	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-uk-units	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-uk-units	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-am	feminine	▷removed◁
Supplemental	Grammar	Gender	nominal-am	masculine	▷removed◁
Supplemental	Grammar	Gender	nominal-bn	feminine	▷removed◁
Supplemental	Grammar	Gender	nominal-bn	masculine	▷removed◁
Supplemental	Grammar	Gender	nominal-lij	feminine	▷removed◁
Supplemental	Grammar	Gender	nominal-lij	masculine	▷removed◁
Supplemental	Metazone	America/Anchorage	1983-10-30 11:00-1983-11-30 09:00	Yukon	▷removed◁
Supplemental	Metazone	America/Dawson	2020-11-01 07:00..∞	…	Yukon
Supplemental	Metazone	America/Dawson	-∞..1973-10-28 09:00	Yukon	▷removed◁
Supplemental	Metazone	America/Juneau	1980-04-27 10:00-1980-10-26 10:00	Yukon	▷removed◁
Supplemental	Metazone	America/Juneau	1983-10-30 09:00-1983-11-30 09:00	Yukon	▷removed◁
Supplemental	Metazone	America/Nome	1983-10-30 12:00-1983-11-30 09:00	Yukon	▷removed◁
Supplemental	Metazone	America/Sitka	1983-10-30 09:00-1983-11-30 09:00	Yukon	▷removed◁
Supplemental	Metazone	America/Whitehorse	2020-11-01 07:00..∞	…	Yukon
Supplemental	Metazone	America/Yakutat	-∞..1983-11-30 09:00	Yukon	▷removed◁
Supplemental	Metazone	metazones	Yukon-001	…	America/Whitehorse
Supplemental	Plural	cardinal-bal	one	▷missing◁	n = 1 @integer 1 @decimal 1.0, 1.00, 1.000, 1.0000
