#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
mr	Marathi	Devanagari	modern	moderate	n/a	MMMM ddd, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMMEddd	https://st.unicode.org/v#/mr//7696ab9f172ec45f
mr	Marathi	Devanagari	modern	moderate	n/a	{0} – {1}	Date & Time	Gregorian	Formats - Intervals - Range	mixed	https://st.unicode.org/v#/mr//2f55fb8565f389c5
mr	Marathi	Devanagari	modern	moderate	n/a	{0} – {1}	Date & Time	Gregorian	Formats - Intervals - Range	non-numeric	https://st.unicode.org/v#/mr//1df870e2f136df54
mr	Marathi	Devanagari	modern	moderate	n/a	{0} – {1}	Date & Time	Gregorian	Formats - Intervals - Range	numeric	https://st.unicode.org/v#/mr//580075dda1720cdf
mr	Marathi	Devanagari	modern	modern	n/a	मुठीचे जाळे	Characters	Objects2	tool	🪍 -name	https://st.unicode.org/v#/mr//c5f9a6f91ad98d1
ne	Nepali	Devanagari	modern	moderate	n/a	-	Date & Time	Gregorian	Formats - Numeric - separator	Date	https://st.unicode.org/v#/ne//32c0b5a15f23273d
nn	Norwegian Nynorsk	Latin	modern	modern	n/a	region for tilleggsdata	Locale Display Names	Keys	rg	rg	https://st.unicode.org/v#/nn//193155faeb7c7707
nn	Norwegian Nynorsk	Latin	modern	modern	n/a	transformer	Locale Display Names	Keys	t	t	https://st.unicode.org/v#/nn//32fe23c53b471d74
nn	Norwegian Nynorsk	Latin	modern	modern	n/a	privat transformasjon	Locale Display Names	Keys	x0	x0	https://st.unicode.org/v#/nn//3f29e0ccb349d9a4
nn	Norwegian Nynorsk	Latin	modern	moderate	n/a	gregoriansk	Locale Display Names	Keys	calendar	calendar-iso8601-core	https://st.unicode.org/v#/nn//3eff3daf771ed8dc
nn	Norwegian Nynorsk	Latin	modern	modern	n/a	valuta	Locale Display Names	Keys	colReorder	colReorder-currency-core	https://st.unicode.org/v#/nn//30e9b54a7d4bbd01
nn	Norwegian Nynorsk	Latin	modern	modern	n/a	symbol	Locale Display Names	Keys	colReorder	colReorder-symbol-core	https://st.unicode.org/v#/nn//7b5aeb5078167ada
nn	Norwegian Nynorsk	Latin	modern	modern	n/a	japansk gannen-nummerering for det første året	Locale Display Names	Keys	numbers	numbers-jpanyear-core	https://st.unicode.org/v#/nn//315c7532109cbe2
nn	Norwegian Nynorsk	Latin	modern	modern	n/a	POSIX-variant	Locale Display Names	Keys	va	va-posix-core	https://st.unicode.org/v#/nn//3b207cec4cf7a37c
so	Somali	Latin	modern	modern	n/a	null	Locale Display Names	Keys	m0	m0-ungegn	https://st.unicode.org/v#/so//5c712766cd69c0dd
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Languages (O-S)	P	Piedmontese ► pms	https://st.unicode.org/v#/sr_Latn//1d32bce097d36219
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colReorder	colReorder	https://st.unicode.org/v#/sr_Latn//717c7818b29ac1ab
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	d0	d0	https://st.unicode.org/v#/sr_Latn//2bdbe6e13ef4cd1a
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	dx	dx	https://st.unicode.org/v#/sr_Latn//362aadc24babbe0f
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	First Day of Week	fw	https://st.unicode.org/v#/sr_Latn//ec91fbfe457f969
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	h0	h0	https://st.unicode.org/v#/sr_Latn//64ad43e20f71f98e
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	i0	i0	https://st.unicode.org/v#/sr_Latn//5a4c3824225e98f2
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	k0	k0	https://st.unicode.org/v#/sr_Latn//3b94ace91b42bdd5
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	kv	kv	https://st.unicode.org/v#/sr_Latn//6ed9dd771e761e66
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	m0	m0	https://st.unicode.org/v#/sr_Latn//44355bc353fdf153
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	mu	mu	https://st.unicode.org/v#/sr_Latn//24aa883ff2f5badc
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	rg	rg	https://st.unicode.org/v#/sr_Latn//193155faeb7c7707
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	s0	s0	https://st.unicode.org/v#/sr_Latn//46b380f727397a9e
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	sd	sd	https://st.unicode.org/v#/sr_Latn//7927fd4d5a0f1577
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	t	t	https://st.unicode.org/v#/sr_Latn//32fe23c53b471d74
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	t0	t0	https://st.unicode.org/v#/sr_Latn//5990a115b0ab52e1
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	x0	x0	https://st.unicode.org/v#/sr_Latn//3f29e0ccb349d9a4
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	calendar	calendar-indian-core	https://st.unicode.org/v#/sr_Latn//9d951275d5796e2
