#Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
ru	Russian	русский	Cyrl	RU	6	modern	 ≡	modern	ICU	1.0	0.999832878391176	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
ar	Arabic	‫العربية‬	Arab	EG	28	modern	 ≡	modern	ICU	1.0	0.9998221800723134	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
pl	Polish	polski	Latn	PL	1	modern	 ≡	modern	ICU	1.0	0.9998204022988506	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
cs	Czech	čeština	Latn	CZ	1	modern	 ≡	modern	ICU	1.0	0.999818949909475	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
sk	Slovak	slovenčina	Latn	SK	1	modern	 ≡	modern	ICU	1.0	0.999818654415765	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
uk	Ukrainian	українська	Cyrl	UA	1	modern	 ≡	modern	ICU	1.0	0.9998183359573695	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
sl	Slovenian	slovenščina	Latn	SI	1	modern	 ≡	modern	ICU	1.0	0.99981803845454	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
lt	Lithuanian	lietuvių	Latn	LT	1	modern	 ≡	modern	ICU	1.0	0.9998172848529143	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
he	Hebrew	‫עברית‬	Hebr	IL	1	modern	 ≡	modern	ICU	1.0	0.9997905174219678	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
sr	Serbian	српски	Cyrl	RS	4	modern	 ≡	modern	ICU	1.0	0.9997890888638921	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
hr	Croatian	hrvatski	Latn	HR	2	modern	 ≡	modern	ICU	1.0	0.999786370433668	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
ro	Romanian	română	Latn	RO	2	modern	 ≡	modern	ICU	1.0	0.9997749943748594	1.0	1.0	1.0	🄼 spellout_cardinal, 🄼 spellout_ordinal, 🄼 digits_ordinals
