#Locale	TargetLevel	№ Found	№ Unconfirmed	№ Missing
aa	*basic	0	26	38
ab	*basic	1	63	0
ady	*basic	66	0	0
af	modern	9218	0	0
agq	*basic	39	0	23
ak	moderate	2291	0	0
am	modern	9551	0	0
an	*basic	1	63	0
ann	*basic	5	0	59
apc	*basic	1	60	21
ar	modern	13288	0	0
arn	*basic	1	0	61
ary	*basic	0	0	80
as	modern	9274	0	0
asa	*basic	34	0	28
ast	*basic	64	0	0
az	modern	9446	0	0
az_Arab	*basic	15	0	73
az_Cyrl	*basic	45	0	41
ba	*basic	64	0	0
bal	*basic	11	35	36
bal_Latn	*basic	83	0	0
bas	*basic	39	0	23
be	modern	10951	0	0
bem	*basic	34	0	28
bew	*basic	0	62	0
bez	*basic	34	0	28
bg	modern	9237	0	0
bgc	basic	73	0	0
bgn	*basic	16	0	70
bho	basic	73	0	0
blo	*basic	64	0	0
blt	*basic	1	0	61
bm	*basic	29	0	34
bm_Nkoo	*basic	2	3	60
bn	modern	9436	0	0
bo	*basic	31	4	30
bqi	*basic	0	82	0
br	*basic	64	0	0
brh	*basic	1	81	0
brx	basic	73	0	0
bs	modern	10095	0	0
bs_Cyrl	*basic	65	0	0
bss	*basic	17	0	45
bua	*basic	64	0	0
byn	*basic	2	25	37
ca	modern	9394	0	0
cad	*basic	20	7	35
cch	*basic	1	19	42
ccp	*basic	69	2	13
ce	*basic	47	0	15
ceb	moderate	2282	0	0
cgg	*basic	32	0	30
cho	*basic	11	0	51
chr	*basic	64	0	0
cic	*basic	22	5	35
ckb	*basic	84	0	0
co	*basic	1	63	0
cop	*basic	62	0	0
cs	modern	13677	0	0
csw	*basic	64	0	0
cu	*basic	1	49	13
cv	*basic	64	0	0
cy	modern	12848	0	0
da	modern	9639	0	0
dav	*basic	34	0	28
de	modern	10394	0	0
dje	*basic	39	0	23
doi	basic	73	0	0
dsb	*basic	64	0	0
dua	*basic	38	0	24
dv	*basic	1	5	57
dyo	*basic	37	0	25
dz	*basic	65	0	8
ebu	*basic	34	0	28
ee	basic	65	0	0
el	modern	9858	0	0
en	modern	9482	0	0
en_Dsrt	*basic	145	1	40
en_Shaw	*basic	23	124	41
eo	*basic	64	0	0
es	modern	9418	0	0
et	modern	9200	0	0
eu	modern	9214	0	0
ewo	*basic	39	0	23
fa	modern	9452	0	0
ff	*basic	43	0	40
ff_Adlm	*basic	85	0	0
fi	modern	10210	0	0
fil	modern	9231	0	0
fo	*basic	65	0	0
fr	modern	9559	0	0
frr	*basic	1	63	0
fur	*basic	51	2	11
fy	*basic	64	0	0
ga	modern	11905	0	0
gaa	basic	64	0	0
gd	modern	11008	0	0
gez	*basic	0	27	36
gl	modern	9235	0	0
gn	*basic	20	3	39
gsw	*basic	53	0	11
gu	modern	9378	0	0
guz	*basic	32	0	30
gv	*basic	24	0	38
ha	modern	9334	0	0
ha_Arab	*basic	1	21	63
haw	*basic	44	0	18
he	modern	11290	0	0
hi	modern	9809	0	0
hi_Latn	modern	9365	0	1
hnj	*basic	16	1	56
hr	modern	11360	0	0
hrx	*basic	2	62	0
hsb	*basic	64	0	0
ht	*basic	5	0	57
hu	modern	10197	0	0
hy	modern	10133	0	0
ia	*basic	64	0	0
id	modern	8434	0	0
ie	*basic	64	0	0
ig	modern	8284	0	0
ii	*basic	63	0	0
io	*basic	1	0	61
is	modern	10073	0	0
isv	*basic	1	0	62
isv_Cyrl	*basic	1	0	62
it	modern	9399	0	0
iu	*basic	6	23	34
iu_Latn	*basic	0	0	63
ja	modern	8696	0	0
jbo	*basic	1	0	61
jgo	*basic	46	0	18
jmc	*basic	32	0	30
jv	modern	8391	0	0
ka	modern	9174	0	0
kaa	*basic	28	37	0
kaa_Latn	*basic	0	0	63
kab	*basic	32	32	0
kaj	*basic	1	21	40
kam	*basic	32	0	30
kbd	*basic	65	0	0
kcg	*basic	1	19	42
kde	*basic	32	0	30
kea	*basic	64	0	0
kek	*basic	64	0	0
ken	*basic	1	0	61
kgp	*basic	64	0	0
khq	*basic	31	0	31
ki	*basic	64	0	0
kk	modern	9315	0	0
kk_Arab	*basic	84	0	0
kkj	*basic	32	0	32
kl	*basic	27	32	5
kln	*basic	32	0	30
km	modern	8337	0	0
kn	modern	10499	0	0
ko	modern	8755	0	0
kok	modern	9304	0	0
kok_Latn	*basic	74	0	0
kpe	*basic	1	0	62
ks	basic	92	0	0
ks_Deva	basic	92	0	0
ksb	*basic	32	0	30
ksf	*basic	38	0	24
ksh	*basic	64	0	0
ku	*basic	88	0	0
ku_Arab	*basic	0	0	86
kw	*basic	24	3	35
kxv	*basic	76	0	0
kxv_Deva	*basic	76	0	0
kxv_Orya	*basic	76	0	0
kxv_Telu	*basic	76	0	0
ky	modern	9235	0	0
la	*basic	2	35	27
lag	*basic	31	0	31
lb	*basic	64	0	0
lg	*basic	30	0	32
lij	*basic	64	0	0
lkt	*basic	23	5	34
lld	*basic	64	0	0
lmo	*basic	64	0	0
ln	*basic	43	6	16
lo	modern	8339	0	0
lrc	*basic	49	0	34
lt	modern	13529	0	0
ltg	*basic	0	50	12
lu	*basic	38	0	24
luo	*basic	32	0	30
luy	*basic	33	0	29
lv	modern	11676	0	0
lzz	*basic	40	0	22
mai	basic	73	0	0
mas	*basic	34	0	29
mdf	*basic	1	2	59
mer	*basic	32	0	30
mfe	*basic	28	0	34
mg	*basic	46	0	16
mgh	*basic	32	0	30
mgo	*basic	47	0	17
mhn	*basic	0	0	62
mi	moderate	2082	0	0
mic	*basic	1	1	60
mk	modern	9242	0	0
ml	modern	10049	0	0
mn	modern	9318	0	0
mn_Mong	*basic	5	0	61
mni	basic	83	0	0
mni_Mtei	*basic	6	0	76
moh	*basic	1	0	61
mr	modern	11051	0	0
mrh	*basic	53	0	12
ms	modern	8541	0	0
ms_Arab	*basic	24	29	31
mt	*basic	64	0	0
mua	*basic	39	0	23
mus	*basic	22	5	35
mww	*basic	1	15	57
my	modern	8338	0	0
myv	*basic	1	31	32
mzn	*basic	36	0	46
naq	*basic	32	0	30
nd	*basic	30	0	32
nds	*basic	65	0	0
ne	modern	9298	0	0
nl	modern	9392	0	0
nmg	*basic	38	1	23
nn	modern	9634	8	0
nnh	*basic	36	0	26
no	modern	9651	0	0
nqo	*basic	73	0	0
nr	*basic	6	24	32
nso	basic	64	0	0
nus	*basic	38	0	24
nv	*basic	1	0	61
ny	*basic	1	19	42
nyn	*basic	30	0	32
oc	*basic	65	0	0
oka	*basic	1	0	62
om	basic	65	0	0
or	modern	9287	0	0
os	*basic	58	0	6
osa	*basic	22	5	35
pa	modern	9831	0	0
pa_Arab	*basic	27	0	57
pap	*basic	27	38	0
pcm	modern	9182	0	0
pi	*basic	0	0	62
pis	*basic	52	0	12
pl	modern	13812	0	0
pms	*basic	64	0	0
prg	*basic	64	0	0
ps	modern	9403	0	0
pt	modern	9481	0	0
qu	modern	8228	0	6
quc	*basic	64	0	0
raj	basic	73	0	0
rhg	*basic	12	0	53
rif	*basic	1	64	0
rm	*basic	64	0	0
rn	*basic	39	0	23
ro	modern	10645	0	0
rof	*basic	32	0	30
ru	modern	15075	0	0
rw	basic	64	0	0
rwk	*basic	32	0	30
sa	basic	73	0	0
sah	*basic	64	0	0
saq	*basic	32	0	30
sat	basic	83	0	0
sat_Deva	*basic	6	0	76
sbp	*basic	39	0	23
sc	*basic	64	0	0
scn	*basic	64	0	0
sd	modern	9380	0	0
sd_Deva	basic	93	0	0
sdh	*basic	7	0	76
se	*basic	60	6	0
seh	*basic	31	0	31
ses	*basic	31	0	31
sg	*basic	31	0	31
