#Path Level	#Locales	Locales	Section	Page	Header	Code
modern	1	km	Characters	Symbols2	currency	£ –keywords
modern	2	km or	Characters	Symbols2	currency	¥ –keywords
modern	1	lt	Characters	Symbols2	alphanum	µ –keywords
modern	1	lt	Characters	Symbols2	alphanum	µ -name
modern	2	km or	Characters	Symbols2	punctuation	» –keywords
modern	2	km or	Characters	Symbols2	currency	€ –keywords
modern	1	or	Characters	Symbols2	arrow	↑ –keywords
modern	2	kk or	Characters	Symbols2	arrow	↑ -name
modern	1	or	Characters	Symbols2	arrow	↓ –keywords
modern	2	kk or	Characters	Symbols2	arrow	↓ -name
modern	1	or	Characters	Symbols2	arrow	⇅ –keywords
modern	1	or	Characters	Symbols2	arrow	⇅ -name
modern	1	kk	Characters	Symbols2	arrow	⇆ -name
modern	1	or	Characters	Symbols2	geometric	▲ –keywords
modern	2	kk or	Characters	Symbols2	geometric	▲ -name
modern	1	or	Characters	Symbols2	geometric	▼ –keywords
modern	1	or	Characters	Symbols2	geometric	▼ -name
modern	1	or	Characters	Symbols2	geometric	◊ –keywords
modern	1	lo	Characters	Symbols2	gender	⚧ –keywords
modern	9	as bg kn lo my ne or ps sq	Characters	Flags	flag	🏳‍⚧ –keywords
modern	2	as or	Characters	Flags	flag	🏳‍⚧ -name
modern	1	or	Characters	People & Body	person-role	👩‍🍼 –keywords
modern	1	or	Characters	People & Body	person-role	👩‍🍼 -name
modern	1	lo	Characters	Travel & Places	place-building	🛖 –keywords
modern	2	lo ne	Characters	People & Body	hand-fingers-partial	🤌 –keywords
modern	1	lo	Characters	Smileys & Emotion	face-affection	🥲 –keywords
modern	1	ps	Characters	Animals & Nature	animal-mammal	🦣 –keywords
modern	2	as ne	Characters	Animals & Nature	animal-mammal	🦬 –keywords
modern	1	as	Characters	Animals & Nature	animal-mammal	🦬 -name
modern	1	sv	Characters	People & Body	person-role	🧑‍⚕ –keywords
modern	2	mr ne	Characters	People & Body	person-role	🧑‍⚖ –keywords
modern	1	kk	Characters	People & Body	person-role	🧑‍✈ –keywords
modern	1	kk	Characters	People & Body	person-role	🧑‍🍳 –keywords
modern	1	uk	Characters	People & Body	person-fantasy	🧑‍🎄 –keywords
modern	1	uk	Characters	People & Body	person-fantasy	🧑‍🎄 -name
modern	2	hi sv	Characters	People & Body	person-role	🧑‍🎤 –keywords
modern	1	ne	Characters	People & Body	person-role	🧑‍🏭 –keywords
modern	1	mr	Characters	People & Body	person-role	🧑‍🚀 –keywords
modern	1	lo	Characters	People & Body	person-role	🧑‍🚒 –keywords
modern	2	lo my	Characters	People & Body	person-activity	🧑‍🦯 –keywords
modern	3	kk lo my	Characters	People & Body	person-activity	🧑‍🦼 –keywords
modern	4	az kk lo sq	Characters	People & Body	person-activity	🧑‍🦽 –keywords
modern	1	lo	Characters	Activities	game	🪅 –keywords
modern	1	my	Characters	Objects	clothing	🪖 –keywords
modern	1	my	Characters	Objects	clothing	🪖 -name
modern	1	lo	Characters	Objects	tool	🪚 –keywords
modern	1	lo	Characters	Objects	tool	🪜 –keywords
modern	1	tk	Characters	Objects	household	🪠 –keywords
modern	1	zh	Characters	Activities	arts & crafts	🪢 –keywords
modern	1	as	Characters	Animals & Nature	animal-bug	🪱 –keywords
modern	1	as	Characters	Animals & Nature	animal-bug	🪱 -name
modern	1	as	Characters	Animals & Nature	animal-bug	🪲 –keywords
modern	2	as ne	Characters	Animals & Nature	animal-bug	🪳 –keywords
modern	1	as	Characters	Animals & Nature	animal-bug	🪳 -name
modern	1	lo	Characters	Animals & Nature	plant-other	🪴 –keywords
modern	1	ne	Characters	People & Body	body-parts	🫀 –keywords
modern	1	lo	Characters	People & Body	body-parts	🫁 –keywords
modern	1	kn	Characters	Food & Drink	food-fruit	🫐 –keywords
modern	1	ne	Characters	Food & Drink	food-vegetable	🫑 –keywords
modern	2	lo ne	Characters	Food & Drink	food-fruit	🫒 –keywords
modern	1	lo	Characters	Food & Drink	food-prepared	🫓 –keywords
modern	1	ne	Characters	Food & Drink	food-prepared	🫔 –keywords
modern	1	lo	Characters	Food & Drink	drink	🫖 –keywords
comprehensive	13	cad eu gn jv mai mni pcm sat sd sd_Deva so su yue	Miscellaneous	Linguistic Elements	Collation	standard
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date Formats	full
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date Formats	long
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date Formats	medium
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date Formats	short
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium
basic	2	cad gn	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	short
basic	2	cad gn	Date & Time	Generic	Formats - Intervals - Fallback	Fallback
basic	2	cad gn	Date & Time	Gregorian	Formats - Standard - Date Formats	full
basic	2	cad gn	Date & Time	Gregorian	Formats - Standard - Date Formats	long
basic	2	cad gn	Date & Time	Gregorian	Formats - Standard - Date Formats	medium
basic	2	cad gn	Date & Time	Gregorian	Formats - Standard - Date Formats	short
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	Bh
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	Bhm
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	Bhms
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	E
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	EBhm
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	EBhms
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	EHm
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	EHms
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	Ed
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	Ehm
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	Ehms
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	Gy
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMM
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMEd
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMd
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	H
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hm
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hms
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hmsv
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hmv
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	M
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMM
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMMd
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMd
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	Md
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	d
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	h
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	hm
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	hms
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	hmsv
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	hmv
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	ms
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	y
basic	2	cad gn	Date & Time	Gregorian	Formats - Flexible - Date Formats	yM
