#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Vxml	VStatus	Section	Page	Header	Code	ST Link	Config Action
af	Afrikaans	Latin	modern	moderate	READ_WRITE	megapieksels			Units	Graphics	megapixel	long-displayName	http://st.unicode.org/cldr-apps/v#/af//7305f35b4facb173	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	{0} megapieksel			Units	Graphics	megapixel	long-one	http://st.unicode.org/cldr-apps/v#/af//7de96a8a9889d612	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	{0} megapieksels			Units	Graphics	megapixel	long-other	http://st.unicode.org/cldr-apps/v#/af//78c49e4f2f8fb9c2	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	pieksel per sentimeter			Units	Graphics	pixel-per-centimeter	long-displayName	http://st.unicode.org/cldr-apps/v#/af//1591a0c8d889d2cd	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	{0} pieksel per sentimeter			Units	Graphics	pixel-per-centimeter	long-one	http://st.unicode.org/cldr-apps/v#/af//cddac6729d5d804	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	{0} pieksels per sentimeter			Units	Graphics	pixel-per-centimeter	long-other	http://st.unicode.org/cldr-apps/v#/af//7c9cab9db7288655	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	pieksels per duim			Units	Graphics	pixel-per-inch	long-displayName	http://st.unicode.org/cldr-apps/v#/af//73e61dffafb49a47	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	{0} pieksel per duim			Units	Graphics	pixel-per-inch	long-one	http://st.unicode.org/cldr-apps/v#/af//15823c49b9bf37a9	
af	Afrikaans	Latin	modern	moderate	READ_WRITE	{0} pieksels per duim			Units	Graphics	pixel-per-inch	long-other	http://st.unicode.org/cldr-apps/v#/af//320318984fc2542c	
ar	Arabic	Arabic	modern	core	HIDE				Special	Alphabetic Information	Layout	characterOrder	http://st.unicode.org/cldr-apps/v#/ar//7972e33a5e623d65	
as	Assamese	Bangla	modern	modern	READ_WRITE	বনগৰু			Characters	Animals & Nature	animal-mammal	🦬 –keywords	http://st.unicode.org/cldr-apps/v#/as//ee11b71122cbf89	
as	Assamese	Bangla	modern	modern	READ_WRITE	বনগৰু			Characters	Animals & Nature	animal-mammal	🦬 -name	http://st.unicode.org/cldr-apps/v#/as//7852e10870fad1ee	
as	Assamese	Bangla	modern	modern	READ_WRITE	গুবৰুৱা | পতংগ | পোক			Characters	Animals & Nature	animal-bug	🪲 –keywords	http://st.unicode.org/cldr-apps/v#/as//2ee3d19b563d6aad	
as	Assamese	Bangla	modern	modern	READ_WRITE	পঁইতাচোৰা			Characters	Animals & Nature	animal-bug	🪳 –keywords	http://st.unicode.org/cldr-apps/v#/as//7ac7efeb9f62c056	
as	Assamese	Bangla	modern	modern	READ_WRITE	পঁইতাচোৰা			Characters	Animals & Nature	animal-bug	🪳 -name	http://st.unicode.org/cldr-apps/v#/as//74f6c7439c91462a	
as	Assamese	Bangla	modern	modern	READ_WRITE	কেঁচু, কৃমিৰ দৰে কোমলদেহী প্ৰাণী			Characters	Animals & Nature	animal-bug	🪱 –keywords	http://st.unicode.org/cldr-apps/v#/as//b5f7f814e88990b	
as	Assamese	Bangla	modern	modern	READ_WRITE	কেঁচু, কৃমিৰ দৰে কোমলদেহী প্ৰাণী			Characters	Animals & Nature	animal-bug	🪱 -name	http://st.unicode.org/cldr-apps/v#/as//6eea60e481682982	
as	Assamese	Bangla	modern	modern	READ_WRITE	কিন্নৰৰ পতাকা			Characters	Flags	flag	🏳‍⚧ –keywords	http://st.unicode.org/cldr-apps/v#/as//5c4c71170aac35a2	
as	Assamese	Bangla	modern	modern	READ_WRITE	কিন্নৰৰ পতাকা			Characters	Flags	flag	🏳‍⚧ -name	http://st.unicode.org/cldr-apps/v#/as//156e421fc7eb9e15	
