#Dir	Code	English Name	Native Name	Script	CLDR Target	Sublocales	Fields	UC	Missing	Modern	Miss +UC	Moderate	Miss +UC	Basic	Miss +UC	Core	Miss +UC	Core-Missing
common	af	Afrikaans	Afrikaans	Latn	modern	2	7204	9	0	7204	9	3281	9	386	0	9	0	
common	am	Amharic	አማርኛ	Ethi	modern	1	7307	0	0	7307	0	3387	0	473	0	9	0	
common	ar	Arabic	العربية	Arab	modern	28	10056	0	1	10056	1	5595	1	877	1	8	1	orientation
common	as	Assamese	অসমীয়া	Beng	modern	1	7170	9	0	7170	9	3267	0	396	0	9	0	
common	az	Azerbaijani	azərbaycan	Latn	modern	1	7317	1	0	7317	1	3388	0	465	0	9	0	
common	be	Belarusian	беларуская	Cyrl	modern	1	8449	0	0	8449	0	4286	0	413	0	9	0	
common	bg	Bulgarian	български	Cyrl	modern	1	7217	1	0	7217	1	3306	0	398	0	9	0	
common	bn	Bangla	বাংলা	Beng	modern	2	7240	0	0	7240	0	3313	0	405	0	9	0	
common	bs	Bosnian	bosanski	Latn	modern	1	7861	0	0	7861	0	3811	0	404	0	9	0	
common	ca	Catalan	català	Latn	modern	4	7239	0	0	7239	0	3315	0	393	0	9	0	
seed	cad	Caddo	Caddo	Latn	basic	1	99	38	5924	99	5962	99	2184	82	281	5	3	plurals, ordinals*, casing, collation
common	ceb	Cebuano	Binisaya	Latn	moderate	1	3267	0	3894	3267	3894	3254	0	384	0	8	0	ordinals*
common	cs	Czech	čeština	Latn	modern	1	8513	0	0	8513	0	4346	0	417	0	9	0	
common	cy	Welsh	Cymraeg	Latn	modern	1	9765	0	0	9765	0	5348	0	426	0	9	0	
common	da	Danish	dansk	Latn	modern	2	7223	0	0	7223	0	3308	0	393	0	9	0	
common	de	German	Deutsch	Latn	modern	7	7232	0	0	7232	0	3318	0	405	0	9	0	
common	el	Greek	Ελληνικά	Grek	modern	2	7210	0	0	7210	0	3298	0	395	0	9	0	
common	en	English	English	Latn	modern	106	6910	0	0	6910	0	2902	0	700	0	9	0	
common	es	Spanish	español	Latn	modern	28	7230	0	0	7230	0	3316	0	533	0	9	0	
common	et	Estonian	eesti	Latn	modern	1	7220	0	0	7220	0	3307	0	389	0	9	0	
common	eu	Basque	euskara	Latn	modern	1	7228	0	7	7228	7	3311	1	386	1	8	1	collation
common	fa	Persian	فارسی	Arab	modern	2	7421	0	1	7421	1	3464	1	559	1	8	1	orientation
common	fi	Finnish	suomi	Latn	modern	1	7243	0	0	7243	0	3326	0	395	0	9	0	
common	fil	Filipino	Filipino	Latn	modern	1	7221	0	6	7221	6	3304	0	392	0	9	0	
common	fr	French	français	Latn	modern	46	7341	0	0	7341	0	3411	0	642	0	9	0	
common	ga	Irish	Gaeilge	Latn	modern	2	9064	0	26	9064	26	4805	6	419	0	9	0	
common	gl	Galician	galego	Latn	modern	1	7230	0	0	7230	0	3307	0	388	0	9	0	
seed	gn	Guarani	avañe’ẽ	Latn	basic	1	96	61	5904	96	5965	96	2187	82	284	5	3	plurals, ordinals*, casing, collation
common	gu	Gujarati	ગુજરાતી	Gujr	modern	1	7231	0	0	7231	0	3305	0	389	0	9	0	
common	ha	Hausa	Hausa	Latn	moderate	3	4035	0	3133	4035	3133	3218	47	386	0	8	0	ordinals*
common	he	Hebrew	עברית	Hebr	modern	1	8672	0	1	8672	1	4473	1	553	1	8	1	orientation
common	hi	Hindi	हिन्दी	Deva	modern	1	7302	1	0	7302	1	3390	0	466	0	9	0	
common	hr	Croatian	hrvatski	Latn	modern	2	7862	0	0	7862	0	3822	0	410	0	9	0	
common	hu	Hungarian	magyar	Latn	modern	1	7233	0	0	7233	0	3318	0	391	0	9	0	
common	hy	Armenian	հայերեն	Armn	modern	1	7205	0	0	7205	0	3299	0	394	0	9	0	
common	id	Indonesian	Indonesia	Latn	modern	1	6683	0	0	6683	0	2859	0	459	0	9	0	
common	ig	Igbo	Asụsụ Igbo	Latn	moderate	1	2783	12	3733	2783	3745	2750	1	375	0	8	0	ordinals*
common	is	Icelandic	íslenska	Latn	modern	1	7221	0	0	7221	0	3298	0	391	0	9	0	
common	it	Italian	italiano	Latn	modern	4	7218	0	0	7218	0	3305	0	394	0	9	0	
common	ja	Japanese	日本語	Jpan	modern	1	7275	0	0	7275	0	3290	0	864	0	9	0	
common	jv	Javanese	Jawa	Latn	modern	1	6509	7	6	6509	13	2733	9	371	3	6	2	ordinals*, casing, collation
common	ka	Georgian	ქართული	Geor	modern	1	7206	0	0	7206	0	3299	0	393	0	9	0	
common	kk	Kazakh	қазақ тілі	Cyrl	modern	1	7196	8	0	7196	8	3296	0	399	0	9	0	
common	km	Khmer	ខ្មែរ	Khmr	modern	1	6542	4	0	6542	4	2766	0	380	0	8	0	romanization*
common	kn	Kannada	ಕನ್ನಡ	Knda	modern	1	7226	2	0	7226	2	3302	0	390	0	9	0	
common	ko	Korean	한국어	Kore	modern	2	6925	0	0	6925	0	2882	0	472	0	9	0	
common	kok	Konkani	कोंकणी	Deva	basic	1	6527	0	1	6527	1	2752	1	375	1	7	1	plurals, ordinals*
common	ky	Kyrgyz	кыргызча	Cyrl	modern	1	7202	2	0	7202	2	3295	0	391	0	9	0	
common	lo	Lao	ລາວ	Laoo	modern	1	6546	17	0	6546	17	2783	0	380	0	8	0	romanization*
common	lt	Lithuanian	lietuvių	Latn	modern	1	8504	2	0	8504	2	4340	0	415	0	9	0	
common	lv	Latvian	latviešu	Latn	modern	1	7860	0	0	7860	0	3820	0	399	0	9	0	
common	mai	Maithili	मैथिली	Deva	basic	1	419	0	6077	419	6077	411	2310	374	2	6	2	plurals, ordinals*, collation
common	mk	Macedonian	македонски	Cyrl	modern	1	7217	0	0	7217	0	3308	0	392	0	9	0	
common	ml	Malayalam	മലയാളം	Mlym	modern	1	7237	18	0	7237	18	3311	18	390	0	9	0	
common	mn	Mongolian	монгол	Cyrl	modern	1	7187	0	0	7187	0	3278	0	392	0	9	0	
common	mni	Manipuri	মৈতৈলোন্	Beng	basic	1	421	0	6067	421	6067	413	2300	366	2	6	2	plurals, ordinals*, collation
common	mr	Marathi	मराठी	Deva	modern	1	7244	2	0	7244	2	3322	0	398	0	9	0	
common	ms	Malay	Melayu	Latn	modern	4	6649	0	0	6649	0	2855	0	467	0	9	0	
common	my	Burmese	မြန်မာ	Mymr	modern	1	6575	5	0	6575	5	2795	0	392	0	9	0	
common	nb	Norwegian Bokmål	norsk bokmål	Latn	modern	2	7220	0	0	7220	0	3296	0	394	0	9	0	
common	ne	Nepali	नेपाली	Deva	modern	2	7199	10	0	7199	10	3297	0	401	0	9	0	
common	nl	Dutch	Nederlands	Latn	modern	7	7215	0	0	7215	0	3300	0	408	0	9	0	
common	or	Odia	ଓଡ଼ିଆ	Orya	modern	1	7156	21	0	7156	21	3264	3	389	0	9	0	
common	pa	Punjabi	ਪੰਜਾਬੀ	Guru	modern	1	7226	0	0	7226	0	3313	0	399	0	9	0	
common	pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	basic	1	7154	0	5	7154	5	3253	2	382	2	6	2	ordinals*, casing, collation
