#Direct.	Language	English Name	Native Name	Script	Default Region	Locales	CLDR Target	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features	Computed Level	≡ CLDR Target
common	am	Amharic	አማርኛ	Ethi	ET	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	az	Azerbaijani	azərbaycan	Latn	AZ	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	ca	Catalan	català	Latn	ES	4	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	cs	Czech	čeština	Latn	CZ	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	da	Danish	dansk	Latn	DK	2	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	de	German	Deutsch	Latn	DE	7	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	el	Greek	Ελληνικά	Grek	GR	2	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	es	Spanish	español	Latn	ES	28	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	fi	Finnish	suomi	Latn	FI	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	fil	Filipino	Filipino	Latn	PH	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	fr	French	français	Latn	FR	46	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	he	Hebrew	‫עברית‬	Hebr	IL	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	hi_Latn	Hindi (Latin)	Hindi (Latin)	Latn	IN	1	modern		1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	hr	Croatian	hrvatski	Latn	HR	2	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	hu	Hungarian	magyar	Latn	HU	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	is	Icelandic	íslenska	Latn	IS	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	it	Italian	italiano	Latn	IT	4	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	lt	Lithuanian	lietuvių	Latn	LT	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	lv	Latvian	latviešu	Latn	LV	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	ml	Malayalam	മലയാളം	Mlym	IN	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	mr	Marathi	मराठी	Deva	IN	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	ms	Malay	Melayu	Latn	MY	4	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	nl	Dutch	Nederlands	Latn	NL	7	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
