#Direct.	Language	English Name	Native Name	Script	Default Region	Locales	CLDR Target	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features	Computed Level	≡ CLDR Target
common	no	Norwegian	norsk	Latn	NO	0	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	pa	Punjabi	ਪੰਜਾਬੀ	Guru	IN	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	pt	Portuguese	português	Latn	BR	12	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	ro	Romanian	română	Latn	RO	2	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	ru	Russian	русский	Cyrl	RU	6	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	sk	Slovak	slovenčina	Latn	SK	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	sl	Slovenian	slovenščina	Latn	SI	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	sr	Serbian	српски	Cyrl	RS	4	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	sv	Swedish	svenska	Latn	SE	3	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	ta	Tamil	தமிழ்	Taml	IN	4	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	te	Telugu	తెలుగు	Telu	IN	1	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	tr	Turkish	Türkçe	Latn	TR	2	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	ur	Urdu	‫اردو‬	Arab	PK	2	modern	ICU	1.0	1.0	1.0	1.0	1.0		modern	 ≡
common	pl	Polish	polski	Latn	PL	1	modern	ICU	0.9999177902005919	0.999932083672915	1.0	1.0	1.0		modern	 ≡
common	cy	Welsh	Cymraeg	Latn	GB	1	modern	ICU	1.0	0.9999283975368752	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	ga	Irish	Gaeilge	Latn	IE	2	modern	ICU	1.0	0.9999225166589183	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	bs	Bosnian	bosanski	Latn	BA	1	modern	ICU	1.0	0.9999039108292496	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	et	Estonian	eesti	Latn	EE	1	modern	ICU	1.0	0.999899879855827	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	tk	Turkmen	türkmen dili	Latn	TM	1	modern	ICU	1.0	0.9998990612698092	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	id	Indonesian	Indonesia	Latn	ID	1	modern	ICU	0.9998578737919273	0.9998907820008738	1.0	1.0	1.0		modern	 ≡
common	vi	Vietnamese	Tiếng Việt	Latn	VN	1	modern	ICU	0.9998590358049055	0.9998906027786895	1.0	1.0	1.0		modern	 ≡
common	kn	Kannada	ಕನ್ನಡ	Knda	IN	1	modern	ICU	0.9997751545812255	0.9998199333753489	1.0	1.0	1.0		modern	 ≡
common	uz	Uzbek	o‘zbek	Latn	UZ	1	modern	ICU	0.9997310381925767	0.9997944290266214	1.0	1.0	1.0		modern	 ≡
common	en	English	English	Latn	US	107	modern	ICU	0.9997188642114141	0.9997752051253231	1.0	1.0	1.0		modern	 ≡
common	hy	Armenian	հայերեն	Armn	AM	1	modern	ICU	0.9996525364836693	0.9997233238033755	1.0	1.0	1.0		modern	 ≡
common	gl	Galician	galego	Latn	ES	1	modern	ICU	0.9997429636293536	0.9996999399879976	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	sw	Swahili	Kiswahili	Latn	TZ	4	modern	ICU	1.0	0.99968674950402	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	af	Afrikaans	Afrikaans	Latn	ZA	2	modern	ICU	0.9994848679974243	0.9995985547972702	1.0	1.0	1.0		modern	 ≡
common	uk	Ukrainian	українська	Cyrl	UA	1	modern	ICU	0.9993277875808756	0.9994455994455994	1.0	1.0	1.0		modern	 ≡
common	ar	Arabic	‫العربية‬	Arab	EG	28	modern	ICU	0.9992197659297789	0.9993860008186656	1.0	1.0	1.0		modern	 ≡
common	hi	Hindi	हिन्दी	Deva	IN	1	modern	ICU	0.998194728607534	0.9985849056603774	1.0	1.0	1.0		modern	 ≡
common	sq	Albanian	shqip	Latn	AL	3	modern	ICU	0.9926574777792091	0.9941877943681732	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	zu	Zulu	isiZulu	Latn	ZA	1	modern	ICU	1.0	0.9883366607124093	1.0	1.0	1.0	🄼 grammar	modern	 ≡
common	ja	Japanese	日本語	Jpan	JP	1	modern	ICU	0.999607535321821	0.9995101880877743	0.9996098322278579	1.0	1.0		modern	 ≡
common	be	Belarusian	беларуская	Cyrl	BY	1	modern	ICU	1.0	0.9997477719858753	0.9995987158908507	1.0	1.0	🄼 grammar	modern	 ≡
common	fa	Persian	‫فارسی‬	Arab	IR	2	modern	ICU	1.0	0.999613563906869	0.9995791245791246	1.0	1.0		modern	 ≡
common	ps	Pashto	‫پښتو‬	Arab	AF	2	modern	ICU	1.0	0.9996951529316126	0.9995715509854327	1.0	1.0	🄼 grammar	modern	 ≡
common	bg	Bulgarian	български	Cyrl	BG	1	modern	ICU	0.9994548923412374	0.9992692347844243	0.9995533720410897	1.0	1.0	🄼 grammar	modern	 ≡
common	bn	Bangla	বাংলা	Beng	BD	2	modern	ICU	1.0	0.9998004589444278	0.9995501574448943	1.0	1.0		modern	 ≡
common	eu	Basque	euskara	Latn	ES	1	modern	ICU	0.9953757225433526	0.9961038961038962	0.9995501574448943	1.0	1.0	ⓜ collation, 🄼 grammar	modern	 ≡
common	ne	Nepali	नेपाली	Deva	NP	2	modern	ICU	1.0	0.9997905320485966	0.9995499549954996	1.0	1.0		modern	 ≡
common	mk	Macedonian	македонски	Cyrl	MK	1	modern	ICU	1.0	0.999699639567481	0.9995491433724075	1.0	1.0	🄼 grammar	modern	 ≡
common	si	Sinhala	සිංහල	Sinh	LK	1	modern	ICU	1.0	0.99969960949234	0.9995491433724075	1.0	1.0	🄼 romanization	modern	 ≡
common	gu	Gujarati	ગુજરાતી	Gujr	IN	1	modern	ICU	1.0	0.9998012916045703	0.999548532731377	1.0	1.0		modern	 ≡
common	ka	Georgian	ქართული	Geor	GE	1	modern	ICU	1.0	0.9996848739495798	0.9995473064735174	1.0	1.0	🄼 grammar	modern	 ≡
common	ky	Kyrgyz	кыргызча	Cyrl	KG	1	modern	ICU	1.0	0.9997992773986351	0.9995468962392388	1.0	1.0		modern	 ≡
common	kk	Kazakh	қазақ тілі	Cyrl	KZ	1	modern	ICU	1.0	0.9997897613791653	0.9995468962392388	1.0	1.0		modern	 ≡
common	nn	Norwegian Nynorsk	norsk nynorsk	Latn	NO	1	modern	ICU	1.0	0.9998071917478069	0.9995466908431551	1.0	1.0	ⓜ ordinals	modern	 ≡
common	mn	Mongolian	монгол	Cyrl	MN	1	modern	ICU	0.9992262058292494	0.9990963855421687	0.9995462794918331	1.0	1.0	🄼 grammar	modern	 ≡
common	or	Odia	ଓଡ଼ିଆ	Orya	IN	1	modern	ICU	1.0	0.9996819001166366	0.9995417048579285	1.0	1.0	🄼 grammar	modern	 ≡
common	zh_Hant	Traditional Chinese	繁體中文	Hant	TW	0	modern	ICU	1.0	0.9996813595326607	0.9995412844036697	1.0	1.0	🄼 grammar	modern	 ≡
common	as	Assamese	অসমীয়া	Beng	IN	1	modern	ICU	1.0	0.9996936900142944	0.9995406522737712	1.0	1.0	🄼 grammar	modern	 ≡
common	zh	Chinese	中文	Hans	CN	4	modern	ICU	0.9998617065412806	0.999681088551079	0.9995402298850574	1.0	1.0		modern	 ≡
common	ko	Korean	한국어	Kore	KR	2	modern	ICU	1.0	0.9997878434284502	0.9995337995337995	1.0	1.0		modern	 ≡
common	th	Thai	ไทย	Thai	TH	1	modern	ICU	1.0	0.9997797114219628	0.9995196926032661	1.0	1.0		modern	 ≡
common	my	Burmese	မြန်မာ	Mymr	MM	1	modern	ICU	1.0	0.9997733711048159	0.9995138551288284	1.0	1.0		modern	 ≡
common	lo	Lao	ລາວ	Laoo	LA	1	modern	ICU	0.9997030878859857	0.9994307832422586	0.9995112414467253	1.0	1.0	🄼 romanization	modern	 ≡
common	so	Somali	Soomaali	Latn	SO	4	modern	ICU	1.0	0.9994051160023796	0.9991115059973346	1.0	1.0	ⓜ ordinals, ⓜ collation, 🄼 grammar	modern	 ≡
common	yue	Cantonese	粵語	Hant	HK	1	modern	ICU	1.0	0.9994459219858156	0.9990324141267537	1.0	1.0	ⓜ collation, 🄼 grammar	modern	 ≡
common	km	Khmer	ខ្មែរ	Khmr	KH	1	modern	ICU	0.9995494819041898	0.9990811990352589	0.9990220048899755	1.0	1.0	🄼 grammar, 🄼 romanization	modern	 ≡
common	jv	Javanese	Jawa	Latn	ID	1	modern	ICU	1.0	0.999065202150035	0.9985029940119761	1.0	1.0	ⓜ casing, ⓜ ordinals, ⓜ collation, 🄼 grammar	modern	 ≡
common	sd	Sindhi	‫سنڌي‬	Arab	PK	1	modern	ICU	1.0	0.9889137618590769	0.9967756794104099	1.0	1.0	ⓜ collation, 🄼 grammar	modern	 ≡
common	hsb	Upper Sorbian	hornjoserbšćina	Latn	DE	1		ICU	1.0	0.9999139636926783	1.0	1.0	1.0	🄼 grammar	modern	 ≠
common	dsb	Lower Sorbian	dolnoserbšćina	Latn	DE	1		ICU	1.0	0.999912625600699	1.0	1.0	1.0	🄼 grammar	modern	 ≠
common	ha	Hausa	Hausa	Latn	NG	3	moderate	ICU	1.0	0.9989888776541962	0.999540018399264	1.0	1.0	ⓜ ordinals, 🄼 grammar	modern	 ≠
common	gd	Scottish Gaelic	Gàidhlig	Latn	GB	1		ICU	1.0	0.9995801142089352	0.999198717948718	1.0	1.0	ⓜ collation, 🄼 grammar	modern	 ≠
common	chr	Cherokee	ᏣᎳᎩ	Cher	US	1		ICU	1.0	0.9993945509586276	0.9990850869167429	1.0	1.0	ⓜ ordinals, 🄼 grammar, 🄼 romanization	modern	 ≠
common	pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	NG	1	basic	ICU	1.0	0.9991900374607674	0.9986143187066975	1.0	1.0	ⓜ casing, ⓜ ordinals, ⓜ collation, 🄼 grammar	modern	 ≠
common	kok	Konkani	कोंकणी	Deva	IN	1	basic	ICU	0.999854418401514	0.9989864864864865	0.9980069755854509	1.0	1.0	ⓜ plurals, ⓜ ordinals, 🄼 grammar	modern	 ≠
common	yue_Hans	Cantonese (Simplified)	粤语 (简体)	Hans	CN	0		ICU	1.0	0.9894822006472492	0.9790243902439024	1.0	1.0	ⓜ collation, 🄼 grammar	modern	 ≠
common	ceb	Cebuano	Binisaya	Latn	PH	1	moderate	ICU	1.0	0.5890396325178934	0.9995376791493297	1.0	1.0	ⓜ ordinals	moderate	 ≡
common	yo	Yoruba	Èdè Yorùbá	Latn	NG	2	moderate	ICU	0.9978425026968716	0.8848718848718848	0.9995034756703078	1.0	1.0	ⓜ ordinals	moderate	 ≡
common	ig	Igbo	Igbo	Latn	NG	1	moderate	ICU	1.0	0.9146170063246662	0.9995027349577325	1.0	1.0	ⓜ ordinals	moderate	 ≡
common	sc	Sardinian	sardu	Latn	IT	1		ICU	1.0	0.8690367669401398	0.9995376791493297	1.0	1.0	ⓜ collation	moderate	 ≠
common	qu	Quechua	Runasimi	Latn	PE	3		ICU	1.0	0.951688555347092	0.9985052316890882	1.0	1.0	ⓜ plurals, ⓜ ordinals, ⓜ collation	moderate	 ≠
common	br	Breton	brezhoneg	Latn	FR	1		ICU	1.0	0.9112564222326016	0.9984819734345352	1.0	1.0	ⓜ ordinals	moderate	 ≠
common	ff_Adlm	Fulah (Adlam)	‫𞤆𞤵𞤤𞤢𞤪 (𞤀𞤁𞤂𞤢𞤃)‬	Adlm	GN	12		ICU	1.0	0.623956326268465	0.997229916897507	1.0	1.0	ⓜ ordinals	moderate	 ≠
common	fo	Faroese	føroyskt	Latn	FO	2		ICU	0.99797072039426	0.9602248621128553	0.9967816091954023	1.0	1.0	ⓜ ordinals	moderate	 ≠
common	kgp	Kaingang	kanhgág	Latn	BR	1			1.0	0.6715773966115963	0.9963849977406236	1.0	1.0	ⓜ casing, ⓜ plurals, ⓜ ordinals, ⓜ collation	moderate	 ≠
common	yrl	Nheengatu	nheẽgatu	Latn	BR	3			1.0	0.671196797302992	0.9963768115942029	1.0	1.0	ⓜ casing, ⓜ plurals, ⓜ ordinals, ⓜ collation	moderate	 ≠
common	ast	Asturian	asturianu	Latn	ES	1		ICU	0.9982889269127353	0.6409461832455325	0.9805825242718447	1.0	1.0	ⓜ ordinals, ⓜ collation	moderate	 ≠
common	brx	Bodo	बर’	Deva	IN	1	basic	ICU	0.9781609195402299	0.35609437860171794	0.7323091247672253	1.0	1.0		basic	 ≡
common	ks	Kashmiri	‫کٲشُر‬	Arab	IN	1	basic	ICU	0.9778425655976677	0.3505971769815418	0.72085462145843	1.0	1.0		basic	 ≡
common	su	Sundanese	Basa Sunda	Latn	ID	1	basic	ICU	0.9927884615384616	0.11751516750197837	0.3038779402415766	1.0	1.0		basic	 ≡
common	sa	Sanskrit	संस्कृत भाषा	Deva	IN	1	basic	ICU	0.9568788501026694	0.11909307875894988	0.2695035460992908	1.0	1.0		basic	 ≡
common	doi	Dogri	डोगरी	Deva	IN	1	basic	ICU	1.0	0.11151039965153	0.25140449438202245	1.0	1.0		basic	 ≡
seed	ks_Deva	Kashmiri (Devanagari)	कॉशुर (देवनागरी)	Deva	IN	1	basic		1.0	0.09874540341769414	0.2275449101796407	1.0	1.0		basic	 ≡
common	mai	Maithili	मैथिली	Deva	IN	1	basic	ICU	1.0	0.09880668257756563	0.22683544303797468	1.0	1.0		basic	 ≡
common	mni	Manipuri	মৈতৈলোন্	Beng	IN	1	basic	ICU	1.0	0.09827833572453372	0.22623284189120488	1.0	1.0		basic	 ≡
common	sd_Deva	Sindhi (Devanagari)	सिन्धी (देवनागिरी)	Deva	IN	1	basic	ICU	1.0	0.0925340599455041	0.21608980355472404	1.0	1.0		basic	 ≡
common	sat	Santali	ᱥᱟᱱᱛᱟᱲᱤ	Olck	IN	1	basic	ICU	0.5297845373891001	0.09067279816055183	0.21141374837872892	1.0	1.0		basic	 ≡
common	bs_Cyrl	Bosnian (Cyrillic)	босански (ћирилица)	Cyrl	BA	1		ICU	1.0	0.5766653527788727	0.9772824689241321	1.0	1.0		basic	 ≠
common	to	Tongan	lea fakatonga	Latn	TO	1		ICU	0.9942293090356872	0.9291250140402112	0.854806739345887	1.0	1.0		basic	 ≠
common	rm	Romansh	rumantsch	Latn	CH	1		ICU	0.9867799811142587	0.41963273634096576	0.8352331606217617	1.0	1.0		basic	 ≠
common	ia	Interlingua	interlingua	Latn	001	1		ICU	1.0	0.58544474393531	0.8054695562435501	1.0	1.0		basic	 ≠
common	kea	Kabuverdianu	kabuverdianu	Latn	CV	1		ICU	0.995221027479092	0.4782553729456384	0.7548500881834215	1.0	1.0		basic	 ≠
common	uz_Cyrl	Uzbek (Cyrillic)	ўзбекча (Кирил)	Cyrl	UZ	1		ICU	0.9368836291913215	0.33807085379872504	0.5896643109540636	1.0	1.0		basic	 ≠
common	wo	Wolof	Wolof	Latn	SN	1		ICU	1.0	0.5639936271906533	0.5632258064516129	1.0	1.0		basic	 ≠
common	tg	Tajik	тоҷикӣ	Cyrl	TJ	1		ICU	0.9991472427515634	0.5221352645718959	0.4651729176814418	1.0	1.0		basic	 ≠
common	tt	Tatar	татар	Cyrl	RU	1		ICU	1.0	0.23311052757221293	0.4389254941713127	1.0	1.0		basic	 ≠
common	mi	Māori	te reo Māori	Latn	NZ	1		ICU	1.0	0.44106064583880283	0.35153797865662273	1.0	1.0		basic	 ≠
common	ug	Uyghur	‫ئۇيغۇرچە‬	Arab	CN	1		ICU	0.9752431476569408	0.6454153182308522	0.7361761949390815	0.9866666666666667	1.0			 ≡
common	ti	Tigrinya	ትግርኛ	Ethi	ET	2		ICU	1.0	0.5886824324324325	0.6813285457809695	0.9866666666666667	1.0			 ≡
common	ccp	Chakma	𑄌𑄋𑄴𑄟𑄳𑄦	Cakm	BD	2		ICU	0.8982800982800982	0.6203254661062615	0.9628610729023384	0.9733333333333334	1.0			 ≡
common	lb	Luxembourgish	Lëtzebuergesch	Latn	LU	1		ICU	0.9953253552729993	0.8021414739719785	0.9362745098039216	0.9733333333333334	1.0			 ≡
common	fy	Western Frisian	Frysk	Latn	NL	1		ICU	0.9808319738988581	0.473285074112375	0.9325353645266594	0.9733333333333334	1.0			 ≡
common	mt	Maltese	Malti	Latn	MT	1		ICU	0.9855179185076093	0.490371197320681	0.515387771850636	0.9733333333333334	1.0			 ≡
common	ee	Ewe	Eʋegbe	Latn	GH	2		ICU	0.9745588838736151	0.4762417842904859	0.9428307976025818	0.9726027397260274	1.0			 ≡
common	dz	Dzongkha	རྫོང་ཁ	Tibt	BT	1		ICU	0.9007299270072993	0.2779890658426432	0.5558350100603622	0.9466666666666667	1.0			 ≡
common	ksh	Colognian	Kölsch	Latn	DE	1		ICU	0.9653725078698846	0.30938060567690195	0.5543147208121827	0.9466666666666667	1.0			 ≡
common	se	Northern Sami	davvisámegiella	Latn	NO	3		ICU	0.8298507462686567	0.22851977881752447	0.4020127118644068	0.92	1.0			 ≡
common	os	Ossetic	ирон	Cyrl	GE	2		ICU	0.9432773109243697	0.0970620239390642	0.20681605975723621	0.918918918918919	1.0			 ≡
common	sah	Sakha	саха тыла	Cyrl	RU	1		ICU	0.9446640316205533	0.18376068376068377	0.29883897021706207	0.88	1.0			 ≡
common	gsw	Swiss German	Schwiizertüütsch	Latn	CH	3		ICU	0.7997823721436343	0.3101382488479263	0.6655773420479303	0.8378378378378378	1.0			 ≡
common	fur	Friulian	furlan	Latn	IT	1		ICU	0.9753846153846154	0.2110805312911332	0.47130434782608693	0.8356164383561644	1.0			 ≡
seed	syr	Syriac	‫ܣܘܪܝܝܐ‬	Syrc	IQ	2			0.7671232876712328	0.1035528596187175	0.23475046210720887	0.8133333333333334	1.0			 ≡
common	smn	Inari Sami	anarâškielâ	Latn	FI	1		ICU	0.9615384615384616	0.17645769399386235	0.3804930332261522	0.8082191780821918	1.0			 ≡
common	lrc	Northern Luri	‫لۊری شومالی‬	Arab	IR	2		ICU	1.0	0.10625892432175155	0.18850806451612903	0.8	1.0			 ≡
common	ce	Chechen	нохчийн	Cyrl	RU	1		ICU	1.0	0.4601366742596811	0.8481724461105904	0.7945205479452054	1.0			 ≡
common	rw	Kinyarwanda	Kinyarwanda	Latn	RW	1		ICU	0.9955506117908788	0.407870247274661	0.24805699481865284	0.7945205479452054	1.0			 ≡
common	mgo	Metaʼ	metaʼ	Latn	CM	1		ICU	0.8823529411764706	0.06446956940101034	0.16480938416422286	0.7733333333333333	1.0			 ≡
seed	en_Dsrt	English (Deseret)	𐐀𐑍𐑊𐐮𐑇 (𐐔𐐯𐑆𐐲𐑉𐐯𐐻)	Dsrt	US	1			1.0	0.12060711011510644	0.24599358974358973	0.76875	1.0			 ≡
common	sn	Shona	chiShona	Latn	ZW	1		ICU	0.9650145772594753	0.1623664946597864	0.4031505250875146	0.7671232876712328	1.0			 ≡
common	mg	Malagasy	Malagasy	Latn	MG	1		ICU	0.9645494830132939	0.16005275146864884	0.3969732246798603	0.7671232876712328	1.0			 ≡
common	ii	Sichuan Yi	ꆈꌠꉙ	Yiii	CN	1		ICU	0.9628482972136223	0.08058739255014327	0.1847715736040609	0.7671232876712328	1.0			 ≡
common	jgo	Ngomba	Ndaꞌa	Latn	CM	1		ICU	0.9060773480662984	0.08125677139761647	0.20387779083431257	0.76	1.0			 ≡
common	zgh	Standard Moroccan Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ	Tfng	MA	1		ICU	0.9818456883509834	0.1578695963697158	0.3416243654822335	0.7534246575342466	1.0			 ≡
common	yi	Yiddish	‫ייִדיש‬	Hebr	001	1		ICU	0.8413284132841329	0.14105739205340798	0.28545371637026906	0.7466666666666667	1.0			 ≡
common	om	Oromo	Oromoo	Latn	ET	2		ICU	0.9443155452436195	0.0968438737549502	0.23323615160349853	0.7466666666666667	1.0			 ≡
common	ku	Kurdish	kurdî	Latn	TR	1		ICU	0.9873540856031129	0.2035008335317933	0.39976958525345624	0.7402597402597403	1.0			 ≡
common	xh	Xhosa	isiXhosa	Latn	ZA	1		ICU	0.9634238310708899	0.34672279013830426	0.19237536656891496	0.7397260273972602	1.0			 ≡
common	haw	Hawaiian	ʻŌlelo Hawaiʻi	Latn	US	1		ICU	0.905940594059406	0.09063589373722804	0.22756598240469209	0.726027397260274	1.0			 ≡
common	ckb	Central Kurdish	‫کوردیی ناوەندی‬	Arab	IQ	2		ICU	0.8466603951081844	0.16802337716551868	0.305770887166236	0.7142857142857143	1.0			 ≡
common	wae	Walser	Walser	Latn	CH	1		ICU	0.9726962457337884	0.18832638475282906	0.41628440366972475	0.684931506849315	1.0			 ≡
seed	st	Southern Sotho	Sesotho	Latn	ZA	2			0.772609819121447	0.0778111846061335	0.20410557184750733	0.684931506849315	1.0			 ≡
common	az_Cyrl	Azerbaijani (Cyrillic)	азәрбајҹан (Кирил)	Cyrl	AZ	1		ICU	0.9696969696969697	0.1540827147401909	0.28996447602131437	0.6842105263157895	1.0			 ≡
common	rn	Rundi	Ikirundi	Latn	BI	1		ICU	0.9743589743589743	0.12416910396171231	0.30958549222797926	0.6712328767123288	1.0			 ≡
common	ln	Lingala	lingála	Latn	CD	4		ICU	0.5910194174757282	0.11945310626049413	0.29835873388042206	0.6712328767123288	1.0			 ≡
seed	tn	Tswana	Setswana	Latn	ZA	2			0.9695259593679458	0.3516113516113516	0.20351906158357772	0.6712328767123288	1.0			 ≡
seed	nso	Northern Sotho	Sesotho sa Leboa	Latn	ZA	1			0.9980627663696242	0.3513708513708514	0.2029325513196481	0.6712328767123288	1.0			 ≡
seed	ts	Tsonga	Xitsonga	Latn	ZA	1			0.9104938271604939	0.07671957671957672	0.20117302052785924	0.6712328767123288	1.0			 ≡
common	ewo	Ewondo	ewondo	Latn	CM	1		ICU	0.9754601226993865	0.12961978197287954	0.3225388601036269	0.6575342465753424	1.0			 ≡
common	mua	Mundang	MUNDAŊ	Latn	CM	1		ICU	0.9754098360655737	0.1293538952406275	0.32189119170984454	0.6575342465753424	1.0			 ≡
common	twq	Tasawaq	Tasawaq senni	Latn	NE	1		ICU	0.9754098360655737	0.1293538952406275	0.32189119170984454	0.6575342465753424	1.0			 ≡
common	dje	Zarma	Zarmaciine	Latn	NE	1		ICU	0.9753593429158111	0.12908800850837543	0.32124352331606215	0.6575342465753424	1.0			 ≡
common	bas	Basaa	Ɓàsàa	Latn	CM	1		ICU	0.9753086419753086	0.12882212177612337	0.32059585492227977	0.6575342465753424	1.0			 ≡
common	agq	Aghem	Aghem	Latn	CM	1		ICU	0.9752577319587629	0.12855623504387131	0.31994818652849744	0.6575342465753424	1.0			 ≡
common	sbp	Sangu	Ishisangu	Latn	TZ	1		ICU	0.9748427672955975	0.12642914118585483	0.31476683937823835	0.6575342465753424	1.0			 ≡
common	yav	Yangben	nuasue	Latn	CM	1		ICU	0.9732142857142857	0.11871842595054506	0.2959844559585492	0.6575342465753424	1.0			 ≡
common	nus	Nuer	Thok Nath	Latn	SS	1		ICU	0.9548872180451128	0.07032704068067003	0.17810880829015543	0.6575342465753424	1.0			 ≡
common	lu	Luba-Katanga	Tshiluba	Latn	CD	1		ICU	0.9753086419753086	0.12895506514224941	0.32124352331606215	0.6438356164383562	1.0			 ≡
common	ksf	Bafia	rikpa	Latn	CM	1		ICU	0.9747899159663865	0.12603031108747673	0.3134715025906736	0.6438356164383562	1.0			 ≡
common	nmg	Kwasio	Kwasio	Latn	CM	1		ICU	0.9726890756302521	0.12576442435522467	0.3128238341968912	0.6438356164383562	1.0			 ≡
common	dua	Duala	duálá	Latn	CM	1		ICU	0.9302325581395349	0.04865727200212709	0.133419689119171	0.6438356164383562	1.0			 ≡
common	dyo	Jola-Fonyi	joola	Latn	SN	1		ICU	0.9640718562874252	0.0881414517415581	0.22085492227979275	0.6301369863013698	1.0			 ≡
common	mzn	Mazanderani	‫مازرونی‬	Arab	IR	1		ICU	1.0	0.27449815892623824	0.4110212335692619	0.6266666666666667	1.0			 ≡
common	nnh	Ngiemboon	Shwóŋò ngiembɔɔn	Latn	CM	1		ICU	0.8688524590163934	0.04272475628836202	0.11515863689776733	0.6164383561643836	1.0			 ≡
common	ak	Akan	Akan	Latn	GH	1		ICU	0.9501039501039501	0.11203269623752855	0.27826596367896894	0.6027397260273972	1.0			 ≡
common	tzm	Central Atlas Tamazight	Tamaziɣt n laṭlaṣ	Latn	MA	1		ICU	0.951417004048583	0.11231076164769394	0.27237136465324385	0.5945945945945946	1.0			 ≡
