# Count	Section	Page	Subhead	Code

72	Currencies	Western Asia (C)	Western Asia: Georgia	GEL-symbol-variant
31	Units	Other Units	millimole-per-liter	long-gender
30	Units	Duration	millisecond	long-gender
30	Units	Duration	microsecond	long-gender
30	Units	Duration	nanosecond	long-gender
30	Units	Graphics	megapixel	long-gender
30	Units	Graphics	pixel-per-centimeter	long-gender
30	Units	Length	micrometer	long-gender
30	Units	Length	nanometer	long-gender
30	Units	Volume	megaliter	long-gender
30	Units	Mass and Weight	microgram	long-gender
30	Units	Energy and Power	kilojoule	long-gender
30	Units	Energy and Power	kilowatt-hour	long-gender
30	Units	Energy and Power	gigawatt	long-gender
30	Units	Energy and Power	milliwatt	long-gender
30	Units	Electrical and Frequency	milliampere	long-gender
30	Units	Electrical and Frequency	gigahertz	long-gender
30	Units	Electrical and Frequency	megahertz	long-gender
30	Units	Electrical and Frequency	kilohertz	long-gender
30	Units	Weather	millibar	long-gender
30	Units	Weather	hectopascal	long-gender
30	Units	Weather	megapascal	long-gender
30	Units	Digital	petabyte	long-gender
30	Units	Other Units	item	long-gender
30	Units	Other Units	kilowatt-hour-per-100-kilometer	long-gender
30	Units	Other Units	newton-meter	long-gender
29	Units	Digital	terabit	long-gender
29	Units	Other Units	liter-per-kilometer	long-gender
28	Units	Length	decimeter	long-gender
28	Units	Area	square-meter	long-gender
28	Units	Energy and Power	megawatt	long-gender
28	Units	Energy and Power	kilowatt	long-gender
27	Units	Volume	cubic-kilometer	long-gender
27	Units	Volume	hectoliter	long-gender
27	Units	Digital	terabyte	long-gender
27	Units	Digital	gigabyte	long-gender
27	Units	Digital	gigabit	long-gender
27	Units	Digital	megabyte	long-gender
27	Units	Digital	megabit	long-gender
27	Units	Digital	kilobyte	long-gender
27	Units	Digital	kilobit	long-gender
26	Units	Volume	cubic-meter	long-gender
21	Units	Length	nanometer	long-one-genitive
21	Units	Volume	cubic-kilometer	long-one-genitive
21	Units	Volume	megaliter	long-one-genitive
21	Units	Volume	hectoliter	long-one-genitive
21	Units	Mass and Weight	microgram	long-one-genitive
21	Units	Other Units	liter-per-kilometer	long-one-genitive
21	Units	Other Units	newton-meter	long-one-genitive
20	Units	Duration	millisecond	long-one-genitive
20	Units	Duration	microsecond	long-one-genitive
20	Units	Duration	nanosecond	long-one-genitive
20	Units	Graphics	megapixel	long-one-genitive
20	Units	Length	decimeter	long-one-genitive
20	Units	Length	micrometer	long-one-genitive
20	Units	Area	square-meter	long-one-genitive
20	Units	Volume	cubic-meter	long-one-genitive
20	Units	Energy and Power	kilowatt-hour	long-one-genitive
20	Units	Energy and Power	gigawatt	long-one-genitive
20	Units	Energy and Power	milliwatt	long-one-genitive
20	Units	Weather	millibar	long-one-genitive
20	Units	Weather	hectopascal	long-one-genitive
20	Units	Weather	megapascal	long-one-genitive
20	Units	Other Units	millimole-per-liter	long-one-genitive
20	Units	Other Units	item	long-one-genitive
19	Timezones	Oceania	Cities and Regions	Kanton
19	Units	Mass and Weight	milligram	long-gender
19	Units	Graphics	pixel-per-centimeter	long-one-genitive
19	Units	Energy and Power	megawatt	long-one-genitive
19	Units	Energy and Power	kilowatt	long-one-genitive
19	Units	Electrical and Frequency	milliampere	long-one-genitive
19	Units	Digital	petabyte	long-one-genitive
18	Units	Length	kilometer	long-gender
18	Units	Length	centimeter	long-gender
18	Units	Length	millimeter	long-gender
18	Units	Length	picometer	long-gender
18	Units	Area	square-kilometer	long-gender
18	Units	Area	square-centimeter	long-gender
