# Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Western Asia (C)	Western Asia: Georgia	GEL-symbol-variant	af	₾	GEL	moderate
Timezones	Oceania	Cities and Regions	Kanton	am	Kanton	ካንቶን	moderate
Currencies	Western Asia (C)	Western Asia: Georgia	GEL-symbol-variant	am	₾	GEL	moderate
Units	Duration	decade	long-displayName	am	አስር አመታት	ዓሠርተ-ዓመት	modern
Units	Duration	decade	short-displayName	am	አስር አመታት	ዓሠርተ-ዓመት	modern
Units	Duration	decade	long-one-nominative	am	{0} አስር አመታት	{0} ዓሠርተ-ዓመት	modern
Units	Duration	decade	long-other-nominative	am	{0} አስር አመታት	{0} ዓሠርተ-ዓመታት	modern
Units	Duration	decade	short-one-nominative	am	{0} አስር አመታት	{0} ዓሠ.ዓ	modern
Units	Duration	decade	short-other-nominative	am	{0} አስር አመታት	{0} ዓሠ.ዓ	modern
Units	Duration	decade	narrow-one-nominative	am	{0} አስርተ አመታት	{0} ዓሠ.ዓ	modern
Units	Duration	decade	narrow-other-nominative	am	{0} አስርተ አመታት	{0} ዓሠ.ዓ	modern
Units	Volume	megaliter	long-one-accusative	am	{0} ML	{0} ሜሊ	modern
Units	Volume	megaliter	long-other-accusative	am	{0} ML	{0} ሜሊ	modern
Units	Volume	hectoliter	long-one-accusative	am	{0} hL	{0} ሄሊ	modern
Units	Volume	hectoliter	long-other-accusative	am	{0} hL	{0} ሄሊ	modern
Units	Mass and Weight	microgram	long-one-accusative	am	{0} μg	{0} ማይክሮ ግራም	modern
Units	Mass and Weight	microgram	long-other-accusative	am	{0} μg	{0} ማይክሮ ግራም	modern
Miscellaneous	Minimal Pairs	Case (for measurement units)	nominative	am	{0} ዩኬ የሻይ ማንኪያ	የዩኬ {0} የሻይ ማንኪያ	modern
Miscellaneous	Minimal Pairs	Case (for measurement units)	accusative	am	ልጁ ለ {0} ቀረ	{0} ዩኬ የሻይ ማንኪያው	modern
Timezones	Oceania	Cities and Regions	Kanton	ar	Kanton	‫كانتون‬	moderate
Currencies	Western Asia (C)	Western Asia: Georgia	GEL-symbol-variant	ar	₾	GEL	moderate
Units	Duration	week	long-per	ar	‫{0} كل أسبوع‬	‫{0} في الأسبوع‬	modern
Units	Duration	day	long-per	ar	‫{0} كل يوم‬	‫{0} في اليوم‬	modern
Units	Duration	hour	long-per	ar	‫{0} كل ساعة‬	‫{0} في الساعة‬	modern
Units	Duration	second	long-per	ar	‫{0}/ثانية‬	‫{0} في الثانية‬	modern
Units	Duration	millisecond	long-gender	ar	▷missing◁	feminine	modern
Units	Duration	microsecond	long-gender	ar	▷missing◁	feminine	modern
Units	Duration	nanosecond	long-gender	ar	▷missing◁	feminine	modern
Units	Graphics	megapixel	long-gender	ar	▷missing◁	masculine	modern
Units	Graphics	pixel-per-centimeter	long-gender	ar	▷missing◁	masculine	modern
Units	Length	kilometer	long-gender	ar	▷missing◁	masculine	modern
