

agq	3	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
agq	3	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
agq	2	//supplementalData/plurals[@type='*']/pluralRules[@locales='*']/pluralRule[@count='*']
agq	2	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
agq	2	//ldml/dates/timeZoneNames/regionFormat[@type='*']
agq	1	//ldml/collations/collation[@type='*']
agq	1	//supplementalData/grammaticalData/grammaticalFeatures
agq	1	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
agq	1	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
agq	1	//ldml/localeDisplayNames/scripts/script[@type='*']
agq	1	//ldml/localeDisplayNames/territories/territory[@type='*']
agq	1	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
agq	1	//ldml/dates/timeZoneNames/hourFormat
agq	1	//ldml/dates/timeZoneNames/gmtFormat
agq	1	//ldml/dates/timeZoneNames/gmtZeroFormat
agq	1	//ldml/dates/timeZoneNames/regionFormat
agq	1	//ldml/dates/timeZoneNames/fallbackFormat
agq	1	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
agq	1	//ldml/numbers/symbols[@numberSystem='*']/percentSign
agq	1	//ldml/numbers/symbols[@numberSystem='*']/plusSign
agq	1	//ldml/numbers/symbols[@numberSystem='*']/minusSign
agq	1	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']

ak	4	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
ak	3	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
ak	3	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
ak	2	//ldml/dates/timeZoneNames/regionFormat[@type='*']
ak	1	//supplementalData/plurals[@type='*']/pluralRules[@locales='*']/pluralRule[@count='*']
ak	1	//ldml/collations/collation[@type='*']
ak	1	//supplementalData/grammaticalData/grammaticalFeatures
ak	1	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
ak	1	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
ak	1	//ldml/localeDisplayNames/scripts/script[@type='*']
ak	1	//ldml/localeDisplayNames/territories/territory[@type='*']
ak	1	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
ak	1	//ldml/dates/timeZoneNames/hourFormat
ak	1	//ldml/dates/timeZoneNames/gmtFormat
ak	1	//ldml/dates/timeZoneNames/gmtZeroFormat
ak	1	//ldml/dates/timeZoneNames/regionFormat
ak	1	//ldml/dates/timeZoneNames/fallbackFormat
ak	1	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
