# Count	Section	Page	Subhead	Code

66	Currencies	Western Asia (C)	Western Asia: Georgia	GEL-symbol-variant
4	Core Data	Alphabetic Information	Characters in Use	Main Letters
2	Date & Time	Fields	Date Fields	second
2	Currencies	North America (C)	Northern America: United States	USD-symbol
1	Locale Display Names	Languages (A-D)	B	Bodo ► brx
1	Locale Display Names	Geographic Regions	Unknown Region	ZZ
1	Date & Time	Fields	Date Fields	era
1	Date & Time	Fields	Date Fields	week
1	Date & Time	Fields	Date Fields	hour
1	Date & Time	Fields	Date Fields	minute
1	Date & Time	Gregorian	Formats - Standard - Date Formats	full
1	Date & Time	Gregorian	Formats - Standard - Date Formats	short
1	Date & Time	Gregorian	Formats - Standard - Time Formats	full
1	Date & Time	Gregorian	Formats - Standard - Time Formats	long
1	Date & Time	Gregorian	Formats - Standard - Time Formats	medium
1	Date & Time	Gregorian	Formats - Standard - Time Formats	short
1	Currencies	Southern/Eastern Europe	Eastern Europe: Russia	RUB-symbol
1	Currencies	Eastern Asia (C)	Eastern Asia: China	CNY-symbol
1	Locale Display Names	Languages (A-D)	A	Atikamekw ► atj
1	Locale Display Names	Languages (A-D)	C	Carolina Algonquian ► crr
1	Locale Display Names	Languages (A-D)	C	Central Ojibwa ► ojc
1	Locale Display Names	Languages (A-D)	C	Chilcotin ► clc
1	Locale Display Names	Languages (A-D)	C	Crimean Tatar ► crh
1	Locale Display Names	Languages (E-J)	E	Eastern Canadian Inuktitut ► ike
1	Locale Display Names	Languages (E-J)	E	Eastern Ojibwa ► ojg
1	Locale Display Names	Languages (E-J)	H	Halkomelem ► hur
1	Locale Display Names	Languages (E-J)	H	Hmong Njua ► hnj
1	Locale Display Names	Languages (E-J)	I	Innu-aimun ► moe
1	Locale Display Names	Languages (K-N)	K	Kwakʼwala ► kwk
1	Locale Display Names	Languages (K-N)	L	Lillooet ► lil
1	Locale Display Names	Languages (K-N)	M	Malecite ► pqm
1	Locale Display Names	Languages (K-N)	M	Michif ► crg
1	Locale Display Names	Languages (K-N)	M	Moose Cree ► crm
1	Locale Display Names	Languages (K-N)	N	Northern East Cree ► crl
1	Locale Display Names	Languages (K-N)	N	Northern Haida ► hdn
1	Locale Display Names	Languages (K-N)	N	Northern Tutchone ► ttm
1	Locale Display Names	Languages (K-N)	N	Northwestern Ojibwa ► ojb
1	Locale Display Names	Languages (O-S)	O	Oji-Cree ► ojs
1	Locale Display Names	Languages (O-S)	O	Okanagan ► oka
1	Locale Display Names	Languages (O-S)	P	Plains Cree ► crk
1	Locale Display Names	Languages (O-S)	S	Southern East Cree ► crj
1	Locale Display Names	Languages (O-S)	S	Southern Haida ► hax
1	Locale Display Names	Languages (O-S)	S	Southern Lushootseed ► slh
1	Locale Display Names	Languages (O-S)	S	Southern Tutchone ► tce
1	Locale Display Names	Languages (O-S)	S	Straits Salish ► str
1	Locale Display Names	Languages (O-S)	S	Swampy Cree ► csw
1	Locale Display Names	Languages (T-Z)	T	Tagish ► tgx
1	Locale Display Names	Languages (T-Z)	T	Tahltan ► tht
1	Locale Display Names	Languages (T-Z)	T	Tai Dam ► blt
1	Locale Display Names	Languages (T-Z)	T	Torwali ► trw
1	Locale Display Names	Languages (T-Z)	W	Western Canadian Inuktitut ► ikt
1	Locale Display Names	Languages (T-Z)	W	Western Ojibwa ► ojw
1	Locale Display Names	Languages (T-Z)	W	Woods Cree ► cwd
1	Currencies	Southeast Asia (C)	Southeast Asia: Philippines	PHP-name-one
1	Currencies	Southeast Asia (C)	Southeast Asia: Philippines	PHP-name-other
1	Currencies	Southeast Asia (C)	Southeast Asia: Philippines	PHP-name
1	Units	Other Units	permille	long-displayName
1	Units	Compound Units	10p-3	long
1	Numbers	Symbols	Symbols 	group
1	Numbers	Number Formatting Patterns	Standard Patterns 	standard-decimal
1	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency
1	Numbers	Number Formatting Patterns	Standard Patterns 	standard-percent
1	Currencies	Eastern Asia (C)	Eastern Asia: Japan	JPY-symbol
1	Currencies	Southern/Eastern Europe	Eastern Europe: Russia: RUR (old)	RUR-symbol-narrow
1	Currencies	Unknown Region (C)	Unknown Region: EUR	EUR-symbol-narrow
1	Units	Length	millimeter	long-one-nominative
