# Grammatical Features
Amharic	am	grammaticalCase	general	nominative, accusative
Amharic	am	grammaticalDefiniteness	general	indefinite, definite

# Minimal Pairs
Plural	one	{0} ቀን	<div class='cldr_example'><span class='cldr_substituted'>1</span> ቀን</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ቀን</div>
Plural	other	{0} ቀናት	<div class='cldr_example'><span class='cldr_substituted'>2</span> ቀናት</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ቀናት</div>
Case (for measurement units)	nominative	{0} ዩኬ የሻይ ማንኪያ	<div class='cldr_example'><span class='cldr_substituted'>1 rad</span> ዩኬ የሻይ ማንኪያ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 ራዲያን</span> ዩኬ የሻይ ማንኪያ</div>
Case (for measurement units)	accusative	ልጁ ለ {0} ቀረ	<div class='cldr_example'>ልጁ ለ <span class='cldr_substituted'>1 ራዲያን</span> ቀረ</div><div class='cldr_example'>❌  ልጁ ለ <span class='cldr_substituted'>1 rad</span> ቀረ</div>

# Unit Case and Gender Info
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	accusative	{0} mmol/L	ልጁ ለ 1 mmol/L ቀረ	{0} mmol/L	ልጁ ለ 3 mmol/L ቀረ
consumption	liters per 100 kilometers	nominative	{0} ሊትር በ100 ኪሎሜትሮች	1 ሊትር በ100 ኪሎሜትሮች ዩኬ የሻይ ማንኪያ	{0} ሊትሮች በ100 ኪሎሜትሮች	3 ሊትሮች በ100 ኪሎሜትሮች ዩኬ የሻይ ማንኪያ
consumption	liters per 100 kilometers	accusative	{0} ሊትር በ100 ኪሎሜትሮች	ልጁ ለ 1 ሊትር በ100 ኪሎሜትሮች ቀረ	{0} ሊትሮች በ100 ኪሎሜትሮች	ልጁ ለ 3 ሊትሮች በ100 ኪሎሜትሮች ቀረ
consumption	liters per kilometer	nominative	{0} ሊ/ኪሜ	1 ሊ/ኪሜ ዩኬ የሻይ ማንኪያ	{0} ሊ/ኪሜ	3 ሊ/ኪሜ ዩኬ የሻይ ማንኪያ
consumption	liters per kilometer	accusative	{0} ሊ/ኪሜ	ልጁ ለ 1 ሊ/ኪሜ ቀረ	{0} ሊ/ኪሜ	ልጁ ለ 3 ሊ/ኪሜ ቀረ
digital	bits	nominative	{0} ቢት	1 ቢት ዩኬ የሻይ ማንኪያ	{0} ቢት	3 ቢት ዩኬ የሻይ ማንኪያ
digital	bits	accusative	{0} ቢት	ልጁ ለ 1 ቢት ቀረ	{0} ቢት	ልጁ ለ 3 ቢት ቀረ
digital	byte ( = 8 bit)	nominative	{0} ባይት	1 ባይት ዩኬ የሻይ ማንኪያ	{0} ባይት	3 ባይት ዩኬ የሻይ ማንኪያ
digital	byte ( = 8 bit)	accusative	{0} ባይት	ልጁ ለ 1 ባይት ቀረ	{0} ባይት	ልጁ ለ 3 ባይት ቀረ
duration	nanoseconds	nominative	{0} ናኖሰከንድ	1 ናኖሰከንድ ዩኬ የሻይ ማንኪያ	{0} ናኖሰከንድ	3 ናኖሰከንድ ዩኬ የሻይ ማንኪያ
duration	nanoseconds	accusative	{0} ናኖሰከንድ	ልጁ ለ 1 ናኖሰከንድ ቀረ	{0} ናኖሰከንድ	ልጁ ለ 3 ናኖሰከንድ ቀረ
duration	microseconds	nominative	{0} ማይክሮሰከንድ	1 ማይክሮሰከንድ ዩኬ የሻይ ማንኪያ	{0} ማይክሮሰከንድ	3 ማይክሮሰከንድ ዩኬ የሻይ ማንኪያ
duration	microseconds	accusative	{0} ማይክሮሰከንድ	ልጁ ለ 1 ማይክሮሰከንድ ቀረ	{0} ማይክሮሰከንድ	ልጁ ለ 3 ማይክሮሰከንድ ቀረ
