# Grammatical Features
#Locale	ID	Feature	Usage	Values
Armenian	hy	grammaticalCase	general	nominative, locative, dative, instrumental, ablative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
angle	degree • ( = 0.002˙7 rev)	ablative	{0} աստիճանից	Վախենում եմ այդ 1 աստիճանից	{0} աստիճանից	Վախենում եմ այդ 3 աստիճանից
angle	radian • ( = ~0.1591549430918953 rev)	nominative	{0} ռադիան	Մնացել է 1 ռադիան	{0} ռադիան	Մնացել է 3 ռադիան
angle	radian • ( = ~0.1591549430918953 rev)	locative	{0} ռադիանում	Երկրի պտույտը 1 ռադիանում	{0} ռադիանում	Երկրի պտույտը 3 ռադիանում
angle	radian • ( = ~0.1591549430918953 rev)	dative	{0} ռադիանին	Սպասում եմ այդ 1 ռադիանին	{0} ռադիանին	Սպասում եմ այդ 3 ռադիանին
angle	radian • ( = ~0.1591549430918953 rev)	instrumental	{0} ռադիանով	Հպարտանում եմ այդ 1 ռադիանով	{0} ռադիանով	Հպարտանում եմ այդ 3 ռադիանով
angle	radian • ( = ~0.1591549430918953 rev)	ablative	{0} ռադիանից	Վախենում եմ այդ 1 ռադիանից	{0} ռադիանից	Վախենում եմ այդ 3 ռադիանից
angle	revolutions	nominative	{0} պտույտ	Մնացել է 1 պտույտ	{0} պտույտ	Մնացել է 3 պտույտ
angle	revolutions	locative	{0} պտույտում	Երկրի պտույտը 1 պտույտում	{0} պտույտում	Երկրի պտույտը 3 պտույտում
angle	revolutions	dative	{0} պտույտին	Սպասում եմ այդ 1 պտույտին	{0} պտույտին	Սպասում եմ այդ 3 պտույտին
angle	revolutions	instrumental	{0} պտույտով	Հպարտանում եմ այդ 1 պտույտով	{0} պտույտով	Հպարտանում եմ այդ 3 պտույտով
angle	revolutions	ablative	{0} պտույտից	Վախենում եմ այդ 1 պտույտից	{0} պտույտից	Վախենում եմ այդ 3 պտույտից
area	square centimeters	nominative	{0} քառակուսի սանտիմետր	Մնացել է 1 քառակուսի սանտիմետր	{0} քառակուսի սանտիմետր	Մնացել է 3 քառակուսի սանտիմետր
area	square centimeters	locative	{0} քառակուսի սանտիմետրում	Երկրի պտույտը 1 քառակուսի սանտիմետրում	{0} քառակուսի սանտիմետրում	Երկրի պտույտը 3 քառակուսի սանտիմետրում
area	square centimeters	dative	{0} քառակուսի սանտիմետրին	Սպասում եմ այդ 1 քառակուսի սանտիմետրին	{0} քառակուսի սանտիմետրին	Սպասում եմ այդ 3 քառակուսի սանտիմետրին
area	square centimeters	instrumental	{0} քառակուսի սանտիմետրով	Հպարտանում եմ այդ 1 քառակուսի սանտիմետրով	{0} քառակուսի սանտիմետրով	Հպարտանում եմ այդ 3 քառակուսի սանտիմետրով
area	square centimeters	ablative	{0} քառակուսի սանտիմետրից	Վախենում եմ այդ 1 քառակուսի սանտիմետրից	{0} քառակուսի սանտիմետրից	Վախենում եմ այդ 3 քառակուսի սանտիմետրից
area	square meters	nominative	{0} քառակուսի մետր	Մնացել է 1 քառակուսի մետր	{0} քառակուսի մետր	Մնացել է 3 քառակուսի մետր
