# Grammatical Features
Lithuanian	lt	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Lithuanian	lt	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Lithuanian	lt	grammaticalGender	general	masculine, feminine

# Minimal Pairs
Plural	one	{0} obuolys	<div class='cldr_example'><span class='cldr_substituted'>1</span> obuolys</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10</span> obuolys</div>
Plural	few	{0} obuoliai	<div class='cldr_example'><span class='cldr_substituted'>2</span> obuoliai</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10</span> obuoliai</div>
Plural	many	{0} obuolio	<div class='cldr_example'><span class='cldr_substituted'>0,1</span> obuolio</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10</span> obuolio</div>
Plural	other	{0} obuolių	<div class='cldr_example'><span class='cldr_substituted'>10</span> obuolių</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> obuolių</div>
Case (for measurement units)	nominative	{0} metras	<div class='cldr_example'><span class='cldr_substituted'>2 metrai</span> metras</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 metrus</span> metras</div>
Case (for measurement units)	accusative	{0} metrą	<div class='cldr_example'><span class='cldr_substituted'>2 metrus</span> metrą</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 metrams</span> metrą</div>
Case (for measurement units)	genitive	{0} metro	<div class='cldr_example'><span class='cldr_substituted'>0,1 metro</span> metro</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 metrus</span> metro</div>
Case (for measurement units)	locative	{0} metre	<div class='cldr_example'><span class='cldr_substituted'>1 metre</span> metre</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 metrus</span> metre</div>
Case (for measurement units)	dative	{0} metrui	<div class='cldr_example'><span class='cldr_substituted'>2 metrams</span> metrui</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 metrus</span> metrui</div>
Case (for measurement units)	instrumental	{0} metru	<div class='cldr_example'><span class='cldr_substituted'>2 metrais</span> metru</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 metrus</span> metru</div>
Gender (for measurement units)	masculine	{0} metras	<div class='cldr_example'><span class='cldr_substituted'>metras</span> metras</div><div class='cldr_example'>❌  <span class='cldr_substituted'>diena</span> metras</div>
Gender (for measurement units)	feminine	{0} metras	<div class='cldr_example'><span class='cldr_substituted'>diena</span> metras</div><div class='cldr_example'>❌  <span class='cldr_substituted'>metras</span> metras</div>

# Unit Case and Gender Info
acceleration	meters per second squared	n/a	n/a	nominative	{0} metras per kvadratinę sekundę	21 metras per kvadratinę sekundę metras	{0} m/s²	3 m/s² metras	{0} m/s²	0,2 m/s² metras	{0} metrų per kvadratinę sekundę	10 metrų per kvadratinę sekundę metras
acceleration	meters per second squared	n/a	n/a	accusative	{0} metras per kvadratinę sekundę	21 metras per kvadratinę sekundę metrą	{0} m/s²	3 m/s² metrą	{0} m/s²	0,2 m/s² metrą	{0} metrų per kvadratinę sekundę	10 metrų per kvadratinę sekundę metrą
acceleration	meters per second squared	n/a	n/a	genitive	{0} metras per kvadratinę sekundę	21 metras per kvadratinę sekundę metro	{0} m/s²	3 m/s² metro	{0} m/s²	0,2 m/s² metro	{0} metrų per kvadratinę sekundę	10 metrų per kvadratinę sekundę metro
acceleration	meters per second squared	n/a	n/a	locative	{0} metras per kvadratinę sekundę	21 metras per kvadratinę sekundę metre	{0} m/s²	3 m/s² metre	{0} m/s²	0,2 m/s² metre	{0} metrų per kvadratinę sekundę	10 metrų per kvadratinę sekundę metre
acceleration	meters per second squared	n/a	n/a	dative	{0} metras per kvadratinę sekundę	21 metras per kvadratinę sekundę metrui	{0} m/s²	3 m/s² metrui	{0} m/s²	0,2 m/s² metrui	{0} metrų per kvadratinę sekundę	10 metrų per kvadratinę sekundę metrui
acceleration	meters per second squared	n/a	n/a	instrumental	{0} metras per kvadratinę sekundę	21 metras per kvadratinę sekundę metru	{0} m/s²	3 m/s² metru	{0} m/s²	0,2 m/s² metru	{0} metrų per kvadratinę sekundę	10 metrų per kvadratinę sekundę metru
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	nominative	{0} laisvojo kritimo pagreitis	21 laisvojo kritimo pagreitis metras	{0} laisvojo kritimo pagreičiai	3 laisvojo kritimo pagreičiai metras	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metras	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metras
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	accusative	{0} laisvojo kritimo pagreitį	21 laisvojo kritimo pagreitį metrą	{0} laisvojo kritimo pagreičius	3 laisvojo kritimo pagreičius metrą	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metrą	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metrą
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	genitive	{0} laisvojo kritimo pagreičio	21 laisvojo kritimo pagreičio metro	{0} laisvojo kritimo pagreičių	3 laisvojo kritimo pagreičių metro	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metro	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metro
acceleration	g-force ( = 9.80665 m/s²)	masculine	laisvojo kritimo pagreitis metras	locative	{0} laisvojo kritimo pagreityje	21 laisvojo kritimo pagreityje metre	{0} laisvojo kritimo pagreičiuose	3 laisvojo kritimo pagreičiuose metre	{0} laisvojo kritimo pagreičio	0,2 laisvojo kritimo pagreičio metre	{0} laisvojo kritimo pagreičių	10 laisvojo kritimo pagreičių metre
