# Grammatical Features
#Locale	ID	Feature	Usage	Values
Danish	da	grammaticalCase	general	nominative, genitive
Danish	da	grammaticalDefiniteness	general	unspecified, indefinite, definite
Danish	da	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dage	<div class='cldr_example'><span class='cldr_substituted'>2</span> dage</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dage</div>
Case (for measurement units)	nominative	Jeg tror, ​​at {0} er nok.	<div class='cldr_example'>Jeg tror, ​​at <span class='cldr_substituted'>1 århundrede</span> er nok.</div><div class='cldr_example'>❌  Jeg tror, ​​at <span class='cldr_substituted'>2 århundreders</span> er nok.</div>
Case (for measurement units)	genitive	Med {0} mellemrum	<div class='cldr_example'>Med <span class='cldr_substituted'>2 århundreders</span> mellemrum</div><div class='cldr_example'>❌  Med <span class='cldr_substituted'>1 århundrede</span> mellemrum</div>
Gender (for measurement units)	common	En {0}	<div class='cldr_example'>En <span class='cldr_substituted'>centimeter</span></div><div class='cldr_example'>❌  En <span class='cldr_substituted'>århundrede</span></div>
Gender (for measurement units)	neuter	Et {0}	<div class='cldr_example'>Et <span class='cldr_substituted'>århundrede</span></div><div class='cldr_example'>❌  Et <span class='cldr_substituted'>centimeter</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
angle	radian • ( = ~0.1591549430918953 rev)	common	En radian	nominative	{0} radian	Jeg tror, ​​at 1 radian er nok.	{0} radianer	Jeg tror, ​​at 2 radianer er nok.
angle	radian • ( = ~0.1591549430918953 rev)	common	En radian	genitive	{0} radians	Med 1 radians mellemrum	{0} radianers	Med 2 radianers mellemrum
angle	revolutions	common	En omdrejning	nominative	{0} omdrejning	Jeg tror, ​​at 1 omdrejning er nok.	{0} omdrejninger	Jeg tror, ​​at 2 omdrejninger er nok.
angle	revolutions	common	En omdrejning	genitive	{0} omdrejnings	Med 1 omdrejnings mellemrum	{0} omdrejningers	Med 2 omdrejningers mellemrum
area	square centimeters	common	En kvadratcentimeter	nominative	{0} kvadratcentimeter	Jeg tror, ​​at 1 kvadratcentimeter er nok.	{0} kvadratcentimeter	Jeg tror, ​​at 2 kvadratcentimeter er nok.
area	square centimeters	common	En kvadratcentimeter	genitive	{0} kvadratcentimeters	Med 1 kvadratcentimeters mellemrum	{0} kvadratcentimeters	Med 2 kvadratcentimeters mellemrum
area	square-foot • ( = 929.0304 cm²)	common	En kvadratfod	nominative	{0} kvadratfod	Jeg tror, ​​at 1 kvadratfod er nok.	{0} kvadratfod	Jeg tror, ​​at 2 kvadratfod er nok.
area	square-foot • ( = 929.0304 cm²)	common	En kvadratfod	genitive	{0} kvadratfod	Med 1 kvadratfod mellemrum	{0} kvadratfod	Med 2 kvadratfod mellemrum
area	square meters	common	En kvadratmeter	nominative	{0} kvadratmeter	Jeg tror, ​​at 1 kvadratmeter er nok.	{0} kvadratmeter	Jeg tror, ​​at 2 kvadratmeter er nok.
area	square meters	common	En kvadratmeter	genitive	{0} kvadratmeters	Med 1 kvadratmeters mellemrum	{0} kvadratmeters	Med 2 kvadratmeters mellemrum
area	acre • ( = 4,046.8564224 m²)	common	En acre	nominative	{0} acre	Jeg tror, ​​at 1 acre er nok.	{0} acres	Jeg tror, ​​at 2 acres er nok.
area	acre • ( = 4,046.8564224 m²)	common	En acre	genitive	{0} acre	Med 1 acre mellemrum	{0} acres	Med 2 acres mellemrum
area	hectares	common	En hektar	nominative	{0} hektar	Jeg tror, ​​at 1 hektar er nok.	{0} hektar	Jeg tror, ​​at 2 hektar er nok.
area	hectares	common	En hektar	genitive	{0} hektars	Med 1 hektars mellemrum	{0} hektars	Med 2 hektars mellemrum
area	square kilometers	common	En kvadratkilometer	nominative	{0} kvadratkilometer	Jeg tror, ​​at 1 kvadratkilometer er nok.	{0} kvadratkilometer	Jeg tror, ​​at 2 kvadratkilometer er nok.
area	square kilometers	common	En kvadratkilometer	genitive	{0} kvadratkilometers	Med 1 kvadratkilometers mellemrum	{0} kvadratkilometers	Med 2 kvadratkilometers mellemrum
area	square-mile • ( = 2.589988110336 km²)	common	En kvadrat-engelsk mil	nominative	{0} kvadrat-engelsk mil	Jeg tror, ​​at 1 kvadrat-engelsk mil er nok.	{0} kvadrat-engelske mil	Jeg tror, ​​at 2 kvadrat-engelske mil er nok.
area	square-mile • ( = 2.589988110336 km²)	common	En kvadrat-engelsk mil	genitive	{0} kvadrat-engelsk mil	Med 1 kvadrat-engelsk mil mellemrum	{0} kvadrat-engelske mil	Med 2 kvadrat-engelske mil mellemrum
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	neuter	Et millimol pr. liter	nominative	{0} millimol pr. liter	Jeg tror, ​​at 1 millimol pr. liter er nok.	{0} millimol pr. liter	Jeg tror, ​​at 2 millimol pr. liter er nok.
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	neuter	Et millimol pr. liter	genitive	{0} millimol pr. liters	Med 1 millimol pr. liters mellemrum	{0} millimol pr. liters	Med 2 millimol pr. liters mellemrum
consumption	liters per 100 kilometers	common	En liter pr. 100 kilometer	nominative	{0} liter pr. 100 kilometer	Jeg tror, ​​at 1 liter pr. 100 kilometer er nok.	{0} liter pr. 100 kilometer	Jeg tror, ​​at 2 liter pr. 100 kilometer er nok.
