# Grammatical Features
#Locale	ID	Feature	Usage	Values
Danish	da	grammaticalCase	general	nominative, genitive
Danish	da	grammaticalDefiniteness	general	unspecified, indefinite, definite
Danish	da	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dage	<div class='cldr_example'><span class='cldr_substituted'>2</span> dage</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dage</div>
Case (for measurement units)	nominative	Jeg tror, ​​at {0} er nok.	<div class='cldr_example'>Jeg tror, ​​at <span class='cldr_substituted'>1 århundrede</span> er nok.</div><div class='cldr_example'>❌  Jeg tror, ​​at <span class='cldr_substituted'>2 århundreders</span> er nok.</div>
Case (for measurement units)	genitive	Med {0} mellemrum	<div class='cldr_example'>Med <span class='cldr_substituted'>2 århundreders</span> mellemrum</div><div class='cldr_example'>❌  Med <span class='cldr_substituted'>1 århundrede</span> mellemrum</div>
Gender (for measurement units)	common	En {0}	<div class='cldr_example'>En <span class='cldr_substituted'>centimeter</span></div><div class='cldr_example'>❌  En <span class='cldr_substituted'>århundrede</span></div>
Gender (for measurement units)	neuter	Et {0}	<div class='cldr_example'>Et <span class='cldr_substituted'>århundrede</span></div><div class='cldr_example'>❌  Et <span class='cldr_substituted'>centimeter</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
energy	newton-meter • ( = 1 J)	common	En newtonmeter	nominative	{0} newtonmeter	Jeg tror, ​​at 1 newtonmeter er nok.	{0} newtonmeter	Jeg tror, ​​at 2 newtonmeter er nok.
energy	newton-meter • ( = 1 J)	common	En newtonmeter	genitive	{0} newtonmeters	Med 1 newtonmeters mellemrum	{0} newtonmeters	Med 2 newtonmeters mellemrum
energy	calorie • ( = 4.184 J)	common	En kalorie	nominative	{0} kalorie	Jeg tror, ​​at 1 kalorie er nok.	{0} kalorier	Jeg tror, ​​at 2 kalorier er nok.
energy	calorie • ( = 4.184 J)	common	En kalorie	genitive	{0} kalories	Med 1 kalories mellemrum	{0} kaloriers	Med 2 kaloriers mellemrum
energy	kilojoules	common	En kilojoule	nominative	{0} kilojoule	Jeg tror, ​​at 1 kilojoule er nok.	{0} kilojoule	Jeg tror, ​​at 2 kilojoule er nok.
energy	kilojoules	common	En kilojoule	genitive	{0} kilojoules	Med 1 kilojoules mellemrum	{0} kilojoules	Med 2 kilojoules mellemrum
energy	foodcalorie • ( = 4.184 kJ)	common	En kalorie	nominative	{0} kalorie	Jeg tror, ​​at 1 kalorie er nok.	{0} kalorier	Jeg tror, ​​at 2 kalorier er nok.
energy	foodcalorie • ( = 4.184 kJ)	common	En kalorie	genitive	{0} kalorie	Med 1 kalorie mellemrum	{0} kalorier	Med 2 kalorier mellemrum
energy	kilocalorie • ( = 4.184 kJ)	common	En kilokalorie	nominative	{0} kilokalorie	Jeg tror, ​​at 1 kilokalorie er nok.	{0} kilokalorier	Jeg tror, ​​at 2 kilokalorier er nok.
energy	kilocalorie • ( = 4.184 kJ)	common	En kilokalorie	genitive	{0} kilokalorie	Med 1 kilokalorie mellemrum	{0} kilokalorier	Med 2 kilokalorier mellemrum
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	common	En kilowatt-time	nominative	{0} kilowatt-time	Jeg tror, ​​at 1 kilowatt-time er nok.	{0} kilowatt-timer	Jeg tror, ​​at 2 kilowatt-timer er nok.
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	common	En kilowatt-time	genitive	{0} kilowatt-times	Med 1 kilowatt-times mellemrum	{0} kilowatt-timers	Med 2 kilowatt-timers mellemrum
force	newtons	common	En newton	nominative	{0} newton	Jeg tror, ​​at 1 newton er nok.	{0} newton	Jeg tror, ​​at 2 newton er nok.
force	newtons	common	En newton	genitive	{0} newtons	Med 1 newtons mellemrum	{0} newtons	Med 2 newtons mellemrum
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	common	En kilowatt-time per 100 kilometer	nominative	{0} kilowatt-time per 100 kilometer	Jeg tror, ​​at 1 kilowatt-time per 100 kilometer er nok.	{0} kilowatt-timer per 100 kilometer	Jeg tror, ​​at 2 kilowatt-timer per 100 kilometer er nok.
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	common	En kilowatt-time per 100 kilometer	genitive	{0} kilowatt-time per 100 kilometers	Med 1 kilowatt-time per 100 kilometers mellemrum	{0} kilowatt-timer per 100 kilometers	Med 2 kilowatt-timer per 100 kilometers mellemrum
frequency	hertz	common	En hertz	nominative	{0} hertz	Jeg tror, ​​at 1 hertz er nok.	{0} hertz	Jeg tror, ​​at 2 hertz er nok.
frequency	hertz	common	En hertz	genitive	{0} hertz'	Med 1 hertz' mellemrum	{0} hertz'	Med 2 hertz' mellemrum
frequency	kilohertz	common	En kilohertz	nominative	{0} kilohertz	Jeg tror, ​​at 1 kilohertz er nok.	{0} kilohertz	Jeg tror, ​​at 2 kilohertz er nok.
frequency	kilohertz	common	En kilohertz	genitive	{0} kilohertz'	Med 1 kilohertz' mellemrum	{0} kilohertz'	Med 2 kilohertz' mellemrum
frequency	megahertz	common	En megahertz	nominative	{0} megahertz	Jeg tror, ​​at 1 megahertz er nok.	{0} megahertz	Jeg tror, ​​at 2 megahertz er nok.
frequency	megahertz	common	En megahertz	genitive	{0} megahertz'	Med 1 megahertz' mellemrum	{0} megahertz'	Med 2 megahertz' mellemrum
frequency	gigahertz	common	En gigahertz	nominative	{0} gigahertz	Jeg tror, ​​at 1 gigahertz er nok.	{0} gigahertz	Jeg tror, ​​at 2 gigahertz er nok.
frequency	gigahertz	common	En gigahertz	genitive	{0} gigahertz'	Med 1 gigahertz' mellemrum	{0} gigahertz'	Med 2 gigahertz' mellemrum
graphics	pixel • ( = 1 px)	common	En pixel	nominative	{0} pixel	Jeg tror, ​​at 1 pixel er nok.	{0} pixels	Jeg tror, ​​at 2 pixels er nok.
graphics	pixel • ( = 1 px)	common	En pixel	genitive	{0} pixels	Med 1 pixels mellemrum	{0} pixels′	Med 2 pixels′ mellemrum
graphics	megapixels	common	En megapixel	nominative	{0} megapixel	Jeg tror, ​​at 1 megapixel er nok.	{0} megapixels	Jeg tror, ​​at 2 megapixels er nok.
graphics	megapixels	common	En megapixel	genitive	{0} megapixels	Med 1 megapixels mellemrum	{0} megapixels′	Med 2 megapixels′ mellemrum
illuminance	lux	common	En lux	nominative	{0} lux	Jeg tror, ​​at 1 lux er nok.	{0} lux	Jeg tror, ​​at 2 lux er nok.
illuminance	lux	common	En lux	genitive	{0} lux′	Med 1 lux′ mellemrum	{0} lux′	Med 2 lux′ mellemrum
length	picometers	common	En pikometer	nominative	{0} pikometer	Jeg tror, ​​at 1 pikometer er nok.	{0} pikometer	Jeg tror, ​​at 2 pikometer er nok.
length	picometers	common	En pikometer	genitive	{0} pikometers	Med 1 pikometers mellemrum	{0} pikometers	Med 2 pikometers mellemrum
length	nanometers	common	En nanometer	nominative	{0} nanometer	Jeg tror, ​​at 1 nanometer er nok.	{0} nanometer	Jeg tror, ​​at 2 nanometer er nok.
length	nanometers	common	En nanometer	genitive	{0} nanometers	Med 1 nanometers mellemrum	{0} nanometers	Med 2 nanometers mellemrum
length	micrometers	common	En mikrometer	nominative	{0} mikrometer	Jeg tror, ​​at 1 mikrometer er nok.	{0} mikrometer	Jeg tror, ​​at 2 mikrometer er nok.
length	micrometers	common	En mikrometer	genitive	{0} mikrometers	Med 1 mikrometers mellemrum	{0} mikrometers	Med 2 mikrometers mellemrum
length	millimeters	common	En millimeter	nominative	{0} millimeter	Jeg tror, ​​at 1 millimeter er nok.	{0} millimeter	Jeg tror, ​​at 2 millimeter er nok.
length	millimeters	common	En millimeter	genitive	{0} millimeters	Med 1 millimeters mellemrum	{0} millimeters	Med 2 millimeters mellemrum
length	centimeters	common	En centimeter	nominative	{0} centimeter	Jeg tror, ​​at 1 centimeter er nok.	{0} centimeter	Jeg tror, ​​at 2 centimeter er nok.
length	centimeters	common	En centimeter	genitive	{0} centimeters	Med 1 centimeters mellemrum	{0} centimeters	Med 2 centimeters mellemrum
length	inch • ( = 2.54 cm)	common	En tomme	nominative	{0} tomme	Jeg tror, ​​at 1 tomme er nok.	{0} tommer	Jeg tror, ​​at 2 tommer er nok.
length	inch • ( = 2.54 cm)	common	En tomme	genitive	{0} tomme	Med 1 tomme mellemrum	{0} tommer	Med 2 tommer mellemrum
length	decimeters	common	En decimeter	nominative	{0} decimeter	Jeg tror, ​​at 1 decimeter er nok.	{0} decimeter	Jeg tror, ​​at 2 decimeter er nok.
length	decimeters	common	En decimeter	genitive	{0} decimeters	Med 1 decimeters mellemrum	{0} decimeters	Med 2 decimeters mellemrum
length	foot • ( = 3.048 dm)	common	En fod	nominative	{0} fod	Jeg tror, ​​at 1 fod er nok.	{0} fod	Jeg tror, ​​at 2 fod er nok.
length	foot • ( = 3.048 dm)	common	En fod	genitive	{0} fod	Med 1 fod mellemrum	{0} fod	Med 2 fod mellemrum
length	yard • ( = 0.9144 m)	common	En engelsk yard	nominative	{0} engelsk yard	Jeg tror, ​​at 1 engelsk yard er nok.	{0} engelske yard	Jeg tror, ​​at 2 engelske yard er nok.
length	yard • ( = 0.9144 m)	common	En engelsk yard	genitive	{0} engelsk yard	Med 1 engelsk yard mellemrum	{0} engelske yard	Med 2 engelske yard mellemrum
length	meters	common	En meter	nominative	{0} meter	Jeg tror, ​​at 1 meter er nok.	{0} meter	Jeg tror, ​​at 2 meter er nok.
length	meters	common	En meter	genitive	{0} meters	Med 1 meters mellemrum	{0} meters	Med 2 meters mellemrum
length	kilometers	common	En kilometer	nominative	{0} kilometer	Jeg tror, ​​at 1 kilometer er nok.	{0} kilometer	Jeg tror, ​​at 2 kilometer er nok.
length	kilometers	common	En kilometer	genitive	{0} kilometers	Med 1 kilometers mellemrum	{0} kilometers	Med 2 kilometers mellemrum
length	mile • ( = 1.609344 km)	common	En engelsk mil	nominative	{0} engelsk mil	Jeg tror, ​​at 1 engelsk mil er nok.	{0} engelske mil	Jeg tror, ​​at 2 engelske mil er nok.
length	mile • ( = 1.609344 km)	common	En engelsk mil	genitive	{0} engelsk mil	Med 1 engelsk mil mellemrum	{0} engelske mil	Med 2 engelske mil mellemrum
length	mile-scandinavian • ( = 10 km)	common	En svensk mil	nominative	{0} svensk mil	Jeg tror, ​​at 1 svensk mil er nok.	{0} svenske mil	Jeg tror, ​​at 2 svenske mil er nok.
length	mile-scandinavian • ( = 10 km)	common	En svensk mil	genitive	{0} svensk mils	Med 1 svensk mils mellemrum	{0} svenske mils	Med 2 svenske mils mellemrum
length	solar-radius • ( = 695,700 km)	common	En solradius	nominative	{0} solradius	Jeg tror, ​​at 1 solradius er nok.	{0} solradier	Jeg tror, ​​at 2 solradier er nok.
length	solar-radius • ( = 695,700 km)	common	En solradius	genitive	{0} solradius	Med 1 solradius mellemrum	{0} solradier	Med 2 solradier mellemrum
length	parsec • ( = 30,856,780,000,000 km)	common	En parsec	nominative	{0} parsec	Jeg tror, ​​at 1 parsec er nok.	{0} parsec	Jeg tror, ​​at 2 parsec er nok.
length	parsec • ( = 30,856,780,000,000 km)	common	En parsec	genitive	{0} parsec	Med 1 parsec mellemrum	{0} parsec	Med 2 parsec mellemrum
luminous-flux	lumen	common	En lumen	nominative	{0} lumen	Jeg tror, ​​at 1 lumen er nok.	{0} lumen	Jeg tror, ​​at 2 lumen er nok.
luminous-flux	lumen	common	En lumen	genitive	{0} lumens	Med 1 lumens mellemrum	{0} lumens	Med 2 lumens mellemrum
luminous-intensity	candela	common	En candela	nominative	{0} candela	Jeg tror, ​​at 1 candela er nok.	{0} candela	Jeg tror, ​​at 2 candela er nok.
luminous-intensity	candela	common	En candela	genitive	{0} candelas	Med 1 candelas mellemrum	{0} candelas	Med 2 candelas mellemrum
mass	micrograms	neuter	Et mikrogram	nominative	{0} mikrogram	Jeg tror, ​​at 1 mikrogram er nok.	{0} mikrogram	Jeg tror, ​​at 2 mikrogram er nok.
mass	micrograms	neuter	Et mikrogram	genitive	{0} mikrograms	Med 1 mikrograms mellemrum	{0} mikrograms	Med 2 mikrograms mellemrum
mass	milligrams	neuter	Et milligram	nominative	{0} milligram	Jeg tror, ​​at 1 milligram er nok.	{0} milligram	Jeg tror, ​​at 2 milligram er nok.
mass	milligrams	neuter	Et milligram	genitive	{0} milligrams	Med 1 milligrams mellemrum	{0} milligrams	Med 2 milligrams mellemrum
mass	grain • ( = 64.79891 mg)	neuter	Et gran	nominative	{0} gran	Jeg tror, ​​at 1 gran er nok.	{0} gran	Jeg tror, ​​at 2 gran er nok.
mass	grain • ( = 64.79891 mg)	neuter	Et gran	genitive	{0} gran	Med 1 gran mellemrum	{0} gran	Med 2 gran mellemrum
mass	carat • ( = 200 mg)	common	En karat	nominative	{0} karat	Jeg tror, ​​at 1 karat er nok.	{0} karat	Jeg tror, ​​at 2 karat er nok.
mass	carat • ( = 200 mg)	common	En karat	genitive	{0} karats	Med 1 karats mellemrum	{0} karats	Med 2 karats mellemrum
mass	grams	neuter	Et gram	nominative	{0} gram	Jeg tror, ​​at 1 gram er nok.	{0} gram	Jeg tror, ​​at 2 gram er nok.
mass	grams	neuter	Et gram	genitive	{0} grams	Med 1 grams mellemrum	{0} grams	Med 2 grams mellemrum
mass	ounce • ( = 28.349523125 g)	common	En ounce	nominative	{0} ounce	Jeg tror, ​​at 1 ounce er nok.	{0} ounces	Jeg tror, ​​at 2 ounces er nok.
mass	ounce • ( = 28.349523125 g)	common	En ounce	genitive	{0} ounce	Med 1 ounce mellemrum	{0} ounces	Med 2 ounces mellemrum
mass	pound • ( = 453.59237 g)	neuter	Et pund	nominative	{0} pund	Jeg tror, ​​at 1 pund er nok.	{0} pund	Jeg tror, ​​at 2 pund er nok.
mass	pound • ( = 453.59237 g)	neuter	Et pund	genitive	{0} pund	Med 1 pund mellemrum	{0} pund	Med 2 pund mellemrum
mass	kilograms	neuter	Et kilogram	nominative	{0} kilogram	Jeg tror, ​​at 1 kilogram er nok.	{0} kilogram	Jeg tror, ​​at 2 kilogram er nok.
mass	kilograms	neuter	Et kilogram	genitive	{0} kilograms	Med 1 kilograms mellemrum	{0} kilograms	Med 2 kilograms mellemrum
mass	metric tons	neuter	Et ton	nominative	{0} ton	Jeg tror, ​​at 1 ton er nok.	{0} tons	Jeg tror, ​​at 2 tons er nok.
mass	metric tons	neuter	Et ton	genitive	{0} tons	Med 1 tons mellemrum	{0} tons	Med 2 tons mellemrum
mass	earth-mass • ( = 5,972,200,000,000,000,000,000 t)	common	En jordmasse	nominative	{0} jordmasse	Jeg tror, ​​at 1 jordmasse er nok.	{0} jordmasser	Jeg tror, ​​at 2 jordmasser er nok.
mass	earth-mass • ( = 5,972,200,000,000,000,000,000 t)	common	En jordmasse	genitive	{0} jordmasse	Med 1 jordmasse mellemrum	{0} jordmasser	Med 2 jordmasser mellemrum
mass	solar-mass • ( = 1,988,470,000,000,000,000,000,000,000 t)	common	En solmasse	nominative	{0} solmasse	Jeg tror, ​​at 1 solmasse er nok.	{0} solmasser	Jeg tror, ​​at 2 solmasser er nok.
mass	solar-mass • ( = 1,988,470,000,000,000,000,000,000,000 t)	common	En solmasse	genitive	{0} solmasse	Med 1 solmasse mellemrum	{0} solmasser	Med 2 solmasser mellemrum
portion	parts per million	common	En part per million	nominative	{0} part per million	Jeg tror, ​​at 1 part per million er nok.	{0} parts per million	Jeg tror, ​​at 2 parts per million er nok.
portion	parts per million	common	En part per million	genitive	{0} part per millions	Med 1 part per millions mellemrum	{0} parts per millions	Med 2 parts per millions mellemrum
portion	permyriad	common	En ‱	nominative	{0} ‱	Jeg tror, ​​at 1 ‱ er nok.	{0} ‱	Jeg tror, ​​at 2 ‱ er nok.
portion	permyriad	common	En ‱	genitive	{0} ‱	Med 1 ‱ mellemrum	{0} ‱	Med 2 ‱ mellemrum
portion	permille	common	En promille	nominative	{0} promille	Jeg tror, ​​at 1 promille er nok.	{0} promille	Jeg tror, ​​at 2 promille er nok.
portion	permille	common	En promille	genitive	{0} promilles	Med 1 promilles mellemrum	{0} promilles	Med 2 promilles mellemrum
portion	percent	common	En procent	nominative	{0} procent	Jeg tror, ​​at 1 procent er nok.	{0} procent	Jeg tror, ​​at 2 procent er nok.
portion	percent	common	En procent	genitive	{0} procents	Med 1 procents mellemrum	{0} procents	Med 2 procents mellemrum
portion	karat • ( = 4.1˙6%)	common	En karat	nominative	{0} karat	Jeg tror, ​​at 1 karat er nok.	{0} karat	Jeg tror, ​​at 2 karat er nok.
portion	karat • ( = 4.1˙6%)	common	En karat	genitive	{0} karats	Med 1 karats mellemrum	{0} karats	Med 2 karats mellemrum
power	milliwatts	common	En milliwatt	nominative	{0} milliwatt	Jeg tror, ​​at 1 milliwatt er nok.	{0} milliwatt	Jeg tror, ​​at 2 milliwatt er nok.
power	milliwatts	common	En milliwatt	genitive	{0} milliwatts	Med 1 milliwatts mellemrum	{0} milliwatts	Med 2 milliwatts mellemrum
power	watts	common	En watt	nominative	{0} watt	Jeg tror, ​​at 1 watt er nok.	{0} watt	Jeg tror, ​​at 2 watt er nok.
power	watts	common	En watt	genitive	{0} watts	Med 1 watts mellemrum	{0} watts	Med 2 watts mellemrum
power	kilowatts	common	En kilowatt	nominative	{0} kilowatt	Jeg tror, ​​at 1 kilowatt er nok.	{0} kilowatt	Jeg tror, ​​at 2 kilowatt er nok.
power	kilowatts	common	En kilowatt	genitive	{0} kilowatts	Med 1 kilowatts mellemrum	{0} kilowatts	Med 2 kilowatts mellemrum
power	megawatts	common	En megawatt	nominative	{0} megawatt	Jeg tror, ​​at 1 megawatt er nok.	{0} megawatt	Jeg tror, ​​at 2 megawatt er nok.
power	megawatts	common	En megawatt	genitive	{0} megawatts	Med 1 megawatts mellemrum	{0} megawatts	Med 2 megawatts mellemrum
power	gigawatts	common	En gigawatt	nominative	{0} gigawatt	Jeg tror, ​​at 1 gigawatt er nok.	{0} gigawatt	Jeg tror, ​​at 2 gigawatt er nok.
power	gigawatts	common	En gigawatt	genitive	{0} gigawatts	Med 1 gigawatts mellemrum	{0} gigawatts	Med 2 gigawatts mellemrum
power	solar-luminosity • ( = 382,800,000,000,000,000 GW)	common	En L☉	nominative	{0} L☉	Jeg tror, ​​at 1 L☉ er nok.	{0} L☉	Jeg tror, ​​at 2 L☉ er nok.
power	solar-luminosity • ( = 382,800,000,000,000,000 GW)	common	En L☉	genitive	{0} L☉	Med 1 L☉ mellemrum	{0} L☉	Med 2 L☉ mellemrum
pressure	pascals	common	En pascal	nominative	{0} pascal	Jeg tror, ​​at 1 pascal er nok.	{0} pascal	Jeg tror, ​​at 2 pascal er nok.
pressure	pascals	common	En pascal	genitive	{0} pascals	Med 1 pascals mellemrum	{0} pascals	Med 2 pascals mellemrum
pressure	hectopascal • ( = 1 mbar)	common	En hektopascal	nominative	{0} hektopascal	Jeg tror, ​​at 1 hektopascal er nok.	{0} hektopascal	Jeg tror, ​​at 2 hektopascal er nok.
pressure	hectopascal • ( = 1 mbar)	common	En hektopascal	genitive	{0} hektopascals	Med 1 hektopascals mellemrum	{0} hektopascals	Med 2 hektopascals mellemrum
pressure	millibars	common	En millibar	nominative	{0} millibar	Jeg tror, ​​at 1 millibar er nok.	{0} millibar	Jeg tror, ​​at 2 millibar er nok.
pressure	millibars	common	En millibar	genitive	{0} millibars	Med 1 millibars mellemrum	{0} millibars	Med 2 millibars mellemrum
pressure	kilopascals	common	En kilopascal	nominative	{0} kilopascal	Jeg tror, ​​at 1 kilopascal er nok.	{0} kilopascal	Jeg tror, ​​at 2 kilopascal er nok.
pressure	kilopascals	common	En kilopascal	genitive	{0} kilopascals	Med 1 kilopascals mellemrum	{0} kilopascals	Med 2 kilopascals mellemrum
pressure	bars	common	En bar	nominative	{0} bar	Jeg tror, ​​at 1 bar er nok.	{0} bar	Jeg tror, ​​at 2 bar er nok.
pressure	bars	common	En bar	genitive	{0} bars	Med 1 bars mellemrum	{0} bars	Med 2 bars mellemrum
pressure	atmosphere • ( = 1.01325 bar)	common	En atmosfære	nominative	{0} atmosfære	Jeg tror, ​​at 1 atmosfære er nok.	{0} atmosfære	Jeg tror, ​​at 2 atmosfære er nok.
pressure	atmosphere • ( = 1.01325 bar)	common	En atmosfære	genitive	{0} atmosfæres	Med 1 atmosfæres mellemrum	{0} atmosfæres	Med 2 atmosfæres mellemrum
pressure	megapascals	common	En megapascal	nominative	{0} megapascal	Jeg tror, ​​at 1 megapascal er nok.	{0} megapascal	Jeg tror, ​​at 2 megapascal er nok.
pressure	megapascals	common	En megapascal	genitive	{0} megapascals	Med 1 megapascals mellemrum	{0} megapascals	Med 2 megapascals mellemrum
resolution	pixel-per-centimeter • ( = 1 dpcm)	common	En pixel per centimeter	nominative	{0} pixel per centimeter	Jeg tror, ​​at 1 pixel per centimeter er nok.	{0} pixels per centimeter	Jeg tror, ​​at 2 pixels per centimeter er nok.
resolution	pixel-per-centimeter • ( = 1 dpcm)	common	En pixel per centimeter	genitive	{0} pixel per centimeters	Med 1 pixel per centimeters mellemrum	{0} pixels per centimeters	Med 2 pixels per centimeters mellemrum
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	common	En kilometer i timen	nominative	kilometer i timen	Jeg tror, ​​at kilometer i timen er nok.	{0} kilometer i timen	Jeg tror, ​​at 2 kilometer i timen er nok.
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	common	En kilometer i timen	genitive	kilometer i timens	Med kilometer i timens mellemrum	{0} kilometer i timens	Med 2 kilometer i timens mellemrum
speed	mile-per-hour • ( = 0.44704 m/s)	common	En engelsk mil i timen	nominative	{0} engelsk mil i timen	Jeg tror, ​​at 1 engelsk mil i timen er nok.	{0} engelske mil i timen	Jeg tror, ​​at 2 engelske mil i timen er nok.
speed	mile-per-hour • ( = 0.44704 m/s)	common	En engelsk mil i timen	genitive	{0} engelsk mil i timen	Med 1 engelsk mil i timen mellemrum	{0} engelske mil i timen	Med 2 engelske mil i timen mellemrum
speed	meters per second	common	En meter i sekundet	nominative	{0} meter i sekundet	Jeg tror, ​​at 1 meter i sekundet er nok.	{0} meter i sekundet	Jeg tror, ​​at 2 meter i sekundet er nok.
speed	meters per second	common	En meter i sekundet	genitive	{0} meter i sekundets	Med 1 meter i sekundets mellemrum	{0} meter i sekundets	Med 2 meter i sekundets mellemrum
substance-amount	items	common	En enhed	nominative	{0} enhed	Jeg tror, ​​at 1 enhed er nok.	{0} enheder	Jeg tror, ​​at 2 enheder er nok.
substance-amount	items	common	En enhed	genitive	{0} enheds	Med 1 enheds mellemrum	{0} enheders	Med 2 enheders mellemrum
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	common	En mol	nominative	{0} mol	Jeg tror, ​​at 1 mol er nok.	{0} mol	Jeg tror, ​​at 2 mol er nok.
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	common	En mol	genitive	{0} mols	Med 1 mols mellemrum	{0} mols	Med 2 mols mellemrum
temperature	°	common	En °	nominative	{0}°	Jeg tror, ​​at 1° er nok.	{0}°	Jeg tror, ​​at 2° er nok.
temperature	°	common	En °	genitive	{0} grads	Med 1 grads mellemrum	{0} graders	Med 2 graders mellemrum
temperature	fahrenheit • ( = 0.˙5 K)	common	En grad fahrenheit	nominative	{0} grad fahrenheit	Jeg tror, ​​at 1 grad fahrenheit er nok.	{0} grader fahrenheit	Jeg tror, ​​at 2 grader fahrenheit er nok.
temperature	fahrenheit • ( = 0.˙5 K)	common	En grad fahrenheit	genitive	{0} grad fahrenheit	Med 1 grad fahrenheit mellemrum	{0} grader fahrenheit	Med 2 grader fahrenheit mellemrum
temperature	celsius • ( = 1 K)	common	En grad celsius	nominative	{0} grad celsius	Jeg tror, ​​at 1 grad celsius er nok.	{0} grader celsius	Jeg tror, ​​at 2 grader celsius er nok.
temperature	celsius • ( = 1 K)	common	En grad celsius	genitive	{0} grad celsius‘	Med 1 grad celsius‘ mellemrum	{0} grader celsius‘	Med 2 grader celsius‘ mellemrum
temperature	kelvins	common	En kelvin	nominative	{0} kelvin	Jeg tror, ​​at 1 kelvin er nok.	{0} kelvin	Jeg tror, ​​at 2 kelvin er nok.
temperature	kelvins	common	En kelvin	genitive	{0} kelvins	Med 1 kelvins mellemrum	{0} kelvins	Med 2 kelvins mellemrum
typewidth	typographic ems	common	En geviert	nominative	{0} geviert	Jeg tror, ​​at 1 geviert er nok.	{0} geviert	Jeg tror, ​​at 2 geviert er nok.
typewidth	typographic ems	common	En geviert	genitive	{0} gevierts	Med 1 gevierts mellemrum	{0} gevierts	Med 2 gevierts mellemrum
voltage	volts	common	En volt	nominative	{0} volt	Jeg tror, ​​at 1 volt er nok.	{0} volt	Jeg tror, ​​at 2 volt er nok.
voltage	volts	common	En volt	genitive	{0} volts	Med 1 volts mellemrum	{0} volts	Med 2 volts mellemrum
volume	drop • ( = 0.0513429332682291˙6 mL)	common	En dråbe	nominative	{0} dråbe	Jeg tror, ​​at 1 dråbe er nok.	{0} dråber	Jeg tror, ​​at 2 dråber er nok.
volume	drop • ( = 0.0513429332682291˙6 mL)	common	En dråbe	genitive	{0} dråbe	Med 1 dråbe mellemrum	{0} dråber	Med 2 dråber mellemrum
volume	pinch • ( = 0.23104319970703125 mL)	common	En knivspids	nominative	{0} knivspids	Jeg tror, ​​at 1 knivspids er nok.	{0} knivspidser	Jeg tror, ​​at 2 knivspidser er nok.
volume	pinch • ( = 0.23104319970703125 mL)	common	En knivspids	genitive	{0} knivspids	Med 1 knivspids mellemrum	{0} knivspidser	Med 2 knivspidser mellemrum
volume	cubic-centimeter • ( = 1 mL)	common	En kubikcentimeter	nominative	{0} kubikcentimeter	Jeg tror, ​​at 1 kubikcentimeter er nok.	{0} kubikcentimeter	Jeg tror, ​​at 2 kubikcentimeter er nok.
volume	cubic-centimeter • ( = 1 mL)	common	En kubikcentimeter	genitive	{0} kubikcentimeters	Med 1 kubikcentimeters mellemrum	{0} kubikcentimeters	Med 2 kubikcentimeters mellemrum
volume	milliliters	common	En milliliter	nominative	{0} milliliter	Jeg tror, ​​at 1 milliliter er nok.	{0} milliliter	Jeg tror, ​​at 2 milliliter er nok.
volume	milliliters	common	En milliliter	genitive	{0} milliliters	Med 1 milliliters mellemrum	{0} milliliters	Med 2 milliliters mellemrum
volume	dessert-spoon • ( = 1.84834559765625 mL)	common	En dessertske	nominative	{0} dessertske	Jeg tror, ​​at 1 dessertske er nok.	{0} dessertskeer	Jeg tror, ​​at 2 dessertskeer er nok.
volume	dessert-spoon • ( = 1.84834559765625 mL)	common	En dessertske	genitive	{0} dessertske	Med 1 dessertske mellemrum	{0} dessertskeer	Med 2 dessertskeer mellemrum
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	common	En britisk dessertske	nominative	{0} britisk dessertske	Jeg tror, ​​at 1 britisk dessertske er nok.	{0} britiske dessertskeer	Jeg tror, ​​at 2 britiske dessertskeer er nok.
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	common	En britisk dessertske	genitive	{0} britisk dessertske	Med 1 britisk dessertske mellemrum	{0} britiske dessertskeer	Med 2 britiske dessertskeer mellemrum
volume	dram • ( = 3.6966911953125 mL)	common	En britisk flydende dram	nominative	{0} britisk flydende dram	Jeg tror, ​​at 1 britisk flydende dram er nok.	{0} britiske flydende dramme	Jeg tror, ​​at 2 britiske flydende dramme er nok.
