# Grammatical Features
#Locale	ID	Feature	Usage	Values
Norwegian Nynorsk	nn	grammaticalCase	general	nominative, genitive
Norwegian Nynorsk	nn	grammaticalDefiniteness	general	indefinite, definite
Norwegian Nynorsk	nn	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dagar	<div class='cldr_example'><span class='cldr_substituted'>2</span> dagar</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dagar</div>
Case (for measurement units)	nominative	Intervall på {0}	<div class='cldr_example'>Intervall på <span class='cldr_substituted'>2 timar</span></div><div class='cldr_example'>❌  Intervall på <span class='cldr_substituted'>2 timars</span></div>
Case (for measurement units)	genitive	På {0} avstand	<div class='cldr_example'>På <span class='cldr_substituted'>2 timars</span> avstand</div><div class='cldr_example'>❌  På <span class='cldr_substituted'>2 timar</span> avstand</div>
Gender (for measurement units)	masculine	Min {0} han har tre kantar	<div class='cldr_example'>Min <span class='cldr_substituted'>centimeter</span> han har tre kantar</div><div class='cldr_example'>❌  Min <span class='cldr_substituted'>veke</span> han har tre kantar</div>
Gender (for measurement units)	feminine	Det tek ei heil {0} å …	<div class='cldr_example'>Det tek ei heil <span class='cldr_substituted'>veke</span> å …</div><div class='cldr_example'>❌  Det tek ei heil <span class='cldr_substituted'>centimeter</span> å …</div>
Gender (for measurement units)	neuter	Mitt {0} det har tre kantar	<div class='cldr_example'>Mitt <span class='cldr_substituted'>hundreår</span> det har tre kantar</div><div class='cldr_example'>❌  Mitt <span class='cldr_substituted'>veke</span> det har tre kantar</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Min radian han har tre kantar	nominative	{0} radian	Intervall på 1 radian	{0} radianar	Intervall på 2 radianar
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Min radian han har tre kantar	genitive	{0} radians	På 1 radians avstand	{0} radianars	På 2 radianars avstand
angle	revolutions	feminine	Det tek ei heil omdreiing å …	nominative	{0} omdreiing	Intervall på 1 omdreiing	{0} omdreiingar	Intervall på 2 omdreiingar
angle	revolutions	feminine	Det tek ei heil omdreiing å …	genitive	{0} omdreiings	På 1 omdreiings avstand	{0} omdreiingars	På 2 omdreiingars avstand
area	square centimeters	masculine	Min kvadratcentimeter han har tre kantar	nominative	{0} kvadratcentimeter	Intervall på 1 kvadratcentimeter	{0} kvadratcentimeter	Intervall på 2 kvadratcentimeter
area	square centimeters	masculine	Min kvadratcentimeter han har tre kantar	genitive	{0} kvadratcentimeters	På 1 kvadratcentimeters avstand	{0} kvadratcentimeters	På 2 kvadratcentimeters avstand
area	square-foot • ( = 929.0304 cm²)	masculine	Min kvadratfot han har tre kantar	nominative	{0} kvadratfot	Intervall på 1 kvadratfot	{0} kvadratfot	Intervall på 2 kvadratfot
area	square-foot • ( = 929.0304 cm²)	masculine	Min kvadratfot han har tre kantar	genitive	{0} kvadratfot	På 1 kvadratfot avstand	{0} kvadratfot	På 2 kvadratfot avstand
area	square meters	masculine	Min kvadratmeter han har tre kantar	nominative	{0} kvadratmeter	Intervall på 1 kvadratmeter	{0} kvadratmeter	Intervall på 2 kvadratmeter
area	square meters	masculine	Min kvadratmeter han har tre kantar	genitive	{0} kvadratmeters	På 1 kvadratmeters avstand	{0} kvadratmeters	På 2 kvadratmeters avstand
area	acre • ( = 4,046.8564224 m²)	masculine	Min acre han har tre kantar	nominative	{0} acre	Intervall på 1 acre	{0} acre	Intervall på 2 acre
area	acre • ( = 4,046.8564224 m²)	masculine	Min acre han har tre kantar	genitive	{0} acre	På 1 acre avstand	{0} acre	På 2 acre avstand
area	hectares	neuter	Mitt hektar det har tre kantar	nominative	{0} hektar	Intervall på 1 hektar	{0} hektar	Intervall på 2 hektar
area	hectares	neuter	Mitt hektar det har tre kantar	genitive	{0} hektars	På 1 hektars avstand	{0} hektars	På 2 hektars avstand
area	square kilometers	masculine	Min kvadratkilometer han har tre kantar	nominative	{0} kvadratkilometer	Intervall på 1 kvadratkilometer	{0} kvadratkilometer	Intervall på 2 kvadratkilometer
area	square kilometers	masculine	Min kvadratkilometer han har tre kantar	genitive	{0} kvadratkilometers	På 1 kvadratkilometers avstand	{0} kvadratkilometers	På 2 kvadratkilometers avstand
area	square-mile • ( = 2.589988110336 km²)	feminine	Det tek ei heil engelsk kvadratmil å …	nominative	{0} engelsk kvadratmil	Intervall på 1 engelsk kvadratmil	{0} engelske kvadratmil	Intervall på 2 engelske kvadratmil
area	square-mile • ( = 2.589988110336 km²)	feminine	Det tek ei heil engelsk kvadratmil å …	genitive	{0} engelsk kvadratmil	På 1 engelsk kvadratmil avstand	{0} engelske kvadratmil	På 2 engelske kvadratmil avstand
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	neuter	Mitt millimol per liter det har tre kantar	nominative	{0} millimol per liter	Intervall på 1 millimol per liter	{0} millimol per liter	Intervall på 2 millimol per liter
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	neuter	Mitt millimol per liter det har tre kantar	genitive	{0} millimol per liters	På 1 millimol per liters avstand	{0} millimol per liters	På 2 millimol per liters avstand
consumption	liters per 100 kilometers	masculine	Min liter per 100 kilometer han har tre kantar	nominative	{0} liter per 100 kilometer	Intervall på 1 liter per 100 kilometer	{0} liter per 100 kilometer	Intervall på 2 liter per 100 kilometer
consumption	liters per 100 kilometers	masculine	Min liter per 100 kilometer han har tre kantar	genitive	{0} liter per 100 kilometers	På 1 liter per 100 kilometers avstand	{0} liter per 100 kilometers	På 2 liter per 100 kilometers avstand
consumption	liters per kilometer	masculine	Min liter per kilometer han har tre kantar	nominative	{0} liter per kilometer	Intervall på 1 liter per kilometer	{0} liter per kilometer	Intervall på 2 liter per kilometer
consumption	liters per kilometer	masculine	Min liter per kilometer han har tre kantar	genitive	{0} liter per kilometers	På 1 liter per kilometers avstand	{0} liter per kilometers	På 2 liter per kilometers avstand
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	feminine	Det tek ei heil engelsk mil per britiske gallon å …	nominative	{0} engelsk mil per britiske gallon	Intervall på 1 engelsk mil per britiske gallon	{0} engelske mil per britiske gallon	Intervall på 2 engelske mil per britiske gallon
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	feminine	Det tek ei heil engelsk mil per britiske gallon å …	genitive	{0} engelsk mil per britiske gallon	På 1 engelsk mil per britiske gallon avstand	{0} engelske mil per britiske gallon	På 2 engelske mil per britiske gallon avstand
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	feminine	Det tek ei heil engelsk mil per gallon å …	nominative	{0} engelsk mil per gallon	Intervall på 1 engelsk mil per gallon	{0} engelske mil per gallon	Intervall på 2 engelske mil per gallon
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	feminine	Det tek ei heil engelsk mil per gallon å …	genitive	{0} engelsk mil per gallon	På 1 engelsk mil per gallon avstand	{0} engelske mil per gallon	På 2 engelske mil per gallon avstand
digital	bits	masculine	Min bit han har tre kantar	nominative	{0} bit	Intervall på 1 bit	{0} bit	Intervall på 2 bit
digital	bits	masculine	Min bit han har tre kantar	genitive	{0} bits	På 1 bits avstand	{0} bits	På 2 bits avstand
digital	byte • ( = 8 bit)	masculine	Min byte han har tre kantar	nominative	{0} byte	Intervall på 1 byte	{0} byte	Intervall på 2 byte
digital	byte • ( = 8 bit)	masculine	Min byte han har tre kantar	genitive	{0} bytes	På 1 bytes avstand	{0} bytes	På 2 bytes avstand
digital	kilobits	masculine	Min kilobit han har tre kantar	nominative	{0} kilobit	Intervall på 1 kilobit	{0} kilobit	Intervall på 2 kilobit
digital	kilobits	masculine	Min kilobit han har tre kantar	genitive	{0} kilobits	På 1 kilobits avstand	{0} kilobits	På 2 kilobits avstand
digital	kilobyte • ( = 8 kb)	masculine	Min kilobyte han har tre kantar	nominative	{0} kilobyte	Intervall på 1 kilobyte	{0} kilobyte	Intervall på 2 kilobyte
digital	kilobyte • ( = 8 kb)	masculine	Min kilobyte han har tre kantar	genitive	{0} kilobytes	På 1 kilobytes avstand	{0} kilobytes	På 2 kilobytes avstand
digital	megabits	masculine	Min megabit han har tre kantar	nominative	{0} megabit	Intervall på 1 megabit	{0} megabit	Intervall på 2 megabit
digital	megabits	masculine	Min megabit han har tre kantar	genitive	{0} megabits	På 1 megabits avstand	{0} megabits	På 2 megabits avstand
digital	megabyte • ( = 8 Mb)	masculine	Min megabyte han har tre kantar	nominative	{0} megabyte	Intervall på 1 megabyte	{0} megabyte	Intervall på 2 megabyte
digital	megabyte • ( = 8 Mb)	masculine	Min megabyte han har tre kantar	genitive	{0} megabytes	På 1 megabytes avstand	{0} megabytes	På 2 megabytes avstand
digital	gigabits	masculine	Min gigabit han har tre kantar	nominative	{0} gigabit	Intervall på 1 gigabit	{0} gigabit	Intervall på 2 gigabit
digital	gigabits	masculine	Min gigabit han har tre kantar	genitive	{0} gigabits	På 1 gigabits avstand	{0} gigabits	På 2 gigabits avstand
digital	gigabyte • ( = 8 Gb)	masculine	Min gigabyte han har tre kantar	nominative	{0} gigabyte	Intervall på 1 gigabyte	{0} gigabyte	Intervall på 2 gigabyte
digital	gigabyte • ( = 8 Gb)	masculine	Min gigabyte han har tre kantar	genitive	{0} gigabytes	På 1 gigabytes avstand	{0} gigabytes	På 2 gigabytes avstand
digital	terabits	masculine	Min terabit han har tre kantar	nominative	{0} terabit	Intervall på 1 terabit	{0} terabit	Intervall på 2 terabit
digital	terabits	masculine	Min terabit han har tre kantar	genitive	{0} terabits	På 1 terabits avstand	{0} terabits	På 2 terabits avstand
digital	terabyte • ( = 8 Tb)	masculine	Min terabyte han har tre kantar	nominative	{0} terabyte	Intervall på 1 terabyte	{0} terabyte	Intervall på 2 terabyte
digital	terabyte • ( = 8 Tb)	masculine	Min terabyte han har tre kantar	genitive	{0} terabytes	På 1 terabytes avstand	{0} terabytes	På 2 terabytes avstand
digital	petabyte • ( = 8,000 Tb)	masculine	Min petabyte han har tre kantar	nominative	{0} petabyte	Intervall på 1 petabyte	{0} petabyte	Intervall på 2 petabyte
digital	petabyte • ( = 8,000 Tb)	masculine	Min petabyte han har tre kantar	genitive	{0} petabytes	På 1 petabytes avstand	{0} petabytes	På 2 petabytes avstand
duration	nanoseconds	neuter	Mitt nanosekund det har tre kantar	nominative	{0} nanosekund	Intervall på 1 nanosekund	{0} nanosekund	Intervall på 2 nanosekund
duration	nanoseconds	neuter	Mitt nanosekund det har tre kantar	genitive	{0} nanosekunds	På 1 nanosekunds avstand	{0} nanosekunds	På 2 nanosekunds avstand
duration	microseconds	neuter	Mitt mikrosekund det har tre kantar	nominative	{0} mikrosekund	Intervall på 1 mikrosekund	{0} mikrosekund	Intervall på 2 mikrosekund
duration	microseconds	neuter	Mitt mikrosekund det har tre kantar	genitive	{0} mikrosekunds	På 1 mikrosekunds avstand	{0} mikrosekunds	På 2 mikrosekunds avstand
duration	milliseconds	neuter	Mitt millisekund det har tre kantar	nominative	{0} millisekund	Intervall på 1 millisekund	{0} millisekund	Intervall på 2 millisekund
duration	milliseconds	neuter	Mitt millisekund det har tre kantar	genitive	{0} millisekunds	På 1 millisekunds avstand	{0} millisekunds	På 2 millisekunds avstand
duration	seconds	neuter	Mitt sekund det har tre kantar	nominative	{0} sekund	Intervall på 1 sekund	{0} sekund	Intervall på 2 sekund
duration	seconds	neuter	Mitt sekund det har tre kantar	genitive	{0} sekunds	På 1 sekunds avstand	{0} sekunds	På 2 sekunds avstand
duration	minute • ( = 60 sec)	neuter	Mitt minutt det har tre kantar	nominative	{0} minutt	Intervall på 1 minutt	{0} minutt	Intervall på 2 minutt
duration	minute • ( = 60 sec)	neuter	Mitt minutt det har tre kantar	genitive	{0} minutts	På 1 minutts avstand	{0} minutts	På 2 minutts avstand
duration	hour • ( = 3,600 sec)	masculine	Min time han har tre kantar	nominative	{0} time	Intervall på 1 time	{0} timar	Intervall på 2 timar
duration	hour • ( = 3,600 sec)	masculine	Min time han har tre kantar	genitive	{0} times	På 1 times avstand	{0} timars	På 2 timars avstand
duration	day • ( = 86,400 sec)	neuter	Mitt døgn det har tre kantar	nominative	{0} døgn	Intervall på 1 døgn	{0} døgn	Intervall på 2 døgn
duration	day • ( = 86,400 sec)	neuter	Mitt døgn det har tre kantar	genitive	{0} døgns	På 1 døgns avstand	{0} døgns	På 2 døgns avstand
duration	week • ( = 604,800 sec)	feminine	Det tek ei heil veke å …	nominative	{0} veke	Intervall på 1 veke	{0} veker	Intervall på 2 veker
duration	week • ( = 604,800 sec)	feminine	Det tek ei heil veke å …	genitive	{0} vekes	På 1 vekes avstand	{0} vekers	På 2 vekers avstand
electric-current	milliamperes	masculine	Min milliampere han har tre kantar	nominative	{0} milliampere	Intervall på 1 milliampere	{0} milliampere	Intervall på 2 milliampere
electric-current	milliamperes	masculine	Min milliampere han har tre kantar	genitive	{0} milliamperes	På 1 milliamperes avstand	{0} milliamperes	På 2 milliamperes avstand
electric-current	amperes	masculine	Min ampere han har tre kantar	nominative	{0} ampere	Intervall på 1 ampere	{0} ampere	Intervall på 2 ampere
electric-current	amperes	masculine	Min ampere han har tre kantar	genitive	{0} amperes	På 1 amperes avstand	{0} amperes	På 2 amperes avstand
electric-resistance	ohms	masculine	Min ohm han har tre kantar	nominative	{0} ohm	Intervall på 1 ohm	{0} ohm	Intervall på 2 ohm
electric-resistance	ohms	masculine	Min ohm han har tre kantar	genitive	{0} ohms	På 1 ohms avstand	{0} ohms	På 2 ohms avstand
energy	dalton • ( = 0.00000000014924180856 J)	masculine	Min dalton han har tre kantar	nominative	{0} dalton	Intervall på 1 dalton	{0} dalton	Intervall på 2 dalton
energy	dalton • ( = 0.00000000014924180856 J)	masculine	Min dalton han har tre kantar	genitive	{0} dalton	På 1 dalton avstand	{0} dalton	På 2 dalton avstand
energy	joules	masculine	Min joule han har tre kantar	nominative	{0} joule	Intervall på 1 joule	{0} joule	Intervall på 2 joule
energy	joules	masculine	Min joule han har tre kantar	genitive	{0} joules	På 1 joules avstand	{0} joules	På 2 joules avstand
energy	newton-meter • ( = 1 J)	masculine	Min newtonmeter han har tre kantar	nominative	{0} newtonmeter	Intervall på 1 newtonmeter	{0} newtonmeter	Intervall på 2 newtonmeter
energy	newton-meter • ( = 1 J)	masculine	Min newtonmeter han har tre kantar	genitive	{0} newtonmeters	På 1 newtonmeters avstand	{0} newtonmeters	På 2 newtonmeters avstand
energy	calorie • ( = 4.184 J)	masculine	Min kalori han har tre kantar	nominative	{0} kalori	Intervall på 1 kalori	{0} kaloriar	Intervall på 2 kaloriar
energy	calorie • ( = 4.184 J)	masculine	Min kalori han har tre kantar	genitive	{0} kaloris	På 1 kaloris avstand	{0} kaloriars	På 2 kaloriars avstand
energy	kilojoules	masculine	Min kilojoule han har tre kantar	nominative	{0} kilojoule	Intervall på 1 kilojoule	{0} kilojoule	Intervall på 2 kilojoule
energy	kilojoules	masculine	Min kilojoule han har tre kantar	genitive	{0} kilojoules	På 1 kilojoules avstand	{0} kilojoules	På 2 kilojoules avstand
energy	foodcalorie • ( = 4.184 kJ)	masculine	Min kalori han har tre kantar	nominative	{0} kalori	Intervall på 1 kalori	{0} kaloriar	Intervall på 2 kaloriar
energy	foodcalorie • ( = 4.184 kJ)	masculine	Min kalori han har tre kantar	genitive	{0} kalori	På 1 kalori avstand	{0} kaloriar	På 2 kaloriar avstand
energy	kilocalorie • ( = 4.184 kJ)	masculine	Min kilokalori han har tre kantar	nominative	{0} kilokalori	Intervall på 1 kilokalori	{0} kilokaloriar	Intervall på 2 kilokaloriar
energy	kilocalorie • ( = 4.184 kJ)	masculine	Min kilokalori han har tre kantar	genitive	{0} kilokalori	På 1 kilokalori avstand	{0} kilokaloriar	På 2 kilokaloriar avstand
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	masculine	Min kilowattime han har tre kantar	nominative	{0} kilowattime	Intervall på 1 kilowattime	{0} kilowattimar	Intervall på 2 kilowattimar
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	masculine	Min kilowattime han har tre kantar	genitive	{0} kilowattimes	På 1 kilowattimes avstand	{0} kilowattimers	På 2 kilowattimers avstand
force	newtons	masculine	Min newton han har tre kantar	nominative	{0} newton	Intervall på 1 newton	{0} newton	Intervall på 2 newton
force	newtons	masculine	Min newton han har tre kantar	genitive	{0} newtons	På 1 newtons avstand	{0} newtons	På 2 newtons avstand
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	Min kWh per 100 km han har tre kantar	nominative	{0} kWh per 100 km	Intervall på 1 kWh per 100 km	{0} kWh per 100 km	Intervall på 2 kWh per 100 km
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	Min kWh per 100 km han har tre kantar	genitive	{0} kWh per 100 kilometers	På 1 kWh per 100 kilometers avstand	{0} kWh per 100 kilometers	På 2 kWh per 100 kilometers avstand
frequency	hertz	masculine	Min hertz han har tre kantar	nominative	{0} hertz	Intervall på 1 hertz	{0} hertz	Intervall på 2 hertz
frequency	hertz	masculine	Min hertz han har tre kantar	genitive	{0} hertz’	På 1 hertz’ avstand	{0} hertz’	På 2 hertz’ avstand
frequency	kilohertz	masculine	Min kilohertz han har tre kantar	nominative	{0} kilohertz	Intervall på 1 kilohertz	{0} kilohertz	Intervall på 2 kilohertz
frequency	kilohertz	masculine	Min kilohertz han har tre kantar	genitive	{0} kilohertz’	På 1 kilohertz’ avstand	{0} kilohertz’	På 2 kilohertz’ avstand
frequency	megahertz	masculine	Min megahertz han har tre kantar	nominative	{0} megahertz	Intervall på 1 megahertz	{0} megahertz	Intervall på 2 megahertz
frequency	megahertz	masculine	Min megahertz han har tre kantar	genitive	{0} megahertz’	På 1 megahertz’ avstand	{0} megahertz’	På 2 megahertz’ avstand
frequency	gigahertz	masculine	Min gigahertz han har tre kantar	nominative	{0} gigahertz	Intervall på 1 gigahertz	{0} gigahertz	Intervall på 2 gigahertz
frequency	gigahertz	masculine	Min gigahertz han har tre kantar	genitive	{0} gigahertz’	På 1 gigahertz’ avstand	{0} gigahertz’	På 2 gigahertz’ avstand
graphics	pixel • ( = 1 px)	masculine	Min piksel han har tre kantar	nominative	{0} piksel	Intervall på 1 piksel	{0} pikslar	Intervall på 2 pikslar
graphics	pixel • ( = 1 px)	masculine	Min piksel han har tre kantar	genitive	{0} piksels	På 1 piksels avstand	{0} pikslars	På 2 pikslars avstand
graphics	megapixels	masculine	Min megapiksel han har tre kantar	nominative	{0} megapiksel	Intervall på 1 megapiksel	{0} megapikslar	Intervall på 2 megapikslar
graphics	megapixels	masculine	Min megapiksel han har tre kantar	genitive	{0} megapiksels	På 1 megapiksels avstand	{0} megapikslars	På 2 megapikslars avstand
illuminance	lux	masculine	Min lux han har tre kantar	nominative	{0} lux	Intervall på 1 lux	{0} lux	Intervall på 2 lux
illuminance	lux	masculine	Min lux han har tre kantar	genitive	{0} lux’	På 1 lux’ avstand	{0} lux’	På 2 lux’ avstand
length	picometers	masculine	Min pikometer han har tre kantar	nominative	{0} pikometer	Intervall på 1 pikometer	{0} pikometer	Intervall på 2 pikometer
length	picometers	masculine	Min pikometer han har tre kantar	genitive	{0} pikometers	På 1 pikometers avstand	{0} pikometers	På 2 pikometers avstand
length	nanometers	masculine	Min nm han har tre kantar	nominative	{0} nm	Intervall på 1 nm	{0} nm	Intervall på 2 nm
length	nanometers	masculine	Min nm han har tre kantar	genitive	{0} nanometers	På 1 nanometers avstand	{0} nanometers	På 2 nanometers avstand
length	micrometers	masculine	Min mikrometer han har tre kantar	nominative	{0} mikrometer	Intervall på 1 mikrometer	{0} mikrometer	Intervall på 2 mikrometer
length	micrometers	masculine	Min mikrometer han har tre kantar	genitive	{0} mikrometers	På 1 mikrometers avstand	{0} mikrometers	På 2 mikrometers avstand
length	millimeters	masculine	Min millimeter han har tre kantar	nominative	{0} millimeter	Intervall på 1 millimeter	{0} millimeter	Intervall på 2 millimeter
length	millimeters	masculine	Min millimeter han har tre kantar	genitive	{0} millimeters	På 1 millimeters avstand	{0} millimeters	På 2 millimeters avstand
length	centimeters	masculine	Min centimeter han har tre kantar	nominative	{0} centimeter	Intervall på 1 centimeter	{0} centimeter	Intervall på 2 centimeter
length	centimeters	masculine	Min centimeter han har tre kantar	genitive	{0} centimeters	På 1 centimeters avstand	{0} centimeters	På 2 centimeters avstand
length	inch • ( = 2.54 cm)	masculine	Min tomme han har tre kantar	nominative	{0} tomme	Intervall på 1 tomme	{0} tommar	Intervall på 2 tommar
length	inch • ( = 2.54 cm)	masculine	Min tomme han har tre kantar	genitive	{0} tomme	På 1 tomme avstand	{0} tommar	På 2 tommar avstand
length	decimeters	masculine	Min desimeter han har tre kantar	nominative	{0} desimeter	Intervall på 1 desimeter	{0} desimeter	Intervall på 2 desimeter
length	decimeters	masculine	Min desimeter han har tre kantar	genitive	{0} desimeters	På 1 desimeters avstand	{0} desimeters	På 2 desimeters avstand
length	foot • ( = 3.048 dm)	masculine	Min fot han har tre kantar	nominative	{0} fot	Intervall på 1 fot	{0} fot	Intervall på 2 fot
length	foot • ( = 3.048 dm)	masculine	Min fot han har tre kantar	genitive	{0} fot	På 1 fot avstand	{0} fot	På 2 fot avstand
length	yard • ( = 0.9144 m)	masculine	Min engelsk yard han har tre kantar	nominative	{0} engelsk yard	Intervall på 1 engelsk yard	{0} engelske yard	Intervall på 2 engelske yard
length	yard • ( = 0.9144 m)	masculine	Min engelsk yard han har tre kantar	genitive	{0} engelsk yard	På 1 engelsk yard avstand	{0} engelske yard	På 2 engelske yard avstand
length	meters	masculine	Min meter han har tre kantar	nominative	{0} meter	Intervall på 1 meter	{0} meter	Intervall på 2 meter
length	meters	masculine	Min meter han har tre kantar	genitive	{0} meters	På 1 meters avstand	{0} meters	På 2 meters avstand
length	kilometers	masculine	Min kilometer han har tre kantar	nominative	{0} kilometer	Intervall på 1 kilometer	{0} kilometer	Intervall på 2 kilometer
length	kilometers	masculine	Min kilometer han har tre kantar	genitive	{0} kilometers	På 1 kilometers avstand	{0} kilometers	På 2 kilometers avstand
length	mile • ( = 1.609344 km)	masculine	Min engelsk mil han har tre kantar	nominative	{0} engelsk mil	Intervall på 1 engelsk mil	{0} engelske mil	Intervall på 2 engelske mil
length	mile • ( = 1.609344 km)	masculine	Min engelsk mil han har tre kantar	genitive	{0} engelsk mil	På 1 engelsk mil avstand	{0} engelske mil	På 2 engelske mil avstand
length	mile-scandinavian • ( = 10 km)	feminine	Det tek ei heil mil å …	nominative	{0} mil	Intervall på 1 mil	{0} mil	Intervall på 2 mil
length	mile-scandinavian • ( = 10 km)	feminine	Det tek ei heil mil å …	genitive	{0} mils	På 1 mils avstand	{0} mils	På 2 mils avstand
length	solar-radius • ( = 695,700 km)	masculine	Min solradius han har tre kantar	nominative	{0} solradius	Intervall på 1 solradius	{0} solradius	Intervall på 2 solradius
length	solar-radius • ( = 695,700 km)	masculine	Min solradius han har tre kantar	genitive	{0} solradius	På 1 solradius avstand	{0} solradius	På 2 solradius avstand
length	parsec • ( = 30,856,780,000,000 km)	masculine	Min parsec han har tre kantar	nominative	{0} parsec	Intervall på 1 parsec	{0} parsec	Intervall på 2 parsec
length	parsec • ( = 30,856,780,000,000 km)	masculine	Min parsec han har tre kantar	genitive	{0} parsec	På 1 parsec avstand	{0} parsec	På 2 parsec avstand
luminous-flux	lumen	masculine	Min lumen han har tre kantar	nominative	{0} lumen	Intervall på 1 lumen	{0} lumen	Intervall på 2 lumen
