# Grammatical Features
#Locale	ID	Feature	Usage	Values
Italian	it	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
force	newtons	masculine	Il newton è …
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	Il chilowattora per 100 chilometri è …
frequency	hertz	masculine	Il hertz è …
frequency	kilohertz	masculine	Il kilohertz è …
frequency	megahertz	masculine	Il megahertz è …
frequency	gigahertz	masculine	Il gigahertz è …
graphics	pixel • ( = 1 px)	masculine	Il pixel è …
graphics	megapixels	masculine	Il megapixel è …
illuminance	lux	masculine	Il lux è …
length	picometers	masculine	Il picometro è …
length	nanometers	masculine	Il nanometro è …
length	micrometers	masculine	Il micrometro è …
length	millimeters	masculine	Il millimetro è …
length	centimeters	masculine	Il centimetro è …
length	inch • ( = 2.54 cm)	masculine	Il pollice è …
length	decimeters	masculine	Il decimetro è …
length	foot • ( = 3.048 dm)	masculine	Il piede è …
length	yard • ( = 0.9144 m)	feminine	La iarda è …
length	meters	masculine	Il metro è …
length	kilometers	masculine	Il chilometro è …
length	mile • ( = 1.609344 km)	feminine	La miglio è …
length	mile-scandinavian • ( = 10 km)	feminine	La miglio scandinavo è …
length	solar-radius • ( = 695,700 km)	masculine	Il raggio solare è …
length	parsec • ( = 30,856,780,000,000 km)	masculine	Il parsec è …
luminous-flux	lumen	masculine	Il lumen è …
luminous-intensity	candela	feminine	La candela è …
mass	micrograms	masculine	Il microgrammo è …
mass	milligrams	masculine	Il milligrammo è …
mass	grain • ( = 64.79891 mg)	masculine	Il grano è …
mass	carat • ( = 200 mg)	masculine	Il carato è …
mass	grams	masculine	Il grammo è …
mass	ounce • ( = 28.349523125 g)	feminine	La oncia è …
mass	pound • ( = 453.59237 g)	feminine	La libbra è …
mass	kilograms	masculine	Il chilogrammo è …
mass	metric tons	feminine	La tonnellata metrica è …
mass	earth-mass • ( = 5,972,200,000,000,000,000,000 t)	feminine	La massa terrestre è …
mass	solar-mass • ( = 1,988,470,000,000,000,000,000,000,000 t)	feminine	La massa solare è …
portion	parts per million	feminine	La parte per milione è …
portion	permyriad	masculine	Il punto base è …
portion	permille	masculine	Il per mille è …
portion	percent	masculine	Il percento è …
portion	karat • ( = 4.1˙6%)	masculine	Il carato è …
power	milliwatts	masculine	Il milliwatt è …
power	watts	masculine	Il watt è …
power	kilowatts	masculine	Il kilowatt è …
power	megawatts	masculine	Il megawatt è …
power	gigawatts	masculine	Il gigawatt è …
power	solar-luminosity • ( = 382,800,000,000,000,000 GW)	feminine	La luminosità solare è …
pressure	pascals	masculine	Il pascal è …
pressure	hectopascal • ( = 1 mbar)	masculine	Il ettopascal è …
pressure	millibars	masculine	Il millibar è …
pressure	kilopascals	masculine	Il chilopascal è …
pressure	bars	masculine	Il bar è …
pressure	atmosphere • ( = 1.01325 bar)	feminine	La atmosfera è …
pressure	megapascals	masculine	Il megapascal è …
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	Il pixel per centimetro è …
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	Il chilometro orario è …
speed	mile-per-hour • ( = 0.44704 m/s)	feminine	La miglio all’ora è …
speed	meters per second	masculine	Il metro al secondo è …
substance-amount	items	masculine	Il elemento è …
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	feminine	La mole è …
temperature	°	masculine	Il grado è …
temperature	fahrenheit • ( = 0.˙5 K)	masculine	Il grado Fahrenheit è …
temperature	celsius • ( = 1 K)	masculine	Il grado Celsius è …
temperature	kelvins	masculine	Il Kelvin è …
typewidth	typographic ems	feminine	La em è …
voltage	volts	masculine	Il volt è …
volume	drop • ( = 0.0513429332682291˙6 mL)	feminine	La goccia è …
volume	pinch • ( = 0.23104319970703125 mL)	masculine	Il pizzico è …
volume	cubic-centimeter • ( = 1 mL)	masculine	Il centimetro cubo è …
volume	milliliters	masculine	Il millilitro è …
volume	dessert-spoon • ( = 1.84834559765625 mL)	masculine	Il cucchiaino da dessert è …
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	masculine	Il cucchiaino da dessert imperiale è …
volume	dram • ( = 3.6966911953125 mL)	feminine	La dramma è …
volume	teaspoon • ( = 4.92892159375 mL)	masculine	Il cucchiaio da tè è …
volume	centiliters	masculine	Il centilitro è …
volume	tablespoon • ( = 1.478676478125 cL)	masculine	Il cucchiaio da tavola è …
volume	cubic-inch • ( = 1.6387064 cL)	masculine	Il pollice cubo è …
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	feminine	La oncia liquida imperiale è …
volume	fluid-ounce • ( = 2.95735295625 cL)	feminine	La oncia liquida è …
volume	jigger • ( = 4.436029434375 cL)	masculine	Il jigger è …
volume	deciliters	masculine	Il decilitro è …
volume	cup • ( = 2.365882365 dL)	feminine	La tazza è …
volume	cup-metric • ( = 2.5 dL)	feminine	La tazza metrica è …
volume	pint • ( = 4.73176473 dL)	feminine	La pinta è …
volume	pint-metric • ( = 5 dL)	feminine	La pinta metrica è …
volume	quart • ( = 0.946352946 L)	masculine	Il quarto è …
volume	liters	masculine	Il litro è …
volume	quart-imperial • ( = 1.1365225 L)	masculine	Il quarto imperiale è …
volume	gallon • ( = 3.785411784 L)	masculine	Il gallone è …
volume	gallon-imperial • ( = 4.54609 L)	masculine	Il gallone imperiale è …
volume	cubic-foot • ( = 28.316846592 L)	masculine	Il piede cubo è …
volume	hectoliters	masculine	Il ettolitro è …
volume	barrel • ( = 1.58987294928 hL)	masculine	Il barile è …
volume	cubic meters	masculine	Il metro cubo è …
volume	megaliters	masculine	Il megalitro è …
volume	acre-foot • ( = 1.23348183754752 ML)	masculine	Il piede acro è …
volume	cubic kilometers	masculine	Il chilometro cubo è …
volume	cubic-mile • ( = 4.168181825440579584 km³)	feminine	La miglio cubo è …
year-duration	month • ( = 0.08˙3 yrs)	masculine	Il mese è …
year-duration	years	masculine	Il anno è …
year-duration	decades	feminine	La decade è …
year-duration	centuries	masculine	Il secolo è …

# Unit Power Components
#Unit	Case	Gender	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
power2	nominative	masculine • (second)	{0} quadrato	1 secondo quadrato	{0} quadrati	2 secondi quadrati
power2	nominative	feminine • (hour)	{0} quadrata	1 ora quadrata	{0} quadrate	2 ore quadrate
power3	nominative	masculine • (second)	{0} cubo	1 secondo cubo	{0} cubi	2 secondi cubi
power3	nominative	feminine • (hour)	{0} cubica	1 ora cubica	{0} cubiche	2 ore cubiche
