# Grammatical Features
#Locale	ID	Feature	Usage	Values
Norwegian Bokmål	nb	grammaticalCase	general	nominative, genitive
Norwegian Bokmål	nb	grammaticalDefiniteness	general	indefinite, definite
Norwegian Bokmål	nb	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dager	<div class='cldr_example'><span class='cldr_substituted'>2</span> dager</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dager</div>
Case (for measurement units)	nominative	Intervall på {0}	<div class='cldr_example'>Intervall på <span class='cldr_substituted'>1 århundre</span></div><div class='cldr_example'>❌  Intervall på <span class='cldr_substituted'>2 århundrers</span></div>
Case (for measurement units)	genitive	På {0} avstand	<div class='cldr_example'>På <span class='cldr_substituted'>2 århundrers</span> avstand</div><div class='cldr_example'>❌  På <span class='cldr_substituted'>1 århundre</span> avstand</div>
Gender (for measurement units)	masculine	Min {0} den har tre kanter	<div class='cldr_example'>Min <span class='cldr_substituted'>centimeter</span> den har tre kanter</div><div class='cldr_example'>❌  Min <span class='cldr_substituted'>n/a</span> den har tre kanter</div>
Gender (for measurement units)	feminine	Det tar ei hel {0} å …	<div class='cldr_example'>Det tar ei hel <span class='cldr_substituted'>null</span> å …</div><div class='cldr_example'>❌  Det tar ei hel <span class='cldr_substituted'>centimeter</span> å …</div>
Gender (for measurement units)	neuter	Mitt {0} det har tre kanter	<div class='cldr_example'>Mitt <span class='cldr_substituted'>århundre</span> det har tre kanter</div><div class='cldr_example'>❌  Mitt <span class='cldr_substituted'>n/a</span> det har tre kanter</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	masculine	Min mile per gallon den har tre kanter	genitive	{0} mile per gallon	På 1 mile per gallon avstand	{0} miles per gallon	På 2 miles per gallon avstand
digital	bits	masculine	Min bit den har tre kanter	nominative	{0} bit	Intervall på 1 bit	{0} bit	Intervall på 2 bit
digital	bits	masculine	Min bit den har tre kanter	genitive	{0} bits	På 1 bits avstand	{0} bits	På 2 bits avstand
digital	byte • ( = 8 bit)	masculine	Min byte den har tre kanter	nominative	{0} byte	Intervall på 1 byte	{0} byte	Intervall på 2 byte
digital	byte • ( = 8 bit)	masculine	Min byte den har tre kanter	genitive	{0} bytes	På 1 bytes avstand	{0} bytes	På 2 bytes avstand
digital	kilobits	masculine	Min kilobit den har tre kanter	nominative	{0} kilobit	Intervall på 1 kilobit	{0} kilobit	Intervall på 2 kilobit
digital	kilobits	masculine	Min kilobit den har tre kanter	genitive	{0} kilobits	På 1 kilobits avstand	{0} kilobits	På 2 kilobits avstand
digital	kilobyte • ( = 8 kb)	masculine	Min kilobyte den har tre kanter	nominative	{0} kilobyte	Intervall på 1 kilobyte	{0} kilobyte	Intervall på 2 kilobyte
digital	kilobyte • ( = 8 kb)	masculine	Min kilobyte den har tre kanter	genitive	{0} kilobytes	På 1 kilobytes avstand	{0} kilobytes	På 2 kilobytes avstand
digital	megabits	masculine	Min megabit den har tre kanter	nominative	{0} megabit	Intervall på 1 megabit	{0} megabit	Intervall på 2 megabit
digital	megabits	masculine	Min megabit den har tre kanter	genitive	{0} megabits	På 1 megabits avstand	{0} megabits	På 2 megabits avstand
digital	megabyte • ( = 8 Mb)	masculine	Min megabyte den har tre kanter	nominative	{0} megabyte	Intervall på 1 megabyte	{0} megabyte	Intervall på 2 megabyte
digital	megabyte • ( = 8 Mb)	masculine	Min megabyte den har tre kanter	genitive	{0} megabytes	På 1 megabytes avstand	{0} megabytes	På 2 megabytes avstand
digital	gigabits	masculine	Min gigabit den har tre kanter	nominative	{0} gigabit	Intervall på 1 gigabit	{0} gigabit	Intervall på 2 gigabit
digital	gigabits	masculine	Min gigabit den har tre kanter	genitive	{0} gigabits	På 1 gigabits avstand	{0} gigabits	På 2 gigabits avstand
digital	gigabyte • ( = 8 Gb)	masculine	Min gigabyte den har tre kanter	nominative	{0} gigabyte	Intervall på 1 gigabyte	{0} gigabyte	Intervall på 2 gigabyte
digital	gigabyte • ( = 8 Gb)	masculine	Min gigabyte den har tre kanter	genitive	{0} gigabytes	På 1 gigabytes avstand	{0} gigabytes	På 2 gigabytes avstand
digital	terabits	masculine	Min terabit den har tre kanter	nominative	{0} terabit	Intervall på 1 terabit	{0} terabit	Intervall på 2 terabit
digital	terabits	masculine	Min terabit den har tre kanter	genitive	{0} terabits	På 1 terabits avstand	{0} terabits	På 2 terabits avstand
digital	terabyte • ( = 8 Tb)	masculine	Min terabyte den har tre kanter	nominative	{0} terabyte	Intervall på 1 terabyte	{0} terabyte	Intervall på 2 terabyte
digital	terabyte • ( = 8 Tb)	masculine	Min terabyte den har tre kanter	genitive	{0} terabytes	På 1 terabytes avstand	{0} terabytes	På 2 terabytes avstand
digital	petabyte • ( = 8,000 Tb)	masculine	Min petabyte den har tre kanter	nominative	{0} petabyte	Intervall på 1 petabyte	{0} petabyte	Intervall på 2 petabyte
digital	petabyte • ( = 8,000 Tb)	masculine	Min petabyte den har tre kanter	genitive	{0} petabytes	På 1 petabytes avstand	{0} petabytes	På 2 petabytes avstand
duration	nanoseconds	neuter	Mitt nanosekund det har tre kanter	nominative	{0} nanosekund	Intervall på 1 nanosekund	{0} nanosekunder	Intervall på 2 nanosekunder
duration	nanoseconds	neuter	Mitt nanosekund det har tre kanter	genitive	{0} nanosekunds	På 1 nanosekunds avstand	{0} nanosekunders	På 2 nanosekunders avstand
duration	microseconds	neuter	Mitt mikrosekund det har tre kanter	nominative	{0} mikrosekund	Intervall på 1 mikrosekund	{0} mikrosekunder	Intervall på 2 mikrosekunder
duration	microseconds	neuter	Mitt mikrosekund det har tre kanter	genitive	{0} mikrosekunds	På 1 mikrosekunds avstand	{0} mikrosekunders	På 2 mikrosekunders avstand
duration	milliseconds	neuter	Mitt millisekund det har tre kanter	nominative	{0} millisekund	Intervall på 1 millisekund	{0} millisekunder	Intervall på 2 millisekunder
duration	milliseconds	neuter	Mitt millisekund det har tre kanter	genitive	{0} millisekunds	På 1 millisekunds avstand	{0} millisekunders	På 2 millisekunders avstand
duration	seconds	neuter	Mitt sekund det har tre kanter	nominative	{0} sekund	Intervall på 1 sekund	{0} sekunder	Intervall på 2 sekunder
duration	seconds	neuter	Mitt sekund det har tre kanter	genitive	{0} sekunds	På 1 sekunds avstand	{0} sekunders	På 2 sekunders avstand
duration	minute • ( = 60 sec)	neuter	Mitt minutt det har tre kanter	nominative	{0} minutt	Intervall på 1 minutt	{0} minutter	Intervall på 2 minutter
duration	minute • ( = 60 sec)	neuter	Mitt minutt det har tre kanter	genitive	{0} minutts	På 1 minutts avstand	{0} minutters	På 2 minutters avstand
duration	hour • ( = 3,600 sec)	masculine	Min time den har tre kanter	nominative	{0} time	Intervall på 1 time	{0} timer	Intervall på 2 timer
duration	hour • ( = 3,600 sec)	masculine	Min time den har tre kanter	genitive	{0} times	På 1 times avstand	{0} timers	På 2 timers avstand
duration	day • ( = 86,400 sec)	neuter	Mitt døgn det har tre kanter	nominative	{0} døgn	Intervall på 1 døgn	{0} døgn	Intervall på 2 døgn
duration	day • ( = 86,400 sec)	neuter	Mitt døgn det har tre kanter	genitive	{0} døgns	På 1 døgns avstand	{0} døgns	På 2 døgns avstand
duration	week • ( = 604,800 sec)	masculine	Min uke den har tre kanter	nominative	{0} uke	Intervall på 1 uke	{0} uker	Intervall på 2 uker
duration	week • ( = 604,800 sec)	masculine	Min uke den har tre kanter	genitive	{0} ukes	På 1 ukes avstand	{0} ukers	På 2 ukers avstand
electric-current	milliamperes	masculine	Min milliampere den har tre kanter	nominative	{0} milliampere	Intervall på 1 milliampere	{0} milliampere	Intervall på 2 milliampere
electric-current	milliamperes	masculine	Min milliampere den har tre kanter	genitive	{0} milliamperes	På 1 milliamperes avstand	{0} milliamperes	På 2 milliamperes avstand
electric-current	amperes	masculine	Min ampere den har tre kanter	nominative	{0} ampere	Intervall på 1 ampere	{0} ampere	Intervall på 2 ampere
electric-current	amperes	masculine	Min ampere den har tre kanter	genitive	{0} amperes	På 1 amperes avstand	{0} amperes	På 2 amperes avstand
electric-resistance	ohms	masculine	Min ohm den har tre kanter	nominative	{0} ohm	Intervall på 1 ohm	{0} ohm	Intervall på 2 ohm
electric-resistance	ohms	masculine	Min ohm den har tre kanter	genitive	{0} ohms	På 1 ohms avstand	{0} ohms	På 2 ohms avstand
energy	dalton • ( = 0.00000000014924180856 J)	masculine	Min dalton den har tre kanter	nominative	{0} dalton	Intervall på 1 dalton	{0} dalton	Intervall på 2 dalton
energy	dalton • ( = 0.00000000014924180856 J)	masculine	Min dalton den har tre kanter	genitive	{0} dalton	På 1 dalton avstand	{0} dalton	På 2 dalton avstand
energy	joules	masculine	Min joule den har tre kanter	nominative	{0} joule	Intervall på 1 joule	{0} joule	Intervall på 2 joule
energy	joules	masculine	Min joule den har tre kanter	genitive	{0} joules	På 1 joules avstand	{0} joules	På 2 joules avstand
energy	newton-meter • ( = 1 J)	masculine	Min Nm den har tre kanter	nominative	{0} Nm	Intervall på 1 Nm	{0} Nm	Intervall på 2 Nm
energy	newton-meter • ( = 1 J)	masculine	Min Nm den har tre kanter	genitive	{0} newtonmeters	På 1 newtonmeters avstand	{0} newtonmeters	På 2 newtonmeters avstand
energy	calorie • ( = 4.184 J)	masculine	Min kalori den har tre kanter	nominative	{0} kalori	Intervall på 1 kalori	{0} kalorier	Intervall på 2 kalorier
energy	calorie • ( = 4.184 J)	masculine	Min kalori den har tre kanter	genitive	{0} kaloris	På 1 kaloris avstand	{0} kaloriers	På 2 kaloriers avstand
energy	kilojoules	masculine	Min kilojoule den har tre kanter	nominative	{0} kilojoule	Intervall på 1 kilojoule	{0} kilojoule	Intervall på 2 kilojoule
energy	kilojoules	masculine	Min kilojoule den har tre kanter	genitive	{0} kilojoules	På 1 kilojoules avstand	{0} kilojoules	På 2 kilojoules avstand
energy	foodcalorie • ( = 4.184 kJ)	masculine	Min kalori den har tre kanter	nominative	{0} kalori	Intervall på 1 kalori	{0} kalorier	Intervall på 2 kalorier
energy	foodcalorie • ( = 4.184 kJ)	masculine	Min kalori den har tre kanter	genitive	{0} kalori	På 1 kalori avstand	{0} kalorier	På 2 kalorier avstand
energy	kilocalorie • ( = 4.184 kJ)	masculine	Min kilokalori den har tre kanter	nominative	{0} kilokalori	Intervall på 1 kilokalori	{0} kilokalorier	Intervall på 2 kilokalorier
energy	kilocalorie • ( = 4.184 kJ)	masculine	Min kilokalori den har tre kanter	genitive	{0} kilokalori	På 1 kilokalori avstand	{0} kilokalorier	På 2 kilokalorier avstand
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	masculine	Min kilowattime den har tre kanter	nominative	{0} kilowattime	Intervall på 1 kilowattime	{0} kilowattimer	Intervall på 2 kilowattimer
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	masculine	Min kilowattime den har tre kanter	genitive	{0} kilowattimes	På 1 kilowattimes avstand	{0} kilowattimers	På 2 kilowattimers avstand
force	newtons	masculine	Min newton den har tre kanter	nominative	{0} newton	Intervall på 1 newton	{0} newton	Intervall på 2 newton
force	newtons	masculine	Min newton den har tre kanter	genitive	{0} newtons	På 1 newtons avstand	{0} newtons	På 2 newtons avstand
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	Min kWh per 100 km den har tre kanter	nominative	{0} kWh per 100 km	Intervall på 1 kWh per 100 km	{0} kWh per 100 km	Intervall på 2 kWh per 100 km
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	Min kWh per 100 km den har tre kanter	genitive	{0} kWh per 100 kilometers	På 1 kWh per 100 kilometers avstand	{0} kWh per 100 kilometers	På 2 kWh per 100 kilometers avstand
frequency	hertz	masculine	Min hertz den har tre kanter	nominative	{0} hertz	Intervall på 1 hertz	{0} hertz	Intervall på 2 hertz
frequency	hertz	masculine	Min hertz den har tre kanter	genitive	{0} hertz’	På 1 hertz’ avstand	{0} hertz’	På 2 hertz’ avstand
frequency	kilohertz	masculine	Min kilohertz den har tre kanter	nominative	{0} kilohertz	Intervall på 1 kilohertz	{0} kilohertz	Intervall på 2 kilohertz
frequency	kilohertz	masculine	Min kilohertz den har tre kanter	genitive	{0} kilohertz’	På 1 kilohertz’ avstand	{0} kilohertz’	På 2 kilohertz’ avstand
frequency	megahertz	masculine	Min megahertz den har tre kanter	nominative	{0} megahertz	Intervall på 1 megahertz	{0} megahertz	Intervall på 2 megahertz
frequency	megahertz	masculine	Min megahertz den har tre kanter	genitive	{0} megahertz’	På 1 megahertz’ avstand	{0} megahertz’	På 2 megahertz’ avstand
frequency	gigahertz	masculine	Min gigahertz den har tre kanter	nominative	{0} gigahertz	Intervall på 1 gigahertz	{0} gigahertz	Intervall på 2 gigahertz
frequency	gigahertz	masculine	Min gigahertz den har tre kanter	genitive	{0} gigahertz’	På 1 gigahertz’ avstand	{0} gigahertz’	På 2 gigahertz’ avstand
graphics	pixel • ( = 1 px)	masculine	Min piksel den har tre kanter	nominative	{0} piksel	Intervall på 1 piksel	{0} piksler	Intervall på 2 piksler
graphics	pixel • ( = 1 px)	masculine	Min piksel den har tre kanter	genitive	{0} piksels	På 1 piksels avstand	{0} pikslers	På 2 pikslers avstand
graphics	megapixels	masculine	Min megapiksel den har tre kanter	nominative	{0} megapiksel	Intervall på 1 megapiksel	{0} megapiksler	Intervall på 2 megapiksler
graphics	megapixels	masculine	Min megapiksel den har tre kanter	genitive	{0} megapiksels	På 1 megapiksels avstand	{0} megapikslers	På 2 megapikslers avstand
illuminance	lux	masculine	Min lux den har tre kanter	nominative	{0} lux	Intervall på 1 lux	{0} lux	Intervall på 2 lux
illuminance	lux	masculine	Min lux den har tre kanter	genitive	{0} lux’	På 1 lux’ avstand	{0} lux’	På 2 lux’ avstand
length	picometers	masculine	Min pikometer den har tre kanter	nominative	{0} pikometer	Intervall på 1 pikometer	{0} pikometer	Intervall på 2 pikometer
length	picometers	masculine	Min pikometer den har tre kanter	genitive	{0} pikometers	På 1 pikometers avstand	{0} pikometers	På 2 pikometers avstand
length	nanometers	masculine	Min nanometer den har tre kanter	nominative	{0} nanometer	Intervall på 1 nanometer	{0} nanometer	Intervall på 2 nanometer
length	nanometers	masculine	Min nanometer den har tre kanter	genitive	{0} nanometers	På 1 nanometers avstand	{0} nanometers	På 2 nanometers avstand
length	micrometers	masculine	Min mikrometer den har tre kanter	nominative	{0} mikrometer	Intervall på 1 mikrometer	{0} mikrometer	Intervall på 2 mikrometer
length	micrometers	masculine	Min mikrometer den har tre kanter	genitive	{0} mikrometers	På 1 mikrometers avstand	{0} mikrometers	På 2 mikrometers avstand
length	millimeters	masculine	Min millimeter den har tre kanter	nominative	{0} millimeter	Intervall på 1 millimeter	{0} millimeter	Intervall på 2 millimeter
length	millimeters	masculine	Min millimeter den har tre kanter	genitive	{0} millimeters	På 1 millimeters avstand	{0} millimeters	På 2 millimeters avstand
length	centimeters	masculine	Min centimeter den har tre kanter	nominative	{0} centimeter	Intervall på 1 centimeter	{0} centimeter	Intervall på 2 centimeter
length	centimeters	masculine	Min centimeter den har tre kanter	genitive	{0} centimeters	På 1 centimeters avstand	{0} centimeters	På 2 centimeters avstand
length	inch • ( = 2.54 cm)	masculine	Min tomme den har tre kanter	nominative	{0} tomme	Intervall på 1 tomme	{0} tommer	Intervall på 2 tommer
length	inch • ( = 2.54 cm)	masculine	Min tomme den har tre kanter	genitive	{0} tomme	På 1 tomme avstand	{0} tommer	På 2 tommer avstand
length	decimeters	masculine	Min desimeter den har tre kanter	nominative	{0} desimeter	Intervall på 1 desimeter	{0} desimeter	Intervall på 2 desimeter
length	decimeters	masculine	Min desimeter den har tre kanter	genitive	{0} desimeters	På 1 desimeters avstand	{0} desimeters	På 2 desimeters avstand
length	foot • ( = 3.048 dm)	masculine	Min fot den har tre kanter	nominative	{0} fot	Intervall på 1 fot	{0} fot	Intervall på 2 fot
length	foot • ( = 3.048 dm)	masculine	Min fot den har tre kanter	genitive	{0} fot	På 1 fot avstand	{0} fot	På 2 fot avstand
length	yard • ( = 0.9144 m)	masculine	Min yard den har tre kanter	nominative	{0} yard	Intervall på 1 yard	{0} yard	Intervall på 2 yard
length	yard • ( = 0.9144 m)	masculine	Min yard den har tre kanter	genitive	{0} yard	På 1 yard avstand	{0} yard	På 2 yard avstand
length	meters	masculine	Min meter den har tre kanter	nominative	{0} meter	Intervall på 1 meter	{0} meter	Intervall på 2 meter
length	meters	masculine	Min meter den har tre kanter	genitive	{0} meters	På 1 meters avstand	{0} meters	På 2 meters avstand
length	kilometers	masculine	Min kilometer den har tre kanter	nominative	{0} kilometer	Intervall på 1 kilometer	{0} kilometer	Intervall på 2 kilometer
length	kilometers	masculine	Min kilometer den har tre kanter	genitive	{0} kilometers	På 1 kilometers avstand	{0} kilometers	På 2 kilometers avstand
length	mile • ( = 1.609344 km)	masculine	Min mile den har tre kanter	nominative	{0} mile	Intervall på 1 mile	{0} miles	Intervall på 2 miles
length	mile • ( = 1.609344 km)	masculine	Min mile den har tre kanter	genitive	{0} mile	På 1 mile avstand	{0} miles	På 2 miles avstand
length	mile-scandinavian • ( = 10 km)	masculine	Min mil den har tre kanter	nominative	{0} mil	Intervall på 1 mil	{0} mil	Intervall på 2 mil
length	mile-scandinavian • ( = 10 km)	masculine	Min mil den har tre kanter	genitive	{0} mils	På 1 mils avstand	{0} mils	På 2 mils avstand
length	solar-radius • ( = 695,700 km)	masculine	Min solradius den har tre kanter	nominative	{0} solradius	Intervall på 1 solradius	{0} solradier	Intervall på 2 solradier
length	solar-radius • ( = 695,700 km)	masculine	Min solradius den har tre kanter	genitive	{0} solradius	På 1 solradius avstand	{0} solradier	På 2 solradier avstand
length	parsec • ( = 30,856,780,000,000 km)	masculine	Min parsec den har tre kanter	nominative	{0} parsec	Intervall på 1 parsec	{0} parsec	Intervall på 2 parsec
length	parsec • ( = 30,856,780,000,000 km)	masculine	Min parsec den har tre kanter	genitive	{0} parsec	På 1 parsec avstand	{0} parsec	På 2 parsec avstand
luminous-flux	lumen	masculine	Min lumen den har tre kanter	nominative	{0} lumen	Intervall på 1 lumen	{0} lumen	Intervall på 2 lumen
luminous-flux	lumen	masculine	Min lumen den har tre kanter	genitive	{0} lumens	På 1 lumens avstand	{0} lumens	På 2 lumens avstand
luminous-intensity	candela	masculine	Min candela den har tre kanter	nominative	{0} candela	Intervall på 1 candela	{0} candela	Intervall på 2 candela
luminous-intensity	candela	masculine	Min candela den har tre kanter	genitive	{0} candelas	På 1 candelas avstand	{0} candelas	På 2 candelas avstand
