# Grammatical Features
#Locale	ID	Feature	Usage	Values
Tamil	ta	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental, ablative
Tamil	ta	grammaticalCase	units	nominative, accusative, dative, ablative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} நாள்	<div class='cldr_example'><span class='cldr_substituted'>1</span> நாள்</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> நாள்</div>
Plural	other	{0} நாட்கள்	<div class='cldr_example'><span class='cldr_substituted'>2</span> நாட்கள்</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> நாட்கள்</div>
Case (for measurement units)	nominative	{0} ரூ. 50 மதிப்புடையது	<div class='cldr_example'><span class='cldr_substituted'>1 சென்டிமீட்டர்</span> ரூ. 50 மதிப்புடையது</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> ரூ. 50 மதிப்புடையது</div>
Case (for measurement units)	accusative	… என்பதை {0} … ஆல் பெருக்குதல்	<div class='cldr_example'>… என்பதை <span class='cldr_substituted'>1 சென்டிமீட்டரை</span> … ஆல் பெருக்குதல்</div><div class='cldr_example'>❌  … என்பதை <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> … ஆல் பெருக்குதல்</div>
Case (for measurement units)	dative	… என்பதற்கு {0} …	<div class='cldr_example'>… என்பதற்கு <span class='cldr_substituted'>1 சென்டிமீட்டருக்கு</span> …</div><div class='cldr_example'>❌  … என்பதற்கு <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> …</div>
Case (for measurement units)	ablative	… என்பதிலிருந்து {0} …	<div class='cldr_example'>… என்பதிலிருந்து <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> …</div><div class='cldr_example'>❌  … என்பதிலிருந்து <span class='cldr_substituted'>1 சென்டிமீட்டரை</span> …</div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
angle	arc-second • ( = 0.0000007˙716049382 rev)	dative	{0} ஆர்க் விநாடிக்கு	… என்பதற்கு 1 ஆர்க் விநாடிக்கு …	{0} ஆர்க் விநாடிகளுக்கு	… என்பதற்கு 2 ஆர்க் விநாடிகளுக்கு …
angle	arc-second • ( = 0.0000007˙716049382 rev)	ablative	{0} ஆர்க் விநாடியில்	… என்பதிலிருந்து 1 ஆர்க் விநாடியில் …	{0} ஆர்க் விநாடிகளில்	… என்பதிலிருந்து 2 ஆர்க் விநாடிகளில் …
angle	arc-minute • ( = 0.00004˙629 rev)	nominative	{0} ஆர்க் நிமிடம்	1 ஆர்க் நிமிடம் ரூ. 50 மதிப்புடையது	{0} ஆர்க் நிமிடங்கள்	2 ஆர்க் நிமிடங்கள் ரூ. 50 மதிப்புடையது
angle	arc-minute • ( = 0.00004˙629 rev)	accusative	{0} ஆர்க் நிமிடத்தை	… என்பதை 1 ஆர்க் நிமிடத்தை … ஆல் பெருக்குதல்	{0} ஆர்க் நிமிடங்களை	… என்பதை 2 ஆர்க் நிமிடங்களை … ஆல் பெருக்குதல்
angle	arc-minute • ( = 0.00004˙629 rev)	dative	{0} ஆர்க் நிமிடத்திற்கு	… என்பதற்கு 1 ஆர்க் நிமிடத்திற்கு …	{0} ஆர்க் நிமிடங்களுக்கு	… என்பதற்கு 2 ஆர்க் நிமிடங்களுக்கு …
angle	arc-minute • ( = 0.00004˙629 rev)	ablative	{0} ஆர்க் நிமிடத்தில்	… என்பதிலிருந்து 1 ஆர்க் நிமிடத்தில் …	{0} ஆர்க் நிமிடங்களில்	… என்பதிலிருந்து 2 ஆர்க் நிமிடங்களில் …
angle	degree • ( = 0.002˙7 rev)	nominative	{0} டிகிரி	1 டிகிரி ரூ. 50 மதிப்புடையது	{0} டிகிரீஸ்	2 டிகிரீஸ் ரூ. 50 மதிப்புடையது
angle	degree • ( = 0.002˙7 rev)	accusative	{0} டிகிரியை	… என்பதை 1 டிகிரியை … ஆல் பெருக்குதல்	{0} டிகிரீஸை	… என்பதை 2 டிகிரீஸை … ஆல் பெருக்குதல்
angle	degree • ( = 0.002˙7 rev)	dative	{0} டிகிரிக்கு	… என்பதற்கு 1 டிகிரிக்கு …	{0} டிகிரீஸுக்கு	… என்பதற்கு 2 டிகிரீஸுக்கு …
angle	degree • ( = 0.002˙7 rev)	ablative	{0} டிகிரியில்	… என்பதிலிருந்து 1 டிகிரியில் …	{0} டிகிரீஸில்	… என்பதிலிருந்து 2 டிகிரீஸில் …
angle	radian • ( = ~0.1591549430918953 rev)	nominative	{0} ரேடியன்	1 ரேடியன் ரூ. 50 மதிப்புடையது	{0} ரேடியன்ஸ்	2 ரேடியன்ஸ் ரூ. 50 மதிப்புடையது
angle	radian • ( = ~0.1591549430918953 rev)	accusative	{0} ரேடியனை	… என்பதை 1 ரேடியனை … ஆல் பெருக்குதல்	{0} ரேடியன்ஸை	… என்பதை 2 ரேடியன்ஸை … ஆல் பெருக்குதல்
angle	radian • ( = ~0.1591549430918953 rev)	dative	{0} ரேடியனுக்கு	… என்பதற்கு 1 ரேடியனுக்கு …	{0} ரேடியன்ஸுக்கு	… என்பதற்கு 2 ரேடியன்ஸுக்கு …
angle	radian • ( = ~0.1591549430918953 rev)	ablative	{0} ரேடியனில்	… என்பதிலிருந்து 1 ரேடியனில் …	{0} ரேடியன்ஸில்	… என்பதிலிருந்து 2 ரேடியன்ஸில் …
angle	revolutions	nominative	{0} சுழற்சி	1 சுழற்சி ரூ. 50 மதிப்புடையது	{0} சுழற்சிகள்	2 சுழற்சிகள் ரூ. 50 மதிப்புடையது
angle	revolutions	accusative	{0} சுழற்சியை	… என்பதை 1 சுழற்சியை … ஆல் பெருக்குதல்	{0} சுழற்சிகளை	… என்பதை 2 சுழற்சிகளை … ஆல் பெருக்குதல்
angle	revolutions	dative	{0} சுழற்சிக்கு	… என்பதற்கு 1 சுழற்சிக்கு …	{0} சுழற்சிகளுக்கு	… என்பதற்கு 2 சுழற்சிகளுக்கு …
angle	revolutions	ablative	{0} சுழற்சியில்	… என்பதிலிருந்து 1 சுழற்சியில் …	{0} சுழற்சிகளில்	… என்பதிலிருந்து 2 சுழற்சிகளில் …
area	square centimeters	nominative	{0} சதுர சென்டிமீட்டர்	1 சதுர சென்டிமீட்டர் ரூ. 50 மதிப்புடையது	{0} சதுர சென்டிமீட்டர்கள்	2 சதுர சென்டிமீட்டர்கள் ரூ. 50 மதிப்புடையது
area	square centimeters	accusative	{0} சதுர சென்டிமீட்டரை	… என்பதை 1 சதுர சென்டிமீட்டரை … ஆல் பெருக்குதல்	{0} சதுர சென்டிமீட்டர்களை	… என்பதை 2 சதுர சென்டிமீட்டர்களை … ஆல் பெருக்குதல்
area	square centimeters	dative	{0} சதுர சென்டிமீட்டருக்கு	… என்பதற்கு 1 சதுர சென்டிமீட்டருக்கு …	{0} சதுர சென்டிமீட்டர்களுக்கு	… என்பதற்கு 2 சதுர சென்டிமீட்டர்களுக்கு …
area	square centimeters	ablative	{0} சதுர சென்டிமீட்டரில்	… என்பதிலிருந்து 1 சதுர சென்டிமீட்டரில் …	{0} சதுர சென்டிமீட்டர்களில்	… என்பதிலிருந்து 2 சதுர சென்டிமீட்டர்களில் …
area	square meters	nominative	{0} சதுர மீட்டர்	1 சதுர மீட்டர் ரூ. 50 மதிப்புடையது	{0} சதுர மீட்டர்கள்	2 சதுர மீட்டர்கள் ரூ. 50 மதிப்புடையது
area	square meters	accusative	{0} சதுர மீட்டரை	… என்பதை 1 சதுர மீட்டரை … ஆல் பெருக்குதல்	{0} சதுர மீட்டர்களை	… என்பதை 2 சதுர மீட்டர்களை … ஆல் பெருக்குதல்
area	square meters	dative	{0} சதுர மீட்டருக்கு	… என்பதற்கு 1 சதுர மீட்டருக்கு …	{0} சதுர மீட்டர்களுக்கு	… என்பதற்கு 2 சதுர மீட்டர்களுக்கு …
area	square meters	ablative	{0} சதுர மீட்டரில்	… என்பதிலிருந்து 1 சதுர மீட்டரில் …	{0} சதுர மீட்டர்களில்	… என்பதிலிருந்து 2 சதுர மீட்டர்களில் …
area	hectares	nominative	{0} ஹெக்டேர்	1 ஹெக்டேர் ரூ. 50 மதிப்புடையது	{0} ஹெக்டேர்கள்	2 ஹெக்டேர்கள் ரூ. 50 மதிப்புடையது
area	hectares	accusative	{0} ஹெக்டேரை	… என்பதை 1 ஹெக்டேரை … ஆல் பெருக்குதல்	{0} ஹெக்டேர்களை	… என்பதை 2 ஹெக்டேர்களை … ஆல் பெருக்குதல்
area	hectares	dative	{0} ஹெக்டேருக்கு	… என்பதற்கு 1 ஹெக்டேருக்கு …	{0} ஹெக்டேர்களுக்கு	… என்பதற்கு 2 ஹெக்டேர்களுக்கு …
area	hectares	ablative	{0} ஹெக்டேரில்	… என்பதிலிருந்து 1 ஹெக்டேரில் …	{0} ஹெக்டேர்களில்	… என்பதிலிருந்து 2 ஹெக்டேர்களில் …
area	square kilometers	nominative	{0} சதுர கிலோமீட்டர்	1 சதுர கிலோமீட்டர் ரூ. 50 மதிப்புடையது	{0} சதுர கிலோமீட்டர்கள்	2 சதுர கிலோமீட்டர்கள் ரூ. 50 மதிப்புடையது
area	square kilometers	accusative	{0} சதுர கிலோமீட்டரை	… என்பதை 1 சதுர கிலோமீட்டரை … ஆல் பெருக்குதல்	{0} சதுர கிலோமீட்டர்களை	… என்பதை 2 சதுர கிலோமீட்டர்களை … ஆல் பெருக்குதல்
area	square kilometers	dative	{0} சதுர கிலோமீட்டருக்கு	… என்பதற்கு 1 சதுர கிலோமீட்டருக்கு …	{0} சதுர கிலோமீட்டர்களுக்கு	… என்பதற்கு 2 சதுர கிலோமீட்டர்களுக்கு …
area	square kilometers	ablative	{0} சதுர கிலோமீட்டரில்	… என்பதிலிருந்து 1 சதுர கிலோமீட்டரில் …	{0} சதுர கிலோமீட்டர்களில்	… என்பதிலிருந்து 2 சதுர கிலோமீட்டர்களில் …
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	nominative	{0} மில்லிமோல்/லிட்டர்	1 மில்லிமோல்/லிட்டர் ரூ. 50 மதிப்புடையது	{0} மில்லிமோல்கள்/லிட்டர்	2 மில்லிமோல்கள்/லிட்டர் ரூ. 50 மதிப்புடையது
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	accusative	{0} மில்லிமோல்/லிட்டரை	… என்பதை 1 மில்லிமோல்/லிட்டரை … ஆல் பெருக்குதல்	{0} மில்லிமோல்கள்/லிட்டரை	… என்பதை 2 மில்லிமோல்கள்/லிட்டரை … ஆல் பெருக்குதல்
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	dative	{0} மில்லிமோல்/லிட்டருக்கு	… என்பதற்கு 1 மில்லிமோல்/லிட்டருக்கு …	{0} மில்லிமோல்கள்/லிட்டருக்கு	… என்பதற்கு 2 மில்லிமோல்கள்/லிட்டருக்கு …
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	ablative	{0} மில்லிமோல்/லிட்டரில்	… என்பதிலிருந்து 1 மில்லிமோல்/லிட்டரில் …	{0} மில்லிமோல்கள்/லிட்டரில்	… என்பதிலிருந்து 2 மில்லிமோல்கள்/லிட்டரில் …
consumption	liters per 100 kilometers	nominative	{0} லிட்டர்/100கி.மீ	1 லிட்டர்/100கி.மீ ரூ. 50 மதிப்புடையது	{0} லிட்டர்/100கி.மீ	2 லிட்டர்/100கி.மீ ரூ. 50 மதிப்புடையது
consumption	liters per 100 kilometers	accusative	{0} லிட்டர்/100கிலோமீட்டரை	… என்பதை 1 லிட்டர்/100கிலோமீட்டரை … ஆல் பெருக்குதல்	{0} லிட்டர்/100கிலோமீட்டரை	… என்பதை 2 லிட்டர்/100கிலோமீட்டரை … ஆல் பெருக்குதல்
consumption	liters per 100 kilometers	dative	{0} லிட்டர்/100கிலோமீட்டருக்கு	… என்பதற்கு 1 லிட்டர்/100கிலோமீட்டருக்கு …	{0} லிட்டர்/100கிலோமீட்டருக்கு	… என்பதற்கு 2 லிட்டர்/100கிலோமீட்டருக்கு …
consumption	liters per 100 kilometers	ablative	{0} லிட்டர்/100கிலோமீட்டரில்	… என்பதிலிருந்து 1 லிட்டர்/100கிலோமீட்டரில் …	{0} லிட்டர்/100கிலோமீட்டரில்	… என்பதிலிருந்து 2 லிட்டர்/100கிலோமீட்டரில் …
consumption	liters per kilometer	nominative	{0} லிட்டர்/கிலோமீட்டர்	1 லிட்டர்/கிலோமீட்டர் ரூ. 50 மதிப்புடையது	{0} லிட்டர்கள்/கிலோமீட்டர்	2 லிட்டர்கள்/கிலோமீட்டர் ரூ. 50 மதிப்புடையது
consumption	liters per kilometer	accusative	{0} லிட்டர்/கிலோமீட்டரை	… என்பதை 1 லிட்டர்/கிலோமீட்டரை … ஆல் பெருக்குதல்	{0} லிட்டர்கள்/கிலோமீட்டரை	… என்பதை 2 லிட்டர்கள்/கிலோமீட்டரை … ஆல் பெருக்குதல்
consumption	liters per kilometer	dative	{0} லிட்டர்/கிலோமீட்டருக்கு	… என்பதற்கு 1 லிட்டர்/கிலோமீட்டருக்கு …	{0} லிட்டர்கள்/கிலோமீட்டருக்கு	… என்பதற்கு 2 லிட்டர்கள்/கிலோமீட்டருக்கு …
consumption	liters per kilometer	ablative	{0} லிட்டர்/கிலோமீட்டரில்	… என்பதிலிருந்து 1 லிட்டர்/கிலோமீட்டரில் …	{0} லிட்டர்கள்/கிலோமீட்டரில்	… என்பதிலிருந்து 2 லிட்டர்கள்/கிலோமீட்டரில் …
digital	bits	nominative	{0} பிட்	1 பிட் ரூ. 50 மதிப்புடையது	{0} பிட்கள்	2 பிட்கள் ரூ. 50 மதிப்புடையது
digital	bits	accusative	{0} பிட்டை	… என்பதை 1 பிட்டை … ஆல் பெருக்குதல்	{0} பிட்களை	… என்பதை 2 பிட்களை … ஆல் பெருக்குதல்
digital	bits	dative	{0} பிட்டுக்கு	… என்பதற்கு 1 பிட்டுக்கு …	{0} பிட்களுக்கு	… என்பதற்கு 2 பிட்களுக்கு …
digital	bits	ablative	{0} பிட்டில்	… என்பதிலிருந்து 1 பிட்டில் …	{0} பிட்களில்	… என்பதிலிருந்து 2 பிட்களில் …
digital	byte • ( = 8 bit)	nominative	{0} பைட்	1 பைட் ரூ. 50 மதிப்புடையது	{0} பைட்கள்	2 பைட்கள் ரூ. 50 மதிப்புடையது
digital	byte • ( = 8 bit)	accusative	{0} பைட்டை	… என்பதை 1 பைட்டை … ஆல் பெருக்குதல்	{0} பைட்களை	… என்பதை 2 பைட்களை … ஆல் பெருக்குதல்
digital	byte • ( = 8 bit)	dative	{0} பைட்டுக்கு	… என்பதற்கு 1 பைட்டுக்கு …	{0} பைட்களுக்கு	… என்பதற்கு 2 பைட்களுக்கு …
digital	byte • ( = 8 bit)	ablative	{0} பைட்டில்	… என்பதிலிருந்து 1 பைட்டில் …	{0} பைட்களில்	… என்பதிலிருந்து 2 பைட்களில் …
digital	kilobits	nominative	{0} கிலோபிட்	1 கிலோபிட் ரூ. 50 மதிப்புடையது	{0} கிலோபிட்கள்	2 கிலோபிட்கள் ரூ. 50 மதிப்புடையது
digital	kilobits	accusative	{0} கிலோபிட்டை	… என்பதை 1 கிலோபிட்டை … ஆல் பெருக்குதல்	{0} கிலோபிட்களை	… என்பதை 2 கிலோபிட்களை … ஆல் பெருக்குதல்
digital	kilobits	dative	{0} கிலோபிட்டுக்கு	… என்பதற்கு 1 கிலோபிட்டுக்கு …	{0} கிலோபிட்களுக்கு	… என்பதற்கு 2 கிலோபிட்களுக்கு …
digital	kilobits	ablative	{0} கிலோபிட்டில்	… என்பதிலிருந்து 1 கிலோபிட்டில் …	{0} கிலோபிட்களில்	… என்பதிலிருந்து 2 கிலோபிட்களில் …
digital	kilobyte • ( = 8 kb)	nominative	{0} கிலோபைட்	1 கிலோபைட் ரூ. 50 மதிப்புடையது	{0} கிலோபைட்கள்	2 கிலோபைட்கள் ரூ. 50 மதிப்புடையது
digital	kilobyte • ( = 8 kb)	accusative	{0} கிலோபைட்டை	… என்பதை 1 கிலோபைட்டை … ஆல் பெருக்குதல்	{0} கிலோபைட்களை	… என்பதை 2 கிலோபைட்களை … ஆல் பெருக்குதல்
digital	kilobyte • ( = 8 kb)	dative	{0} கிலோபைட்டுக்கு	… என்பதற்கு 1 கிலோபைட்டுக்கு …	{0} கிலோபைட்களுக்கு	… என்பதற்கு 2 கிலோபைட்களுக்கு …
digital	kilobyte • ( = 8 kb)	ablative	{0} கிலோபைட்டில்	… என்பதிலிருந்து 1 கிலோபைட்டில் …	{0} கிலோபைட்களில்	… என்பதிலிருந்து 2 கிலோபைட்களில் …
digital	megabits	nominative	{0} மெகாபிட்	1 மெகாபிட் ரூ. 50 மதிப்புடையது	{0} மெகாபிட்கள்	2 மெகாபிட்கள் ரூ. 50 மதிப்புடையது
digital	megabits	accusative	{0} மெகாபிட்டை	… என்பதை 1 மெகாபிட்டை … ஆல் பெருக்குதல்	{0} மெகாபிட்களை	… என்பதை 2 மெகாபிட்களை … ஆல் பெருக்குதல்
digital	megabits	dative	{0} மெகாபிட்டுக்கு	… என்பதற்கு 1 மெகாபிட்டுக்கு …	{0} மெகாபிட்களுக்கு	… என்பதற்கு 2 மெகாபிட்களுக்கு …
digital	megabits	ablative	{0} மெகாபிட்டில்	… என்பதிலிருந்து 1 மெகாபிட்டில் …	{0} மெகாபிட்களில்	… என்பதிலிருந்து 2 மெகாபிட்களில் …
digital	megabyte • ( = 8 Mb)	nominative	{0} மெகாபைட்	1 மெகாபைட் ரூ. 50 மதிப்புடையது	{0} மெகாபைட்கள்	2 மெகாபைட்கள் ரூ. 50 மதிப்புடையது
digital	megabyte • ( = 8 Mb)	accusative	{0} மெகாபைட்டை	… என்பதை 1 மெகாபைட்டை … ஆல் பெருக்குதல்	{0} மெகாபைட்களை	… என்பதை 2 மெகாபைட்களை … ஆல் பெருக்குதல்
digital	megabyte • ( = 8 Mb)	dative	{0} மெகாபைட்டுக்கு	… என்பதற்கு 1 மெகாபைட்டுக்கு …	{0} மெகாபைட்களுக்கு	… என்பதற்கு 2 மெகாபைட்களுக்கு …
digital	megabyte • ( = 8 Mb)	ablative	{0} மெகாபைட்டில்	… என்பதிலிருந்து 1 மெகாபைட்டில் …	{0} மெகாபைட்களில்	… என்பதிலிருந்து 2 மெகாபைட்களில் …
digital	gigabits	nominative	{0} கிகாபிட்	1 கிகாபிட் ரூ. 50 மதிப்புடையது	{0} கிகாபிட்கள்	2 கிகாபிட்கள் ரூ. 50 மதிப்புடையது
digital	gigabits	accusative	{0} கிகாபிட்டை	… என்பதை 1 கிகாபிட்டை … ஆல் பெருக்குதல்	{0} கிகாபிட்களை	… என்பதை 2 கிகாபிட்களை … ஆல் பெருக்குதல்
digital	gigabits	dative	{0} கிகாபிட்டுக்கு	… என்பதற்கு 1 கிகாபிட்டுக்கு …	{0} கிகாபிட்களுக்கு	… என்பதற்கு 2 கிகாபிட்களுக்கு …
digital	gigabits	ablative	{0} கிகாபிட்டில்	… என்பதிலிருந்து 1 கிகாபிட்டில் …	{0} கிகாபிட்களில்	… என்பதிலிருந்து 2 கிகாபிட்களில் …
digital	gigabyte • ( = 8 Gb)	nominative	{0} கிகாபைட்	1 கிகாபைட் ரூ. 50 மதிப்புடையது	{0} கிகாபைட்கள்	2 கிகாபைட்கள் ரூ. 50 மதிப்புடையது
digital	gigabyte • ( = 8 Gb)	accusative	{0} கிகாபைட்டை	… என்பதை 1 கிகாபைட்டை … ஆல் பெருக்குதல்	{0} கிகாபைட்களை	… என்பதை 2 கிகாபைட்களை … ஆல் பெருக்குதல்
digital	gigabyte • ( = 8 Gb)	dative	{0} கிகாபைட்டுக்கு	… என்பதற்கு 1 கிகாபைட்டுக்கு …	{0} கிகாபைட்களுக்கு	… என்பதற்கு 2 கிகாபைட்களுக்கு …
digital	gigabyte • ( = 8 Gb)	ablative	{0} கிகாபைட்டில்	… என்பதிலிருந்து 1 கிகாபைட்டில் …	{0} கிகாபைட்களில்	… என்பதிலிருந்து 2 கிகாபைட்களில் …
digital	terabits	nominative	{0} டெராபிட்	1 டெராபிட் ரூ. 50 மதிப்புடையது	{0} டெராபிட்கள்	2 டெராபிட்கள் ரூ. 50 மதிப்புடையது
digital	terabits	accusative	{0} டெராபிட்டை	… என்பதை 1 டெராபிட்டை … ஆல் பெருக்குதல்	{0} டெராபிட்களை	… என்பதை 2 டெராபிட்களை … ஆல் பெருக்குதல்
digital	terabits	dative	{0} டெராபிட்டுக்கு	… என்பதற்கு 1 டெராபிட்டுக்கு …	{0} டெராபிட்களுக்கு	… என்பதற்கு 2 டெராபிட்களுக்கு …
digital	terabits	ablative	{0} டெராபிட்டில்	… என்பதிலிருந்து 1 டெராபிட்டில் …	{0} டெராபிட்களில்	… என்பதிலிருந்து 2 டெராபிட்களில் …
digital	terabyte • ( = 8 Tb)	nominative	{0} டெராபைட்	1 டெராபைட் ரூ. 50 மதிப்புடையது	{0} டெராபைட்கள்	2 டெராபைட்கள் ரூ. 50 மதிப்புடையது
digital	terabyte • ( = 8 Tb)	accusative	{0} டெராபைட்டை	… என்பதை 1 டெராபைட்டை … ஆல் பெருக்குதல்	{0} டெராபைட்களை	… என்பதை 2 டெராபைட்களை … ஆல் பெருக்குதல்
digital	terabyte • ( = 8 Tb)	dative	{0} டெராபைட்டுக்கு	… என்பதற்கு 1 டெராபைட்டுக்கு …	{0} டெராபைட்களுக்கு	… என்பதற்கு 2 டெராபைட்களுக்கு …
digital	terabyte • ( = 8 Tb)	ablative	{0} டெராபைட்டில்	… என்பதிலிருந்து 1 டெராபைட்டில் …	{0} டெராபைட்களில்	… என்பதிலிருந்து 2 டெராபைட்களில் …
digital	petabyte • ( = 8,000 Tb)	nominative	{0} பெடாபைட்	1 பெடாபைட் ரூ. 50 மதிப்புடையது	{0} பெடாபைட்கள்	2 பெடாபைட்கள் ரூ. 50 மதிப்புடையது
digital	petabyte • ( = 8,000 Tb)	accusative	{0} பெடாபைட்டை	… என்பதை 1 பெடாபைட்டை … ஆல் பெருக்குதல்	{0} பெடாபைட்களை	… என்பதை 2 பெடாபைட்களை … ஆல் பெருக்குதல்
digital	petabyte • ( = 8,000 Tb)	dative	{0} பெடாபைட்டுக்கு	… என்பதற்கு 1 பெடாபைட்டுக்கு …	{0} பெடாபைட்களுக்கு	… என்பதற்கு 2 பெடாபைட்களுக்கு …
digital	petabyte • ( = 8,000 Tb)	ablative	{0} பெடாபைட்டில்	… என்பதிலிருந்து 1 பெடாபைட்டில் …	{0} பெடாபைட்களில்	… என்பதிலிருந்து 2 பெடாபைட்களில் …
