# Grammatical Features
Kannada	kn	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Kannada	kn	grammaticalCase	units	nominative, accusative, genitive, locative, dative
Kannada	kn	grammaticalGender	general	masculine, feminine, neuter
Kannada	kn	grammaticalGender	units	neuter

# Minimal Pairs
Plural	one	{0} ದಿನ	<div class='cldr_example'><span class='cldr_substituted'>1</span> ದಿನ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ದಿನ</div>
angle	arc-second ( = 0.0000007˙716049382 rev)	nominative	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡ್	1 ಆರ್ಕ್‌ಸೆಕೆಂಡ್ ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳು	3 ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
angle	arc-second ( = 0.0000007˙716049382 rev)	accusative	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡ್ ಅನ್ನು	ರಾಮನು 1 ಆರ್ಕ್‌ಸೆಕೆಂಡ್ ಅನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳನ್ನು	ರಾಮನು 3 ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು
angle	arc-second ( = 0.0000007˙716049382 rev)	genitive	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡ್‌ನ	ರಾಮನು 1 ಆರ್ಕ್‌ಸೆಕೆಂಡ್‌ನ ಮರದ ಬಳಿ ಹೋದನು	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳ	ರಾಮನು 3 ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳ ಮರದ ಬಳಿ ಹೋದನು
angle	arc-second ( = 0.0000007˙716049382 rev)	locative	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡ್‌ನಲ್ಲಿ	ರಾಮನು 1 ಆರ್ಕ್‌ಸೆಕೆಂಡ್‌ನಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳಲ್ಲಿ	ರಾಮನು 3 ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು
angle	arc-second ( = 0.0000007˙716049382 rev)	dative	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡ್‌ಗೆ	ರಾಮನು 1 ಆರ್ಕ್‌ಸೆಕೆಂಡ್‌ಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು	{0} ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳಿಗೆ	ರಾಮನು 3 ಆರ್ಕ್‌ಸೆಕೆಂಡುಗಳಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು
angle	arc-minute ( = 0.00004˙629 rev)	nominative	{0} ಆರ್ಕ್‌ಮಿನಿಟ್	1 ಆರ್ಕ್‌ಮಿನಿಟ್ ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳು	3 ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
angle	arc-minute ( = 0.00004˙629 rev)	accusative	{0} ಆರ್ಕ್‌ಮಿನಿಟ್ ಅನ್ನು	ರಾಮನು 1 ಆರ್ಕ್‌ಮಿನಿಟ್ ಅನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳನ್ನು	ರಾಮನು 3 ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು
angle	arc-minute ( = 0.00004˙629 rev)	genitive	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ನ	ರಾಮನು 1 ಆರ್ಕ್‌ಮಿನಿಟ್‌ನ ಮರದ ಬಳಿ ಹೋದನು	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳ	ರಾಮನು 3 ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳ ಮರದ ಬಳಿ ಹೋದನು
angle	arc-minute ( = 0.00004˙629 rev)	locative	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ನಲ್ಲಿ	ರಾಮನು 1 ಆರ್ಕ್‌ಮಿನಿಟ್‌ನಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳಲ್ಲಿ	ರಾಮನು 3 ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು
angle	arc-minute ( = 0.00004˙629 rev)	dative	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗೆ	ರಾಮನು 1 ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು	{0} ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳಿಗೆ	ರಾಮನು 3 ಆರ್ಕ್‌ಮಿನಿಟ್‌ಗಳಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು
angle	degree ( = 0.002˙7 rev)	nominative	{0} ಡಿಗ್ರಿಯು	1 ಡಿಗ್ರಿಯು ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0}ಡಿಗ್ರಿಗಳು	3ಡಿಗ್ರಿಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
angle	degree ( = 0.002˙7 rev)	accusative	{0} ಡಿಗ್ರಿಯನ್ನು	ರಾಮನು 1 ಡಿಗ್ರಿಯನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು	{0}ಡಿಗ್ರಿಗಳನ್ನು	ರಾಮನು 3ಡಿಗ್ರಿಗಳನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು
angle	degree ( = 0.002˙7 rev)	genitive	{0} ಡಿಗ್ರಿಯ	ರಾಮನು 1 ಡಿಗ್ರಿಯ ಮರದ ಬಳಿ ಹೋದನು	{0}ಡಿಗ್ರಿಗಳ	ರಾಮನು 3ಡಿಗ್ರಿಗಳ ಮರದ ಬಳಿ ಹೋದನು
angle	degree ( = 0.002˙7 rev)	locative	{0} ಡಿಗ್ರಿಯಲ್ಲಿ	ರಾಮನು 1 ಡಿಗ್ರಿಯಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು	{0}ಡಿಗ್ರಿಗಳಲ್ಲಿ	ರಾಮನು 3ಡಿಗ್ರಿಗಳಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು
angle	degree ( = 0.002˙7 rev)	dative	{0} ಡಿಗ್ರಿಗೆ	ರಾಮನು 1 ಡಿಗ್ರಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು	{0}ಡಿಗ್ರಿಗಳಿಗೆ	ರಾಮನು 3ಡಿಗ್ರಿಗಳಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು
angle	radian ( = ~0.1591549430918953 rev)	nominative	{0} ರೇಡಿಯಾನ್‌	1 ರೇಡಿಯಾನ್‌ ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0} ರೇಡಿಯಾನ್‌ಗಳು	3 ರೇಡಿಯಾನ್‌ಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
angle	radian ( = ~0.1591549430918953 rev)	accusative	{0} ರೇಡಿಯಾನ್‌ ಅನ್ನು	ರಾಮನು 1 ರೇಡಿಯಾನ್‌ ಅನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು	{0} ರೇಡಿಯಾನ್‌ಗಳನ್ನು	ರಾಮನು 3 ರೇಡಿಯಾನ್‌ಗಳನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು
angle	radian ( = ~0.1591549430918953 rev)	genitive	{0} ರೇಡಿಯಾನ್‌ನ	ರಾಮನು 1 ರೇಡಿಯಾನ್‌ನ ಮರದ ಬಳಿ ಹೋದನು	{0} ರೇಡಿಯಾನ್‌ಗಳ	ರಾಮನು 3 ರೇಡಿಯಾನ್‌ಗಳ ಮರದ ಬಳಿ ಹೋದನು
angle	radian ( = ~0.1591549430918953 rev)	locative	{0} ರೇಡಿಯಾನ್‌ನಲ್ಲಿ	ರಾಮನು 1 ರೇಡಿಯಾನ್‌ನಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು	{0} ರೇಡಿಯಾನ್‌ಗಳಲ್ಲಿ	ರಾಮನು 3 ರೇಡಿಯಾನ್‌ಗಳಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು
angle	radian ( = ~0.1591549430918953 rev)	dative	{0} ರೇಡಿಯಾನ್‌ಗೆ	ರಾಮನು 1 ರೇಡಿಯಾನ್‌ಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು	{0} ರೇಡಿಯಾನ್‌ಗಳಿಗೆ	ರಾಮನು 3 ರೇಡಿಯಾನ್‌ಗಳಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು
angle	revolutions	nominative	{0} ತಿರುಗುವಿಕೆಯು	1 ತಿರುಗುವಿಕೆಯು ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0} ತಿರುಗುವಿಕೆಗಳು	3 ತಿರುಗುವಿಕೆಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
angle	revolutions	accusative	{0} ತಿರುಗುವಿಕೆಯನ್ನು	ರಾಮನು 1 ತಿರುಗುವಿಕೆಯನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು	{0} ತಿರುಗುವಿಕೆಗಳನ್ನು	ರಾಮನು 3 ತಿರುಗುವಿಕೆಗಳನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು
angle	revolutions	genitive	{0} ತಿರುಗುವಿಕೆಯ	ರಾಮನು 1 ತಿರುಗುವಿಕೆಯ ಮರದ ಬಳಿ ಹೋದನು	{0} ತಿರುಗುವಿಕೆಗಳ	ರಾಮನು 3 ತಿರುಗುವಿಕೆಗಳ ಮರದ ಬಳಿ ಹೋದನು
angle	revolutions	locative	{0} ತಿರುಗುವಿಕೆಯಲ್ಲಿ	ರಾಮನು 1 ತಿರುಗುವಿಕೆಯಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು	{0} ತಿರುಗುವಿಕೆಗಳಲ್ಲಿ	ರಾಮನು 3 ತಿರುಗುವಿಕೆಗಳಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು
angle	revolutions	dative	{0} ತಿರುಗುವಿಕೆಗೆ	ರಾಮನು 1 ತಿರುಗುವಿಕೆಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು	{0} ತಿರುಗುವಿಕೆಗಳಿಗೆ	ರಾಮನು 3 ತಿರುಗುವಿಕೆಗಳಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು
area	square centimeters	nominative	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್	1 ಚದರ ಸೆಂಟಿಮೀಟರ್ ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳು	3 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
area	square centimeters	accusative	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್ ಅನ್ನು	ರಾಮನು 1 ಚದರ ಸೆಂಟಿಮೀಟರ್ ಅನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳನ್ನು	ರಾಮನು 3 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು
area	square centimeters	genitive	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ನ	ರಾಮನು 1 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ನ ಮರದ ಬಳಿ ಹೋದನು	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳ	ರಾಮನು 3 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳ ಮರದ ಬಳಿ ಹೋದನು
area	square centimeters	locative	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ನಲ್ಲಿ	ರಾಮನು 1 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ನಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳಲ್ಲಿ	ರಾಮನು 3 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು
area	square centimeters	dative	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗೆ	ರಾಮನು 1 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು	{0} ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳಿಗೆ	ರಾಮನು 3 ಚದರ ಸೆಂಟಿಮೀಟರ್‌ಗಳಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು
area	square meters	nominative	{0} ಚದರ ಮೀಟರ್	1 ಚದರ ಮೀಟರ್ ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0} ಚದರ ಮೀಟರ್‌ಗಳು	3 ಚದರ ಮೀಟರ್‌ಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
area	square meters	accusative	{0} ಚದರ ಮೀಟರ್ ಅನ್ನು	ರಾಮನು 1 ಚದರ ಮೀಟರ್ ಅನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು	{0} ಚದರ ಮೀಟರ್‌ಗಳನ್ನು	ರಾಮನು 3 ಚದರ ಮೀಟರ್‌ಗಳನ್ನು ಮರವನ್ನು ಹತ್ತಿದನು
area	square meters	genitive	{0} ಚದರ ಮೀಟರ್‌ನ	ರಾಮನು 1 ಚದರ ಮೀಟರ್‌ನ ಮರದ ಬಳಿ ಹೋದನು	{0} ಚದರ ಮೀಟರ್‌ಗಳ	ರಾಮನು 3 ಚದರ ಮೀಟರ್‌ಗಳ ಮರದ ಬಳಿ ಹೋದನು
area	square meters	locative	{0} ಚದರ ಮೀಟರ್‌ನಲ್ಲಿ	ರಾಮನು 1 ಚದರ ಮೀಟರ್‌ನಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು	{0} ಚದರ ಮೀಟರ್‌ಗಳಲ್ಲಿ	ರಾಮನು 3 ಚದರ ಮೀಟರ್‌ಗಳಲ್ಲಿ ಮರದಲ್ಲಿ ಹಣ್ಣನ್ನು ನೋಡಿದನು
area	square meters	dative	{0} ಚದರ ಮೀಟರ್‌ಗೆ	ರಾಮನು 1 ಚದರ ಮೀಟರ್‌ಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು	{0} ಚದರ ಮೀಟರ್‌ಗಳಿಗೆ	ರಾಮನು 3 ಚದರ ಮೀಟರ್‌ಗಳಿಗೆ ಮರಕ್ಕೆ ಕಲ್ಲು ಹೊಡೆದನು
area	hectares	nominative	{0} ಹೆಕ್ಟೇರ್	1 ಹೆಕ್ಟೇರ್ ಮರವು ದೊಡ್ಡದಾಗಿದೆ	{0} ಹೆಕ್ಟೇರುಗಳು	3 ಹೆಕ್ಟೇರುಗಳು ಮರವು ದೊಡ್ಡದಾಗಿದೆ
