#Locale	TargetLevel	№ Found	№ Unconfirmed	№ Missing
aa	*basic	0	26	39
ab	*basic	1	64	0
af	modern	9067	0	0
agq	*basic	39	0	24
ak	moderate	2244	0	0
am	modern	9401	0	0
an	*basic	1	64	0
ann	*basic	5	0	60
apc	*basic	1	61	21
ar	modern	13148	0	0
arn	*basic	1	0	62
as	modern	9103	0	2
asa	*basic	34	0	29
‡ast	moderate	2108	10	122
az	modern	9281	0	0
az_Arab	*basic	15	0	74
az_Cyrl	*basic	45	0	42
ba	*basic	65	0	0
bal	*basic	11	35	37
bal_Latn	*basic	84	0	0
bas	*basic	39	0	24
be	modern	10786	0	0
bem	*basic	34	0	29
bew	*basic	0	63	0
bez	*basic	34	0	29
bg	modern	9102	0	0
bgc	basic	74	0	0
bgn	*basic	16	0	71
bho	basic	74	0	0
blo	*basic	65	0	0
blt	*basic	1	0	62
bm	*basic	29	0	35
bm_Nkoo	*basic	2	3	61
bn	modern	9289	0	0
bo	*basic	32	4	31
bqi	*basic	0	83	0
‡br	moderate	2821	0	12
brx	basic	74	0	0
bs	modern	9945	0	0
‡bs_Cyrl	basic	66	0	0
bss	*basic	17	0	46
bua	*basic	65	0	0
byn	*basic	2	25	38
ca	modern	9258	0	0
cad	*basic	20	7	36
cch	*basic	1	19	43
ccp	*basic	70	2	13
ce	*basic	48	0	15
ceb	moderate	2234	0	0
cgg	*basic	32	0	31
cho	*basic	11	0	52
‡chr	modern	9024	0	0
cic	*basic	22	5	36
ckb	*basic	64	11	10
co	*basic	1	64	0
cop	*basic	0	40	23
cs	modern	13540	0	0
csw	*basic	65	0	0
cu	*basic	1	50	13
‡cv	*basic	65	0	0
cy	modern	12682	0	0
da	modern	9498	0	0
dav	*basic	34	0	29
de	modern	10253	0	0
dje	*basic	39	0	24
doi	basic	74	0	0
‡dsb	modern	10413	0	0
dua	*basic	38	0	25
dv	*basic	1	5	58
dyo	*basic	37	0	26
dz	*basic	66	0	8
ebu	*basic	34	0	29
ee	basic	66	0	0
el	modern	9717	0	0
en	modern	9782	0	0
en_Dsrt	*basic	146	1	40
en_Shaw	*basic	24	124	41
eo	*basic	65	0	0
es	modern	9283	0	0
et	modern	9050	0	0
eu	modern	9064	0	0
ewo	*basic	39	0	24
fa	modern	9303	0	0
‡ff	*basic	43	0	41
‡ff_Adlm	moderate	2263	4	72
fi	modern	10074	0	0
fil	modern	9080	0	0
‡fo	moderate	2253	0	0
fr	modern	9386	0	2
frr	*basic	1	64	0
fur	*basic	51	2	12
fy	*basic	65	0	0
ga	modern	11741	0	0
gaa	basic	65	0	0
gd	modern	10846	0	2
gez	*basic	0	27	37
gl	modern	9084	0	0
gn	*basic	20	3	40
gsw	*basic	53	0	12
gu	modern	9228	0	0
guz	*basic	32	0	31
gv	*basic	24	0	39
ha	modern	9159	0	0
ha_Arab	*basic	1	21	64
haw	*basic	44	0	19
he	modern	11149	0	0
hi	modern	9667	0	2
hi_Latn	modern	9252	0	0
hnj	*basic	16	1	57
hr	modern	11219	0	0
‡hsb	modern	10496	0	0
ht	*basic	5	0	60
hu	modern	10055	0	0
hy	modern	9967	0	0
‡ia	basic	65	0	0
id	modern	8294	0	0
ie	*basic	65	0	0
ig	modern	8118	0	0
ii	*basic	64	0	0
io	*basic	1	0	62
is	modern	9923	0	0
it	modern	9257	0	0
iu	*basic	6	23	35
iu_Latn	*basic	0	0	64
ja	modern	9017	0	0
jbo	*basic	1	0	62
jgo	*basic	47	0	18
jmc	*basic	32	0	31
jv	modern	8225	0	0
ka	modern	8983	0	0
kaa	*basic	28	7	31
kaa_Latn	*basic	0	0	64
kab	*basic	32	33	0
kaj	*basic	1	21	41
kam	*basic	32	0	31
kcg	*basic	1	19	43
