# Count	Section	Page	Subhead	Code

15	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-other
14	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-other
14	Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-other
14	Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-other
14	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-other
14	Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-other
13	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-one
13	Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-other
13	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-other
13	Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-other
13	Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-one
13	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-one
13	Currencies	North America (C)	Caribbean: Curaçao	XCG-symbol
12	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-other-alphaNextToNumber
12	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other
12	Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-one
12	Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-one
11	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other-alphaNextToNumber
11	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-other-alphaNextToNumber
11	Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-other-alphaNextToNumber
11	Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-other-alphaNextToNumber
11	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other
11	Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-one
11	Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-one
11	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-one
11	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-one
10	Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-other-alphaNextToNumber
10	Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-other-alphaNextToNumber
10	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-one
10	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-other
10	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-other-alphaNextToNumber
10	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-other-alphaNextToNumber
9	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-other-alphaNextToNumber
9	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-one
9	Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-other-alphaNextToNumber
8	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-one
7	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other-alphaNextToNumber
6	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-one-alphaNextToNumber
6	Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-one-alphaNextToNumber
6	Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-one-alphaNextToNumber
6	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm
6	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd
5	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-one-alphaNextToNumber
5	Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-one-alphaNextToNumber
5	Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-one-alphaNextToNumber
5	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-one-alphaNextToNumber
5	Date & Time	Gregorian	Day Periods - wide - Formatting	pm
5	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am
5	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency
5	Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-one-alphaNextToNumber
4	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-one-alphaNextToNumber
4	Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-one-nominative
4	Date & Time	Gregorian	Formats - Standard - Date Formats	short
4	Date & Time	Gregorian	Day Periods - wide - Formatting	am
4	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-one-alphaNextToNumber
4	Numbers	Symbols	Symbols 	group
4	Units	Other Units Metric	candela	narrow-one-nominative
4	Units	Other Units Metric	candela	narrow-other-nominative
4	Units	Other Units Metric	lumen	narrow-one-nominative
4	Units	Other Units Metric	lumen	narrow-other-nominative
4	Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd
3	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-one-alphaNextToNumber
3	Date & Time	Gregorian	Formats - Standard - Date Formats	full
3	Date & Time	Gregorian	Formats - Standard - Date Formats	medium
3	Currencies	Western Asia (C)	Western Asia: Saudi Arabia	SAR-symbol-variant
3	Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-one-alphaNextToNumber
3	Units	Graphics	pixel-per-centimeter	narrow-other-nominative
3	Units	Weather	millimeter-ofhg	short-one-nominative
3	Units	Weather	millimeter-ofhg	short-other-nominative
