# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usca
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usco
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usct
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usdc
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usde
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usfl
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usga
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	ushi
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usia
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usid
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usil
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usin
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usks
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usky
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usla
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usma
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usmd
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usme
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usmi
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usmn
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usmo
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usms
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usmt
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usnc
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usnd
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usne
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usnh
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usnj
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usnm
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usnv
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usny
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usoh
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usok
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usor
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	uspa
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usri
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	ussc
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	ussd
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	ustn
