# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rumag
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rume
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rumo
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rumos
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rumow
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rumur
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	runen
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rungr
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	runiz
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	runvs
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruoms
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruore
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruorl
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruper
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rupnz
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rupri
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rupsk
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruros
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rurya
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rusa
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rusak
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rusam
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rusar
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruse
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rusmo
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruspe
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rusta
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rusve
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruta
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rutam
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rutom
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rutul
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rutve
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruty
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rutyu
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruud
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruuly
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruvgg
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruvla
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruvlg
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruvor
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruyan
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruyar
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruyev
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruzab
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ua30
15	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ua40
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	ad07
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esa
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esab
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esal
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esar
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esas
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esb
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esba
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esca
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	escb
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	escl
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	escr
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	escs
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esct
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	escu
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esex
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esgc
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esgi
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esgr
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esgu
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esh
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	eshu
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esib
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esj
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esl
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esle
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	eslo
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esma
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esmc
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esmd
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esml
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esna
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esnc
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	espm
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	espo
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esri
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	essa
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esse
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esso
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	est
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	este
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	estf
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esto
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esv
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esva
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esvc
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esz
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	gr69
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	gri
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	hr05
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	hr21
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it21
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it23
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it25
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it32
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it34
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it36
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it42
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it45
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it52
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it55
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it57
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it65
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it67
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it72
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it75
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it77
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it78
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it82
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it88
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itao
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itcs
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itcz
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itfr
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itkr
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itlt
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itri
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itvt
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itvv
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mk85
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt03
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt43
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	rs00
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	pt20
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	pt30
15	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si213
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	aeaj
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	aefu
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	aerk
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	aesh
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	aeuq
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	azba
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	geab
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	getb
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	ommu
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	qada
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	qawa
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr01
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr02
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr03
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr04
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr05
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr06
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr07
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr08
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr09
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr10
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr11
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr12
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr13
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr14
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr15
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr16
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr17
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr18
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr19
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr20
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr21
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr22
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr23
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr24
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr25
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr26
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr27
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr28
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr29
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr30
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr31
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr32
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr33
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr34
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr35
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr36
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr37
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr38
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr39
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr40
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr41
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr42
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr43
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr44
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr45
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr46
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr47
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr48
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr49
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr50
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr51
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr52
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr53
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr54
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr55
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr56
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr57
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr58
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr59
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr60
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr61
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr62
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr63
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr64
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr65
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr66
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr67
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr68
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr69
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr70
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr71
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr72
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr73
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr74
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr75
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr76
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr77
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr78
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr79
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr80
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	tr81
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	yehj
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	yehu
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	yeja
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	yesa
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	yesh
15	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	yeta
15	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kggb
15	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzalm
15	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	uzqr
15	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	uztk
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnah
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnbj
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cncq
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnfj
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cngd
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cngs
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cngx
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cngz
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnha
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnhb
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnhe
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnhi
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnhk
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnhl
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnhn
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnjl
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnjs
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnjx
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnln
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnmo
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnnm
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnnx
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnqh
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnsc
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnsd
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnsh
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnsn
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnsx
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cntj
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnyn
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	cnzj
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp01
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp02
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp03
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp04
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp05
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp06
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp07
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp08
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp09
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp10
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp11
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp12
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp13
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp14
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp15
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp16
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp17
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp18
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp19
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp20
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp21
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp22
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp23
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp24
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp25
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp26
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp27
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp28
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp29
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp30
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp31
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp32
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp33
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp34
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp35
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp36
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp37
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp38
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp39
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp40
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp41
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp42
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp43
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp44
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp45
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp46
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	jp47
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kp01
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kp15
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr11
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr26
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr27
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr28
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr29
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr30
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr31
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kr49
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	mn1
15	Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	twtpe
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	afpan
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inan
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inap
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inar
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inas
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inbr
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inch
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	indd
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	indl
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	indn
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inga
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ingj
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inhp
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inhr
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	injh
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inka
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inkl
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inld
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inmh
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inml
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inmn
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inmp
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inmz
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	innl
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inpb
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inpy
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inrj
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	insk
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	intn
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	intr
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inup
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inwb
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ir11
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ir13
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ir22
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ir23
15	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	pkba
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idac
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idjk
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idjt
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idjw
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idka
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idma
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idml
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idsl
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idsm
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	idyo
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh12
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh18
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	mm11
15	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	mm12
