# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
BCP47	u_Extension	tz-ancur	_region	▷missing◁	CW
BCP47	u_Extension	tz-aqams	_preferred	…	aqmcm
BCP47	u_Extension	tz-aqmcm	_alias	…	Antarctica/McMurdo Antarctica/South_Pole
BCP47	u_Extension	tz-clcxq	_alias	▷missing◁	America/Coyhaique
BCP47	u_Extension	tz-clcxq	_deprecated	▷missing◁	false
BCP47	u_Extension	tz-clcxq	_description	▷missing◁	Aysén Region, Chile
BCP47	u_Extension	tz-fimhq	_region	▷missing◁	AX
BCP47	u_Extension	tz-gazastrp	_region	▷missing◁	PS
BCP47	u_Extension	tz-gpmsb	_region	▷missing◁	MF
BCP47	u_Extension	tz-gpsbh	_region	▷missing◁	BL
BCP47	u_Extension	tz-hebron	_region	▷missing◁	PS
BCP47	u_Extension	tz-jeruslm	_region	▷missing◁	IL
BCP47	u_Extension	tz-nzakl	_alias	…	Pacific/Auckland NZ
#Section	Page	Header	Code	Old	New
Supplemental	Alias	language	dek-reason	▷missing◁	deprecated
Supplemental	Alias	language	dek-replacement	▷missing◁	sqm
Supplemental	Alias	language	mnk-reason	macrolanguage	▷removed◁
Supplemental	Alias	language	mnk-replacement	man	▷removed◁
Supplemental	Alias	language	nte-reason	▷missing◁	deprecated
Supplemental	Alias	language	nte-replacement	▷missing◁	eko
Supplemental	Alias	unit	part-per-million-replacement	…	part-per-1e6
Supplemental	Alias	unit	permillion-reason	▷missing◁	deprecated
Supplemental	Alias	unit	permillion-replacement	▷missing◁	part-per-1e6
Supplemental	Alias	unit	portion-per-1e9-reason	▷missing◁	deprecated
Supplemental	Alias	unit	portion-per-1e9-replacement	▷missing◁	part-per-1e9
Supplemental	IdValidity	language	deprecated	…	… • dek • … • nte • …
Supplemental	IdValidity	language	regular	…	… • del~n • … • hnm~o • … • luh~w • … • mna~s • … • ntd • … • sja~e • … • yna~b • …
Supplemental	IdValidity	script	regular	…	… • Berf • … • Chis • … • Sidt • … • Tayo • … • Tols • …
Supplemental	IdValidity	unit	deprecated	…	… • concentr-permillion • concentr-portion • concentr-portion-per-1e9 • … • length-100-kilometer • …
Supplemental	IdValidity	unit	regular	…	… • concentr-part • concentr-part-per-1e6 • concentr-part-per-1e9 • … • volume-cup-imperial • … • volume-fluid-ounce-metric • …
Supplemental	IdValidity	variant	regular	…	… • hanoi • … • huett • … • kleinsch • … • leidentr • … • mdcegyp • mdctrans • … • saigon • …
Supplemental	Locale	Parent	en_150	…	… • en_LT • en_LV • …
Supplemental	Locale	DefaultContent	plain	…	… • bqi_IR • … • bua_RU • … • kek_GT • … • ku_Arab_IQ • ku_Latn • ku_Latn_TR • … • lzz_TR • … • pi_Latn • pi_Latn_GB • … • pms_IT • … • sgs_LT • …
Supplemental	WZoneMapping	Magallanes Standard Time	CL	…	America/Punta_Arenas America/Coyhaique
Supplemental	Units	Quantity	part-value	▷missing◁	portion
Supplemental	Units	Quantity	portion-value	portion	▷removed◁
Supplemental	Units	Quantity	part-status	▷missing◁	simple
Supplemental	Units	Quantity	portion-status	simple	▷removed◁
Supplemental	Units	Convert	100-kilometer-baseUnit	meter	▷removed◁
Supplemental	Units	Convert	cup-imperial-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	fluid-ounce-metric-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	karat-baseUnit	…	part
Supplemental	Units	Convert	part-baseUnit	▷missing◁	part
Supplemental	Units	Convert	percent-baseUnit	…	part
Supplemental	Units	Convert	permille-baseUnit	…	part
Supplemental	Units	Convert	permillion-baseUnit	portion	▷removed◁
Supplemental	Units	Convert	permyriad-baseUnit	…	part
Supplemental	Units	Convert	portion-baseUnit	portion	▷removed◁
Supplemental	Units	Convert	100-kilometer-factor	100000	▷removed◁
Supplemental	Units	Convert	cup-imperial-factor	▷missing◁	gal_imp_to_m3/16
Supplemental	Units	Convert	fluid-ounce-metric-factor	▷missing◁	0.03*0.001
Supplemental	Units	Convert	permillion-factor	1/1000000	▷removed◁
Supplemental	Units	Convert	100-kilometer-systems	metric	▷removed◁
Supplemental	Units	Convert	100-kilometer-systems	si	▷removed◁
Supplemental	Units	Convert	cup-imperial-systems	▷missing◁	uksystem
Supplemental	Units	Convert	fluid-ounce-metric-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	part-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	part-systems	▷missing◁	uksystem
Supplemental	Units	Convert	part-systems	▷missing◁	ussystem
Supplemental	Units	Convert	permillion-systems	metric_adjacent	▷removed◁
Supplemental	Units	Convert	permillion-systems	uksystem	▷removed◁
Supplemental	Units	Convert	permillion-systems	ussystem	▷removed◁
Supplemental	Units	Convert	portion-systems	metric_adjacent	▷removed◁
Supplemental	Units	Convert	portion-systems	uksystem	▷removed◁
Supplemental	Units	Convert	portion-systems	ussystem	▷removed◁
Supplemental	Likely	Subtag	bsq	…	bsq_Latn_LR
Supplemental	Likely	Subtag	dek	dek_Latn_CM	▷removed◁
Supplemental	Likely	Subtag	kro	▷missing◁	kro_Latn_LR
Supplemental	Likely	Subtag	ku_AM	▷missing◁	ku_Cyrl_AM
Supplemental	Likely	Subtag	ku_AZ	▷missing◁	ku_Cyrl_AZ
Supplemental	Likely	Subtag	ku_Cyrl	▷missing◁	ku_Cyrl_AM
Supplemental	Likely	Subtag	ku_GE	▷missing◁	ku_Cyrl_GE
Supplemental	Likely	Subtag	ku_IQ	▷missing◁	ku_Arab_IQ
Supplemental	Likely	Subtag	ku_IR	▷missing◁	ku_Arab_IR
Supplemental	Likely	Subtag	ku_TM	▷missing◁	ku_Cyrl_TM
Supplemental	Likely	Subtag	lzh	…	lzh_Hant_CN
Supplemental	Likely	Subtag	mey	…	mey_Arab_DZ
Supplemental	Likely	Subtag	mey_Latn	▷missing◁	mey_Latn_SN
Supplemental	Likely	Subtag	mey_SN	▷missing◁	mey_Latn_SN
Supplemental	Likely	Subtag	nan_MO	▷missing◁	nan_Hant_MO
Supplemental	Likely	Subtag	nte	nte_Latn_MZ	▷removed◁
Supplemental	Likely	Subtag	pi	…	pi_Latn_GB
Supplemental	Likely	Subtag	pi_Deva	▷missing◁	pi_Deva_IN
Supplemental	Likely	Subtag	pi_IN	▷missing◁	pi_Deva_IN
Supplemental	Likely	Subtag	pi_LK	▷missing◁	pi_Sinh_LK
Supplemental	Likely	Subtag	pi_MM	▷missing◁	pi_Mymr_MM
Supplemental	Likely	Subtag	pi_Mymr	▷missing◁	pi_Mymr_MM
Supplemental	Likely	Subtag	pi_Sinh	▷missing◁	pi_Sinh_LK
Supplemental	Likely	Subtag	pi_TH	▷missing◁	pi_Thai_TH
Supplemental	Likely	Subtag	pi_Thai	▷missing◁	pi_Thai_TH
Supplemental	Likely	Subtag	pra	pra_Khar_PK	▷removed◁
Supplemental	Likely	Subtag	und_Berf	▷missing◁	zag_Berf_SD
Supplemental	Likely	Subtag	und_BY	…	ru_Cyrl_BY
Supplemental	Likely	Subtag	und_Chis	▷missing◁	kyw_Chis_IN
Supplemental	Likely	Subtag	und_Cyrl_BY	be_Cyrl_BY	▷removed◁
Supplemental	Likely	Subtag	und_Khar	…	pgd_Khar_PK
Supplemental	Likely	Subtag	und_Latn_GE	ku_Latn_GE	▷removed◁
Supplemental	Likely	Subtag	und_Nshu	zhx_Nshu_CN	▷removed◁
Supplemental	Likely	Subtag	und_Sidt	▷missing◁	xsd_Sidt_TR
Supplemental	Likely	Subtag	und_Tayo	▷missing◁	tyj_Tayo_VN
Supplemental	Likely	Subtag	und_Tols	▷missing◁	kru_Tols_IN
Supplemental	Likely	Subtag	xsd	▷missing◁	xsd_Sidt_TR
Supplemental	Likely	Subtag	zhx	zhx_Nshu_CN	▷removed◁
Supplemental	LanguageMatch	written_new	cnp-zh-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	cnp-zh-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	csp-zh-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	csp-zh-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	hnm-zh-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	hnm-zh-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	luh-zh-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	luh-zh-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	sjc-zh-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	sjc-zh-oneway	▷missing◁	true
Supplemental	LanguageInfo	AM/hy	populationPercent	…	99
Supplemental	LanguageInfo	AM/ku	writingPercent	▷missing◁	5
Supplemental	LanguageInfo	AM/ku_Cyrl	populationPercent	▷missing◁	3.3
Supplemental	LanguageInfo	AM/ru	populationPercent	▷missing◁	65
Supplemental	LanguageInfo	AZ/ku	writingPercent	▷missing◁	5
Supplemental	LanguageInfo	AZ/ku_Cyrl	populationPercent	▷missing◁	0.24
Supplemental	LanguageInfo	BY/be	populationPercent	…	26
Supplemental	LanguageInfo	BY/ru	populationPercent	…	71
Supplemental	LanguageInfo	BZ/bzj	populationPercent	▷missing◁	50
Supplemental	LanguageInfo	BZ/cab	populationPercent	▷missing◁	1.9
Supplemental	LanguageInfo	BZ/en	populationPercent	…	77
Supplemental	LanguageInfo	BZ/es	populationPercent	…	55
Supplemental	LanguageInfo	BZ/kek	populationPercent	▷missing◁	6.5
Supplemental	LanguageInfo	BZ/mop	populationPercent	▷missing◁	4
Supplemental	LanguageInfo	DZ/mey	populationPercent	▷missing◁	11
Supplemental	LanguageInfo	EH/mey	populationPercent	▷missing◁	0.0002
Supplemental	LanguageInfo	GB/pi	populationPercent	▷missing◁	0.0002
Supplemental	LanguageInfo	GE/ku	populationPercent	0.89	▷removed◁
Supplemental	LanguageInfo	GE/ku_Cyrl	populationPercent	▷missing◁	0.89
Supplemental	LanguageInfo	GT/acr	populationPercent	▷missing◁	1.1
Supplemental	LanguageInfo	GT/agu	populationPercent	▷missing◁	0.26
Supplemental	LanguageInfo	GT/caa	officialStatus	▷missing◁	official_regional
Supplemental	LanguageInfo	GT/caa	populationPercent	▷missing◁	0.13
Supplemental	LanguageInfo	GT/cab	populationPercent	▷missing◁	0.027
Supplemental	LanguageInfo	GT/cac	populationPercent	▷missing◁	0.43
Supplemental	LanguageInfo	GT/cak	officialStatus	▷missing◁	official_regional
Supplemental	LanguageInfo	GT/cak	populationPercent	▷missing◁	8.8
Supplemental	LanguageInfo	GT/ckz	populationPercent	▷missing◁	0.018
Supplemental	LanguageInfo	GT/en	populationPercent	▷missing◁	3.1
Supplemental	LanguageInfo	GT/es	populationPercent	…	88
Supplemental	LanguageInfo	GT/itz	populationPercent	▷missing◁	0.0091
Supplemental	LanguageInfo	GT/ixl	officialStatus	▷missing◁	official_regional
