# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	am	HH'h' v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	am	HH'h' v	H v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Characters	Emoji Symbols	zodiac	♍ -name	ba	Ҡыҙ	E10-069	modern
Characters	Emoji Symbols	zodiac	♍ –keywords	ba	зодиак • Ҡыҙ	E10-069	modern
Characters	Emoji Symbols	zodiac	♎ -name	ba	Үлсәү	E10-070	modern
Characters	Emoji Symbols	zodiac	♎ –keywords	ba	зодиак • Үлсәү	E10-070	modern
Characters	Emoji Symbols	zodiac	♏ -name	ba	Саян	E10-071	modern
Characters	Emoji Symbols	zodiac	♏ –keywords	ba	зодиак • Саян	E10-071	modern
Characters	Emoji Symbols	zodiac	♓ -name	ba	Балыҡ	E10-075	modern
Characters	Emoji Symbols	zodiac	♓ –keywords	ba	Балыҡ • зодиак	E10-075	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	be	HH 'г' v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	ca	H 'h' v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	ca	H 'h' v	H v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	cs	H 'h' v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	cs	H 'h' v	H v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMEd/G	de	E, d. MMM y G – E E, d. MMM y G	E, d. MMM y G – E, d. MMM y G	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	el	HH'h' (vvvv)	HH (vvvv)	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	el	HH'h' (vvvv)	HH (vvvv)	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (O-S)	S	Sourashtra ► saz	en	Saurashtra	Sourashtra	comprehensive
Locale Display Names	Scripts	Limited Use	Saur	en	Saurashtra	Sourashtra	comprehensive
Locale Display Names	Keys	numbers	numbers-saur	en	Saurashtra Digits	Sourashtra Digits	comprehensive
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	en	HH'h' v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	en	HH'h' v	HH v	moderate
Date & Time	Chinese	Formats - Flexible - 24 Hour Time Formats	Hv	en	HH'h' v	HH v	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	es	H 'h' v	H v	moderate
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	es_419	H 'h' v	HH v	moderate
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	es_MX	H 'h' v	HH v	moderate
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	es_US	H 'h' v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	es	H 'h' v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	es_419	H 'h' v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	es_MX	H 'h' v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	es_US	H 'h' v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	eu	HH'h' v	HH (v)	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	eu	HH'h' v	HH (v)	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	fa	‫سHH v‬	H (v)	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	fa	‫سHH v‬	H (v)	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	fi	H 'h' v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	fi	HH 'h' v	H v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	fr_CA	H 'h' v	HH 'h' v	moderate
Numbers	Symbols	Symbols 	group	fr_CH	 	'	basic
Characters	Objects	musical-instrument	🪊 -name	fr	E17–008	trombone à coulisse	modern
Characters	Objects	musical-instrument	🪊 –keywords	fr	E17–008	instrument • musique • trombone	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	gd	HH'u' v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	gd	HH'u' v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	gl	HH 'h' v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	gl	HH 'h' v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	he	HH'h' v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	he	HH'h' v	H v	moderate
Characters	People & Body	hand-single-finger	🖕 –keywords	he	‫… • תנועה מזרחית‬	…	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	hr	HH 'h' v	HH (v)	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	hr	HH 'h' v	HH (v)	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	hu	HH'h' v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	hu	HH'h' v	H v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	hy	ժ․ HH v	H v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	hy	ժ․ HH v	H v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	id	HH'j' v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	is	HH'klst'. v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	is	HH'klst'. v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	it	'h'HH v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	it	'h'HH v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	kk	HH'h', v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	km	ម៉HH v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	km	ម៉HH v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am	ko	AM	오전	moderate
Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm	ko	PM	오후	moderate
Date & Time	Gregorian	Day Periods - abbreviated - Standalone	am	ko	AM	오전	moderate
Date & Time	Gregorian	Day Periods - abbreviated - Standalone	pm	ko	PM	오후	moderate
Date & Time	Gregorian	Day Periods - narrow - Formatting	am	ko	AM	오전	moderate
Date & Time	Gregorian	Day Periods - narrow - Formatting	pm	ko	PM	오후	moderate
Date & Time	Gregorian	Day Periods - narrow - Standalone	am	ko	AM	오전	moderate
Date & Time	Gregorian	Day Periods - narrow - Standalone	pm	ko	PM	오후	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	lt	HH 'h' v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	lv	HH 'h' v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	mk	HH 'ч'. v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	mk	HH 'ч'. v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	ml	v HH'h'	v HH	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	ml	v HH'h'	v HH	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am	ps	AM	‫غ.م.‬	moderate
Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm	ps	PM	‫غ.و.‬	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	ps	HH'h' v	H v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Flexible - 24 Hour Time Formats	Hv	pt	HH'h', v	HH v	moderate
Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hv	pt	HH'h', v	HH v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Characters	Emoji Symbols	zodiac	♈ -name	rm	Botsch	E10-064	modern
