# Section	Page	Header	Code	Locale	Old	New	Level
Units	Length Other	mile	narrow-one-nominative	mr	{0}मैल	{0} मैल	modern
Units	Length Other	mile	narrow-other-nominative	mr	{0}मैल	{0} मैल	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date Formats	full	my	y၊ MMMM d၊ EEEE	y MMMM d EEEE	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	long	my	y၊ MMMM d	y MMMM d	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	medium	my	y၊ MMM d	y MMM d	moderate
Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd	my	d/M၊ E	d/M E	moderate
Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd	my	MMM d၊ E	MMM d E	moderate
Currencies	Southeast Asia (C)	Southeast Asia: Philippines	PHP-symbol	my	PHP	₱	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency	nn	#,##0.00 ¤	¤ #,##0.00;(¤ #,##0.00)	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Units	Other Units Metric Per	percent	narrow-one-nominative	no	{0} %	{0}%	modern
Units	Other Units Metric Per	percent	narrow-other-nominative	no	{0} %	{0}%	modern
Units	Other Units Metric Per	permille	narrow-one-nominative	no	{0} ‰	{0}‰	modern
Units	Other Units Metric Per	permille	narrow-other-nominative	no	{0} ‰	{0}‰	modern
Units	Other Units Metric Per	permyriad	narrow-one-nominative	no	{0} ‱	{0}‱	modern
Units	Other Units Metric Per	permyriad	narrow-other-nominative	no	{0} ‱	{0}‱	modern
Units	Other Units Metric Per	liter-per-100-kilometer	narrow-one-nominative	no	{0} l/100km	{0}l/100km	modern
Units	Other Units Metric Per	liter-per-100-kilometer	narrow-other-nominative	no	{0} l/100km	{0}l/100km	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Fields	Date Fields	era	om	Era	bara	moderate
Date & Time	Fields	Date Fields	year	om	Year	waggaa	moderate
Date & Time	Fields	Date Fields	month	om	Month	ji’a	moderate
Date & Time	Fields	Date Fields	week	om	Week	torbee	moderate
Date & Time	Fields	Date Fields	day	om	Day	guyyaa	moderate
Date & Time	Fields	Date Fields	hour	om	Hour	sa’aatii	moderate
Date & Time	Fields	Date Fields	minute	om	Minute	daqiiqaa	moderate
Date & Time	Fields	Date Fields	second	om	Second	sekoondii	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	long	om	dd MMMM y	MMMM d, y	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	medium	om	dd-MMM-y	MMM d, y	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	short	om	dd/MM/yy	M/d/yy	moderate
Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd	om	MM-dd, E	E, M/d	moderate
Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd	om	MMM d, E	E, MMM d	moderate
Date & Time	Gregorian	Formats - Flexible - 12 Hour Time Formats	hmv	om	h:mm a v	h:mm a v	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	or	…[]…	…[{\u0B15\u0B4D\u0B37}]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Symbols	Symbols using Arabic-Indic Digits (arab)	decimal	pa	٫	.	basic
Numbers	Symbols	Symbols using Arabic-Indic Digits (arab)	group	pa	٬	,	basic
Numbers	Number Formatting Patterns	Standard Patterns using Arabic-Indic Digits (arab)	standard-currency	pa	#,##0.00 ¤	¤#,##,##0.00	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Miscellaneous	Person Name Formats	AuxiliaryItems	pattern-initialSequence	pcm	{0} {1}	{0}{1}	modern
Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: givenFirst	short-referring-formal	pcm	{given-initial} {given2-initial} {surname}	{given-initial}{given2-initial} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	short-referring-formal	pcm	{surname} {given-initial} {given2-initial}	{surname} {given-initial}{given2-initial}	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Fields	Date Fields	era	ps	‫پېر‬	‫دور‬	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Fields	Date Fields	year	qu	Year	wata	moderate
Date & Time	Fields	Date Fields	month	qu	Month	killa	moderate
Date & Time	Fields	Date Fields	week	qu	Week	simana	moderate
Date & Time	Fields	Date Fields	day	qu	Day	punchaw	moderate
Date & Time	Fields	Date Fields	hour	qu	Hour	ura	moderate
Date & Time	Fields	Date Fields	minute	qu	Minute	minutu	moderate
Date & Time	Fields	Date Fields	second	qu	Second	segundu	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Intervals - Date Formats	Bhm/h	ru	h:mm – h:mm B	h:mm–h:mm B	modern
Date & Time	Gregorian	Formats - Intervals - Date Formats	Bhm/m	ru	h:mm – h:mm B	h:mm–h:mm B	modern
Date & Time	Gregorian	Formats - Intervals - Date Formats	GyM/M	ru	MM.y – MM.y G	MM.y–MM.y G	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	GyM/y	ru	MM.y – MM.y G	MM.y–MM.y G	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMd/d	ru	dd.MM.y – dd.MM.y G	dd.MM.y–dd.MM.y G	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMd/M	ru	dd.MM.y – dd.MM.y G	dd.MM.y–dd.MM.y G	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMd/y	ru	dd.MM.y – dd.MM.y G	dd.MM.y–dd.MM.y G	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	Md/d	ru	dd.MM – dd.MM	dd.MM–dd.MM	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	Md/M	ru	dd.MM – dd.MM	dd.MM–dd.MM	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	yM/M	ru	MM.y – MM.y	MM.y–MM.y	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	yM/y	ru	MM.y – MM.y	MM.y–MM.y	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	yMd/d	ru	dd.MM.y – dd.MM.y	dd.MM.y–dd.MM.y	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	yMd/M	ru	dd.MM.y – dd.MM.y	dd.MM.y–dd.MM.y	moderate
Date & Time	Gregorian	Formats - Intervals - Date Formats	yMd/y	ru	dd.MM.y – dd.MM.y	dd.MM.y–dd.MM.y	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (K-N)	K	Kinyarwanda ► rw	rw	Kinyarwanda	Ikinyarwanda	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Symbols	Symbols using Arabic-Indic Digits (arab)	decimal	sd	٫	.	basic
Units	Duration	quarter	narrow-one-nominative	sd	‫{0} ٽه ماهي‬	‫{0}ٽه ماهي‬	modern
Units	Duration	quarter	narrow-other-nominative	sd	‫{0} ٽه ماهي‬	‫{0}ٽه ماهي‬	modern
Units	Duration	month	narrow-other-nominative	sd	‫{0} مهينا‬	‫{0}مهينا‬	modern
Units	Duration	day	narrow-one-nominative	sd	‫{0} ڏينهن‬	‫{0}ڏينهن‬	modern
Units	Duration	day	narrow-other-nominative	sd	‫{0} ڏينهن‬	‫{0}ڏينهن‬	modern
Units	Duration	second	narrow-other-nominative	sd	‫{0} سيڪنڊ‬	‫{0}سيڪنڊ‬	modern
Units	Duration	microsecond	narrow-one-nominative	sd	‫{0} مائڪرو سيڪنڊ‬	‫{0}مائڪرو سيڪنڊ‬	modern
Units	Duration	microsecond	narrow-other-nominative	sd	‫{0} مائڪرو سيڪنڊ‬	‫{0}مائڪرو سيڪنڊ‬	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	short-displayName	sk	kWh/100km	kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-displayName	sk	kWh/100km	kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	short-one-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	short-few-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	short-many-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	short-other-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-one-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-few-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-many-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-other-nominative	sk	{0} kWh/100km	{0} kWh/100 km	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Symbols	Grouping Control	Minimum Grouping Digits	sl	1	2	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Fields	Date Fields	year	so	Sannad	sannad	moderate
Units	Speed and Acceleration	knot	narrow-one-nominative	so	{0} nt	{0}nt	modern
Units	Speed and Acceleration	knot	narrow-other-nominative	so	{0} nt	{0}nt	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date Formats	short	sr	d.M.yy.	d. M. y.	moderate
Currencies	Southern/Eastern Europe	Southern Europe: Bosnia & Herzegovina	BAM-name-one	sr	босанско-херцеговачка конвертибилна марка	босанскохерцеговачка конвертибилна марка	moderate
Currencies	Southern/Eastern Europe	Southern Europe: Bosnia & Herzegovina	BAM-name-few	sr	босанско-херцеговачке конвертибилне маркe	босанскохерцеговачке конвертибилне маркe	moderate
Currencies	Southern/Eastern Europe	Southern Europe: Bosnia & Herzegovina	BAM-name-other	sr	босанско-херцеговачких конвертибилних марака	босанскохерцеговачких конвертибилних марака	moderate
Currencies	Southern/Eastern Europe	Southern Europe: Bosnia & Herzegovina	BAM-name	sr	босанско-херцеговачка конвертибилна марка	босанскохерцеговачка конвертибилна марка	moderate
Currencies	Unknown Region (C)	Unknown Region: EUR	EUR-name	sr	Евро	евро	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (Africa)	Southern Africa	LS	st	LS	Lesotho	basic
Locale Display Names	Territories (Africa)	Southern Africa	ZA	st	ZA	Afrika Borwa	basic
Date & Time	Gregorian	Day Periods - wide - Formatting	am	st	AM	Hoseng	basic
Date & Time	Gregorian	Day Periods - wide - Formatting	pm	st	PM	Thapama	basic
Numbers	Symbols	Symbols 	decimal	st	,	.	basic
Numbers	Symbols	Symbols 	group	st	 	,	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Central Asia (C)	Central Asia: Tajikistan	TJS-name-other	tg	Сомонӣ	сомонии Тоҷикистон	moderate
Currencies	Central Asia (C)	Central Asia: Tajikistan	TJS-name	tg	Сомонӣ	Сомонии Тоҷикистон	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Fields	Date Fields	second	ti	ካልኢት	ሴኮንድ	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	long	ti	d MMMM y	MMMM d, y	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	medium	ti	d MMM y	MMM d, y	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	short	ti	dd/MM/yy	M/d/yy	moderate
Currencies	Eastern Africa	Eastern Africa: Eritrea	ERN-name-one	ti	ናቕፋ	ኤርትራዊ ናቕፋ	moderate
Currencies	Eastern Africa	Eastern Africa: Eritrea	ERN-name-other	ti	ናቕፋ	ኤርትራዊ ናቕፋ	moderate
Currencies	Eastern Africa	Eastern Africa: Eritrea	ERN-name	ti	ናቕፋ	ኤርትራዊ ናቕፋ	moderate
Currencies	Eastern Africa	Eastern Africa: Ethiopia	ETB-name-one	ti	ብር	ናይ ኢትዮጵያ ብር	moderate
Currencies	Eastern Africa	Eastern Africa: Ethiopia	ETB-name-other	ti	ብር	ናይ ኢትዮጵያ ብር	moderate
Units	Length Other	nautical-mile	narrow-one-nominative	ti	{0} nmi	{0}nmi	modern
Units	Length Other	nautical-mile	narrow-other-nominative	ti	{0} nmi	{0}nmi	modern
Units	Length Other	solar-radius	narrow-one-nominative	ti	{0} R☉	{0}R☉	modern
Units	Length Other	solar-radius	narrow-other-nominative	ti	{0} R☉	{0}R☉	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (Africa)	Southern Africa	BW	tn	BW	Botswana	basic
Numbers	Symbols	Symbols 	group	tn	 	’	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date Formats	full	uk	cccc, d MMMM y 'р'.	EEEE, d MMMM y 'р'.	moderate
Units	Volume US	dram	narrow-displayName	uk	рід. дрхм	рід.дрхм	modern
Units	Volume Other	quart-imperial	narrow-one-nominative	uk	{0} англ. квар.	{0}англ.квар.	modern
Units	Volume Other	quart-imperial	narrow-few-nominative	uk	{0} англ. квар.	{0}англ.квар.	modern
Units	Volume Other	quart-imperial	narrow-many-nominative	uk	{0} англ. квар.	{0}англ.квар.	modern
Units	Volume Other	quart-imperial	narrow-other-nominative	uk	{0} англ. квар.	{0}англ.квар.	modern
Units	Other Units Metric Per	permillion	narrow-displayName	uk	м. д.	м.д.	modern
Units	Other Units Metric Per	percent	short-one-nominative	uk	{0}%	{0} %	modern
Units	Other Units Metric Per	percent	short-few-nominative	uk	{0}%	{0} %	modern
Units	Other Units Metric Per	percent	short-many-nominative	uk	{0}%	{0} %	modern
Units	Other Units Metric Per	percent	short-other-nominative	uk	{0}%	{0} %	modern
Units	Other Units Metric Per	permille	short-one-nominative	uk	{0}‰	{0} ‰	modern
Units	Other Units Metric Per	permille	short-few-nominative	uk	{0}‰	{0} ‰	modern
Units	Other Units Metric Per	permille	short-many-nominative	uk	{0}‰	{0} ‰	modern
Units	Other Units Metric Per	permille	short-other-nominative	uk	{0}‰	{0} ‰	modern
Units	Other Units Metric Per	permyriad	short-one-nominative	uk	{0}‱	{0} ‱	modern
Units	Other Units Metric Per	permyriad	short-few-nominative	uk	{0}‱	{0} ‱	modern
Units	Other Units Metric Per	permyriad	short-many-nominative	uk	{0}‱	{0} ‱	modern
Units	Other Units Metric Per	permyriad	short-other-nominative	uk	{0}‱	{0} ‱	modern
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-displayName	uk	кВт⋅год/100 км	кВт⋅год/100км	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Symbols	Symbols using Arabic-Indic Digits (arab)	decimal	ur	٫	،	basic
Numbers	Symbols	Symbols using Arabic-Indic Digits (arab)	group	ur	٬	,	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other	wo	¤ 0K	¤0K	moderate
Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other	wo	¤ 00K	¤00K	moderate
Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-other	wo	¤ 000K	¤000K	moderate
Numbers	Compact Decimal Formatting	Short Currency 	7-digits-short-other	wo	¤ 0M	¤0M	moderate
Numbers	Compact Decimal Formatting	Short Currency 	8-digits-short-other	wo	¤ 00M	¤00M	moderate
Numbers	Compact Decimal Formatting	Short Currency 	9-digits-short-other	wo	¤ 000M	¤000M	moderate
Numbers	Compact Decimal Formatting	Short Currency 	13-digits-short-other	wo	¤ 0T	¤0T	moderate
Numbers	Compact Decimal Formatting	Short Currency 	14-digits-short-other	wo	¤ 00T	¤00T	moderate
Numbers	Compact Decimal Formatting	Short Currency 	15-digits-short-other	wo	¤ 000T	¤000T	moderate
Currencies	North America (C)	Central America: Guatemala	GTQ-symbol	wo	GTQ	GT Q	moderate
Currencies	South America (C)	South America: Chile	CLP-symbol-narrow	wo	$	Vote $	moderate
Currencies	Southern/Eastern Europe	Eastern Europe: Hungary	HUF-symbol-narrow	wo	Ft	Vote Ft	moderate
Currencies	Southern/Eastern Europe	Eastern Europe: Moldova	MDL-symbol	wo	MDL	Vote MDL	moderate
Currencies	Southern/Eastern Europe	Eastern Europe: Romania	RON-symbol-narrow	wo	lei	Vote lei	moderate
Currencies	Southern/Eastern Europe	Southern Europe: Gibraltar	GIP-symbol	wo	GIP	GIIP	moderate
Currencies	Southern/Eastern Europe	Southern Europe: Croatia: HRK (old)	HRK-symbol	wo	HRK	HRKS	moderate
Currencies	Northern Africa	Northern Africa: Egypt	EGP-symbol	wo	EGP	EGPP	moderate
Currencies	Western Africa	Western Africa: Ghana	GHS-symbol	wo	GHS	GHS.	moderate
Currencies	Western Africa	Western Africa: Nigeria	NGN-symbol	wo	NGN	NGN.	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Miscellaneous	Person Name Formats	AuxiliaryItems	pattern-initialSequence	yo	{0} {1}	{0}{1}	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (Asia)	Eastern Asia	CN	yue	中華人民共和國	中國	basic
Locale Display Names	Territories (Asia)	Eastern Asia	HK	yue	中華人民共和國香港特別行政區	中國香港特別行政區	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Islamic	Formats - Flexible - Date Formats	yyyyMd	zh	G y/M/d	Gy/M/d	modern
Date & Time	Islamic	Formats - Flexible - Date Formats	yyyyMEd	zh	G y/M/dE	Gy/M/dE	modern
Currencies	Eastern Asia (C)	Eastern Asia: South Korea	KRW-symbol	zh	￦	₩	moderate
Units	Mass and Weight	kilogram	narrow-other-nominative	zh_Hant_HK	{0} 公斤	{0}公斤	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Fields	Date Fields	era	zh_Hant	年代	紀元	moderate
