#Locale	TargetLevel	№ Found	№ Unconfirmed	№ Missing
‡qu	moderate	1972	0	0
quc	*basic	1	0	62
raj	basic	65	0	0
rhg	*basic	12	0	54
rif	*basic	1	65	0
‡rm	basic	67	0	0
rn	*basic	39	0	24
ro	modern	10096	0	28
rof	*basic	32	0	31
ru	modern	14383	0	64
rw	basic	48	0	15
rwk	*basic	32	0	31
sa	basic	65	0	0
sah	*basic	65	0	0
saq	*basic	32	0	31
sat	basic	66	0	0
sat_Deva	*basic	6	0	59
sbp	*basic	39	0	24
‡sc	moderate	2144	0	0
scn	*basic	1	38	26
sd	modern	8905	0	24
sd_Deva	basic	67	0	0
sdh	*basic	7	0	59
se	*basic	61	6	0
seh	*basic	31	0	32
ses	*basic	31	0	32
sg	*basic	31	0	32
shi	*basic	31	0	34
shi_Latn	*basic	31	0	34
shn	*basic	4	0	60
si	modern	8779	0	24
sid	*basic	0	13	50
sk	modern	12944	0	64
skr	*basic	1	64	0
sl	modern	12919	0	65
sma	*basic	1	0	63
smj	*basic	1	0	63
smn	*basic	50	0	13
sms	*basic	5	2	56
sn	*basic	46	0	17
so	modern	8922	1	23
sq	modern	8859	0	20
sr	modern	10898	0	41
‡sr_Latn	modern	10898	0	21
ss	*basic	8	23	33
ssy	*basic	1	24	38
st	basic	40	5	19
su	basic	65	0	0
sv	modern	9166	0	24
sw	modern	8764	0	23
syr	*basic	66	0	0
szl	*basic	65	0	0
ta	modern	9728	0	32
te	modern	8883	0	22
teo	*basic	33	0	31
tg	basic	67	0	0
th	modern	8009	0	18
ti	basic	66	0	0
tig	*basic	2	25	38
tk	modern	8821	4	24
tn	basic	40	6	18
‡to	moderate	1688	0	295
tok	*basic	65	0	0
tpi	*basic	50	0	15
tr	modern	8896	0	18
trv	*basic	1	43	19
trw	*basic	1	64	0
ts	*basic	39	6	18
tt	basic	65	0	0
twq	*basic	39	0	24
tyv	*basic	0	0	63
tzm	*basic	34	0	30
ug	*basic	65	0	0
uk	modern	12931	0	62
ur	modern	9076	0	25
uz	modern	8932	0	24
uz_Arab	*basic	28	1	39
‡uz_Cyrl	basic	66	0	0
vai	*basic	35	0	31
vai_Latn	*basic	26	0	40
ve	*basic	6	24	33
vec	*basic	65	0	0
vi	modern	8091	0	21
vmw	*basic	65	0	0
vo	*basic	0	27	36
vun	*basic	32	0	31
wa	*basic	1	0	62
wae	*basic	41	0	22
wal	*basic	2	26	37
wbp	*basic	2	0	61
wo	basic	65	0	0
xh	moderate	2133	0	0
xnr	*basic	65	0	0
xog	*basic	32	0	31
yav	*basic	39	0	24
yi	*basic	46	3	16
yo	modern	7875	0	32
‡yrl	moderate	2155	2	14
yue	modern	8028	0	18
‡yue_Hans	modern	8024	0	22
za	*basic	65	0	0
zgh	*basic	46	0	17
zh	modern	8314	2	39
zh_Hant	modern	8337	1	19
zu	modern	8755	0	50
