Locale	TC	Core	Unc	Miss	Basic	Unc	Miss	Moder	Unc	Miss	Modern	Unc	Miss	Total	Unc	Miss
af	TC	4	0	0	66	0	0	2474	0	1	6540	0	43	9084	0	44
am	TC	4	0	0	65	0	0	2571	0	1	6765	0	56	9405	0	57
ar	TC	4	0	0	101	0	9	3485	0	2	9268	0	78	12858	0	89
as	TC	4	0	0	74	0	0	2515	0	1	6504	1	42	9097	1	43
az	TC	4	0	0	72	0	18	2641	0	3	6519	0	54	9236	0	75
be	TC	4	0	0	65	0	0	2837	0	1	7792	0	55	10698	0	56
bg	TC	4	0	0	67	0	0	2522	0	1	6518	0	41	9111	0	42
bn	TC	4	0	0	75	0	0	2643	0	1	6578	0	41	9300	0	42
bs	TC	4	0	0	66	0	0	2675	2	1	7108	0	45	9853	2	46
ca	TC	4	0	0	70	0	0	2521	0	1	6645	0	45	9240	0	46
chr		4	0	0	66	0	0	2458	0	1	6517	0	44	9045	0	45
cs	TC	4	0	0	68	0	0	2900	0	1	10285	0	197	13257	0	198
cy	TC	4	0	0	66	0	0	3269	0	1	9180	0	64	12519	0	65
da	TC	4	0	0	66	0	0	2490	0	1	6907	0	62	9467	0	63
de	TC	4	0	0	71	0	0	2495	0	1	7639	0	87	10209	0	88
dsb		4	0	0	65	0	0	2757	0	1	7602	0	55	10428	0	56
el	TC	4	0	0	66	0	0	2480	0	1	7121	0	82	9671	0	83
en	TC	4	0	0	177	0	0	1908	0	0	6625	0	0	8714	0	0
es	TC	4	0	0	94	0	0	2480	0	1	6711	0	48	9289	0	49
et	TC	4	0	0	65	0	0	2490	0	1	6513	0	35	9072	0	36
eu	TC	4	0	0	67	0	0	2502	0	1	6506	0	41	9079	0	42
fa	TC	4	0	0	81	0	3	2641	0	2	6558	0	43	9284	0	48
fi	TC	4	0	0	67	0	0	2533	0	1	7414	0	90	10018	0	91
fil	TC	4	0	0	65	0	0	2487	0	1	6542	0	42	9098	0	43
fr	TC	4	0	0	113	0	0	2548	0	1	6704	0	44	9369	0	45
ga	TC	4	0	0	67	0	0	3046	0	1	8510	0	56	11627	0	57
gd	TC	4	0	0	66	0	0	2844	0	1	7865	0	51	10779	0	52
gl	TC	4	0	0	65	0	0	2501	0	1	6527	0	44	9097	0	45
gu	TC	4	0	0	65	0	0	2565	0	1	6610	0	42	9244	0	43
ha	TC	4	0	0	69	0	18	2527	0	3	6523	0	67	9123	0	88
he	TC	4	0	0	65	0	0	3027	0	1	8018	0	54	11114	0	55
hi	TC	4	0	0	75	0	0	2566	2	1	7013	1	58	9658	3	59
hi_Latn	TC	4	0	0	75	0	0	2581	2	1	6610	0	34	9270	2	35
