# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
BCP47	u_Extension	ca-islamic	_description	…	Hijri calendar
BCP47	u_Extension	ca-islamic-civil	_description	…	Hijri calendar, tabular (intercalary years [2,5,7,10,13,16,18,21,24,26,29] - civil epoch)
BCP47	u_Extension	ca-islamic-rgsa	_description	…	Hijri calendar, Saudi Arabia sighting
BCP47	u_Extension	ca-islamic-tbla	_description	…	Hijri calendar, tabular (intercalary years [2,5,7,10,13,16,18,21,24,26,29] - astronomical epoch)
BCP47	u_Extension	ca-islamic-umalqura	_description	…	Hijri calendar, Umm al-Qura
#Section	Page	Header	Code	Old	New
Supplemental	IdValidity	unit	regular	…	… • area-bu-jp • area-cho • … • area-se-jp • … • length-jo-jp • length-ken • … • length-ri-jp • length-rin • … • length-shaku-cloth • length-shaku-length • … • length-sun • … • mass-fun • … • pressure-gasoline-equivalent • … • volume-cup-jp • … • volume-koku • volume-kosaji • … • volume-osaji • … • volume-pint-imperial • … • volume-sai • volume-shaku • … • volume-to-jp
Supplemental	Locale	Parent	root	…	… • kxv_Deva • kxv_Orya • kxv_Telu • …
Supplemental	Locale	DefaultContent	plain	…	… • bew_ID • … • blo_BJ • … • csw_CA • … • ie_001 • … • kxv_Deva_IN • kxv_Latn • kxv_Latn_IN • kxv_Orya_IN • kxv_Telu_IN • … • mic_CA • … • skr_PK • … • tyv_RU • … • vmw_MZ • … • xnr_IN • … • za_CN • …
Supplemental	Transform	byn_Ethi→byn_Latn/Xaleget	_alias	Ethiopic-Latin/Xaleget byn-Latn-t-byn-ethi-m0-xaleget	▷removed◁
Supplemental	Transform	byn_Ethi→byn_Latn/Xaleget	_visibility	external	▷removed◁
Supplemental	Transform	byn_Ethi↔︎byn_Latn/Xaleget	_alias	▷missing◁	Ethiopic-Latin/Xaleget byn-Latn-t-byn-ethi-m0-xaleget
Supplemental	Transform	byn_Ethi↔︎byn_Latn/Xaleget	_backwardAlias	▷missing◁	Latin-Ethiopic/Xalaget byn-Ethi-t-byn-latn-m0-xaleget
Supplemental	Transform	byn_Ethi↔︎byn_Latn/Xaleget	_visibility	▷missing◁	external
Supplemental	Units	IdComponent	suffix-values	…	cloth • equivalent • … • it • jp • length • …
Supplemental	Units	Constant	shaku_to_m-value	▷missing◁	4/121
Supplemental	Units	Constant	sho_to_m3-value	▷missing◁	2401/1331*1000
Supplemental	Units	Constant	tsubo_to_m2-value	▷missing◁	400/121
Supplemental	Units	Quantity	item-per-second-value	▷missing◁	catalytic-activity
Supplemental	Units	Quantity	per-second-value	▷missing◁	radioactivity
Supplemental	Units	Quantity	square-meter-per-square-second-value	…	ionizing-radiation
Supplemental	Units	Convert	becquerel-baseUnit	▷missing◁	per-second
Supplemental	Units	Convert	british-thermal-unit-it-baseUnit	▷missing◁	kilogram-square-meter-per-square-second
Supplemental	Units	Convert	bu-jp-baseUnit	▷missing◁	square-meter
Supplemental	Units	Convert	calorie-it-baseUnit	▷missing◁	kilogram-square-meter-per-square-second
Supplemental	Units	Convert	chain-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	cho-baseUnit	▷missing◁	square-meter
Supplemental	Units	Convert	coulomb-baseUnit	▷missing◁	second-ampere
Supplemental	Units	Convert	cup-jp-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	farad-baseUnit	▷missing◁	pow4-second-square-ampere-per-kilogram-square-meter
Supplemental	Units	Convert	fortnight-baseUnit	▷missing◁	second
Supplemental	Units	Convert	fun-baseUnit	▷missing◁	kilogram
Supplemental	Units	Convert	gasoline-equivalent-baseUnit	▷missing◁	kilogram-per-meter-square-second
Supplemental	Units	Convert	gray-baseUnit	▷missing◁	square-meter-per-square-second
Supplemental	Units	Convert	henry-baseUnit	▷missing◁	kilogram-square-meter-per-square-second-square-ampere
Supplemental	Units	Convert	jo-jp-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	katal-baseUnit	▷missing◁	item-per-second
Supplemental	Units	Convert	ken-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	kilogram-force-baseUnit	▷missing◁	kilogram-meter-per-square-second
Supplemental	Units	Convert	koku-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	kosaji-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	osaji-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	pint-imperial-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	rankine-baseUnit	▷missing◁	kelvin
Supplemental	Units	Convert	ri-jp-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	rin-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	rod-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	sai-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	se-jp-baseUnit	▷missing◁	square-meter
Supplemental	Units	Convert	shaku-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	shaku-cloth-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	shaku-length-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	siemens-baseUnit	▷missing◁	cubic-second-square-ampere-per-kilogram-square-meter
Supplemental	Units	Convert	sievert-baseUnit	▷missing◁	square-meter-per-square-second
Supplemental	Units	Convert	slug-baseUnit	▷missing◁	kilogram
Supplemental	Units	Convert	steradian-baseUnit	▷missing◁	square-revolution
Supplemental	Units	Convert	sun-baseUnit	▷missing◁	meter
Supplemental	Units	Convert	tesla-baseUnit	▷missing◁	kilogram-per-square-second-ampere
Supplemental	Units	Convert	to-jp-baseUnit	▷missing◁	cubic-meter
Supplemental	Units	Convert	weber-baseUnit	▷missing◁	kilogram-square-meter-per-square-second-ampere
Supplemental	Units	Convert	british-thermal-unit-it-factor	▷missing◁	4.1868*2267.96185/9
Supplemental	Units	Convert	bu-jp-factor	▷missing◁	tsubo_to_m2*1
Supplemental	Units	Convert	calorie-it-factor	▷missing◁	4.1868
Supplemental	Units	Convert	chain-factor	▷missing◁	ft_to_m*66
Supplemental	Units	Convert	cho-factor	▷missing◁	tsubo_to_m2*3000
Supplemental	Units	Convert	cup-jp-factor	▷missing◁	1*100*0.000001
Supplemental	Units	Convert	farad-factor	▷missing◁	1
Supplemental	Units	Convert	fortnight-factor	▷missing◁	86400*14
Supplemental	Units	Convert	fun-factor	▷missing◁	1*3/8000
Supplemental	Units	Convert	gasoline-equivalent-factor	▷missing◁	33.705 * 3600 * 1000/gal_to_m3
Supplemental	Units	Convert	jo-jp-factor	▷missing◁	shaku_to_m*10
Supplemental	Units	Convert	katal-factor	▷missing◁	item_per_mole
Supplemental	Units	Convert	ken-factor	▷missing◁	shaku_to_m*6
Supplemental	Units	Convert	kilogram-force-factor	▷missing◁	gravity
Supplemental	Units	Convert	koku-factor	▷missing◁	sho_to_m3*100
Supplemental	Units	Convert	kosaji-factor	▷missing◁	1*5*0.000001
Supplemental	Units	Convert	osaji-factor	▷missing◁	1*15*0.000001
Supplemental	Units	Convert	pint-imperial-factor	▷missing◁	gal_imp_to_m3/8
Supplemental	Units	Convert	rankine-factor	▷missing◁	5/9
Supplemental	Units	Convert	ri-jp-factor	▷missing◁	shaku_to_m*12960
Supplemental	Units	Convert	rin-factor	▷missing◁	shaku_to_m/1000
Supplemental	Units	Convert	rod-factor	▷missing◁	ft_to_m*16.5
Supplemental	Units	Convert	sai-factor	▷missing◁	sho_to_m3/1000
Supplemental	Units	Convert	se-jp-factor	▷missing◁	tsubo_to_m2*30
Supplemental	Units	Convert	shaku-cloth-factor	▷missing◁	shaku_to_m*5/4
Supplemental	Units	Convert	shaku-factor	▷missing◁	sho_to_m3/100
Supplemental	Units	Convert	shaku-length-factor	▷missing◁	shaku_to_m
Supplemental	Units	Convert	slug-factor	▷missing◁	lb_to_kg*gravity/ft_to_m
Supplemental	Units	Convert	steradian-factor	▷missing◁	1/4*PI*PI
Supplemental	Units	Convert	sun-factor	▷missing◁	shaku_to_m/10
Supplemental	Units	Convert	to-jp-factor	▷missing◁	sho_to_m3*10
Supplemental	Units	Convert	week-factor	…	86400*7
Supplemental	Units	Convert	week-person-factor	…	86400*7
Supplemental	Units	Convert	ampere-systems	…	… • prefixable • …
Supplemental	Units	Convert	arc-minute-systems	…	metric_adjacent • si_acceptable
Supplemental	Units	Convert	arc-second-systems	…	metric_adjacent • si_acceptable
Supplemental	Units	Convert	astronomical-unit-systems	▷missing◁	astronomical
Supplemental	Units	Convert	astronomical-unit-systems	▷missing◁	si_acceptable
Supplemental	Units	Convert	atmosphere-systems	▷missing◁	astronomical
Supplemental	Units	Convert	bar-systems	…	… • prefixable • si_acceptable
Supplemental	Units	Convert	becquerel-systems	▷missing◁	metric
Supplemental	Units	Convert	becquerel-systems	▷missing◁	prefixable
Supplemental	Units	Convert	becquerel-systems	▷missing◁	si
Supplemental	Units	Convert	bit-systems	…	… • prefixable
Supplemental	Units	Convert	british-thermal-unit-it-systems	▷missing◁	uksystem
Supplemental	Units	Convert	british-thermal-unit-it-systems	▷missing◁	ussystem
Supplemental	Units	Convert	bu-jp-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	byte-systems	…	… • prefixable
Supplemental	Units	Convert	calorie-it-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	calorie-it-systems	▷missing◁	prefixable
Supplemental	Units	Convert	calorie-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	calorie-systems	▷missing◁	prefixable
Supplemental	Units	Convert	candela-systems	…	… • prefixable • …
Supplemental	Units	Convert	carat-systems	…	metric_adjacent
Supplemental	Units	Convert	celsius-systems	…	… • si
Supplemental	Units	Convert	century-systems	…	metric_adjacent
Supplemental	Units	Convert	chain-systems	▷missing◁	uksystem
Supplemental	Units	Convert	chain-systems	▷missing◁	ussystem
Supplemental	Units	Convert	cho-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	coulomb-systems	▷missing◁	metric
Supplemental	Units	Convert	coulomb-systems	▷missing◁	prefixable
Supplemental	Units	Convert	coulomb-systems	▷missing◁	si
Supplemental	Units	Convert	cup-jp-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	cup-metric-systems	…	metric_adjacent
Supplemental	Units	Convert	dalton-systems	▷missing◁	metric
Supplemental	Units	Convert	dalton-systems	▷missing◁	prefixable
Supplemental	Units	Convert	dalton-systems	▷missing◁	si_acceptable
Supplemental	Units	Convert	day-person-systems	▷missing◁	person_age
Supplemental	Units	Convert	day-systems	…	metric_adjacent • prefixable • si_acceptable
Supplemental	Units	Convert	decade-systems	…	metric_adjacent
Supplemental	Units	Convert	degree-systems	…	metric_adjacent • si_acceptable
Supplemental	Units	Convert	dot-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	earth-mass-systems	▷missing◁	astronomical
Supplemental	Units	Convert	earth-radius-systems	▷missing◁	astronomical
Supplemental	Units	Convert	electronvolt-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	electronvolt-systems	▷missing◁	si_acceptable
Supplemental	Units	Convert	em-systems	…	metric_adjacent
Supplemental	Units	Convert	farad-systems	▷missing◁	metric
Supplemental	Units	Convert	farad-systems	▷missing◁	prefixable
Supplemental	Units	Convert	farad-systems	▷missing◁	si
Supplemental	Units	Convert	fortnight-systems	▷missing◁	uksystem
