# Count	Section	Page	Subhead	Code

106	Currencies	Central Asia (C)	Central Asia: Kyrgyzstan	KGS-symbol-narrow
104	Characters	Smileys & Emotion	face-neutral-skeptical	🙂‍↔ -name
104	Characters	Smileys & Emotion	face-neutral-skeptical	🙂‍↔ –keywords
103	Characters	Smileys & Emotion	face-neutral-skeptical	🙂‍↕ -name
103	Characters	Smileys & Emotion	face-neutral-skeptical	🙂‍↕ –keywords
103	Characters	Animals & Nature	animal-bird	🐦‍🔥 –keywords
102	Characters	Objects	tool	⛓‍💥 –keywords
101	Locale Display Names	Languages (E-J)	H	Haryanvi ► bgc
101	Locale Display Names	Territories (Africa)	Eastern Africa	IO-chagos
100	Characters	Food & Drink	food-fruit	🍋‍🟩 –keywords
100	Characters	Food & Drink	food-vegetable	🍄‍🟫 –keywords
99	Characters	Food & Drink	food-vegetable	🍄‍🟫 -name
99	Characters	Objects	tool	⛓‍💥 -name
98	Characters	People & Body	person-symbol	🧑‍🧒‍🧒 -name
98	Characters	People & Body	person-symbol	🧑‍🧒‍🧒 –keywords
98	Characters	Animals & Nature	animal-bird	🐦‍🔥 -name
98	Characters	Food & Drink	food-fruit	🍋‍🟩 -name
97	Characters	People & Body	person-symbol	🧑‍🧑‍🧒 -name
97	Characters	People & Body	person-symbol	🧑‍🧑‍🧒 –keywords
97	Characters	People & Body	person-symbol	🧑‍🧑‍🧒‍🧒 -name
97	Characters	People & Body	person-symbol	🧑‍🧑‍🧒‍🧒 –keywords
97	Characters	People & Body	person-symbol	🧑‍🧒 –keywords
96	Characters	People & Body	person-symbol	🧑‍🧒 -name
94	Characters	Category	Pattern	facing-left
93	Characters	Category	Pattern	facing-right
92	Characters	Animals & Nature	animal-bird	🐦‍⬛ –keywords
89	Characters	Animals & Nature	animal-bird	🐦‍⬛ -name
81	Units	Compound Units	10p27	long
81	Units	Compound Units	10p30	long
79	Units	Compound Units	10p-30	long
78	Units	Speed and Acceleration	beaufort	long-other-nominative
77	Units	Compound Units	10p-27	long
73	Units	Speed and Acceleration	beaufort	long-displayName
71	Core Data	Alphabetic Information	Parse	general-lenient($)
69	Locale Display Names	Keys	calendar	calendar-islamic-civil
63	Units	Speed and Acceleration	beaufort	long-one-nominative
62	Locale Display Names	Keys	calendar	calendar-islamic-umalqura
60	Locale Display Names	Keys	calendar	calendar-islamic
54	Characters	Symbols2	other-symbol	⋙ –keywords
53	Characters	Symbols2	other-symbol	≦ –keywords
53	Characters	Symbols2	other-symbol	≧ –keywords
53	Characters	Symbols2	other-symbol	≫ –keywords
53	Characters	Symbols2	other-symbol	≺ –keywords
53	Characters	Symbols2	other-symbol	⋭ –keywords
53	Characters	Symbols2	other-symbol	⋒ –keywords
53	Characters	Symbols2	other-symbol	⋘ –keywords
52	Characters	Symbols2	other-symbol	≅ –keywords
52	Characters	Symbols2	other-symbol	≖ –keywords
52	Characters	Symbols2	other-symbol	⊁ –keywords
52	Characters	Symbols2	other-symbol	⋰ –keywords
51	Characters	Symbols2	other-symbol	≃ –keywords
51	Characters	Symbols2	other-symbol	≌ –keywords
51	Characters	Symbols2	other-symbol	≪ –keywords
51	Characters	Symbols2	other-symbol	≻ –keywords
51	Characters	Symbols2	other-symbol	⊰ –keywords
51	Characters	Symbols2	other-symbol	⊱ –keywords
51	Characters	Symbols2	other-symbol	⊿ –keywords
51	Characters	Symbols2	other-symbol	⋈ –keywords
51	Characters	Symbols2	other-symbol	⋯ –keywords
51	Characters	Symbols2	other-symbol	⋱ –keywords
51	Characters	Symbols2	other-symbol	₳ –keywords
51	Characters	Symbols2	other-symbol	₶ –keywords
51	Characters	Symbols2	other-symbol	₷ –keywords
51	Characters	Symbols2	other-symbol	﷼ –keywords
50	Characters	Symbols2	other-symbol	≳ –keywords
50	Characters	Symbols2	other-symbol	⊃ –keywords
50	Characters	Symbols2	other-symbol	⊗ –keywords
50	Characters	Symbols2	other-symbol	⋁ –keywords
50	Characters	Symbols2	other-symbol	⋂ –keywords
50	Characters	Symbols2	other-symbol	⋃ –keywords
50	Characters	Symbols2	other-symbol	⋮ –keywords
50	Characters	Symbols2	other-symbol	₤ –keywords
50	Characters	Symbols2	other-symbol	₰ –keywords
50	Characters	Symbols2	other-symbol	₨ –keywords
49	Characters	Symbols2	other-symbol	∑ –keywords
49	Characters	Symbols2	other-symbol	∘ –keywords
49	Characters	Symbols2	other-symbol	≣ –keywords
49	Characters	Symbols2	other-symbol	⊇ –keywords
49	Characters	Symbols2	other-symbol	⊞ –keywords
49	Characters	Symbols2	other-symbol	≮ –keywords
49	Characters	Symbols2	other-symbol	≯ –keywords
49	Characters	Symbols2	other-symbol	∟ –keywords
48	Characters	Symbols2	other-symbol	∽ –keywords
48	Characters	Symbols2	other-symbol	⊙ –keywords
48	Characters	Symbols2	other-symbol	⊛ –keywords
48	Characters	Symbols2	other-symbol	⊟ –keywords
48	Characters	Symbols2	other-symbol	⊹ –keywords
48	Characters	Symbols2	other-symbol	◉ –keywords
48	Characters	Symbols2	other-symbol	∫ –keywords
48	Characters	Symbols2	other-symbol	∴ –keywords
48	Characters	Symbols2	other-symbol	₣ –keywords
47	Characters	Symbols2	other-symbol	∏ –keywords
47	Characters	Symbols2	other-symbol	∼ –keywords
47	Characters	Symbols2	other-symbol	⊖ –keywords
47	Characters	Symbols2	other-symbol	⋆ –keywords
47	Characters	Symbols2	other-symbol	⪚ –keywords
47	Characters	Symbols2	other-symbol	∀ –keywords
47	Characters	Symbols2	other-symbol	∠ –keywords
47	Characters	Symbols2	other-symbol	₢ –keywords
46	Characters	Symbols2	other-symbol	⊘ –keywords
46	Characters	Symbols2	other-symbol	⋅ –keywords
46	Characters	Symbols2	other-symbol	∕ –keywords
46	Characters	Symbols2	other-symbol	∣ –keywords
46	Characters	Symbols2	other-symbol	∬ –keywords
45	Characters	Symbols2	other-symbol	⊕ –keywords
45	Characters	Symbols2	other-symbol	∗ –keywords
45	Characters	Symbols2	other-symbol	∝ –keywords
45	Characters	Symbols2	other-symbol	∵ –keywords
45	Characters	Symbols2	other-symbol	◎ –keywords
44	Characters	Symbols2	other-symbol	∙ –keywords
44	Characters	Symbols2	other-symbol	⊥ –keywords
44	Characters	Symbols2	other-symbol	∅ –keywords
44	Characters	Symbols2	other-symbol	∎ –keywords
44	Characters	Symbols2	other-symbol	∷ –keywords
43	Units	Graphics	dot	short-displayName
43	Characters	Symbols2	other-symbol	∧ –keywords
43	Characters	Symbols2	other-symbol	⁄ –keywords
42	Locale Display Names	Languages (O-S)	R	Rajasthani ► raj
42	Characters	Symbols2	other-symbol	∋ –keywords
42	Characters	Symbols2	other-symbol	∂ –keywords
42	Characters	Symbols2	other-symbol	∉ –keywords
42	Characters	Symbols2	other-symbol	◙ –keywords
42	Date & Time	Gregorian	Formats - Standard - Time Formats	full-ascii
42	Date & Time	Gregorian	Formats - Standard - Time Formats	long-ascii
42	Date & Time	Gregorian	Formats - Standard - Time Formats	medium-ascii
42	Date & Time	Gregorian	Formats - Standard - Time Formats	short-ascii
41	Units	Speed and Acceleration	beaufort	short-other-nominative
41	Characters	Symbols2	other-symbol	↹ –keywords
41	Characters	Symbols2	other-symbol	∓ –keywords
39	Miscellaneous	Person Name Formats	Default Parameters	formality
38	Units	Graphics	dot	long-displayName
37	Units	Speed and Acceleration	beaufort	narrow-other-nominative
35	Units	Graphics	dot	short-other-nominative
35	Characters	Symbols2	other-symbol	◦ –keywords
35	Characters	Symbols2	other-symbol	⁂ –keywords
34	Characters	Symbols2	other-symbol	⩣ –keywords
34	Characters	Symbols2	other-symbol	⪺ –keywords
33	Characters	Symbols2	other-symbol	⋭ -name
33	Characters	Symbols2	other-symbol	▧ –keywords
33	Characters	Symbols2	other-symbol	▨ –keywords
33	Characters	Symbols2	other-symbol	◘ –keywords
33	Characters	Symbols2	other-symbol	◦ -name
33	Characters	Symbols2	other-symbol	◳ –keywords
33	Characters	Symbols2	other-symbol	⩣ -name
33	Characters	Symbols2	other-symbol	⪺ -name
32	Characters	Symbols2	other-symbol	▧ -name
32	Characters	Symbols2	other-symbol	▨ -name
32	Characters	Symbols2	other-symbol	◳ -name
32	Characters	Symbols2	other-symbol	◷ –keywords
