#Locale	Prov.	Unconf.	Missing	Path*
ab	0	0	2	//ldml/dates/calendars/calendar[@type='*']/dayPeriods/dayPeriodContext[@type='*']/dayPeriodWidth[@type='*']/dayPeriod[@type='*']
ab	0	0	7	//ldml/dates/calendars/calendar[@type='*']/days/dayContext[@type='*']/dayWidth[@type='*']/day[@type='*']
ab	0	0	12	//ldml/dates/calendars/calendar[@type='*']/months/monthContext[@type='*']/monthWidth[@type='*']/month[@type='*']
ab	0	0	1	//ldml/dates/timeZoneNames/fallbackFormat
ab	0	0	1	//ldml/dates/timeZoneNames/gmtFormat
ab	0	0	1	//ldml/dates/timeZoneNames/gmtZeroFormat
ab	0	0	1	//ldml/dates/timeZoneNames/hourFormat
ab	0	0	1	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
ab	0	0	1	//ldml/dates/timeZoneNames/regionFormat
ab	0	0	2	//ldml/dates/timeZoneNames/regionFormat[@type='*']
ab	0	0	1	//ldml/delimiters/alternateQuotationEnd
ab	0	0	1	//ldml/delimiters/alternateQuotationStart
ab	0	0	1	//ldml/delimiters/quotationEnd
ab	0	0	1	//ldml/delimiters/quotationStart
ab	0	0	3	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
ab	0	0	1	//ldml/localeDisplayNames/languages/language[@type='*']
ab	0	0	1	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
ab	0	0	1	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
ab	0	0	3	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
ab	0	0	1	//ldml/localeDisplayNames/scripts/script[@type='*']
ab	0	0	1	//ldml/localeDisplayNames/territories/territory[@type='*']
ab	0	0	1	//ldml/numbers/currencyFormats[@numberSystem='*']/currencyFormatLength/currencyFormat[@type='*']/pattern[@type='*']
ab	0	0	1	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
ab	0	0	1	//ldml/numbers/defaultNumberingSystem
ab	0	0	1	//ldml/numbers/otherNumberingSystems/native
ab	0	0	1	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
ab	0	0	1	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
ab	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/decimal
ab	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/group
ab	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/minusSign
ab	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/percentSign
ab	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/plusSign
ab	0	0	64	Totals
				
agq	2	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
agq	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
agq	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
agq	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
agq	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
